trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,3MINDIA,EQUITY,EQ,INE470A01017,32840.0,33330.0,32620.0,33145.0,32840.0,2158.0,71438390.0
2026-09-07,3MINDIA,EQUITY,EQ,INE470A01017,32700.0,32985.0,32480.0,32840.0,32845.0,1326.0,43388090.0
2026-09-04,3MINDIA,EQUITY,EQ,INE470A01017,32730.0,32965.0,32680.0,32845.0,32820.0,932.0,30562740.0
2026-09-03,3MINDIA,EQUITY,EQ,INE470A01017,32995.0,33050.0,32665.0,32820.0,32895.0,1978.0,64884995.0
2026-09-02,3MINDIA,EQUITY,EQ,INE470A01017,33205.0,33290.0,32805.0,32895.0,33315.0,1858.0,61177925.0
2026-09-01,3MINDIA,EQUITY,EQ,INE470A01017,33470.0,33695.0,32980.0,33315.0,33320.0,2999.0,99828445.0
2026-08-31,3MINDIA,EQUITY,EQ,INE470A01017,34415.0,34415.0,33125.0,33320.0,34415.0,7423.0,248398470.0
2026-08-28,3MINDIA,EQUITY,EQ,INE470A01017,34245.0,34840.0,34130.0,34415.0,34245.0,2422.0,83667700.0
2026-08-27,3MINDIA,EQUITY,EQ,INE470A01017,33520.0,34515.0,33520.0,34245.0,33570.0,3288.0,111938110.0
2026-08-26,3MINDIA,EQUITY,EQ,INE470A01017,33695.0,33895.0,33340.0,33570.0,33695.0,1465.0,49128330.0
2026-08-25,3MINDIA,EQUITY,EQ,INE470A01017,33800.0,33990.0,33400.0,33695.0,33885.0,1288.0,43309365.0
2026-08-24,3MINDIA,EQUITY,EQ,INE470A01017,33640.0,34065.0,33530.0,33885.0,33640.0,1835.0,62002885.0
2026-08-21,3MINDIA,EQUITY,EQ,INE470A01017,33550.0,33885.0,33290.0,33640.0,33550.0,1581.0,53160565.0
2026-08-20,3MINDIA,EQUITY,EQ,INE470A01017,33790.0,34205.0,33485.0,33550.0,33505.0,1957.0,66009660.0
2026-08-19,3MINDIA,EQUITY,EQ,INE470A01017,35100.0,35100.0,33355.0,33505.0,34945.0,7449.0,251587125.0
