trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-08-20,AARNAV,EQUITY,EQ,INE750R01016,33.5,35.65,33.5,33.71,34.19,17501.0,601009.51
2026-08-19,AARNAV,EQUITY,EQ,INE750R01016,36.9,36.9,34.01,34.19,35.37,29325.0,1023496.17
2026-08-18,AARNAV,EQUITY,EQ,INE750R01016,31.35,36.04,30.7,35.37,31.23,220800.0,7530905.96
2026-08-17,AARNAV,EQUITY,EQ,INE750R01016,32.26,32.26,29.99,31.23,31.46,62350.0,1931468.26
2026-08-14,AARNAV,EQUITY,EQ,INE750R01016,32.81,32.91,30.96,31.46,32.91,47462.0,1497886.38
2026-08-13,AARNAV,EQUITY,EQ,INE750R01016,33.15,33.23,32.01,32.91,33.15,35005.0,1149913.99
2026-08-12,AARNAV,EQUITY,EQ,INE750R01016,32.0,33.4,31.21,33.15,31.8,97252.0,3177153.22
2026-08-11,AARNAV,EQUITY,EQ,INE750R01016,30.62,32.39,30.62,31.8,30.62,45309.0,1426576.43
2026-08-10,AARNAV,EQUITY,EQ,INE750R01016,30.82,31.75,30.4,30.62,30.82,33097.0,1023697.48
2026-08-07,AARNAV,EQUITY,EQ,INE750R01016,32.5,32.5,30.38,30.82,30.86,76907.0,2395791.21
2026-08-06,AARNAV,EQUITY,EQ,INE750R01016,30.25,31.49,30.25,30.86,30.44,30002.0,923847.79
2026-08-05,AARNAV,EQUITY,EQ,INE750R01016,29.86,31.5,29.86,30.44,30.31,62024.0,1910179.01
2026-08-04,AARNAV,EQUITY,EQ,INE750R01016,30.01,31.5,30.01,30.31,30.44,98562.0,3042500.48
2026-08-03,AARNAV,EQUITY,EQ,INE750R01016,31.73,31.73,30.25,30.44,31.36,37253.0,1140004.15
2026-07-31,AARNAV,EQUITY,EQ,INE750R01016,31.1,32.32,30.75,31.36,31.13,88784.0,2809488.7
2026-07-30,AARNAV,EQUITY,EQ,INE750R01016,29.15,31.78,29.15,31.13,29.15,92027.0,2827402.83
2026-07-29,AARNAV,EQUITY,EQ,INE750R01016,31.0,31.0,28.66,29.15,31.3,132764.0,3897907.98
2026-07-28,AARNAV,EQUITY,EQ,INE750R01016,30.02,33.45,30.02,31.3,31.63,111259.0,3587771.32
2026-07-27,AARNAV,EQUITY,EQ,INE750R01016,28.38,32.8,28.38,31.63,28.32,164190.0,5161642.22
2026-07-24,AARNAV,EQUITY,EQ,INE750R01016,28.13,29.18,28.11,28.32,28.7,34548.0,983752.9
2026-07-23,AARNAV,EQUITY,EQ,INE750R01016,28.9,30.2,28.21,28.7,28.91,47784.0,1391104.61
2026-07-22,AARNAV,EQUITY,EQ,INE750R01016,30.73,30.98,28.1,28.91,30.73,52300.0,1535668.97
2026-07-21,AARNAV,EQUITY,EQ,INE750R01016,31.2,31.2,29.22,30.73,31.52,102306.0,3110212.24
2026-07-20,AARNAV,EQUITY,EQ,INE750R01016,28.62,33.0,26.4,31.52,28.34,358176.0,10306513.27
2026-07-17,AARNAV,EQUITY,EQ,INE750R01016,32.8,37.4,28.1,28.34,31.35,1374124.0,44518655.5
2026-07-16,AARNAV,EQUITY,EQ,INE750R01016,27.0,31.35,26.96,31.35,26.13,594600.0,18256132.8
2026-07-15,AARNAV,EQUITY,EQ,INE750R01016,26.5,26.5,25.62,26.13,26.14,13788.0,359609.05
2026-07-14,AARNAV,EQUITY,EQ,INE750R01016,24.99,26.49,24.99,26.14,24.98,25152.0,649734.61
2026-07-13,AARNAV,EQUITY,EQ,INE750R01016,25.2,25.3,24.95,24.98,25.14,9280.0,232898.82
2026-07-10,AARNAV,EQUITY,EQ,INE750R01016,24.5,25.53,24.5,25.14,25.21,7274.0,181770.12
2026-07-09,AARNAV,EQUITY,EQ,INE750R01016,24.9,25.45,24.9,25.21,24.9,11840.0,297652.62
2026-07-08,AARNAV,EQUITY,EQ,INE750R01016,24.5,25.28,24.5,24.9,25.03,13807.0,344389.77
2026-07-07,AARNAV,EQUITY,EQ,INE750R01016,25.35,25.66,24.61,25.03,24.99,20802.0,520352.02
2026-07-06,AARNAV,EQUITY,EQ,INE750R01016,23.51,25.23,23.51,24.99,24.65,20946.0,516935.04
2026-07-03,AARNAV,EQUITY,EQ,INE750R01016,24.9,25.33,24.6,24.65,25.06,56028.0,1396447.42
2026-07-02,AARNAV,EQUITY,EQ,INE750R01016,24.89,25.2,24.57,25.06,24.89,38799.0,969685.38
2026-07-01,AARNAV,EQUITY,EQ,INE750R01016,25.18,25.19,24.54,24.89,25.18,32203.0,805010.51
2026-06-30,AARNAV,EQUITY,EQ,INE750R01016,25.0,25.49,24.36,25.18,24.62,213366.0,5258751.61
2026-06-29,AARNAV,EQUITY,EQ,INE750R01016,24.04,24.97,24.04,24.62,24.49,180135.0,4442032.9
2026-06-25,AARNAV,EQUITY,EQ,INE750R01016,24.98,25.14,24.25,24.49,24.86,222258.0,5446395.9
2026-06-24,AARNAV,EQUITY,EQ,INE750R01016,24.79,25.05,24.09,24.86,24.18,26391.0,654459.08
2026-06-23,AARNAV,EQUITY,EQ,INE750R01016,23.9,24.96,23.9,24.18,24.43,40323.0,982793.33
2026-06-22,AARNAV,EQUITY,EQ,INE750R01016,24.21,25.15,24.12,24.43,24.48,39526.0,971883.71
2026-06-19,AARNAV,EQUITY,EQ,INE750R01016,24.85,24.99,24.25,24.48,24.97,244176.0,6030484.46
2026-06-18,AARNAV,EQUITY,EQ,INE750R01016,25.0,25.34,24.5,24.97,24.93,202900.0,5059879.43
2026-06-17,AARNAV,EQUITY,EQ,INE750R01016,24.97,25.45,24.5,24.93,24.98,202001.0,5027327.18
2026-06-16,AARNAV,EQUITY,EQ,INE750R01016,25.35,25.35,24.25,24.98,24.69,179345.0,4476833.65
2026-06-15,AARNAV,EQUITY,EQ,INE750R01016,24.64,25.4,24.5,24.69,24.98,318953.0,7958601.35
2026-06-12,AARNAV,EQUITY,EQ,INE750R01016,24.61,25.5,24.6,24.98,24.88,21379.0,533213.5
2026-06-11,AARNAV,EQUITY,EQ,INE750R01016,24.7,25.43,24.6,24.88,24.93,30432.0,756859.72
2026-06-10,AARNAV,EQUITY,EQ,INE750R01016,24.98,25.48,24.76,24.93,24.98,14100.0,353167.2
2026-06-09,AARNAV,EQUITY,EQ,INE750R01016,24.75,25.45,24.41,24.98,24.55,31688.0,785874.78
2026-06-08,AARNAV,EQUITY,EQ,INE750R01016,25.65,26.35,24.1,24.55,24.99,318162.0,7852967.5
2026-06-05,AARNAV,EQUITY,EQ,INE750R01016,25.54,25.54,24.2,24.99,24.76,34282.0,853382.02
2026-06-04,AARNAV,EQUITY,EQ,INE750R01016,25.27,25.9,24.0,24.76,25.27,55990.0,1396101.33
2026-06-03,AARNAV,EQUITY,EQ,INE750R01016,24.93,26.45,24.92,25.27,25.54,15619.0,398992.49
2026-06-02,AARNAV,EQUITY,EQ,INE750R01016,25.3,26.8,24.74,25.54,25.0,53155.0,1367274.5
2026-06-01,AARNAV,EQUITY,EQ,INE750R01016,24.9,25.65,23.2,25.0,24.47,303913.0,7575666.44
2026-05-29,AARNAV,EQUITY,EQ,INE750R01016,23.5,24.9,23.34,24.47,24.44,374645.0,9286779.92
2026-05-27,AARNAV,EQUITY,EQ,INE750R01016,24.3,24.6,23.22,24.44,23.94,24179.0,585757.2
2026-05-26,AARNAV,EQUITY,EQ,INE750R01016,23.65,24.22,23.21,23.94,23.63,10009.0,238814.47
2026-05-25,AARNAV,EQUITY,EQ,INE750R01016,23.15,25.0,23.15,23.63,23.26,22986.0,559457.56
2026-05-22,AARNAV,EQUITY,EQ,INE750R01016,23.99,23.99,22.0,23.26,23.85,71935.0,1673408.38
2026-05-21,AARNAV,EQUITY,EQ,INE750R01016,23.7,24.18,22.8,23.85,22.55,200234.0,4799985.84
2026-05-20,AARNAV,EQUITY,EQ,INE750R01016,22.68,25.0,21.76,22.55,21.99,411052.0,9621301.79
