trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,ABSL10BANK,EQUITY,EQ,INF209KC1670,167.5,167.5,165.0,165.01,167.31,1456.0,241880.63
2026-09-08,ABSL10BANK,EQUITY,EQ,INF209KC1670,166.75,167.72,166.75,167.31,165.62,1397.0,233632.55
2026-09-07,ABSL10BANK,EQUITY,EQ,INF209KC1670,170.8,170.8,165.0,165.62,168.65,1301.0,218616.1
2026-09-04,ABSL10BANK,EQUITY,EQ,INF209KC1670,168.16,170.5,165.14,168.65,168.15,156.0,26329.98
2026-09-03,ABSL10BANK,EQUITY,EQ,INF209KC1670,169.41,169.41,168.0,168.15,167.74,573.0,96370.32
2026-09-02,ABSL10BANK,EQUITY,EQ,INF209KC1670,168.0,168.02,167.74,167.74,168.36,34.0,5710.68
2026-09-01,ABSL10BANK,EQUITY,EQ,INF209KC1670,168.8,169.88,168.0,168.36,168.8,1818.0,307194.31
2026-08-31,ABSL10BANK,EQUITY,EQ,INF209KC1670,170.54,170.54,168.56,168.8,168.96,6800.0,1155140.85
2026-08-28,ABSL10BANK,EQUITY,EQ,INF209KC1670,173.47,173.47,168.75,168.96,170.07,5367.0,910789.88
2026-08-27,ABSL10BANK,EQUITY,EQ,INF209KC1670,172.04,172.51,169.24,170.07,171.96,7135.0,1216584.41
2026-08-26,ABSL10BANK,EQUITY,EQ,INF209KC1670,169.0,174.95,169.0,171.96,169.79,197476.0,33753349.21
2026-08-25,ABSL10BANK,EQUITY,EQ,INF209KC1670,169.52,170.8,169.0,169.79,169.01,409.0,69305.49
2026-08-24,ABSL10BANK,EQUITY,EQ,INF209KC1670,169.8,169.92,168.7,169.01,169.17,1728.0,292454.18
2026-08-21,ABSL10BANK,EQUITY,EQ,INF209KC1670,169.39,169.96,169.0,169.17,168.47,1227.0,207747.78
2026-08-20,ABSL10BANK,EQUITY,EQ,INF209KC1670,168.72,169.58,168.33,168.47,168.33,92223.0,15543726.15
2026-08-19,ABSL10BANK,EQUITY,EQ,INF209KC1670,168.06,172.0,167.5,168.33,169.23,5025.0,843923.76
2026-08-18,ABSL10BANK,EQUITY,EQ,INF209KC1670,168.73,169.75,168.48,169.23,169.69,1546.0,260928.94
2026-08-17,ABSL10BANK,EQUITY,EQ,INF209KC1670,168.7,170.2,168.29,169.69,169.44,2199.0,371084.21
2026-08-14,ABSL10BANK,EQUITY,EQ,INF209KC1670,168.99,170.5,168.75,169.44,169.26,1787.0,302141.36
2026-08-13,ABSL10BANK,EQUITY,EQ,INF209KC1670,169.93,169.93,169.07,169.26,170.0,4456.0,754182.82
2026-08-12,ABSL10BANK,EQUITY,EQ,INF209KC1670,169.65,170.0,168.8,170.0,169.49,109371.0,18530727.6
2026-08-11,ABSL10BANK,EQUITY,EQ,INF209KC1670,169.17,170.97,168.95,169.49,171.56,93913.0,15893674.49
2026-08-10,ABSL10BANK,EQUITY,EQ,INF209KC1670,173.8,173.8,169.61,171.56,170.35,1793.0,306049.93
2026-08-07,ABSL10BANK,EQUITY,EQ,INF209KC1670,171.23,174.0,169.5,170.35,171.96,129124.0,22109076.25
2026-08-06,ABSL10BANK,EQUITY,EQ,INF209KC1670,171.21,172.5,170.73,171.96,170.74,30772.0,5272962.34
2026-08-05,ABSL10BANK,EQUITY,EQ,INF209KC1670,170.95,173.89,169.71,170.74,170.52,9806.0,1673187.44
2026-08-04,ABSL10BANK,EQUITY,EQ,INF209KC1670,174.75,174.75,170.0,170.52,171.95,41752.0,7117151.37
2026-08-03,ABSL10BANK,EQUITY,EQ,INF209KC1670,170.3,179.98,170.3,171.95,170.3,21450.0,3686441.46
