trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,ABSLAMC,EQUITY,EQ,INE404A01024,1063.0,1098.9,1042.3,1088.5,1066.5,371848.0,401131059.9
2026-09-09,ABSLAMC,EQUITY,EQ,INE404A01024,1035.0,1070.3,1012.0,1066.5,1037.8,233592.0,243348772.8
2026-09-08,ABSLAMC,EQUITY,EQ,INE404A01024,1040.0,1045.6,1024.1,1037.8,1041.9,65443.0,67666027.3
2026-09-07,ABSLAMC,EQUITY,EQ,INE404A01024,1062.3,1064.1,1035.0,1041.9,1062.3,197790.0,206464020.7
2026-09-04,ABSLAMC,EQUITY,EQ,INE404A01024,1047.7,1065.0,1036.1,1062.3,1045.2,127937.0,134726426.0
2026-09-03,ABSLAMC,EQUITY,EQ,INE404A01024,1026.0,1049.9,1018.2,1045.2,1022.0,201804.0,210239479.3
2026-09-02,ABSLAMC,EQUITY,EQ,INE404A01024,1025.3,1036.4,1007.5,1022.0,1029.1,398572.0,406615971.0
2026-09-01,ABSLAMC,EQUITY,EQ,INE404A01024,1051.9,1053.3,1012.1,1029.1,1051.8,303733.0,311079089.7
2026-08-31,ABSLAMC,EQUITY,EQ,INE404A01024,1033.7,1062.0,1010.0,1051.8,1047.9,297155.0,309783479.8
2026-08-28,ABSLAMC,EQUITY,EQ,INE404A01024,1050.0,1053.5,1038.1,1047.9,1046.5,74281.0,77833642.0
2026-08-27,ABSLAMC,EQUITY,EQ,INE404A01024,1033.6,1054.9,1029.0,1046.5,1033.5,377907.0,393750635.9
2026-08-26,ABSLAMC,EQUITY,EQ,INE404A01024,1010.0,1036.0,1005.7,1033.5,1001.8,407078.0,417735333.1
2026-08-25,ABSLAMC,EQUITY,EQ,INE404A01024,992.6,1007.0,992.6,1001.8,998.7,121089.0,121087773.7
2026-08-24,ABSLAMC,EQUITY,EQ,INE404A01024,1006.1,1010.5,996.1,998.7,1008.4,90807.0,91088216.2
2026-08-21,ABSLAMC,EQUITY,EQ,INE404A01024,995.4,1016.5,992.7,1008.4,995.4,155013.0,155890801.5
2026-08-20,ABSLAMC,EQUITY,EQ,INE404A01024,1006.3,1010.8,990.3,995.4,1003.4,180500.0,179834574.8
2026-08-19,ABSLAMC,EQUITY,EQ,INE404A01024,1009.4,1015.3,1000.1,1003.4,1013.3,58093.0,58429659.9
2026-08-18,ABSLAMC,EQUITY,EQ,INE404A01024,1011.0,1022.6,1005.0,1013.3,1019.0,108162.0,109366199.1
2026-08-17,ABSLAMC,EQUITY,EQ,INE404A01024,1008.3,1025.4,1001.2,1019.0,1011.2,125429.0,127490238.2
2026-08-14,ABSLAMC,EQUITY,EQ,INE404A01024,1030.0,1030.0,1010.0,1011.2,1026.4,61108.0,62236764.3
2026-08-13,ABSLAMC,EQUITY,EQ,INE404A01024,1043.8,1045.0,1020.0,1026.4,1038.6,201753.0,208292870.4
2026-08-12,ABSLAMC,EQUITY,EQ,INE404A01024,1017.8,1042.0,1010.9,1038.6,1019.7,161763.0,166361848.8
2026-08-11,ABSLAMC,EQUITY,EQ,INE404A01024,1008.8,1021.2,1001.5,1019.7,1011.8,114010.0,115492546.7
2026-08-10,ABSLAMC,EQUITY,EQ,INE404A01024,1025.4,1028.4,1000.3,1011.8,1025.3,352784.0,356970111.6
2026-08-07,ABSLAMC,EQUITY,EQ,INE404A01024,1028.5,1034.7,1006.1,1025.3,1024.1,198652.0,202196526.2
2026-08-06,ABSLAMC,EQUITY,EQ,INE404A01024,1017.1,1028.5,1005.6,1024.1,1017.1,169770.0,173046337.9
2026-08-05,ABSLAMC,EQUITY,EQ,INE404A01024,1006.4,1023.0,996.0,1017.1,995.6,184027.0,186569562.6
2026-08-04,ABSLAMC,EQUITY,EQ,INE404A01024,1012.0,1022.6,989.8,995.6,1017.8,318393.0,318079083.2
2026-08-03,ABSLAMC,EQUITY,EQ,INE404A01024,1026.3,1027.8,1000.0,1017.8,1011.8,292827.0,298417254.5
2026-07-31,ABSLAMC,EQUITY,EQ,INE404A01024,1012.0,1022.2,1002.2,1011.8,1008.8,266022.0,269258189.3
2026-07-30,ABSLAMC,EQUITY,EQ,INE404A01024,1020.0,1025.5,1006.1,1008.8,1017.5,72834.0,73968383.7
2026-07-29,ABSLAMC,EQUITY,EQ,INE404A01024,1004.2,1029.3,1001.5,1017.5,999.2,187421.0,190361436.7
2026-07-28,ABSLAMC,EQUITY,EQ,INE404A01024,992.0,1008.7,991.8,999.2,989.2,183500.0,183555325.8
2026-07-27,ABSLAMC,EQUITY,EQ,INE404A01024,1005.1,1016.9,976.8,989.2,1017.0,469490.0,466410905.0
2026-07-24,ABSLAMC,EQUITY,EQ,INE404A01024,975.0,1022.4,974.0,1017.0,986.0,546485.0,551431387.8
2026-07-23,ABSLAMC,EQUITY,EQ,INE404A01024,1002.6,1010.9,973.3,986.0,1002.9,480848.0,475962023.0
2026-07-22,ABSLAMC,EQUITY,EQ,INE404A01024,1013.5,1021.5,974.3,1002.9,1043.1,1218591.0,1216803126.6
2026-07-21,ABSLAMC,EQUITY,EQ,INE404A01024,1126.9,1126.9,1038.1,1043.1,1118.6,873489.0,939297558.7
2026-07-20,ABSLAMC,EQUITY,EQ,INE404A01024,1145.0,1167.3,1115.0,1118.6,1150.6,416720.0,472822897.4
2026-07-17,ABSLAMC,EQUITY,EQ,INE404A01024,1128.6,1154.0,1124.0,1150.6,1132.1,298822.0,340686797.1
2026-07-16,ABSLAMC,EQUITY,EQ,INE404A01024,1153.9,1156.3,1128.0,1132.1,1149.1,174306.0,198338318.9
2026-07-15,ABSLAMC,EQUITY,EQ,INE404A01024,1143.6,1161.7,1140.3,1149.1,1143.6,209635.0,240899003.0
2026-07-14,ABSLAMC,EQUITY,EQ,INE404A01024,1177.5,1179.7,1129.5,1143.6,1173.7,212678.0,243924280.0
2026-07-13,ABSLAMC,EQUITY,EQ,INE404A01024,1147.7,1179.1,1137.2,1173.7,1146.6,511637.0,591198138.1
2026-07-10,ABSLAMC,EQUITY,EQ,INE404A01024,1145.8,1159.6,1135.3,1146.6,1136.0,192247.0,219800349.9
2026-07-09,ABSLAMC,EQUITY,EQ,INE404A01024,1120.0,1145.1,1115.2,1136.0,1124.5,231867.0,262722674.3
2026-07-08,ABSLAMC,EQUITY,EQ,INE404A01024,1160.3,1169.0,1116.3,1124.5,1158.2,162784.0,185766428.8
2026-07-07,ABSLAMC,EQUITY,EQ,INE404A01024,1160.0,1169.9,1151.0,1158.2,1160.7,123029.0,142362009.1
2026-07-06,ABSLAMC,EQUITY,EQ,INE404A01024,1180.7,1193.1,1147.0,1160.7,1178.4,233115.0,271217150.7
