trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,ADDIND,EQUITY,EQ,INE757C01021,80.0,80.0,74.5,77.48,74.83,1712.0,128650.04
2026-09-10,ADDIND,EQUITY,EQ,INE757C01021,79.0,82.0,72.0,74.83,79.0,3924.0,288588.5
2026-09-09,ADDIND,EQUITY,EQ,INE757C01021,77.0,79.0,77.0,79.0,79.87,41.0,3181.0
2026-09-08,ADDIND,EQUITY,EQ,INE757C01021,82.9,83.0,75.26,79.87,80.81,279.0,22109.06
2026-09-07,ADDIND,EQUITY,EQ,INE757C01021,79.34,85.0,78.95,80.81,79.34,2067.0,171232.16
2026-09-04,ADDIND,EQUITY,EQ,INE757C01021,81.55,83.68,79.0,79.34,76.69,486.0,39273.15
2026-09-03,ADDIND,EQUITY,EQ,INE757C01021,86.9,88.0,75.0,76.69,85.29,2206.0,169862.76
2026-09-02,ADDIND,EQUITY,EQ,INE757C01021,83.5,90.0,83.5,85.29,81.44,595.0,51428.48
2026-09-01,ADDIND,EQUITY,EQ,INE757C01021,80.0,83.9,76.95,81.44,85.0,373.0,28973.62
2026-08-31,ADDIND,EQUITY,EQ,INE757C01021,82.84,90.0,78.0,85.0,84.0,423.0,34356.98
2026-08-28,ADDIND,EQUITY,EQ,INE757C01021,84.53,84.53,79.92,84.0,86.7,88.0,7114.37
2026-08-27,ADDIND,EQUITY,EQ,INE757C01021,82.66,90.0,80.0,86.7,82.66,800.0,67661.49
2026-08-26,ADDIND,EQUITY,EQ,INE757C01021,92.0,94.6,80.3,82.66,86.89,858.0,74977.33
2026-08-25,ADDIND,EQUITY,EQ,INE757C01021,93.99,93.99,82.5,86.89,86.36,1138.0,99340.83
2026-08-24,ADDIND,EQUITY,EQ,INE757C01021,92.0,93.7,85.0,86.36,80.66,2931.0,263049.32
2026-08-21,ADDIND,EQUITY,EQ,INE757C01021,88.0,90.01,72.07,80.66,80.0,4334.0,358280.65
2026-08-20,ADDIND,EQUITY,EQ,INE757C01021,87.95,87.95,71.05,80.0,87.0,612.0,45486.1
2026-08-19,ADDIND,EQUITY,EQ,INE757C01021,86.9,87.0,86.9,87.0,89.5,59.0,5128.5
2026-08-18,ADDIND,EQUITY,EQ,INE757C01021,86.0,89.9,86.0,89.5,86.0,103.0,9215.8
