trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,ADVIKCA,EQUITY,EQ,INE178T01024,1.1,1.1,1.06,1.07,1.1,819602.0,884290.88
2026-09-07,ADVIKCA,EQUITY,EQ,INE178T01024,1.12,1.13,1.1,1.1,1.12,337126.0,373788.51
2026-09-04,ADVIKCA,EQUITY,EQ,INE178T01024,1.15,1.16,1.11,1.12,1.13,329513.0,372742.22
2026-09-03,ADVIKCA,EQUITY,EQ,INE178T01024,1.17,1.17,1.1,1.13,1.15,325275.0,368911.03
2026-09-02,ADVIKCA,EQUITY,EQ,INE178T01024,1.16,1.26,1.11,1.15,1.15,899571.0,1034558.3
2026-09-01,ADVIKCA,EQUITY,EQ,INE178T01024,1.17,1.17,1.14,1.15,1.16,289220.0,335423.88
2026-08-31,ADVIKCA,EQUITY,EQ,INE178T01024,1.21,1.21,1.12,1.16,1.19,566958.0,664016.13
2026-08-28,ADVIKCA,EQUITY,EQ,INE178T01024,1.21,1.23,1.18,1.19,1.19,284503.0,341149.01
2026-08-27,ADVIKCA,EQUITY,EQ,INE178T01024,1.19,1.21,1.18,1.19,1.19,199252.0,238292.83
2026-08-26,ADVIKCA,EQUITY,EQ,INE178T01024,1.19,1.22,1.19,1.19,1.2,313484.0,376897.25
2026-08-25,ADVIKCA,EQUITY,EQ,INE178T01024,1.21,1.23,1.16,1.2,1.19,261735.0,314303.13
2026-08-24,ADVIKCA,EQUITY,EQ,INE178T01024,1.22,1.23,1.18,1.19,1.2,199464.0,238988.77
2026-08-21,ADVIKCA,EQUITY,EQ,INE178T01024,1.2,1.22,1.19,1.2,1.2,178394.0,215125.38
2026-08-20,ADVIKCA,EQUITY,EQ,INE178T01024,1.21,1.25,1.2,1.2,1.22,192176.0,232357.36
2026-08-19,ADVIKCA,EQUITY,EQ,INE178T01024,1.25,1.25,1.21,1.22,1.23,95397.0,116516.09
2026-08-18,ADVIKCA,EQUITY,EQ,INE178T01024,1.24,1.26,1.18,1.23,1.21,179534.0,220536.61
2026-08-17,ADVIKCA,EQUITY,EQ,INE178T01024,1.15,1.27,1.15,1.21,1.22,116547.0,138236.8
