trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,AEPL,EQUITY,EQ,INE757T01025,18.48,18.48,17.0,17.21,17.56,27690.0,487589.11
2026-09-10,AEPL,EQUITY,EQ,INE757T01025,17.5,18.25,17.1,17.56,16.99,36236.0,640783.82
2026-09-09,AEPL,EQUITY,EQ,INE757T01025,18.5,18.5,16.12,16.99,18.11,123003.0,2118568.98
2026-09-08,AEPL,EQUITY,EQ,INE757T01025,18.1,18.5,17.08,18.11,18.02,46457.0,832268.35
2026-09-07,AEPL,EQUITY,EQ,INE757T01025,17.85,18.25,17.26,18.02,17.5,99702.0,1787117.0
2026-09-04,AEPL,EQUITY,EQ,INE757T01025,16.81,18.2,16.0,17.5,17.09,170886.0,2989103.37
2026-09-03,AEPL,EQUITY,EQ,INE757T01025,15.48,18.09,15.1,17.09,15.08,268429.0,4542178.37
2026-09-02,AEPL,EQUITY,EQ,INE757T01025,15.87,15.87,15.0,15.08,15.09,478365.0,7234085.01
2026-09-01,AEPL,EQUITY,EQ,INE757T01025,15.56,15.56,14.9,15.09,15.05,965192.0,14568443.81
2026-08-31,AEPL,EQUITY,EQ,INE757T01025,15.74,15.74,14.66,15.05,15.38,23149.0,351346.42
2026-08-28,AEPL,EQUITY,EQ,INE757T01025,15.65,15.65,14.67,15.38,15.39,15835.0,239380.15
2026-08-27,AEPL,EQUITY,EQ,INE757T01025,15.55,15.55,14.66,15.39,15.1,12516.0,188217.43
2026-08-26,AEPL,EQUITY,EQ,INE757T01025,14.41,16.1,14.3,15.1,14.41,65874.0,1003269.46
2026-08-25,AEPL,EQUITY,EQ,INE757T01025,14.41,14.83,14.22,14.41,14.48,10551.0,152415.06
2026-08-24,AEPL,EQUITY,EQ,INE757T01025,14.2,14.93,14.17,14.48,14.64,26233.0,377983.56
2026-08-21,AEPL,EQUITY,EQ,INE757T01025,14.8,15.25,14.25,14.64,14.99,21515.0,315194.51
2026-08-20,AEPL,EQUITY,EQ,INE757T01025,14.75,15.49,14.75,14.99,14.89,11451.0,172424.01
2026-08-19,AEPL,EQUITY,EQ,INE757T01025,15.5,15.55,14.11,14.89,14.9,11919.0,178738.43
2026-08-18,AEPL,EQUITY,EQ,INE757T01025,14.8,15.41,14.63,14.9,14.93,20978.0,310909.38
2026-08-17,AEPL,EQUITY,EQ,INE757T01025,15.61,15.61,14.8,14.93,15.3,16024.0,241019.8
2026-08-14,AEPL,EQUITY,EQ,INE757T01025,15.67,15.67,15.23,15.3,15.67,26872.0,412402.22
2026-08-13,AEPL,EQUITY,EQ,INE757T01025,15.8,15.97,15.35,15.67,15.5,21644.0,338082.3
2026-08-12,AEPL,EQUITY,EQ,INE757T01025,16.32,16.89,15.3,15.5,15.87,74354.0,1176434.4
2026-08-11,AEPL,EQUITY,EQ,INE757T01025,16.01,16.2,15.2,15.87,16.01,67228.0,1054118.62
2026-08-10,AEPL,EQUITY,EQ,INE757T01025,16.99,17.28,15.75,16.01,17.13,162476.0,2651057.07
2026-08-07,AEPL,EQUITY,EQ,INE757T01025,14.07,17.42,14.07,17.13,14.52,1203391.0,20475719.81
2026-08-06,AEPL,EQUITY,EQ,INE757T01025,14.53,14.59,14.05,14.52,14.34,16796.0,238432.24
2026-08-05,AEPL,EQUITY,EQ,INE757T01025,14.0,14.37,13.83,14.34,14.08,10059.0,143512.21
2026-08-04,AEPL,EQUITY,EQ,INE757T01025,14.2,14.47,13.3,14.08,14.32,25725.0,362120.69
2026-08-03,AEPL,EQUITY,EQ,INE757T01025,14.21,14.57,14.21,14.32,14.38,12960.0,185099.3
2026-07-31,AEPL,EQUITY,EQ,INE757T01025,14.15,14.6,14.15,14.38,14.35,6026.0,86990.32
2026-07-30,AEPL,EQUITY,EQ,INE757T01025,14.55,14.97,14.11,14.35,14.55,4441.0,64572.29
2026-07-29,AEPL,EQUITY,EQ,INE757T01025,14.5,15.07,14.5,14.55,14.5,15862.0,232875.28
2026-07-28,AEPL,EQUITY,EQ,INE757T01025,15.14,15.55,14.01,14.5,15.14,19796.0,290699.27
2026-07-27,AEPL,EQUITY,EQ,INE757T01025,15.1,15.59,14.66,15.14,14.96,4688.0,71349.09
2026-07-24,AEPL,EQUITY,EQ,INE757T01025,15.26,15.42,14.7,14.96,15.19,15091.0,225741.82
2026-07-23,AEPL,EQUITY,EQ,INE757T01025,14.9,15.94,14.8,15.19,14.97,23042.0,345537.68
2026-07-22,AEPL,EQUITY,EQ,INE757T01025,15.0,16.2,14.86,14.97,15.29,68158.0,1044018.23
2026-07-21,AEPL,EQUITY,EQ,INE757T01025,15.71,16.22,14.76,15.29,15.93,38042.0,586417.26
2026-07-20,AEPL,EQUITY,EQ,INE757T01025,16.29,16.37,15.71,15.93,16.29,9123.0,147332.42
2026-07-17,AEPL,EQUITY,EQ,INE757T01025,16.06,16.38,16.04,16.29,16.04,3335.0,54342.23
2026-07-16,AEPL,EQUITY,EQ,INE757T01025,16.3,16.3,15.53,16.04,15.56,18833.0,302354.9
2026-07-15,AEPL,EQUITY,EQ,INE757T01025,16.75,16.75,14.44,15.56,16.04,13604.0,211938.43
2026-07-14,AEPL,EQUITY,EQ,INE757T01025,16.78,16.78,15.9,16.04,16.78,9965.0,162095.34
2026-07-13,AEPL,EQUITY,EQ,INE757T01025,17.33,17.33,15.6,16.78,16.91,9677.0,159032.63
2026-07-10,AEPL,EQUITY,EQ,INE757T01025,17.24,17.24,16.72,16.91,17.11,5463.0,92300.22
2026-07-09,AEPL,EQUITY,EQ,INE757T01025,17.0,17.2,16.0,17.11,16.95,24362.0,413437.03
2026-07-08,AEPL,EQUITY,EQ,INE757T01025,16.81,17.28,16.81,16.95,17.13,6225.0,105802.26
2026-07-07,AEPL,EQUITY,EQ,INE757T01025,17.51,17.8,17.02,17.13,17.17,7659.0,131009.85
2026-07-06,AEPL,EQUITY,EQ,INE757T01025,16.81,17.74,16.81,17.17,17.1,9714.0,166054.67
