trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,AGRITECH,EQUITY,EQ,INE449G01018,100.9,100.9,96.65,99.08,98.25,3421.0,338934.81
2026-09-09,AGRITECH,EQUITY,EQ,INE449G01018,100.0,101.89,96.1,98.25,99.75,2629.0,259467.59
2026-09-08,AGRITECH,EQUITY,EQ,INE449G01018,104.4,104.4,98.01,99.75,100.07,4390.0,440714.85
2026-09-07,AGRITECH,EQUITY,EQ,INE449G01018,103.45,103.45,99.0,100.07,101.21,921.0,92211.85
2026-09-04,AGRITECH,EQUITY,EQ,INE449G01018,101.1,103.8,99.85,101.21,101.1,3474.0,349121.82
2026-09-03,AGRITECH,EQUITY,EQ,INE449G01018,102.0,102.0,101.0,101.1,100.9,2440.0,247453.74
2026-09-02,AGRITECH,EQUITY,EQ,INE449G01018,102.37,104.9,100.6,100.9,101.16,3722.0,380424.93
2026-09-01,AGRITECH,EQUITY,EQ,INE449G01018,106.6,106.6,100.6,101.16,101.55,3000.0,305840.79
2026-08-31,AGRITECH,EQUITY,EQ,INE449G01018,102.75,108.04,101.0,101.55,102.9,7344.0,761509.6
2026-08-28,AGRITECH,EQUITY,EQ,INE449G01018,101.11,103.63,100.06,102.9,101.11,1874.0,191729.58
2026-08-27,AGRITECH,EQUITY,EQ,INE449G01018,103.36,104.89,101.0,101.11,103.36,2765.0,281374.94
2026-08-26,AGRITECH,EQUITY,EQ,INE449G01018,104.0,104.49,102.5,103.36,101.16,996.0,102740.04
2026-08-25,AGRITECH,EQUITY,EQ,INE449G01018,102.51,102.51,101.0,101.16,102.05,759.0,76984.9
2026-08-24,AGRITECH,EQUITY,EQ,INE449G01018,103.53,104.8,101.1,102.05,103.02,1893.0,193822.68
2026-08-21,AGRITECH,EQUITY,EQ,INE449G01018,101.64,105.0,101.01,103.02,102.16,2873.0,296284.28
2026-08-20,AGRITECH,EQUITY,EQ,INE449G01018,102.88,103.4,100.21,102.16,100.38,1627.0,165541.53
2026-08-19,AGRITECH,EQUITY,EQ,INE449G01018,100.0,103.99,100.0,100.38,101.84,4202.0,427066.32
2026-08-18,AGRITECH,EQUITY,EQ,INE449G01018,103.5,103.5,100.99,101.84,103.49,3463.0,354316.04
2026-08-17,AGRITECH,EQUITY,EQ,INE449G01018,105.26,105.26,102.2,103.49,105.49,4153.0,429246.83
2026-08-14,AGRITECH,EQUITY,EQ,INE449G01018,106.12,108.8,103.0,105.49,107.61,4189.0,442478.32
2026-08-13,AGRITECH,EQUITY,EQ,INE449G01018,104.5,109.0,104.5,107.61,107.84,576.0,61867.93
2026-08-12,AGRITECH,EQUITY,EQ,INE449G01018,110.0,111.0,107.1,107.84,108.98,2978.0,324117.69
2026-08-11,AGRITECH,EQUITY,EQ,INE449G01018,110.8,110.8,106.11,108.98,108.31,3009.0,327632.84
2026-06-10,AGRITECH,EQUITY,EQ,INE449G01018,130.6,136.0,123.26,123.26,136.95,58517.0,7321455.96
2026-06-09,AGRITECH,EQUITY,EQ,INE449G01018,149.9,149.99,136.95,136.95,152.16,113238.0,15836445.58
2026-06-08,AGRITECH,EQUITY,EQ,INE449G01018,136.99,154.88,136.0,152.16,129.34,567156.0,84990682.34
2026-06-05,AGRITECH,EQUITY,EQ,INE449G01018,108.0,129.34,108.0,129.34,107.79,132520.0,16775627.37
2026-06-04,AGRITECH,EQUITY,EQ,INE449G01018,110.6,110.6,107.0,107.79,107.16,3575.0,386223.57
2026-06-03,AGRITECH,EQUITY,EQ,INE449G01018,108.8,110.4,107.0,107.16,108.86,2085.0,225353.45
2026-06-02,AGRITECH,EQUITY,EQ,INE449G01018,108.75,109.69,107.0,108.86,109.27,1194.0,128515.15
