trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,AHLUCONT,EQUITY,EQ,INE758C01029,587.0,605.9,582.65,601.0,592.3,57589.0,34319855.05
2026-09-10,AHLUCONT,EQUITY,EQ,INE758C01029,599.0,599.95,590.1,592.3,596.15,34728.0,20633095.9
2026-09-09,AHLUCONT,EQUITY,EQ,INE758C01029,605.9,619.0,593.0,596.15,607.15,63167.0,38229919.65
2026-09-08,AHLUCONT,EQUITY,EQ,INE758C01029,595.0,609.0,592.1,607.15,597.05,45142.0,27110562.7
2026-09-07,AHLUCONT,EQUITY,EQ,INE758C01029,602.0,609.6,594.8,597.05,599.05,80503.0,48295920.9
2026-09-04,AHLUCONT,EQUITY,EQ,INE758C01029,599.9,611.9,592.6,599.05,595.45,225666.0,135319422.35
2026-09-03,AHLUCONT,EQUITY,EQ,INE758C01029,602.75,608.9,591.35,595.45,602.2,58695.0,35149876.65
2026-09-02,AHLUCONT,EQUITY,EQ,INE758C01029,606.05,611.65,590.0,602.2,612.5,107402.0,64217235.95
2026-09-01,AHLUCONT,EQUITY,EQ,INE758C01029,620.7,627.9,606.7,612.5,619.2,70430.0,43454286.85
2026-08-31,AHLUCONT,EQUITY,EQ,INE758C01029,646.05,648.0,615.05,619.2,641.1,75376.0,47304819.85
2026-08-28,AHLUCONT,EQUITY,EQ,INE758C01029,638.0,647.75,630.05,641.1,636.6,80833.0,51792669.95
2026-08-27,AHLUCONT,EQUITY,EQ,INE758C01029,635.1,643.8,630.0,636.6,635.1,200044.0,127779832.8
2026-08-26,AHLUCONT,EQUITY,EQ,INE758C01029,651.1,656.95,620.0,635.1,651.75,338939.0,214730447.5
2026-08-25,AHLUCONT,EQUITY,EQ,INE758C01029,649.6,665.0,643.5,651.75,649.6,121256.0,79207602.85
2026-08-24,AHLUCONT,EQUITY,EQ,INE758C01029,688.0,690.0,645.3,649.6,696.2,317298.0,211034583.6
2026-08-21,AHLUCONT,EQUITY,EQ,INE758C01029,693.5,704.95,688.35,696.2,693.5,44966.0,31335793.05
2026-08-20,AHLUCONT,EQUITY,EQ,INE758C01029,699.55,709.7,692.0,693.5,698.55,59772.0,41596038.8
2026-08-19,AHLUCONT,EQUITY,EQ,INE758C01029,707.0,718.0,696.0,698.55,707.7,112329.0,79096803.35
2026-08-18,AHLUCONT,EQUITY,EQ,INE758C01029,776.0,782.4,702.5,707.7,793.85,545925.0,395829503.7
2026-08-17,AHLUCONT,EQUITY,EQ,INE758C01029,800.0,805.0,773.0,793.85,837.35,97109.0,76508240.5
2026-08-14,AHLUCONT,EQUITY,EQ,INE758C01029,822.0,848.0,815.15,837.35,819.95,39157.0,32724590.95
2026-08-13,AHLUCONT,EQUITY,EQ,INE758C01029,809.1,825.0,790.1,819.95,809.1,14490.0,11851420.25
2026-08-12,AHLUCONT,EQUITY,EQ,INE758C01029,836.0,836.0,804.75,809.1,833.95,29882.0,24411873.65
2026-08-11,AHLUCONT,EQUITY,EQ,INE758C01029,836.2,836.2,819.75,833.95,829.9,18401.0,15245447.1
2026-08-10,AHLUCONT,EQUITY,EQ,INE758C01029,822.0,831.8,808.25,829.9,822.3,19088.0,15702472.95
2026-08-07,AHLUCONT,EQUITY,EQ,INE758C01029,832.7,832.7,810.0,822.3,829.25,15989.0,13153678.15
2026-08-06,AHLUCONT,EQUITY,EQ,INE758C01029,835.6,838.95,825.0,829.25,835.6,12407.0,10291403.25
2026-08-05,AHLUCONT,EQUITY,EQ,INE758C01029,833.2,845.45,830.1,835.6,830.7,16260.0,13641226.85
2026-08-04,AHLUCONT,EQUITY,EQ,INE758C01029,837.0,837.0,825.65,830.7,833.6,11439.0,9501235.25
2026-08-03,AHLUCONT,EQUITY,EQ,INE758C01029,824.0,848.0,823.75,833.6,821.4,33625.0,28041933.9
2026-07-31,AHLUCONT,EQUITY,EQ,INE758C01029,819.3,826.25,812.2,821.4,819.3,15056.0,12356018.85
2026-07-30,AHLUCONT,EQUITY,EQ,INE758C01029,820.0,827.5,808.95,819.3,817.4,18951.0,15473231.55
2026-07-29,AHLUCONT,EQUITY,EQ,INE758C01029,832.75,832.75,813.0,817.4,832.75,27038.0,22192622.9
2026-07-28,AHLUCONT,EQUITY,EQ,INE758C01029,830.65,839.4,823.55,832.75,830.65,23375.0,19431611.3
2026-07-27,AHLUCONT,EQUITY,EQ,INE758C01029,836.05,843.95,824.0,830.65,827.7,25094.0,20830623.85
2026-07-24,AHLUCONT,EQUITY,EQ,INE758C01029,800.2,838.55,791.1,827.7,800.2,140514.0,115221570.4
2026-07-23,AHLUCONT,EQUITY,EQ,INE758C01029,825.0,825.0,796.0,800.2,822.95,67987.0,54754875.15
2026-07-22,AHLUCONT,EQUITY,EQ,INE758C01029,844.7,844.7,819.4,822.95,844.8,22885.0,18963520.15
2026-07-21,AHLUCONT,EQUITY,EQ,INE758C01029,851.6,852.0,838.0,844.8,844.7,15624.0,13175298.85
2026-07-20,AHLUCONT,EQUITY,EQ,INE758C01029,853.25,862.0,842.7,844.7,853.25,16059.0,13654800.8
2026-07-17,AHLUCONT,EQUITY,EQ,INE758C01029,863.35,872.0,848.2,853.25,863.3,21406.0,18304128.4
2026-07-16,AHLUCONT,EQUITY,EQ,INE758C01029,874.8,885.0,855.0,863.3,869.5,61334.0,53375771.8
2026-07-15,AHLUCONT,EQUITY,EQ,INE758C01029,851.45,875.0,834.9,869.5,843.85,68960.0,59278524.3
2026-07-14,AHLUCONT,EQUITY,EQ,INE758C01029,861.6,861.6,838.45,843.85,861.6,24199.0,20423008.2
2026-07-13,AHLUCONT,EQUITY,EQ,INE758C01029,837.95,866.95,835.0,861.6,842.95,31283.0,26804855.0
2026-07-10,AHLUCONT,EQUITY,EQ,INE758C01029,838.1,849.45,834.2,842.95,836.15,20102.0,16947003.4
2026-07-09,AHLUCONT,EQUITY,EQ,INE758C01029,828.6,845.1,824.0,836.15,820.4,17263.0,14449912.9
2026-07-08,AHLUCONT,EQUITY,EQ,INE758C01029,849.55,850.95,815.1,820.4,852.85,25134.0,20874326.6
2026-07-07,AHLUCONT,EQUITY,EQ,INE758C01029,858.7,870.1,845.65,852.85,853.45,41176.0,35423552.1
2026-07-06,AHLUCONT,EQUITY,EQ,INE758C01029,829.4,859.95,818.1,853.45,829.4,57683.0,48979644.65
2026-07-03,AHLUCONT,EQUITY,EQ,INE758C01029,859.1,859.1,828.0,829.4,856.15,38182.0,32078830.5
2026-07-02,AHLUCONT,EQUITY,EQ,INE758C01029,844.0,859.95,841.15,856.15,843.9,20600.0,17499571.6
2026-07-01,AHLUCONT,EQUITY,EQ,INE758C01029,856.0,872.95,840.1,843.9,855.8,23870.0,20298933.35
2026-06-30,AHLUCONT,EQUITY,EQ,INE758C01029,871.1,875.95,850.05,855.8,871.05,15057.0,12920892.65
2026-06-29,AHLUCONT,EQUITY,EQ,INE758C01029,857.95,875.8,848.0,871.05,848.1,47053.0,40712387.0
2026-06-25,AHLUCONT,EQUITY,EQ,INE758C01029,877.0,877.7,846.6,848.1,872.15,21316.0,18216407.5
2026-06-24,AHLUCONT,EQUITY,EQ,INE758C01029,843.65,878.0,839.2,872.15,848.6,35522.0,30632712.25
2026-06-23,AHLUCONT,EQUITY,EQ,INE758C01029,844.4,856.4,830.5,848.6,839.5,42407.0,35888923.3
2026-06-22,AHLUCONT,EQUITY,EQ,INE758C01029,840.2,846.0,835.0,839.5,838.8,17851.0,14981432.05
2026-06-19,AHLUCONT,EQUITY,EQ,INE758C01029,826.4,840.0,818.95,838.8,823.7,32611.0,27238446.7
2026-06-18,AHLUCONT,EQUITY,EQ,INE758C01029,844.05,844.05,820.1,823.7,839.85,22246.0,18449754.8
