trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,AKUMS,EQUITY,EQ,INE09XN01023,741.1,755.1,740.35,749.65,741.1,289465.0,217243505.85
2026-09-09,AKUMS,EQUITY,EQ,INE09XN01023,737.0,769.0,737.0,741.1,736.6,433609.0,325413409.15
2026-09-08,AKUMS,EQUITY,EQ,INE09XN01023,754.05,757.75,733.15,736.6,754.65,199035.0,147355529.0
2026-09-07,AKUMS,EQUITY,EQ,INE09XN01023,765.75,772.9,751.5,754.65,765.75,120744.0,91848258.15
2026-09-04,AKUMS,EQUITY,EQ,INE09XN01023,784.4,785.0,748.35,765.75,780.55,338753.0,257909160.65
2026-09-03,AKUMS,EQUITY,EQ,INE09XN01023,764.35,788.0,760.5,780.55,770.25,335921.0,260696968.15
2026-09-02,AKUMS,EQUITY,EQ,INE09XN01023,778.0,794.9,768.2,770.25,779.05,750068.0,582986947.7
2026-09-01,AKUMS,EQUITY,EQ,INE09XN01023,780.5,796.55,771.3,779.05,776.7,461075.0,361422563.6
2026-08-31,AKUMS,EQUITY,EQ,INE09XN01023,776.15,785.0,768.9,776.7,772.6,258396.0,200868772.3
2026-08-28,AKUMS,EQUITY,EQ,INE09XN01023,764.0,774.45,758.6,772.6,761.2,408016.0,313570425.15
2026-08-27,AKUMS,EQUITY,EQ,INE09XN01023,769.0,778.05,760.0,761.2,766.1,359949.0,275751738.4
2026-08-26,AKUMS,EQUITY,EQ,INE09XN01023,752.0,773.8,750.0,766.1,745.05,412200.0,315507780.45
2026-08-25,AKUMS,EQUITY,EQ,INE09XN01023,776.5,783.0,744.0,745.05,770.35,245722.0,185945458.6
2026-08-24,AKUMS,EQUITY,EQ,INE09XN01023,740.05,780.85,737.0,770.35,750.0,486073.0,373950565.75
2026-08-21,AKUMS,EQUITY,EQ,INE09XN01023,755.0,763.9,747.7,750.0,752.9,255662.0,192402777.0
2026-08-20,AKUMS,EQUITY,EQ,INE09XN01023,756.55,774.0,750.0,752.9,753.3,419530.0,318579144.15
2026-08-19,AKUMS,EQUITY,EQ,INE09XN01023,746.0,773.35,746.0,753.3,744.15,541992.0,410741731.05
2026-08-18,AKUMS,EQUITY,EQ,INE09XN01023,753.85,766.85,740.9,744.15,744.0,263636.0,198031890.75
2026-08-17,AKUMS,EQUITY,EQ,INE09XN01023,726.6,749.6,715.1,744.0,726.6,304026.0,225436818.8
2026-08-14,AKUMS,EQUITY,EQ,INE09XN01023,748.15,763.25,724.8,726.6,751.85,184803.0,135892038.0
2026-08-13,AKUMS,EQUITY,EQ,INE09XN01023,756.0,759.75,746.0,751.85,749.95,287659.0,216122577.1
2026-08-12,AKUMS,EQUITY,EQ,INE09XN01023,760.95,775.0,746.35,749.95,760.95,359719.0,273171200.75
2026-08-11,AKUMS,EQUITY,EQ,INE09XN01023,732.0,769.45,728.35,760.95,730.1,1147714.0,866132636.85
2026-08-10,AKUMS,EQUITY,EQ,INE09XN01023,710.1,756.85,703.0,730.1,697.45,2185132.0,1604293197.7
2026-08-07,AKUMS,EQUITY,EQ,INE09XN01023,672.0,703.0,665.85,697.45,662.55,637075.0,441233473.9
2026-08-06,AKUMS,EQUITY,EQ,INE09XN01023,670.0,670.95,656.5,662.55,666.1,99826.0,66078644.2
