trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,ALICON,EQUITY,EQ,INE062D01024,695.45,743.0,663.0,737.65,695.45,108118.0,78737922.75
2026-09-08,ALICON,EQUITY,EQ,INE062D01024,681.75,700.0,670.0,695.45,681.75,29919.0,20590258.2
2026-09-07,ALICON,EQUITY,EQ,INE062D01024,684.2,691.5,670.5,681.75,684.2,8931.0,6092076.95
2026-09-04,ALICON,EQUITY,EQ,INE062D01024,685.25,691.0,667.55,684.2,684.55,12867.0,8746139.4
2026-09-03,ALICON,EQUITY,EQ,INE062D01024,678.95,687.9,666.0,684.55,665.5,18575.0,12576715.9
2026-09-02,ALICON,EQUITY,EQ,INE062D01024,652.0,672.55,647.65,665.5,659.65,22999.0,15147741.05
2026-09-01,ALICON,EQUITY,EQ,INE062D01024,665.0,671.55,652.0,659.65,665.4,18536.0,12296081.25
2026-08-31,ALICON,EQUITY,EQ,INE062D01024,686.0,687.75,658.05,665.4,685.05,30416.0,20343775.7
2026-08-28,ALICON,EQUITY,EQ,INE062D01024,678.35,695.9,678.15,685.05,683.65,14703.0,10085717.55
2026-08-27,ALICON,EQUITY,EQ,INE062D01024,691.65,694.95,676.55,683.65,691.65,23794.0,16244631.4
2026-08-26,ALICON,EQUITY,EQ,INE062D01024,697.8,715.0,688.55,691.65,697.8,19034.0,13285123.6
2026-08-25,ALICON,EQUITY,EQ,INE062D01024,727.0,727.25,690.0,697.8,726.5,57256.0,40399008.65
2026-08-24,ALICON,EQUITY,EQ,INE062D01024,741.1,751.5,720.05,726.5,741.1,26741.0,19565891.85
2026-08-21,ALICON,EQUITY,EQ,INE062D01024,746.75,750.35,734.55,741.1,746.75,17926.0,13291678.75
2026-08-20,ALICON,EQUITY,EQ,INE062D01024,752.65,760.1,742.0,746.75,752.65,20423.0,15327841.9
2026-08-19,ALICON,EQUITY,EQ,INE062D01024,760.0,762.7,745.05,752.65,756.95,36472.0,27489144.1
2026-08-18,ALICON,EQUITY,EQ,INE062D01024,729.7,764.0,718.05,756.95,726.1,171517.0,128473742.45
2026-08-17,ALICON,EQUITY,EQ,INE062D01024,735.0,774.55,719.1,726.1,719.6,252960.0,187224189.6
2026-08-14,ALICON,EQUITY,EQ,INE062D01024,745.0,749.65,708.15,719.6,741.35,58734.0,42750462.2
2026-08-13,ALICON,EQUITY,EQ,INE062D01024,775.0,775.0,727.5,741.35,772.95,52844.0,39761177.3
2026-08-12,ALICON,EQUITY,EQ,INE062D01024,730.15,782.0,722.25,772.95,728.55,170428.0,129950063.35
2026-08-11,ALICON,EQUITY,EQ,INE062D01024,720.3,749.0,720.3,728.55,722.9,12610.0,9198324.85
2026-08-10,ALICON,EQUITY,EQ,INE062D01024,736.0,748.65,719.0,722.9,742.75,23106.0,16923912.85
2026-08-07,ALICON,EQUITY,EQ,INE062D01024,744.4,753.0,710.0,742.75,737.9,202525.0,145741578.75
2026-08-06,ALICON,EQUITY,EQ,INE062D01024,730.0,742.4,700.0,737.9,718.05,117208.0,83145366.65
2026-08-05,ALICON,EQUITY,EQ,INE062D01024,680.8,730.0,680.8,718.05,694.85,21416.0,15446068.8
2026-08-04,ALICON,EQUITY,EQ,INE062D01024,716.8,716.8,690.9,694.85,702.75,10097.0,7061435.2
2026-08-03,ALICON,EQUITY,EQ,INE062D01024,679.95,724.9,661.2,702.75,672.35,23053.0,16159543.05
2026-07-31,ALICON,EQUITY,EQ,INE062D01024,686.9,687.1,666.0,672.35,680.55,9056.0,6122604.85
2026-07-30,ALICON,EQUITY,EQ,INE062D01024,681.35,698.0,670.0,680.55,681.35,7190.0,4920998.9
2026-07-29,ALICON,EQUITY,EQ,INE062D01024,683.75,689.0,664.85,681.35,674.3,22399.0,15257121.85
2026-07-28,ALICON,EQUITY,EQ,INE062D01024,684.0,693.95,664.25,674.3,678.45,11306.0,7639269.15
2026-07-27,ALICON,EQUITY,EQ,INE062D01024,649.0,684.75,642.0,678.45,636.35,41877.0,28057864.25
2026-07-24,ALICON,EQUITY,EQ,INE062D01024,649.45,650.0,625.0,636.35,637.1,7112.0,4503694.75
2026-07-23,ALICON,EQUITY,EQ,INE062D01024,650.95,650.95,633.1,637.1,647.85,6890.0,4397258.15
2026-07-22,ALICON,EQUITY,EQ,INE062D01024,623.2,665.0,621.55,647.85,626.65,39671.0,25809530.3
2026-07-21,ALICON,EQUITY,EQ,INE062D01024,624.4,638.0,618.05,626.65,623.75,9285.0,5795509.8
2026-07-20,ALICON,EQUITY,EQ,INE062D01024,639.9,639.9,620.0,623.75,633.45,11324.0,7083716.45
2026-07-17,ALICON,EQUITY,EQ,INE062D01024,639.7,652.4,630.3,633.45,639.7,7842.0,4996223.65
2026-07-16,ALICON,EQUITY,EQ,INE062D01024,637.0,647.85,635.8,639.7,637.8,7676.0,4914618.3
2026-07-15,ALICON,EQUITY,EQ,INE062D01024,636.95,648.95,632.0,637.8,641.15,4535.0,2908332.65
2026-07-14,ALICON,EQUITY,EQ,INE062D01024,637.6,647.2,627.65,641.15,637.65,5914.0,3789741.35
2026-07-13,ALICON,EQUITY,EQ,INE062D01024,632.55,644.0,626.0,637.65,632.55,11366.0,7227461.3
2026-07-10,ALICON,EQUITY,EQ,INE062D01024,630.0,639.25,625.25,632.55,628.1,15313.0,9673518.2
2026-07-09,ALICON,EQUITY,EQ,INE062D01024,636.65,646.0,626.0,628.1,636.1,20407.0,12906743.85
2026-07-08,ALICON,EQUITY,EQ,INE062D01024,645.0,655.0,629.9,636.1,651.0,7776.0,4986271.5
2026-07-07,ALICON,EQUITY,EQ,INE062D01024,649.2,654.95,644.2,651.0,648.6,7331.0,4768712.85
2026-07-06,ALICON,EQUITY,EQ,INE062D01024,647.55,658.0,643.7,648.6,650.8,6209.0,4032790.7
2026-07-03,ALICON,EQUITY,EQ,INE062D01024,652.6,661.0,648.0,650.8,649.2,11226.0,7336694.0
2026-07-02,ALICON,EQUITY,EQ,INE062D01024,663.0,663.0,646.5,649.2,660.55,12507.0,8146731.9
2026-07-01,ALICON,EQUITY,EQ,INE062D01024,655.5,667.0,651.8,660.55,661.5,8314.0,5480688.7
2026-06-30,ALICON,EQUITY,EQ,INE062D01024,631.0,682.0,630.0,661.5,632.3,34579.0,22996585.15
2026-06-29,ALICON,EQUITY,EQ,INE062D01024,641.85,656.85,626.0,632.3,645.05,16750.0,10675325.55
2026-06-25,ALICON,EQUITY,EQ,INE062D01024,645.8,665.0,637.5,645.05,642.45,22454.0,14596292.55
2026-06-24,ALICON,EQUITY,EQ,INE062D01024,650.0,654.3,639.0,642.45,650.85,10868.0,7011426.15
2026-06-23,ALICON,EQUITY,EQ,INE062D01024,655.0,667.95,637.5,650.85,657.8,11912.0,7801963.65
2026-06-22,ALICON,EQUITY,EQ,INE062D01024,651.7,663.25,651.7,657.8,651.15,11967.0,7867269.5
2026-06-19,ALICON,EQUITY,EQ,INE062D01024,655.0,656.9,646.9,651.15,655.95,12736.0,8291932.0
2026-06-18,ALICON,EQUITY,EQ,INE062D01024,659.0,666.0,650.0,655.95,655.55,13044.0,8580742.5
2026-06-17,ALICON,EQUITY,EQ,INE062D01024,660.0,669.0,651.1,655.55,660.75,5136.0,3401268.3
2026-06-16,ALICON,EQUITY,EQ,INE062D01024,653.55,664.2,653.55,660.75,659.0,7466.0,4931814.3
2026-06-15,ALICON,EQUITY,EQ,INE062D01024,660.0,668.15,650.0,659.0,642.55,9652.0,6361710.15
2026-06-12,ALICON,EQUITY,EQ,INE062D01024,633.0,652.3,633.0,642.55,632.0,9128.0,5853861.0
2026-06-11,ALICON,EQUITY,EQ,INE062D01024,646.0,649.65,630.0,632.0,644.55,6112.0,3886864.15
2026-06-10,ALICON,EQUITY,EQ,INE062D01024,653.75,665.45,635.0,644.55,653.75,4920.0,3203540.0
2026-06-09,ALICON,EQUITY,EQ,INE062D01024,642.05,664.0,630.05,653.75,634.25,13082.0,8531553.8
2026-06-08,ALICON,EQUITY,EQ,INE062D01024,648.0,650.1,630.0,634.25,651.9,14961.0,9570513.95
2026-06-05,ALICON,EQUITY,EQ,INE062D01024,657.15,673.05,650.0,651.9,657.15,10612.0,6945774.9
2026-06-04,ALICON,EQUITY,EQ,INE062D01024,658.8,666.85,652.4,657.15,659.15,10212.0,6740909.05
2026-06-03,ALICON,EQUITY,EQ,INE062D01024,667.3,667.3,651.8,659.15,663.8,13320.0,8808484.55
2026-06-02,ALICON,EQUITY,EQ,INE062D01024,661.2,665.6,651.3,663.8,667.15,5256.0,3475947.5
2026-06-01,ALICON,EQUITY,EQ,INE062D01024,692.95,693.0,660.0,667.15,677.6,11334.0,7546174.55
2026-05-29,ALICON,EQUITY,EQ,INE062D01024,684.0,692.2,670.9,677.6,678.15,16129.0,11001376.95
2026-05-27,ALICON,EQUITY,EQ,INE062D01024,663.8,689.0,656.1,678.15,653.45,33462.0,22485522.1
2026-05-26,ALICON,EQUITY,EQ,INE062D01024,659.9,667.95,651.05,653.45,661.4,8897.0,5873970.3
2026-05-25,ALICON,EQUITY,EQ,INE062D01024,657.55,670.95,650.15,661.4,655.2,11947.0,7855388.65
2026-05-22,ALICON,EQUITY,EQ,INE062D01024,661.6,661.6,651.0,655.2,658.3,7898.0,5175270.8
2026-05-21,ALICON,EQUITY,EQ,INE062D01024,656.85,665.0,651.1,658.3,656.55,6609.0,4358667.65
2026-05-20,ALICON,EQUITY,EQ,INE062D01024,646.5,659.95,630.0,656.55,653.05,6731.0,4362166.75
2026-05-19,ALICON,EQUITY,EQ,INE062D01024,635.7,655.8,635.05,653.05,645.4,10009.0,6477837.7
2026-05-18,ALICON,EQUITY,EQ,INE062D01024,659.15,670.0,638.95,645.4,659.05,7340.0,4751652.1
2026-05-15,ALICON,EQUITY,EQ,INE062D01024,672.0,694.0,653.05,659.05,665.75,23618.0,15669161.95
2026-05-14,ALICON,EQUITY,EQ,INE062D01024,693.65,704.5,651.05,665.75,693.65,23037.0,15348915.35
2026-05-13,ALICON,EQUITY,EQ,INE062D01024,706.05,717.9,680.0,693.65,729.5,53871.0,37933817.05
