trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,AMAGI,EQUITY,EQ,INE121R01077,568.15,578.85,564.5,576.15,575.15,161239.0,92059655.65
2026-09-07,AMAGI,EQUITY,EQ,INE121R01077,567.95,578.15,551.6,575.15,563.3,399014.0,224400009.7
2026-09-04,AMAGI,EQUITY,EQ,INE121R01077,566.85,570.0,555.3,563.3,562.35,183462.0,103217270.05
2026-09-03,AMAGI,EQUITY,EQ,INE121R01077,575.45,575.45,560.5,562.35,572.8,87295.0,49387257.65
2026-09-02,AMAGI,EQUITY,EQ,INE121R01077,578.0,582.25,569.0,572.8,584.25,264517.0,152376966.8
2026-09-01,AMAGI,EQUITY,EQ,INE121R01077,567.5,587.7,549.0,584.25,567.5,716012.0,404705869.65
2026-08-31,AMAGI,EQUITY,EQ,INE121R01077,569.5,584.5,558.45,567.5,570.8,1951326.0,1108713749.05
2026-08-28,AMAGI,EQUITY,EQ,INE121R01077,573.0,578.45,566.45,570.8,578.45,184757.0,105669806.45
2026-08-27,AMAGI,EQUITY,EQ,INE121R01077,585.95,590.3,575.55,578.45,583.9,171810.0,99825641.2
2026-08-26,AMAGI,EQUITY,EQ,INE121R01077,585.35,596.9,577.65,583.9,581.35,233735.0,136266774.35
2026-08-25,AMAGI,EQUITY,EQ,INE121R01077,585.8,590.9,549.9,581.35,585.8,255641.0,148978363.95
2026-08-24,AMAGI,EQUITY,EQ,INE121R01077,605.0,614.7,581.0,585.8,599.85,594979.0,354792090.3
2026-08-21,AMAGI,EQUITY,EQ,INE121R01077,606.0,627.6,586.15,599.85,576.45,5617463.0,3416475394.4
2026-08-20,AMAGI,EQUITY,EQ,INE121R01077,567.25,584.7,560.55,576.45,555.6,658241.0,378486364.2
2026-08-19,AMAGI,EQUITY,EQ,INE121R01077,576.0,579.9,548.05,555.6,579.15,785085.0,438692017.15
2026-08-18,AMAGI,EQUITY,EQ,INE121R01077,580.0,592.2,566.4,579.15,581.0,1013729.0,587436777.1
2026-08-17,AMAGI,EQUITY,EQ,INE121R01077,608.7,612.35,578.5,581.0,608.7,858166.0,501469995.8
2026-08-14,AMAGI,EQUITY,EQ,INE121R01077,661.2,669.0,587.05,608.7,648.2,3361436.0,2090157455.9
2026-08-13,AMAGI,EQUITY,EQ,INE121R01077,643.85,727.4,635.35,648.2,638.75,13078909.0,8925788371.55
