trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,AONESILVER,EQUITY,EQ,INF1J2R01171,8.82,8.82,8.55,8.7,8.91,630579.0,5472258.48
2026-09-10,AONESILVER,EQUITY,EQ,INF1J2R01171,8.96,9.04,8.9,8.91,8.88,352020.0,3161200.75
2026-09-09,AONESILVER,EQUITY,EQ,INF1J2R01171,8.86,8.94,8.81,8.88,8.82,322568.0,2863491.86
2026-09-08,AONESILVER,EQUITY,EQ,INF1J2R01171,8.85,8.98,8.81,8.82,8.79,236317.0,2097436.8
2026-09-07,AONESILVER,EQUITY,EQ,INF1J2R01171,8.89,8.9,8.73,8.79,8.89,389029.0,3421856.4
2026-09-04,AONESILVER,EQUITY,EQ,INF1J2R01171,8.77,8.92,8.77,8.89,8.79,264493.0,2348916.25
2026-09-03,AONESILVER,EQUITY,EQ,INF1J2R01171,8.64,8.85,8.64,8.79,8.64,268580.0,2367448.48
2026-09-02,AONESILVER,EQUITY,EQ,INF1J2R01171,8.71,8.76,8.54,8.64,8.71,380983.0,3291972.37
2026-09-01,AONESILVER,EQUITY,EQ,INF1J2R01171,8.93,9.02,8.66,8.71,8.92,1182475.0,10390811.27
2026-08-31,AONESILVER,EQUITY,EQ,INF1J2R01171,9.03,9.06,8.8,8.92,9.2,619845.0,5521611.21
2026-08-28,AONESILVER,EQUITY,EQ,INF1J2R01171,9.15,9.25,9.02,9.2,9.04,321987.0,2949623.46
2026-08-27,AONESILVER,EQUITY,EQ,INF1J2R01171,9.24,9.24,8.97,9.04,9.18,759233.0,6872483.27
2026-08-26,AONESILVER,EQUITY,EQ,INF1J2R01171,9.36,9.36,9.16,9.18,9.14,452907.0,4180557.63
2026-08-25,AONESILVER,EQUITY,EQ,INF1J2R01171,9.23,9.23,9.02,9.14,9.25,391206.0,3584295.39
2026-08-24,AONESILVER,EQUITY,EQ,INF1J2R01171,9.27,9.45,9.22,9.25,9.26,780394.0,7236712.09
2026-08-21,AONESILVER,EQUITY,EQ,INF1J2R01171,9.19,9.31,9.01,9.26,8.97,1468285.0,13561973.35
2026-08-20,AONESILVER,EQUITY,EQ,INF1J2R01171,8.89,9.09,8.85,8.97,8.67,1051301.0,9449996.97
2026-08-19,AONESILVER,EQUITY,EQ,INF1J2R01171,8.83,8.83,8.61,8.67,8.85,433341.0,3755801.63
2026-08-18,AONESILVER,EQUITY,EQ,INF1J2R01171,9.15,9.15,8.84,8.85,8.93,424906.0,3767623.99
