trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,APCL,EQUITY,EQ,INE071F01012,100.0,100.0,97.5,98.16,98.61,3681.0,361472.35
2026-09-10,APCL,EQUITY,EQ,INE071F01012,101.4,101.4,97.25,98.61,100.41,4073.0,403852.93
2026-09-09,APCL,EQUITY,EQ,INE071F01012,98.5,102.8,98.5,100.41,100.32,3129.0,314298.85
2026-09-08,APCL,EQUITY,EQ,INE071F01012,100.0,101.96,100.0,100.32,99.93,5545.0,557710.29
2026-09-07,APCL,EQUITY,EQ,INE071F01012,103.3,103.3,99.03,99.93,101.42,7097.0,710317.19
2026-09-04,APCL,EQUITY,EQ,INE071F01012,102.5,102.5,100.11,101.42,100.1,4976.0,504691.74
2026-09-03,APCL,EQUITY,EQ,INE071F01012,100.15,101.49,100.0,100.1,100.0,3882.0,389381.02
2026-09-02,APCL,EQUITY,EQ,INE071F01012,100.5,100.5,98.9,100.0,100.19,7960.0,794235.87
2026-09-01,APCL,EQUITY,EQ,INE071F01012,101.0,102.5,100.15,100.19,100.89,5140.0,515954.54
2026-08-31,APCL,EQUITY,EQ,INE071F01012,100.0,102.98,99.99,100.89,100.27,4715.0,472624.35
2026-08-28,APCL,EQUITY,EQ,INE071F01012,103.0,103.0,99.8,100.27,101.16,10017.0,1005905.32
2026-08-27,APCL,EQUITY,EQ,INE071F01012,104.5,104.5,101.0,101.16,101.97,2129.0,215717.18
2026-08-26,APCL,EQUITY,EQ,INE071F01012,102.9,105.0,100.5,101.97,101.64,10629.0,1080157.73
2026-08-25,APCL,EQUITY,EQ,INE071F01012,104.6,104.6,101.5,101.64,101.47,2080.0,212381.0
2026-08-24,APCL,EQUITY,EQ,INE071F01012,104.25,105.59,101.3,101.47,102.85,9479.0,968287.03
2026-08-21,APCL,EQUITY,EQ,INE071F01012,103.0,107.0,102.0,102.85,103.77,8902.0,926881.22
2026-08-20,APCL,EQUITY,EQ,INE071F01012,105.0,106.05,102.25,103.77,103.07,3026.0,315815.73
2026-08-19,APCL,EQUITY,EQ,INE071F01012,106.23,107.7,103.0,103.07,106.23,2277.0,238051.12
2026-08-18,APCL,EQUITY,EQ,INE071F01012,106.87,107.95,103.1,106.23,106.87,4528.0,480306.45
2026-08-17,APCL,EQUITY,EQ,INE071F01012,103.8,108.7,102.15,106.87,103.55,58407.0,6254012.18
2026-08-14,APCL,EQUITY,EQ,INE071F01012,104.51,104.51,101.0,103.55,101.01,4989.0,509334.02
2026-08-13,APCL,EQUITY,EQ,INE071F01012,101.1,106.0,98.02,101.01,103.68,20829.0,2118179.92
2026-08-12,APCL,EQUITY,EQ,INE071F01012,105.4,107.49,103.12,103.68,104.27,8246.0,872642.71
2026-08-11,APCL,EQUITY,EQ,INE071F01012,103.0,105.5,102.0,104.27,102.85,3019.0,311606.84
2026-08-10,APCL,EQUITY,EQ,INE071F01012,101.55,105.9,101.55,102.85,102.14,5055.0,526424.92
2026-08-07,APCL,EQUITY,EQ,INE071F01012,102.55,106.5,101.35,102.14,105.43,11308.0,1162280.78
2026-08-06,APCL,EQUITY,EQ,INE071F01012,108.6,108.6,104.1,105.43,106.55,7046.0,751945.5
2026-08-05,APCL,EQUITY,EQ,INE071F01012,102.1,109.95,102.1,106.55,102.1,11505.0,1217036.81
2026-08-04,APCL,EQUITY,EQ,INE071F01012,101.2,104.0,101.2,102.1,102.03,7157.0,732033.73
2026-08-03,APCL,EQUITY,EQ,INE071F01012,101.15,103.4,101.15,102.03,100.6,6249.0,638548.31
2026-07-31,APCL,EQUITY,EQ,INE071F01012,103.0,103.0,100.25,100.6,101.76,11551.0,1164358.35
2026-07-30,APCL,EQUITY,EQ,INE071F01012,104.5,104.5,101.15,101.76,102.37,724.0,74877.67
2026-07-29,APCL,EQUITY,EQ,INE071F01012,104.02,105.0,101.75,102.37,103.48,3296.0,340294.65
2026-07-28,APCL,EQUITY,EQ,INE071F01012,103.6,105.8,102.21,103.48,104.99,790.0,81741.66
2026-07-27,APCL,EQUITY,EQ,INE071F01012,106.68,106.68,101.7,104.99,102.97,2369.0,247147.89
2026-07-24,APCL,EQUITY,EQ,INE071F01012,103.24,103.24,100.42,102.97,103.24,3837.0,391488.77
2026-07-23,APCL,EQUITY,EQ,INE071F01012,104.84,106.9,102.51,103.24,104.84,3439.0,356589.14
2026-07-22,APCL,EQUITY,EQ,INE071F01012,105.85,105.85,102.23,104.84,103.99,2918.0,304752.05
2026-07-21,APCL,EQUITY,EQ,INE071F01012,101.55,107.8,101.55,103.99,101.49,5866.0,612482.52
2026-07-20,APCL,EQUITY,EQ,INE071F01012,104.9,106.7,101.02,101.49,101.48,3232.0,333644.01
2026-07-17,APCL,EQUITY,EQ,INE071F01012,102.51,104.99,100.0,101.48,102.41,8164.0,831083.28
2026-07-16,APCL,EQUITY,EQ,INE071F01012,103.1,105.73,102.16,102.41,103.52,5248.0,542435.73
2026-07-15,APCL,EQUITY,EQ,INE071F01012,102.11,105.99,102.1,103.52,103.59,4128.0,426761.66
2026-07-14,APCL,EQUITY,EQ,INE071F01012,107.99,107.99,102.1,103.59,105.0,6316.0,656010.71
2026-07-13,APCL,EQUITY,EQ,INE071F01012,105.0,108.0,103.51,105.0,104.95,16509.0,1748420.42
2026-07-10,APCL,EQUITY,EQ,INE071F01012,107.0,107.0,104.1,104.95,104.01,5753.0,605365.13
2026-07-09,APCL,EQUITY,EQ,INE071F01012,108.0,108.0,102.0,104.01,106.73,8288.0,861285.51
2026-07-08,APCL,EQUITY,EQ,INE071F01012,107.0,108.98,103.5,106.73,105.41,14994.0,1601394.08
2026-07-07,APCL,EQUITY,EQ,INE071F01012,105.0,108.0,105.0,105.41,105.61,818.0,86712.53
2026-07-06,APCL,EQUITY,EQ,INE071F01012,105.5,108.7,104.5,105.61,103.62,20961.0,2244264.52
2026-07-03,APCL,EQUITY,EQ,INE071F01012,106.9,106.9,102.0,103.62,104.68,13077.0,1356504.3
2026-07-02,APCL,EQUITY,EQ,INE071F01012,106.0,109.0,104.0,104.68,106.04,6731.0,707105.31
2026-07-01,APCL,EQUITY,EQ,INE071F01012,110.8,110.8,104.25,106.04,107.95,1359.0,144760.19
2026-06-30,APCL,EQUITY,EQ,INE071F01012,106.1,109.0,103.55,107.95,107.13,6574.0,700858.6
2026-06-29,APCL,EQUITY,EQ,INE071F01012,107.2,108.89,105.5,107.13,109.68,10080.0,1080947.18
2026-06-25,APCL,EQUITY,EQ,INE071F01012,110.0,110.0,105.27,109.68,107.09,4628.0,504911.23
2026-06-24,APCL,EQUITY,EQ,INE071F01012,107.6,111.4,103.5,107.09,107.28,31745.0,3346525.3
2026-06-23,APCL,EQUITY,EQ,INE071F01012,113.5,115.93,105.1,107.28,112.96,15920.0,1728946.09
2026-06-22,APCL,EQUITY,EQ,INE071F01012,112.52,115.74,112.1,112.96,113.66,1750.0,197921.01
2026-06-19,APCL,EQUITY,EQ,INE071F01012,118.66,118.66,113.0,113.66,114.32,1637.0,185917.82
2026-06-18,APCL,EQUITY,EQ,INE071F01012,114.0,116.99,113.27,114.32,113.97,936.0,107174.55
2026-06-17,APCL,EQUITY,EQ,INE071F01012,114.0,115.0,113.0,113.97,115.34,898.0,102466.92
2026-06-16,APCL,EQUITY,EQ,INE071F01012,111.0,116.0,111.0,115.34,113.29,4344.0,498571.18
2026-06-15,APCL,EQUITY,EQ,INE071F01012,108.87,116.99,108.87,113.29,108.33,12570.0,1426737.42
2026-06-12,APCL,EQUITY,EQ,INE071F01012,106.0,110.6,106.0,108.33,104.56,9974.0,1076291.34
2026-06-11,APCL,EQUITY,EQ,INE071F01012,115.5,122.99,104.0,104.56,116.44,58508.0,6323921.8
2026-06-10,APCL,EQUITY,EQ,INE071F01012,120.6,126.0,116.0,116.44,116.63,5814.0,693624.86
2026-06-09,APCL,EQUITY,EQ,INE071F01012,121.0,121.0,116.1,116.63,117.22,1039.0,122211.76
2026-06-08,APCL,EQUITY,EQ,INE071F01012,118.0,119.19,116.0,117.22,119.19,996.0,117013.88
2026-06-05,APCL,EQUITY,EQ,INE071F01012,121.02,121.02,118.9,119.19,119.6,2237.0,268154.44
2026-06-04,APCL,EQUITY,EQ,INE071F01012,120.51,120.59,119.0,119.6,120.6,912.0,109449.47
2026-06-03,APCL,EQUITY,EQ,INE071F01012,121.0,121.0,115.55,120.6,122.17,5514.0,651140.58
2026-06-02,APCL,EQUITY,EQ,INE071F01012,122.0,122.66,119.01,122.17,120.17,4509.0,549799.39
2026-06-01,APCL,EQUITY,EQ,INE071F01012,123.0,123.0,120.1,120.17,122.81,3290.0,397000.7
2026-05-29,APCL,EQUITY,EQ,INE071F01012,123.0,124.8,122.0,122.81,124.7,12988.0,1600644.87
2026-05-27,APCL,EQUITY,EQ,INE071F01012,122.1,126.7,122.0,124.7,122.1,12075.0,1505889.61
2026-05-26,APCL,EQUITY,EQ,INE071F01012,122.1,126.0,120.0,122.1,121.85,22914.0,2813074.19
2026-05-25,APCL,EQUITY,EQ,INE071F01012,121.06,123.0,119.7,121.85,120.7,10373.0,1262235.35
2026-05-22,APCL,EQUITY,EQ,INE071F01012,115.18,127.0,115.0,120.7,115.18,24504.0,2963046.14
2026-05-21,APCL,EQUITY,EQ,INE071F01012,116.0,119.0,114.18,115.18,113.0,7146.0,830342.32
2026-05-20,APCL,EQUITY,EQ,INE071F01012,115.0,115.0,111.65,113.0,115.84,2836.0,319459.6
2026-05-19,APCL,EQUITY,EQ,INE071F01012,111.47,116.55,111.2,115.84,110.53,1425.0,162420.23
2026-05-18,APCL,EQUITY,EQ,INE071F01012,113.65,113.95,108.65,110.53,114.8,6830.0,761022.23
2026-05-15,APCL,EQUITY,EQ,INE071F01012,112.3,119.0,112.3,114.8,113.08,9563.0,1108175.08
2026-05-14,APCL,EQUITY,EQ,INE071F01012,114.0,116.0,113.0,113.08,113.18,2650.0,300485.88
2026-05-13,APCL,EQUITY,EQ,INE071F01012,115.0,116.66,113.0,113.18,114.36,4365.0,496872.18
2026-05-12,APCL,EQUITY,EQ,INE071F01012,120.0,120.35,114.11,114.36,117.47,4827.0,558173.65
2026-05-11,APCL,EQUITY,EQ,INE071F01012,114.01,119.0,113.58,117.47,114.01,7175.0,836537.62
2026-05-08,APCL,EQUITY,EQ,INE071F01012,116.69,118.0,114.0,114.01,116.69,5100.0,587289.64
2026-05-07,APCL,EQUITY,EQ,INE071F01012,115.1,118.9,115.1,116.69,117.32,3139.0,367281.14
2026-05-06,APCL,EQUITY,EQ,INE071F01012,118.0,118.03,114.51,117.32,116.86,3901.0,453288.53
2026-05-05,APCL,EQUITY,EQ,INE071F01012,113.64,117.7,113.64,116.86,113.64,6289.0,729332.9
2026-05-04,APCL,EQUITY,EQ,INE071F01012,111.1,114.89,111.1,113.64,115.43,3135.0,355151.02
2026-04-30,APCL,EQUITY,EQ,INE071F01012,112.5,115.97,112.5,115.43,113.61,1302.0,148950.35
2026-04-29,APCL,EQUITY,EQ,INE071F01012,113.99,117.97,113.0,113.61,114.32,3510.0,403452.53
2026-04-28,APCL,EQUITY,EQ,INE071F01012,115.74,115.97,112.5,114.32,115.74,3127.0,358265.01
2026-04-27,APCL,EQUITY,EQ,INE071F01012,117.0,117.0,112.6,115.74,113.4,1903.0,218509.17
2026-04-24,APCL,EQUITY,EQ,INE071F01012,116.37,116.37,112.32,113.4,114.66,889.0,100723.16
2026-04-23,APCL,EQUITY,EQ,INE071F01012,115.01,116.9,113.0,114.66,113.09,3246.0,373175.65
2026-04-22,APCL,EQUITY,EQ,INE071F01012,115.0,118.21,111.12,113.09,115.13,13074.0,1484001.93
2026-04-21,APCL,EQUITY,EQ,INE071F01012,116.08,118.48,115.0,115.13,115.96,5813.0,673256.07
2026-04-20,APCL,EQUITY,EQ,INE071F01012,119.48,120.0,115.6,115.96,116.66,4814.0,560821.58
2026-04-17,APCL,EQUITY,EQ,INE071F01012,119.49,119.49,115.87,116.66,115.87,1590.0,184997.22
2026-04-16,APCL,EQUITY,EQ,INE071F01012,120.0,120.99,115.0,115.87,118.2,1216.0,143106.55
2026-04-15,APCL,EQUITY,EQ,INE071F01012,119.54,119.54,113.4,118.2,115.55,4270.0,500727.68
2026-04-13,APCL,EQUITY,EQ,INE071F01012,116.69,118.0,113.0,115.55,117.28,5289.0,610617.5
2026-04-10,APCL,EQUITY,EQ,INE071F01012,119.0,122.81,111.65,117.28,115.66,2795.0,322359.77
2026-04-09,APCL,EQUITY,EQ,INE071F01012,116.93,119.5,114.5,115.66,116.93,1220.0,142963.98
2026-04-08,APCL,EQUITY,EQ,INE071F01012,111.8,120.0,110.01,116.93,108.61,8338.0,958885.67
2026-04-07,APCL,EQUITY,EQ,INE071F01012,110.0,110.0,106.21,108.61,109.68,2078.0,224497.08
2026-04-06,APCL,EQUITY,EQ,INE071F01012,108.9,110.0,106.06,109.68,107.15,2491.0,271082.55
2026-04-02,APCL,EQUITY,EQ,INE071F01012,108.7,111.8,103.02,107.15,104.78,12817.0,1370835.49
2026-04-01,APCL,EQUITY,EQ,INE071F01012,105.0,108.8,102.0,104.78,99.98,6355.0,669171.1
2026-03-30,APCL,EQUITY,EQ,INE071F01012,108.13,109.99,98.35,99.98,108.14,18411.0,1923847.38
2026-03-27,APCL,EQUITY,EQ,INE071F01012,107.52,112.0,107.5,108.14,107.52,10736.0,1162379.9
2026-03-25,APCL,EQUITY,EQ,INE071F01012,111.2,113.55,107.03,107.52,108.7,8960.0,981491.77
2026-03-24,APCL,EQUITY,EQ,INE071F01012,111.9,114.99,106.1,108.7,108.76,6419.0,707877.27
2026-03-23,APCL,EQUITY,EQ,INE071F01012,114.7,119.79,108.0,108.76,112.87,9051.0,1012025.07
2026-03-20,APCL,EQUITY,EQ,INE071F01012,117.0,117.0,111.1,112.87,111.99,4973.0,564483.06
2026-03-19,APCL,EQUITY,EQ,INE071F01012,115.15,115.98,108.63,111.99,114.58,3667.0,410167.24
2026-03-18,APCL,EQUITY,EQ,INE071F01012,116.0,116.99,109.62,114.58,112.59,8304.0,952517.55
2026-03-17,APCL,EQUITY,EQ,INE071F01012,115.8,123.89,110.6,112.59,113.82,77857.0,8998197.75
2026-03-16,APCL,EQUITY,EQ,INE071F01012,116.0,120.69,113.74,113.82,114.16,7406.0,849102.74
2026-03-13,APCL,EQUITY,EQ,INE071F01012,114.0,119.69,114.0,114.16,116.58,13175.0,1507790.73
2026-03-12,APCL,EQUITY,EQ,INE071F01012,118.97,125.49,113.5,116.58,116.94,10360.0,1206749.0
2026-03-11,APCL,EQUITY,EQ,INE071F01012,118.0,123.39,115.97,116.94,115.82,28785.0,3410578.52
2026-03-10,APCL,EQUITY,EQ,INE071F01012,118.5,120.92,113.0,115.82,115.4,6268.0,730900.69
2026-03-09,APCL,EQUITY,EQ,INE071F01012,118.8,125.52,114.05,115.4,118.62,3647.0,423660.12
2026-03-06,APCL,EQUITY,EQ,INE071F01012,126.99,126.99,115.77,118.62,121.53,6183.0,735337.95
2026-03-05,APCL,EQUITY,EQ,INE071F01012,121.6,125.5,120.0,121.53,121.1,6157.0,752776.13
2026-03-04,APCL,EQUITY,EQ,INE071F01012,132.95,132.95,120.0,121.1,124.33,7071.0,878288.4
2026-03-02,APCL,EQUITY,EQ,INE071F01012,123.0,125.0,122.75,124.33,127.14,3848.0,476211.18
2026-02-27,APCL,EQUITY,EQ,INE071F01012,130.0,133.3,126.0,127.14,127.19,11453.0,1481497.7
2026-02-26,APCL,EQUITY,EQ,INE071F01012,128.6,135.28,126.82,127.19,128.4,11500.0,1477279.0
2026-02-25,APCL,EQUITY,EQ,INE071F01012,128.0,134.9,128.0,128.4,126.47,13507.0,1757059.38
2026-02-24,APCL,EQUITY,EQ,INE071F01012,127.0,134.23,124.59,126.47,129.97,13801.0,1770263.64
2026-02-23,APCL,EQUITY,EQ,INE071F01012,128.5,137.81,128.1,129.97,131.93,7400.0,969424.23
2026-02-20,APCL,EQUITY,EQ,INE071F01012,132.1,138.5,130.25,131.93,134.76,5709.0,768050.27
2026-02-19,APCL,EQUITY,EQ,INE071F01012,134.0,138.1,132.48,134.76,137.6,2618.0,355965.21
2026-02-18,APCL,EQUITY,EQ,INE071F01012,135.0,142.9,135.0,137.6,137.51,11531.0,1598225.52
2026-02-17,APCL,EQUITY,EQ,INE071F01012,128.1,138.99,128.1,137.51,130.62,3677.0,492706.76
2026-02-16,APCL,EQUITY,EQ,INE071F01012,129.2,135.65,129.2,130.62,131.19,4739.0,628115.49
2026-02-13,APCL,EQUITY,EQ,INE071F01012,137.0,137.95,130.0,131.19,139.59,19683.0,2641963.54
2026-02-12,APCL,EQUITY,EQ,INE071F01012,143.0,143.21,137.01,139.59,143.01,3171.0,442337.33
2026-02-11,APCL,EQUITY,EQ,INE071F01012,137.65,144.0,137.65,143.01,141.2,1877.0,265538.11
2026-02-10,APCL,EQUITY,EQ,INE071F01012,140.0,142.79,140.0,141.2,141.56,2358.0,333060.56
2026-02-09,APCL,EQUITY,EQ,INE071F01012,141.95,143.65,140.71,141.56,142.43,2952.0,418301.77
2026-02-06,APCL,EQUITY,EQ,INE071F01012,139.8,144.4,137.0,142.43,137.26,11638.0,1641202.9
2026-02-05,APCL,EQUITY,EQ,INE071F01012,144.0,146.93,135.65,137.26,142.81,16957.0,2389383.08
2026-02-04,APCL,EQUITY,EQ,INE071F01012,140.5,144.39,140.5,142.81,144.91,4860.0,693082.03
2026-02-03,APCL,EQUITY,EQ,INE071F01012,140.0,148.78,140.0,144.91,142.61,22758.0,3285387.58
2026-02-02,APCL,EQUITY,EQ,INE071F01012,140.9,145.3,140.0,142.61,143.0,8999.0,1291611.74
2026-01-30,APCL,EQUITY,EQ,INE071F01012,134.8,138.58,134.41,137.35,136.84,9324.0,1275594.31
2026-01-29,APCL,EQUITY,EQ,INE071F01012,134.75,139.99,133.69,136.84,136.31,11311.0,1541552.99
2026-01-28,APCL,EQUITY,EQ,INE071F01012,135.05,142.93,135.05,136.31,137.59,16706.0,2301003.22
2026-01-27,APCL,EQUITY,EQ,INE071F01012,141.2,143.36,135.01,137.59,143.39,17177.0,2393907.8
2026-01-23,APCL,EQUITY,EQ,INE071F01012,140.74,144.0,140.27,143.39,142.8,20219.0,2873268.68
2026-01-22,APCL,EQUITY,EQ,INE071F01012,144.0,145.0,139.49,142.8,137.65,22488.0,3209128.15
2026-01-21,APCL,EQUITY,EQ,INE071F01012,137.9,139.48,135.03,137.65,140.04,23578.0,3238564.65
2026-01-20,APCL,EQUITY,EQ,INE071F01012,130.15,144.7,130.15,140.04,129.48,62147.0,8679236.5
2026-01-19,APCL,EQUITY,EQ,INE071F01012,135.2,139.1,127.65,129.48,137.25,14710.0,1963787.59
2026-01-16,APCL,EQUITY,EQ,INE071F01012,139.02,139.89,135.21,137.25,139.9,27713.0,3816250.36
2026-01-14,APCL,EQUITY,EQ,INE071F01012,138.2,141.08,136.4,139.9,140.3,9122.0,1267870.75
2026-01-13,APCL,EQUITY,EQ,INE071F01012,135.0,142.2,135.0,140.3,135.21,22339.0,3129031.33
2026-01-12,APCL,EQUITY,EQ,INE071F01012,125.0,140.4,123.0,135.21,126.06,57855.0,7556468.69
2026-01-09,APCL,EQUITY,EQ,INE071F01012,126.0,133.4,124.2,126.06,129.82,12562.0,1602888.4
2026-01-08,APCL,EQUITY,EQ,INE071F01012,131.7,136.7,127.53,129.82,133.7,20678.0,2694973.46
