trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,APOLLO,EQUITY,EQ,INE713T01028,411.0,423.5,409.55,422.25,413.2,7751875.0,3237098641.5
2026-09-10,APOLLO,EQUITY,EQ,INE713T01028,422.0,423.3,408.1,413.2,422.45,7449993.0,3079568215.05
2026-09-09,APOLLO,EQUITY,EQ,INE713T01028,419.4,427.95,415.1,422.45,417.9,10424699.0,4407387529.4
2026-09-08,APOLLO,EQUITY,EQ,INE713T01028,408.0,424.0,405.8,417.9,403.95,15479622.0,6459155748.35
2026-09-07,APOLLO,EQUITY,EQ,INE713T01028,391.0,407.4,390.3,403.95,388.9,11691954.0,4710450303.75
2026-09-04,APOLLO,EQUITY,EQ,INE713T01028,383.5,392.95,383.5,388.9,383.25,4500219.0,1747437304.55
2026-09-03,APOLLO,EQUITY,EQ,INE713T01028,384.0,389.75,380.8,383.25,382.65,3215994.0,1241315883.75
2026-09-02,APOLLO,EQUITY,EQ,INE713T01028,378.75,389.1,374.35,382.65,379.5,4275794.0,1640317300.8
2026-09-01,APOLLO,EQUITY,EQ,INE713T01028,387.0,388.65,377.4,379.5,386.1,3505166.0,1343115624.25
2026-08-31,APOLLO,EQUITY,EQ,INE713T01028,387.45,391.85,383.85,386.1,387.45,4103179.0,1593998263.05
2026-08-28,APOLLO,EQUITY,EQ,INE713T01028,387.7,388.5,383.85,387.45,386.35,3217421.0,1242295047.1
2026-08-27,APOLLO,EQUITY,EQ,INE713T01028,386.0,392.45,385.8,386.35,388.0,4108063.0,1597094496.6
2026-08-26,APOLLO,EQUITY,EQ,INE713T01028,391.6,392.5,384.5,388.0,389.65,4551120.0,1774899338.85
2026-08-25,APOLLO,EQUITY,EQ,INE713T01028,386.2,390.35,381.5,389.65,385.15,5272746.0,2039916530.75
2026-08-24,APOLLO,EQUITY,EQ,INE713T01028,387.0,397.75,383.25,385.15,384.55,7593196.0,2962764796.15
2026-08-21,APOLLO,EQUITY,EQ,INE713T01028,387.3,394.5,380.3,384.55,386.75,5647516.0,2196569841.1
2026-08-20,APOLLO,EQUITY,EQ,INE713T01028,388.75,395.9,385.0,386.75,386.7,4153259.0,1621696228.2
2026-08-19,APOLLO,EQUITY,EQ,INE713T01028,388.0,393.6,385.0,386.7,387.85,3287403.0,1280643815.55
2026-08-18,APOLLO,EQUITY,EQ,INE713T01028,387.5,390.5,384.0,387.85,387.05,2866177.0,1107449314.65
2026-08-17,APOLLO,EQUITY,EQ,INE713T01028,393.8,397.9,386.05,387.05,393.55,3979390.0,1554561799.0
2026-08-14,APOLLO,EQUITY,EQ,INE713T01028,390.0,396.55,386.4,393.55,389.7,5445787.0,2143255236.0
2026-08-13,APOLLO,EQUITY,EQ,INE713T01028,379.9,390.85,379.15,389.7,379.85,3930071.0,1517645232.0
2026-08-12,APOLLO,EQUITY,EQ,INE713T01028,389.7,391.0,378.0,379.85,388.7,3532851.0,1354890537.45
2026-08-11,APOLLO,EQUITY,EQ,INE713T01028,387.0,392.5,385.8,388.7,388.25,2790989.0,1085632551.15
2026-08-10,APOLLO,EQUITY,EQ,INE713T01028,406.0,407.7,385.15,388.25,403.85,6899261.0,2702068846.45
2026-08-07,APOLLO,EQUITY,EQ,INE713T01028,404.0,408.5,402.1,403.85,403.95,3212891.0,1301256457.5
2026-08-06,APOLLO,EQUITY,EQ,INE713T01028,400.15,408.55,396.55,403.95,399.05,5525788.0,2236606934.3
2026-08-05,APOLLO,EQUITY,EQ,INE713T01028,400.95,402.9,393.2,399.05,398.2,4969206.0,1979705257.1
2026-08-04,APOLLO,EQUITY,EQ,INE713T01028,398.45,405.0,395.55,398.2,397.35,4430954.0,1772612204.45
2026-08-03,APOLLO,EQUITY,EQ,INE713T01028,393.95,400.1,391.05,397.35,389.9,4826053.0,1913908370.25
2026-07-31,APOLLO,EQUITY,EQ,INE713T01028,378.0,392.8,376.7,389.9,378.1,5752476.0,2226459366.15
2026-07-30,APOLLO,EQUITY,EQ,INE713T01028,381.6,381.9,375.0,378.1,383.1,3585425.0,1358177603.15
2026-07-29,APOLLO,EQUITY,EQ,INE713T01028,378.8,385.65,374.0,383.1,378.75,5709811.0,2177775846.8
2026-07-28,APOLLO,EQUITY,EQ,INE713T01028,391.6,392.5,375.0,378.75,392.95,8477634.0,3231753586.15
2026-07-27,APOLLO,EQUITY,EQ,INE713T01028,396.1,399.6,390.65,392.95,394.3,3984153.0,1572906569.15
2026-07-24,APOLLO,EQUITY,EQ,INE713T01028,388.05,396.15,385.95,394.3,395.5,4476533.0,1752963996.25
2026-07-23,APOLLO,EQUITY,EQ,INE713T01028,405.0,405.0,388.65,395.5,404.9,6198390.0,2467049910.9
2026-07-22,APOLLO,EQUITY,EQ,INE713T01028,390.55,406.95,387.7,404.9,390.55,13696045.0,5488425096.0
2026-07-21,APOLLO,EQUITY,EQ,INE713T01028,391.75,393.65,381.3,390.55,392.8,6921531.0,2675506639.15
2026-07-20,APOLLO,EQUITY,EQ,INE713T01028,393.0,396.15,389.5,392.8,397.8,3635432.0,1428478689.8
2026-07-17,APOLLO,EQUITY,EQ,INE713T01028,398.4,400.0,392.0,397.8,398.4,4132232.0,1632889934.75
2026-07-16,APOLLO,EQUITY,EQ,INE713T01028,406.0,406.75,395.5,398.4,404.75,4383003.0,1752972732.4
2026-07-15,APOLLO,EQUITY,EQ,INE713T01028,405.95,409.9,401.8,404.75,405.9,6061908.0,2458096443.3
2026-07-14,APOLLO,EQUITY,EQ,INE713T01028,402.4,412.5,394.6,405.9,402.85,9302070.0,3756320042.45
2026-07-13,APOLLO,EQUITY,EQ,INE713T01028,408.0,408.65,400.5,402.85,408.85,5541475.0,2236323698.9
2026-07-10,APOLLO,EQUITY,EQ,INE713T01028,413.0,418.2,403.75,408.85,398.3,17566635.0,7201432275.65
2026-07-09,APOLLO,EQUITY,EQ,INE713T01028,395.0,401.15,387.05,398.3,393.4,14168770.0,5596557978.35
2026-07-08,APOLLO,EQUITY,EQ,INE713T01028,402.25,409.0,391.0,393.4,401.35,16025158.0,6417279977.4
2026-07-07,APOLLO,EQUITY,EQ,INE713T01028,427.0,430.4,397.1,401.35,423.85,26468479.0,10737854655.55
2026-07-06,APOLLO,EQUITY,EQ,INE713T01028,452.0,461.35,418.15,423.85,450.05,31808013.0,13878057656.7
2026-07-03,APOLLO,EQUITY,EQ,INE713T01028,443.0,466.5,441.9,450.05,439.55,35471294.0,16135957149.7
2026-07-02,APOLLO,EQUITY,EQ,INE713T01028,420.15,442.0,417.5,439.55,418.85,17880802.0,7742228401.25
