trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,APOLLOHOSP,EQUITY,EQ,INE437A01024,8825.0,8974.5,8803.5,8967.0,8837.5,375525.0,3355862316.5
2026-09-08,APOLLOHOSP,EQUITY,EQ,INE437A01024,8761.5,8850.0,8745.0,8837.5,8760.0,324848.0,2862000875.5
2026-09-07,APOLLOHOSP,EQUITY,EQ,INE437A01024,8682.0,8840.5,8650.0,8760.0,8650.0,303793.0,2657045278.0
2026-09-04,APOLLOHOSP,EQUITY,EQ,INE437A01024,8702.5,8740.0,8641.0,8650.0,8692.0,288351.0,2501175229.0
2026-09-03,APOLLOHOSP,EQUITY,EQ,INE437A01024,8690.0,8785.5,8655.5,8692.0,8719.0,241427.0,2105006220.5
2026-09-02,APOLLOHOSP,EQUITY,EQ,INE437A01024,8680.0,8746.5,8640.0,8719.0,8755.0,169190.0,1471047435.0
2026-09-01,APOLLOHOSP,EQUITY,EQ,INE437A01024,8854.5,8867.5,8704.5,8755.0,8898.5,153262.0,1342714576.0
2026-08-31,APOLLOHOSP,EQUITY,EQ,INE437A01024,8850.0,8902.0,8813.0,8898.5,8838.5,405214.0,3590149250.0
2026-08-28,APOLLOHOSP,EQUITY,EQ,INE437A01024,8848.0,8905.0,8818.5,8838.5,8800.0,311286.0,2763044111.0
2026-08-27,APOLLOHOSP,EQUITY,EQ,INE437A01024,8849.0,8868.0,8758.5,8800.0,8766.5,270047.0,2375248330.5
2026-08-26,APOLLOHOSP,EQUITY,EQ,INE437A01024,8844.5,8868.0,8763.5,8766.5,8889.0,150629.0,1325697096.0
2026-08-25,APOLLOHOSP,EQUITY,EQ,INE437A01024,8663.0,8889.0,8640.0,8889.0,8702.0,256819.0,2245094398.5
2026-08-24,APOLLOHOSP,EQUITY,EQ,INE437A01024,8680.0,8702.0,8591.5,8702.0,8693.0,291970.0,2526625590.0
2026-08-21,APOLLOHOSP,EQUITY,EQ,INE437A01024,8727.0,8746.0,8638.0,8693.0,8735.0,184342.0,1597856529.0
2026-08-20,APOLLOHOSP,EQUITY,EQ,INE437A01024,8788.0,8788.0,8679.5,8735.0,8750.0,280417.0,2443162013.0
2026-08-19,APOLLOHOSP,EQUITY,EQ,INE437A01024,8817.0,8862.5,8695.5,8750.0,8817.0,298438.0,2620927034.0
2026-08-18,APOLLOHOSP,EQUITY,EQ,INE437A01024,8825.5,8907.0,8786.5,8817.0,8825.5,474997.0,4199784214.5
2026-08-17,APOLLOHOSP,EQUITY,EQ,INE437A01024,8917.5,8984.0,8825.5,8825.5,8920.5,358418.0,3187554472.0
2026-08-14,APOLLOHOSP,EQUITY,EQ,INE437A01024,8615.0,8925.0,8588.5,8920.5,8600.0,1275740.0,11274496039.0
2026-08-13,APOLLOHOSP,EQUITY,EQ,INE437A01024,8740.5,8786.0,8554.0,8600.0,8597.0,796882.0,6897753185.0
2026-08-12,APOLLOHOSP,EQUITY,EQ,INE437A01024,8750.5,8775.5,8507.5,8597.0,8750.5,876688.0,7517542869.5
2026-08-11,APOLLOHOSP,EQUITY,EQ,INE437A01024,8982.0,8990.0,8672.5,8750.5,8912.0,562067.0,4931856613.0
2026-08-10,APOLLOHOSP,EQUITY,EQ,INE437A01024,8945.0,8971.0,8865.5,8912.0,8945.0,411854.0,3666519135.0
2026-08-07,APOLLOHOSP,EQUITY,EQ,INE437A01024,9000.0,9000.0,8922.0,8945.0,8974.5,273543.0,2451433158.5
2026-08-06,APOLLOHOSP,EQUITY,EQ,INE437A01024,8947.0,9015.0,8880.0,8974.5,8910.0,399856.0,3577552921.5
2026-08-05,APOLLOHOSP,EQUITY,EQ,INE437A01024,9009.0,9009.0,8820.0,8910.0,9050.0,288978.0,2571693182.5
2026-08-04,APOLLOHOSP,EQUITY,EQ,INE437A01024,8800.0,9050.0,8760.0,9050.0,8820.0,259286.0,2298738287.0
2026-08-03,APOLLOHOSP,EQUITY,EQ,INE437A01024,9030.0,9049.0,8789.0,8820.0,8957.0,250717.0,2225793468.0
2026-07-31,APOLLOHOSP,EQUITY,EQ,INE437A01024,9025.0,9036.5,8931.0,8957.0,8988.0,268253.0,2405399187.5
2026-07-30,APOLLOHOSP,EQUITY,EQ,INE437A01024,8900.0,9009.0,8865.5,8988.0,8935.0,263013.0,2359054893.0
2026-07-29,APOLLOHOSP,EQUITY,EQ,INE437A01024,8932.0,8970.0,8903.5,8935.0,8903.0,164862.0,1473778749.5
2026-07-28,APOLLOHOSP,EQUITY,EQ,INE437A01024,8844.5,8945.0,8830.0,8903.0,8843.5,167309.0,1487050053.0
2026-07-27,APOLLOHOSP,EQUITY,EQ,INE437A01024,8816.0,8860.5,8744.0,8843.5,8805.5,135186.0,1190585243.0
2026-07-24,APOLLOHOSP,EQUITY,EQ,INE437A01024,8801.0,8869.5,8792.5,8805.5,8862.0,189462.0,1670253479.5
2026-07-23,APOLLOHOSP,EQUITY,EQ,INE437A01024,8895.0,8920.0,8800.0,8862.0,8938.0,148922.0,1318354043.0
2026-07-22,APOLLOHOSP,EQUITY,EQ,INE437A01024,8926.0,8945.5,8867.0,8938.0,8926.5,158324.0,1411741970.5
2026-07-21,APOLLOHOSP,EQUITY,EQ,INE437A01024,8934.0,8945.5,8880.0,8926.5,8905.0,200394.0,1785577786.0
2026-07-20,APOLLOHOSP,EQUITY,EQ,INE437A01024,8825.0,9000.0,8771.5,8905.0,8826.0,317613.0,2824706584.5
2026-07-17,APOLLOHOSP,EQUITY,EQ,INE437A01024,8875.0,8892.0,8782.0,8826.0,8888.0,144563.0,1276321874.5
2026-07-16,APOLLOHOSP,EQUITY,EQ,INE437A01024,8930.5,8944.5,8851.5,8888.0,8934.0,234384.0,2084873931.5
2026-07-15,APOLLOHOSP,EQUITY,EQ,INE437A01024,8948.5,9009.0,8905.0,8934.0,8900.5,501832.0,4494480721.0
2026-07-14,APOLLOHOSP,EQUITY,EQ,INE437A01024,8750.0,8919.5,8739.0,8900.5,8782.5,412508.0,3661394884.5
2026-07-13,APOLLOHOSP,EQUITY,EQ,INE437A01024,8879.0,8932.0,8764.5,8782.5,8841.0,410798.0,3619599736.5
2026-07-10,APOLLOHOSP,EQUITY,EQ,INE437A01024,8849.0,8886.5,8773.5,8841.0,8845.5,264694.0,2335378611.0
2026-07-09,APOLLOHOSP,EQUITY,EQ,INE437A01024,8756.5,8920.5,8756.5,8845.5,8753.5,571832.0,5070336040.5
2026-07-08,APOLLOHOSP,EQUITY,EQ,INE437A01024,8800.0,8888.0,8700.0,8753.5,8837.0,275829.0,2424129184.0
2026-07-07,APOLLOHOSP,EQUITY,EQ,INE437A01024,8888.0,8950.0,8811.0,8837.0,8888.5,189321.0,1677267418.0
2026-07-06,APOLLOHOSP,EQUITY,EQ,INE437A01024,8896.0,8925.0,8823.5,8888.5,8893.5,219681.0,1949714056.0
2026-07-03,APOLLOHOSP,EQUITY,EQ,INE437A01024,8743.0,8920.5,8717.5,8893.5,8696.0,377549.0,3343068637.5
2026-07-02,APOLLOHOSP,EQUITY,EQ,INE437A01024,8620.0,8750.0,8611.5,8696.0,8618.5,152705.0,1325301650.0
2026-07-01,APOLLOHOSP,EQUITY,EQ,INE437A01024,8681.0,8738.5,8611.5,8618.5,8682.0,163174.0,1411704508.0
2026-06-30,APOLLOHOSP,EQUITY,EQ,INE437A01024,8654.5,8770.0,8649.0,8682.0,8655.0,491231.0,4274121717.5
2026-06-29,APOLLOHOSP,EQUITY,EQ,INE437A01024,8700.0,8734.0,8605.0,8655.0,8592.0,363592.0,3154133086.0
2026-06-25,APOLLOHOSP,EQUITY,EQ,INE437A01024,8575.5,8693.5,8535.5,8592.0,8573.5,378450.0,3259623305.5
2026-06-24,APOLLOHOSP,EQUITY,EQ,INE437A01024,8500.0,8585.5,8451.0,8573.5,8487.5,399731.0,3420688461.0
2026-06-23,APOLLOHOSP,EQUITY,EQ,INE437A01024,8498.0,8559.0,8457.0,8487.5,8469.0,248581.0,2115915166.5
2026-06-22,APOLLOHOSP,EQUITY,EQ,INE437A01024,8538.0,8538.0,8434.5,8469.0,8489.5,208982.0,1767927763.0
2026-06-19,APOLLOHOSP,EQUITY,EQ,INE437A01024,8404.0,8521.0,8400.0,8489.5,8411.5,333583.0,2826131118.5
2026-06-18,APOLLOHOSP,EQUITY,EQ,INE437A01024,8438.5,8464.5,8387.0,8411.5,8427.5,304242.0,2559721560.5
2026-06-17,APOLLOHOSP,EQUITY,EQ,INE437A01024,8390.5,8464.5,8385.0,8427.5,8390.5,185437.0,1562350424.0
2026-06-16,APOLLOHOSP,EQUITY,EQ,INE437A01024,8468.5,8517.0,8382.0,8390.5,8468.5,263172.0,2215855728.0
2026-06-15,APOLLOHOSP,EQUITY,EQ,INE437A01024,8526.0,8534.0,8391.0,8468.5,8498.0,358223.0,3028500728.5
2026-06-12,APOLLOHOSP,EQUITY,EQ,INE437A01024,8535.0,8558.0,8440.0,8498.0,8493.0,276444.0,2348552601.5
2026-06-11,APOLLOHOSP,EQUITY,EQ,INE437A01024,8478.0,8531.0,8425.0,8493.0,8488.5,314597.0,2668878290.0
2026-06-10,APOLLOHOSP,EQUITY,EQ,INE437A01024,8527.0,8624.0,8470.5,8488.5,8524.0,487815.0,4181115451.0
2026-06-09,APOLLOHOSP,EQUITY,EQ,INE437A01024,8420.0,8538.5,8365.5,8524.0,8358.5,818210.0,6942834019.5
2026-06-08,APOLLOHOSP,EQUITY,EQ,INE437A01024,8211.0,8490.0,8211.0,8358.5,8304.5,539009.0,4528983221.0
2026-06-05,APOLLOHOSP,EQUITY,EQ,INE437A01024,8265.0,8341.0,8240.0,8304.5,8249.0,187969.0,1558871682.5
2026-06-04,APOLLOHOSP,EQUITY,EQ,INE437A01024,8270.0,8301.5,8225.0,8249.0,8290.5,345278.0,2849842547.0
2026-06-03,APOLLOHOSP,EQUITY,EQ,INE437A01024,8109.5,8317.5,8109.5,8290.5,8089.5,724687.0,5974584362.5
2026-06-02,APOLLOHOSP,EQUITY,EQ,INE437A01024,7816.0,8120.0,7816.0,8089.5,8108.5,556161.0,4458227451.5
2026-06-01,APOLLOHOSP,EQUITY,EQ,INE437A01024,8221.5,8249.5,8081.0,8108.5,8176.5,217401.0,1775920729.5
2026-05-29,APOLLOHOSP,EQUITY,EQ,INE437A01024,8176.5,8325.0,8146.0,8176.5,8272.5,1042419.0,8550662488.5
2026-05-27,APOLLOHOSP,EQUITY,EQ,INE437A01024,8243.0,8305.0,8170.0,8272.5,8258.5,293786.0,2422789362.5
2026-05-26,APOLLOHOSP,EQUITY,EQ,INE437A01024,8404.0,8434.0,8228.0,8258.5,8404.0,310581.0,2577159204.5
2026-05-25,APOLLOHOSP,EQUITY,EQ,INE437A01024,8430.0,8443.0,8375.0,8404.0,8362.5,364945.0,3067522616.0
2026-05-22,APOLLOHOSP,EQUITY,EQ,INE437A01024,8308.5,8440.5,8255.0,8362.5,8308.5,564876.0,4724484635.0
2026-05-21,APOLLOHOSP,EQUITY,EQ,INE437A01024,8198.5,8388.0,8051.5,8308.5,8078.5,1425124.0,11762773562.5
2026-05-20,APOLLOHOSP,EQUITY,EQ,INE437A01024,7924.0,8140.0,7814.5,8078.5,8026.0,492013.0,3960871642.0
2026-05-19,APOLLOHOSP,EQUITY,EQ,INE437A01024,8030.0,8093.5,7983.0,8026.0,8020.5,396261.0,3185531153.0
2026-05-18,APOLLOHOSP,EQUITY,EQ,INE437A01024,8062.5,8099.0,8006.0,8020.5,8082.5,323387.0,2603480088.5
2026-05-15,APOLLOHOSP,EQUITY,EQ,INE437A01024,8170.0,8170.0,8028.5,8082.5,8119.0,300134.0,2427594493.0
2026-05-14,APOLLOHOSP,EQUITY,EQ,INE437A01024,8011.0,8180.0,8011.0,8119.0,8004.5,431011.0,3505509535.0
2026-05-13,APOLLOHOSP,EQUITY,EQ,INE437A01024,7981.0,8112.0,7981.0,8004.5,8022.5,329337.0,2647643570.0
2026-05-12,APOLLOHOSP,EQUITY,EQ,INE437A01024,8050.0,8078.0,7995.0,8022.5,8082.0,390002.0,3131678123.5
2026-05-11,APOLLOHOSP,EQUITY,EQ,INE437A01024,8046.0,8144.0,8022.5,8082.0,8097.0,466135.0,3772388533.5
