trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,APOLLOPIPE,EQUITY,EQ,INE126J01016,592.0,593.5,574.1,577.6,591.2,132926.0,77478383.8
2026-09-08,APOLLOPIPE,EQUITY,EQ,INE126J01016,600.6,603.95,586.2,591.2,601.0,87773.0,52173389.9
2026-09-07,APOLLOPIPE,EQUITY,EQ,INE126J01016,609.65,611.3,597.0,601.0,605.1,115502.0,69646772.5
2026-09-04,APOLLOPIPE,EQUITY,EQ,INE126J01016,617.0,617.0,600.55,605.1,614.55,76562.0,46377828.0
2026-09-03,APOLLOPIPE,EQUITY,EQ,INE126J01016,598.1,619.8,595.1,614.55,599.05,162498.0,98818817.55
2026-09-02,APOLLOPIPE,EQUITY,EQ,INE126J01016,588.65,612.0,588.6,599.05,609.85,159504.0,95951124.05
2026-09-01,APOLLOPIPE,EQUITY,EQ,INE126J01016,631.0,633.75,600.9,609.85,627.05,288698.0,176643568.3
2026-08-31,APOLLOPIPE,EQUITY,EQ,INE126J01016,631.3,646.4,622.6,627.05,631.0,217305.0,137598642.1
2026-08-28,APOLLOPIPE,EQUITY,EQ,INE126J01016,638.55,643.0,620.6,631.0,638.55,204371.0,128516186.6
2026-08-27,APOLLOPIPE,EQUITY,EQ,INE126J01016,646.95,667.65,635.7,638.55,653.1,243918.0,158185586.15
2026-08-26,APOLLOPIPE,EQUITY,EQ,INE126J01016,658.0,664.0,644.15,653.1,663.75,395538.0,258398147.6
2026-08-25,APOLLOPIPE,EQUITY,EQ,INE126J01016,609.25,668.8,605.1,663.75,609.25,2312376.0,1514030753.8
2026-08-24,APOLLOPIPE,EQUITY,EQ,INE126J01016,602.0,630.65,601.6,609.25,601.55,416603.0,256975583.95
2026-08-21,APOLLOPIPE,EQUITY,EQ,INE126J01016,603.25,616.15,597.1,601.55,603.25,291470.0,177111865.0
2026-08-20,APOLLOPIPE,EQUITY,EQ,INE126J01016,576.8,606.0,572.7,603.25,576.45,913626.0,539974337.85
2026-08-19,APOLLOPIPE,EQUITY,EQ,INE126J01016,551.35,589.0,546.0,576.45,551.3,1125051.0,646307559.7
2026-08-18,APOLLOPIPE,EQUITY,EQ,INE126J01016,545.3,560.0,544.95,551.3,545.3,368105.0,203483807.15
2026-08-17,APOLLOPIPE,EQUITY,EQ,INE126J01016,507.25,550.1,505.95,545.3,510.85,816969.0,437113460.1
2026-08-14,APOLLOPIPE,EQUITY,EQ,INE126J01016,507.15,514.3,506.95,510.85,508.45,73725.0,37605125.65
2026-08-13,APOLLOPIPE,EQUITY,EQ,INE126J01016,515.0,515.05,504.55,508.45,512.75,614492.0,312279057.85
2026-08-12,APOLLOPIPE,EQUITY,EQ,INE126J01016,510.0,517.0,504.1,512.75,508.05,125063.0,63915619.95
