trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,ARFIN,EQUITY,EQ,INE784R01023,88.0,88.61,85.14,85.98,88.07,791089.0,67897575.55
2026-09-10,ARFIN,EQUITY,EQ,INE784R01023,89.0,91.33,87.51,88.07,88.77,674744.0,59930051.5
2026-09-09,ARFIN,EQUITY,EQ,INE784R01023,92.95,92.99,88.47,88.77,91.36,684659.0,61987140.65
2026-09-08,ARFIN,EQUITY,EQ,INE784R01023,97.0,97.16,91.03,91.36,95.27,1199300.0,111414829.75
2026-09-07,ARFIN,EQUITY,EQ,INE784R01023,88.7,98.86,87.72,95.27,87.24,4760846.0,454506935.43
2026-09-04,ARFIN,EQUITY,EQ,INE784R01023,89.02,89.02,85.89,87.24,89.09,1136109.0,99188227.23
2026-09-03,ARFIN,EQUITY,EQ,INE784R01023,88.29,89.65,87.05,89.09,87.87,1004336.0,89485008.0
2026-09-02,ARFIN,EQUITY,EQ,INE784R01023,85.5,88.5,85.5,87.87,85.5,1010679.0,87404751.21
2026-09-01,ARFIN,EQUITY,EQ,INE784R01023,86.79,87.96,85.0,85.5,87.23,934707.0,81335329.04
2026-08-31,ARFIN,EQUITY,EQ,INE784R01023,86.49,88.43,84.78,87.23,85.77,1024777.0,88856839.94
2026-08-28,ARFIN,EQUITY,EQ,INE784R01023,86.11,86.3,84.65,85.77,85.4,964118.0,82182760.32
2026-08-27,ARFIN,EQUITY,EQ,INE784R01023,84.25,85.77,84.05,85.4,84.21,942597.0,79702478.62
2026-08-26,ARFIN,EQUITY,EQ,INE784R01023,84.0,85.89,83.7,84.21,84.52,932633.0,79073378.52
2026-08-25,ARFIN,EQUITY,EQ,INE784R01023,83.98,84.95,83.61,84.52,83.95,871564.0,73423238.77
2026-08-24,ARFIN,EQUITY,EQ,INE784R01023,86.49,86.9,83.6,83.95,85.62,925929.0,78277456.76
2026-08-21,ARFIN,EQUITY,EQ,INE784R01023,82.71,86.3,82.03,85.62,82.71,1301328.0,109227714.56
2026-08-20,ARFIN,EQUITY,EQ,INE784R01023,84.38,84.5,81.77,82.71,83.62,1207344.0,100240748.9
2026-08-19,ARFIN,EQUITY,EQ,INE784R01023,81.35,83.9,81.35,83.62,82.5,1083845.0,89672404.67
2026-08-18,ARFIN,EQUITY,EQ,INE784R01023,83.0,83.45,82.0,82.5,83.69,982288.0,81429928.86
2026-08-17,ARFIN,EQUITY,EQ,INE784R01023,83.38,84.8,82.06,83.69,84.05,1626003.0,135026616.87
2026-08-14,ARFIN,EQUITY,EQ,INE784R01023,84.96,85.45,81.4,84.05,83.43,2169848.0,179937658.55
2026-08-13,ARFIN,EQUITY,EQ,INE784R01023,84.74,85.39,82.8,83.43,84.74,973623.0,82518920.66
2026-08-12,ARFIN,EQUITY,EQ,INE784R01023,84.15,85.56,83.91,84.74,85.08,1216860.0,102831443.41
2026-08-11,ARFIN,EQUITY,EQ,INE784R01023,86.9,88.49,84.5,85.08,87.15,2071919.0,180627513.86
2026-08-10,ARFIN,EQUITY,EQ,INE784R01023,88.8,90.78,86.46,87.15,88.03,1586313.0,139854632.49
2026-08-07,ARFIN,EQUITY,EQ,INE784R01023,87.4,88.5,86.23,88.03,86.98,1625366.0,141941178.22
2026-08-06,ARFIN,EQUITY,EQ,INE784R01023,85.76,88.74,85.26,86.98,85.34,1940966.0,169531300.8
2026-08-05,ARFIN,EQUITY,EQ,INE784R01023,86.23,87.56,85.05,85.34,86.23,953552.0,82486012.84
2026-08-04,ARFIN,EQUITY,EQ,INE784R01023,85.0,88.2,84.59,86.23,85.49,2261372.0,194785541.77
2026-08-03,ARFIN,EQUITY,EQ,INE784R01023,89.0,90.44,84.0,85.49,89.77,2342321.0,206093284.73
2026-07-31,ARFIN,EQUITY,EQ,INE784R01023,88.9,91.08,86.91,89.77,88.6,1460861.0,128311563.91
2026-07-30,ARFIN,EQUITY,EQ,INE784R01023,87.0,89.5,86.75,88.6,87.17,1007541.0,88579169.0
2026-07-29,ARFIN,EQUITY,EQ,INE784R01023,89.2,89.89,86.2,87.17,89.14,777980.0,68156678.09
2026-07-28,ARFIN,EQUITY,EQ,INE784R01023,91.6,92.01,88.16,89.14,91.17,755506.0,68171558.48
2026-07-27,ARFIN,EQUITY,EQ,INE784R01023,90.81,92.5,90.47,91.17,91.99,1762784.0,160804185.48
2026-07-24,ARFIN,EQUITY,EQ,INE784R01023,90.44,92.5,89.0,91.99,90.34,1809673.0,163746096.48
2026-07-23,ARFIN,EQUITY,EQ,INE784R01023,88.95,93.5,86.65,90.34,88.6,2845439.0,255944061.25
2026-07-22,ARFIN,EQUITY,EQ,INE784R01023,86.7,89.9,86.0,88.6,86.59,2449530.0,213014979.12
2026-07-21,ARFIN,EQUITY,EQ,INE784R01023,86.66,88.0,85.22,86.59,86.02,1618553.0,139325071.99
2026-07-20,ARFIN,EQUITY,EQ,INE784R01023,84.52,87.43,84.52,86.02,85.92,1981986.0,171276922.79
2026-07-17,ARFIN,EQUITY,EQ,INE784R01023,88.0,89.16,85.2,85.92,88.19,2090108.0,182957679.37
2026-07-16,ARFIN,EQUITY,EQ,INE784R01023,87.0,89.34,85.67,88.19,86.56,2120969.0,183023085.59
2026-07-15,ARFIN,EQUITY,EQ,INE784R01023,85.5,88.72,85.5,86.56,86.37,2237930.0,194053932.42
2026-07-14,ARFIN,EQUITY,EQ,INE784R01023,87.58,87.58,85.75,86.37,87.15,1577386.0,136144893.95
2026-07-13,ARFIN,EQUITY,EQ,INE784R01023,88.65,89.65,86.25,87.15,89.65,2640665.0,233931680.99
2026-07-10,ARFIN,EQUITY,EQ,INE784R01023,89.48,92.0,87.6,89.65,88.54,2885233.0,258197225.02
2026-07-09,ARFIN,EQUITY,EQ,INE784R01023,86.8,91.0,85.5,88.54,86.17,2565078.0,226033214.39
2026-07-08,ARFIN,EQUITY,EQ,INE784R01023,89.76,91.41,84.11,86.17,91.23,2363373.0,211306843.71
2026-07-07,ARFIN,EQUITY,EQ,INE784R01023,90.0,93.0,88.36,91.23,91.05,2535707.0,230725829.7
2026-07-06,ARFIN,EQUITY,EQ,INE784R01023,92.96,92.96,88.71,91.05,92.06,2115134.0,194038669.74
2026-07-03,ARFIN,EQUITY,EQ,INE784R01023,93.88,93.88,90.91,92.06,92.54,2155802.0,198914307.35
2026-07-02,ARFIN,EQUITY,EQ,INE784R01023,90.14,93.28,89.28,92.54,89.09,1908139.0,174488512.87
2026-07-01,ARFIN,EQUITY,EQ,INE784R01023,86.5,90.95,86.4,89.09,85.8,2332372.0,204866864.42
2026-06-30,ARFIN,EQUITY,EQ,INE784R01023,83.9,86.95,83.03,85.8,83.27,2165988.0,184569751.44
2026-06-29,ARFIN,EQUITY,EQ,INE784R01023,89.0,89.0,81.55,83.27,89.81,2788549.0,240301605.05
2026-06-25,ARFIN,EQUITY,EQ,INE784R01023,92.21,94.41,87.7,89.81,93.13,2837673.0,262091039.71
2026-06-24,ARFIN,EQUITY,EQ,INE784R01023,91.94,94.5,90.77,93.13,93.0,2760805.0,254472079.72
2026-06-23,ARFIN,EQUITY,EQ,INE784R01023,96.45,96.82,91.05,93.0,97.03,2568316.0,244807253.68
2026-06-22,ARFIN,EQUITY,EQ,INE784R01023,98.1,99.87,95.0,97.03,98.88,2162363.0,210590584.63
2026-06-19,ARFIN,EQUITY,EQ,INE784R01023,99.73,101.0,96.51,98.88,99.16,2257584.0,224014129.72
2026-06-18,ARFIN,EQUITY,EQ,INE784R01023,99.9,101.9,98.11,99.16,98.9,1341090.0,133552394.67
2026-06-17,ARFIN,EQUITY,EQ,INE784R01023,96.0,100.73,95.85,98.9,95.62,3152838.0,311812374.58
2026-06-16,ARFIN,EQUITY,EQ,INE784R01023,92.5,96.75,91.36,95.62,92.02,3416893.0,318822250.76
2026-06-15,ARFIN,EQUITY,EQ,INE784R01023,85.5,94.86,85.0,92.02,84.82,6223442.0,565291311.37
2026-06-12,ARFIN,EQUITY,EQ,INE784R01023,85.0,85.76,83.0,84.82,83.14,3385286.0,285198497.28
2026-06-11,ARFIN,EQUITY,EQ,INE784R01023,81.4,85.0,80.0,83.14,82.06,2475007.0,203206943.01
2026-06-10,ARFIN,EQUITY,EQ,INE784R01023,83.85,85.51,80.8,82.06,85.71,2363234.0,198029517.26
2026-06-09,ARFIN,EQUITY,EQ,INE784R01023,87.97,88.5,82.99,85.71,86.97,2134431.0,185155846.72
2026-06-08,ARFIN,EQUITY,EQ,INE784R01023,87.76,88.44,86.0,86.97,89.24,1791511.0,156133556.15
2026-06-05,ARFIN,EQUITY,EQ,INE784R01023,88.95,90.28,87.54,89.24,89.23,2045035.0,181330727.46
2026-06-04,ARFIN,EQUITY,EQ,INE784R01023,88.95,90.28,88.1,89.23,89.94,2180504.0,194014658.68
2026-06-03,ARFIN,EQUITY,EQ,INE784R01023,90.77,91.0,88.03,89.94,90.85,2397051.0,214507215.17
2026-06-02,ARFIN,EQUITY,EQ,INE784R01023,88.85,92.0,88.53,90.85,88.85,2352938.0,212512906.87
2026-06-01,ARFIN,EQUITY,EQ,INE784R01023,93.5,93.62,87.3,88.85,92.51,2462399.0,224614065.03
2026-05-29,ARFIN,EQUITY,EQ,INE784R01023,95.65,95.65,91.25,92.51,94.01,2665679.0,249636438.96
2026-05-27,ARFIN,EQUITY,EQ,INE784R01023,94.0,97.0,93.5,94.01,93.37,1924588.0,183238748.61
2026-05-26,ARFIN,EQUITY,EQ,INE784R01023,95.1,96.75,92.7,93.37,96.38,1943957.0,184788928.53
2026-05-25,ARFIN,EQUITY,EQ,INE784R01023,94.51,97.8,93.72,96.38,94.65,2704600.0,259260530.95
2026-05-22,ARFIN,EQUITY,EQ,INE784R01023,91.45,95.9,90.0,94.65,92.51,3212536.0,297046210.65
2026-05-21,ARFIN,EQUITY,EQ,INE784R01023,91.5,94.44,89.31,92.51,91.82,2201767.0,202564279.6
2026-05-20,ARFIN,EQUITY,EQ,INE784R01023,89.37,93.44,85.0,91.82,89.21,2100553.0,189475062.26
2026-05-19,ARFIN,EQUITY,EQ,INE784R01023,87.3,89.79,86.53,89.21,88.31,1888499.0,165438280.42
2026-05-18,ARFIN,EQUITY,EQ,INE784R01023,91.42,91.5,86.7,88.31,91.48,1649796.0,145198684.99
2026-05-15,ARFIN,EQUITY,EQ,INE784R01023,94.89,94.89,90.4,91.48,93.7,1832832.0,170195858.64
2026-05-14,ARFIN,EQUITY,EQ,INE784R01023,96.0,97.77,92.4,93.7,96.02,1675247.0,157688090.58
2026-05-13,ARFIN,EQUITY,EQ,INE784R01023,102.33,104.16,92.58,96.02,99.77,3773516.0,374255997.05
2026-05-12,ARFIN,EQUITY,EQ,INE784R01023,97.47,106.2,95.14,99.77,95.93,16687847.0,1692326806.23
2026-05-11,ARFIN,EQUITY,EQ,INE784R01023,98.49,99.02,93.3,95.93,96.49,2302984.0,223725094.31
2026-05-08,ARFIN,EQUITY,EQ,INE784R01023,95.0,97.0,94.52,96.49,95.39,1738825.0,167222195.29
2026-05-07,ARFIN,EQUITY,EQ,INE784R01023,96.0,96.56,93.71,95.39,94.72,1979280.0,187371849.22
2026-05-06,ARFIN,EQUITY,EQ,INE784R01023,93.6,95.85,93.0,94.72,93.34,1560294.0,147206498.19
2026-05-05,ARFIN,EQUITY,EQ,INE784R01023,95.5,95.96,92.0,93.34,94.97,738878.0,69233901.42
2026-05-04,ARFIN,EQUITY,EQ,INE784R01023,94.7,96.5,93.74,94.97,94.49,790613.0,74947893.36
2026-04-30,ARFIN,EQUITY,EQ,INE784R01023,95.9,95.9,93.0,94.49,95.42,967460.0,91072978.55
2026-04-29,ARFIN,EQUITY,EQ,INE784R01023,95.99,96.2,94.0,95.42,95.06,1188800.0,113198896.36
2026-04-28,ARFIN,EQUITY,EQ,INE784R01023,96.35,96.9,94.0,95.06,96.35,1099842.0,105097674.33
2026-04-27,ARFIN,EQUITY,EQ,INE784R01023,96.37,97.6,90.21,96.35,95.16,1507029.0,142932934.76
2026-04-24,ARFIN,EQUITY,EQ,INE784R01023,97.4,97.95,94.25,95.16,97.05,1127516.0,107971639.81
2026-04-23,ARFIN,EQUITY,EQ,INE784R01023,94.59,97.5,93.46,97.05,94.59,962188.0,92527024.7
2026-04-22,ARFIN,EQUITY,EQ,INE784R01023,98.9,98.9,92.61,94.59,97.91,2853745.0,276333045.68
2026-04-21,ARFIN,EQUITY,EQ,INE784R01023,96.42,98.28,95.44,97.91,96.42,1452686.0,140824696.73
2026-04-20,ARFIN,EQUITY,EQ,INE784R01023,96.9,100.25,95.42,96.42,94.73,1727513.0,169729606.76
2026-04-17,ARFIN,EQUITY,EQ,INE784R01023,94.25,96.25,92.5,94.73,94.25,1809129.0,171352820.49
2026-04-16,ARFIN,EQUITY,EQ,INE784R01023,94.0,94.59,92.22,94.25,93.19,1062249.0,99508122.05
2026-04-15,ARFIN,EQUITY,EQ,INE784R01023,95.0,96.0,92.11,93.19,93.97,1483194.0,140009566.48
2026-04-13,ARFIN,EQUITY,EQ,INE784R01023,88.0,95.87,86.0,93.97,89.26,2498447.0,229478970.63
2026-04-10,ARFIN,EQUITY,EQ,INE784R01023,87.86,91.35,86.11,89.26,86.23,2572337.0,230956317.69
2026-04-09,ARFIN,EQUITY,EQ,INE784R01023,88.25,88.94,84.95,86.23,86.51,1433435.0,123712524.43
2026-04-08,ARFIN,EQUITY,EQ,INE784R01023,80.0,87.8,80.0,86.51,76.85,3457883.0,295056422.17
2026-04-07,ARFIN,EQUITY,EQ,INE784R01023,75.2,77.34,75.2,76.85,76.27,658476.0,50253390.93
2026-04-06,ARFIN,EQUITY,EQ,INE784R01023,78.5,78.5,75.38,76.27,76.15,965568.0,73549715.46
2026-04-02,ARFIN,EQUITY,EQ,INE784R01023,76.45,77.4,74.01,76.15,75.94,793941.0,59734472.86
2026-04-01,ARFIN,EQUITY,EQ,INE784R01023,75.1,76.85,74.31,75.94,73.29,703998.0,53357762.72
2026-03-30,ARFIN,EQUITY,EQ,INE784R01023,76.93,76.93,72.0,73.29,75.47,924648.0,67981294.08
2026-03-27,ARFIN,EQUITY,EQ,INE784R01023,76.5,78.98,74.4,75.47,77.98,1350007.0,103248698.12
2026-03-25,ARFIN,EQUITY,EQ,INE784R01023,77.96,79.75,77.31,77.98,77.37,977796.0,76841104.42
2026-03-24,ARFIN,EQUITY,EQ,INE784R01023,77.5,78.0,75.6,77.37,76.44,656085.0,50316976.59
2026-03-23,ARFIN,EQUITY,EQ,INE784R01023,77.49,78.0,74.85,76.44,76.95,877301.0,67427039.13
2026-03-20,ARFIN,EQUITY,EQ,INE784R01023,77.8,78.25,75.86,76.95,76.24,801759.0,61925179.68
2026-03-19,ARFIN,EQUITY,EQ,INE784R01023,75.38,77.0,74.58,76.24,75.88,871405.0,66258434.99
2026-03-18,ARFIN,EQUITY,EQ,INE784R01023,77.9,77.9,74.36,75.88,76.42,1622388.0,122487122.62
2026-03-17,ARFIN,EQUITY,EQ,INE784R01023,75.6,76.8,73.51,76.42,74.35,1131028.0,85161026.29
2026-03-16,ARFIN,EQUITY,EQ,INE784R01023,73.2,76.63,73.2,74.35,75.04,1120340.0,84592021.46
2026-03-13,ARFIN,EQUITY,EQ,INE784R01023,79.89,80.0,74.0,75.04,80.26,1493491.0,113975256.93
2026-03-12,ARFIN,EQUITY,EQ,INE784R01023,80.0,82.46,78.12,80.26,80.28,1155940.0,93361102.24
2026-03-11,ARFIN,EQUITY,EQ,INE784R01023,83.0,84.9,79.0,80.28,81.43,1364346.0,112052105.59
2026-03-10,ARFIN,EQUITY,EQ,INE784R01023,80.0,81.95,79.1,81.43,78.43,1521155.0,123045045.65
2026-03-09,ARFIN,EQUITY,EQ,INE784R01023,77.0,79.29,75.01,78.43,76.96,1135433.0,87209946.66
2026-03-06,ARFIN,EQUITY,EQ,INE784R01023,76.18,78.49,74.8,76.96,75.63,1161511.0,89107157.23
2026-03-05,ARFIN,EQUITY,EQ,INE784R01023,75.5,76.3,72.69,75.63,73.85,1025690.0,76407235.08
2026-03-04,ARFIN,EQUITY,EQ,INE784R01023,68.0,76.93,68.0,73.85,69.94,1551871.0,112989236.85
2026-03-02,ARFIN,EQUITY,EQ,INE784R01023,68.01,71.5,67.99,69.94,71.7,917061.0,64012744.3
2026-02-27,ARFIN,EQUITY,EQ,INE784R01023,73.07,73.07,71.15,71.7,72.33,805844.0,57826424.23
2026-02-26,ARFIN,EQUITY,EQ,INE784R01023,71.85,73.93,69.05,72.33,70.89,980059.0,68992696.45
2026-02-25,ARFIN,EQUITY,EQ,INE784R01023,73.5,73.5,69.1,70.89,70.84,771105.0,53913015.32
2026-02-24,ARFIN,EQUITY,EQ,INE784R01023,71.15,71.81,69.5,70.84,72.16,790247.0,55220096.27
2026-02-23,ARFIN,EQUITY,EQ,INE784R01023,73.5,73.5,68.06,72.16,71.21,1064518.0,74599534.63
2026-02-20,ARFIN,EQUITY,EQ,INE784R01023,70.0,72.0,69.79,71.21,70.56,605274.0,42676156.8
2026-02-19,ARFIN,EQUITY,EQ,INE784R01023,71.35,72.1,70.0,70.56,71.31,499998.0,35658794.86
2026-02-18,ARFIN,EQUITY,EQ,INE784R01023,72.0,72.28,69.65,71.31,72.73,936354.0,66765538.71
2026-02-17,ARFIN,EQUITY,EQ,INE784R01023,72.8,73.76,71.67,72.73,72.39,510659.0,36994700.0
2026-02-16,ARFIN,EQUITY,EQ,INE784R01023,72.0,73.73,71.18,72.39,74.0,635071.0,45773247.87
2026-02-13,ARFIN,EQUITY,EQ,INE784R01023,75.6,75.6,73.25,74.0,75.62,515598.0,38134519.05
2026-02-12,ARFIN,EQUITY,EQ,INE784R01023,76.22,76.22,74.55,75.62,75.78,499635.0,37827253.75
2026-02-11,ARFIN,EQUITY,EQ,INE784R01023,77.45,77.45,75.45,75.78,76.78,659209.0,50005010.93
2026-02-10,ARFIN,EQUITY,EQ,INE784R01023,77.4,77.4,75.77,76.78,76.47,544688.0,41749496.13
2026-02-09,ARFIN,EQUITY,EQ,INE784R01023,78.5,79.0,75.0,76.47,77.7,653773.0,50001427.43
2026-02-06,ARFIN,EQUITY,EQ,INE784R01023,75.1,78.8,75.1,77.7,77.23,957450.0,74103800.09
2026-02-05,ARFIN,EQUITY,EQ,INE784R01023,76.35,78.0,72.7,77.23,75.33,1617556.0,119920216.24
2026-02-04,ARFIN,EQUITY,EQ,INE784R01023,75.5,75.95,73.68,75.33,74.71,1419037.0,105875852.9
2026-02-03,ARFIN,EQUITY,EQ,INE784R01023,74.53,76.0,72.5,74.71,73.79,1555847.0,115620908.52
2026-02-02,ARFIN,EQUITY,EQ,INE784R01023,75.5,76.07,72.35,73.79,75.09,600130.0,44022204.9
