trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,ARIHANT,EQUITY,EQ,INE413D01011,852.75,890.95,850.55,883.35,887.5,727.0,639941.05
2026-09-09,ARIHANT,EQUITY,EQ,INE413D01011,917.8,918.0,860.1,887.5,919.55,1558.0,1380832.1
2026-09-08,ARIHANT,EQUITY,EQ,INE413D01011,932.55,959.3,910.4,919.55,961.25,922.0,850795.4
2026-09-07,ARIHANT,EQUITY,EQ,INE413D01011,979.9,985.25,935.8,961.25,953.15,1341.0,1290964.4
2026-09-04,ARIHANT,EQUITY,EQ,INE413D01011,959.0,994.8,920.5,953.15,920.65,1172.0,1112764.1
2026-09-03,ARIHANT,EQUITY,EQ,INE413D01011,890.0,959.35,890.0,920.65,900.3,2144.0,1980873.1
2026-09-02,ARIHANT,EQUITY,EQ,INE413D01011,909.0,914.45,878.0,900.3,900.0,2447.0,2184523.3
2026-09-01,ARIHANT,EQUITY,EQ,INE413D01011,902.0,929.35,882.0,900.0,907.8,2202.0,1961729.05
2026-08-31,ARIHANT,EQUITY,EQ,INE413D01011,952.2,984.7,890.0,907.8,958.9,3929.0,3635856.5
2026-08-28,ARIHANT,EQUITY,EQ,INE413D01011,994.8,994.8,950.0,958.9,974.8,1298.0,1251376.4
2026-08-27,ARIHANT,EQUITY,EQ,INE413D01011,970.0,1009.9,945.3,974.8,973.3,11973.0,11771223.3
2026-08-26,ARIHANT,EQUITY,EQ,INE413D01011,1005.0,1005.0,957.1,973.3,971.9,7801.0,7634411.2
2026-08-25,ARIHANT,EQUITY,EQ,INE413D01011,1018.5,1019.4,962.6,971.9,999.6,5562.0,5454936.1
2026-08-24,ARIHANT,EQUITY,EQ,INE413D01011,1065.0,1065.0,979.9,999.6,1007.2,2849.0,2852999.9
2026-08-21,ARIHANT,EQUITY,EQ,INE413D01011,1006.9,1058.1,990.0,1007.2,1035.4,4525.0,4606055.6
2026-08-20,ARIHANT,EQUITY,EQ,INE413D01011,1044.9,1054.0,1010.2,1035.4,1029.5,3381.0,3501453.4
2026-08-19,ARIHANT,EQUITY,EQ,INE413D01011,1021.1,1059.6,977.0,1029.5,1021.5,2750.0,2803197.5
2026-08-18,ARIHANT,EQUITY,EQ,INE413D01011,1030.0,1046.8,975.2,1021.5,1031.6,3544.0,3594430.7
2026-08-17,ARIHANT,EQUITY,EQ,INE413D01011,1064.2,1080.0,1010.0,1031.6,1048.5,3566.0,3723648.6
2026-08-14,ARIHANT,EQUITY,EQ,INE413D01011,1071.6,1100.0,982.0,1048.5,1072.5,4716.0,4935195.7
2026-08-13,ARIHANT,EQUITY,EQ,INE413D01011,1071.0,1125.0,1025.1,1072.5,1096.8,6175.0,6619414.9
2026-08-12,ARIHANT,EQUITY,EQ,INE413D01011,1108.4,1110.2,1080.2,1096.8,1119.2,1252.0,1375724.3
2026-08-11,ARIHANT,EQUITY,EQ,INE413D01011,1126.3,1126.5,1105.1,1119.2,1124.3,1019.0,1139196.5
2026-08-10,ARIHANT,EQUITY,EQ,INE413D01011,1133.5,1133.9,1107.0,1124.3,1124.6,773.0,869166.9
2026-08-07,ARIHANT,EQUITY,EQ,INE413D01011,1129.5,1138.2,1088.3,1124.6,1130.4,2527.0,2818854.8
2026-08-06,ARIHANT,EQUITY,EQ,INE413D01011,1102.8,1147.0,1072.0,1130.4,1136.6,1815.0,2031574.0
2026-08-05,ARIHANT,EQUITY,EQ,INE413D01011,1180.0,1180.0,1110.0,1136.6,1149.6,5414.0,6131825.5
2026-08-04,ARIHANT,EQUITY,EQ,INE413D01011,1165.3,1175.0,1112.4,1149.6,1137.9,3408.0,3904558.7
2026-08-03,ARIHANT,EQUITY,EQ,INE413D01011,1142.0,1142.0,1106.2,1137.9,1142.75,1624.0,1842028.8
2026-07-31,ARIHANT,EQUITY,EQ,INE413D01011,1087.05,1175.0,1087.05,1142.75,1087.0,12691.0,14636431.3
2026-07-30,ARIHANT,EQUITY,EQ,INE413D01011,1123.0,1139.6,1069.9,1087.0,1144.9,4909.0,5353015.5
2026-07-29,ARIHANT,EQUITY,EQ,INE413D01011,1088.4,1225.0,1088.4,1144.9,1088.4,46928.0,55927144.8
2026-07-28,ARIHANT,EQUITY,EQ,INE413D01011,1097.0,1097.0,1063.5,1088.4,1081.4,1786.0,1930266.65
2026-07-27,ARIHANT,EQUITY,EQ,INE413D01011,1022.0,1097.0,1022.0,1081.4,1021.7,7647.0,8075743.4
2026-07-24,ARIHANT,EQUITY,EQ,INE413D01011,930.1,1039.4,930.1,1021.7,969.8,5725.0,5717227.65
2026-07-23,ARIHANT,EQUITY,EQ,INE413D01011,910.6,1018.0,910.0,969.8,907.85,4778.0,4535753.8
2026-07-22,ARIHANT,EQUITY,EQ,INE413D01011,910.6,937.4,878.5,907.85,914.85,6562.0,6032668.3
2026-07-21,ARIHANT,EQUITY,EQ,INE413D01011,886.95,934.95,843.6,914.85,860.7,17074.0,15496646.7
2026-07-20,ARIHANT,EQUITY,EQ,INE413D01011,819.15,872.0,794.55,860.7,802.8,9024.0,7629083.2
2026-07-17,ARIHANT,EQUITY,EQ,INE413D01011,784.75,862.0,770.05,802.8,793.1,18609.0,15207181.2
2026-07-16,ARIHANT,EQUITY,EQ,INE413D01011,780.2,804.0,770.1,793.1,797.55,23732.0,18698739.45
2026-07-15,ARIHANT,EQUITY,EQ,INE413D01011,808.7,809.0,764.0,797.55,808.45,9748.0,7644370.25
2026-07-14,ARIHANT,EQUITY,EQ,INE413D01011,809.85,819.0,789.5,808.45,816.65,5343.0,4292756.15
2026-07-13,ARIHANT,EQUITY,EQ,INE413D01011,799.8,819.9,792.05,816.65,808.65,2814.0,2277889.6
2026-07-10,ARIHANT,EQUITY,EQ,INE413D01011,809.45,831.0,768.1,808.65,798.4,2546.0,2018073.9
2026-07-09,ARIHANT,EQUITY,EQ,INE413D01011,795.45,810.0,773.0,798.4,789.1,2892.0,2284644.05
2026-07-08,ARIHANT,EQUITY,EQ,INE413D01011,808.9,811.2,775.0,789.1,808.8,6334.0,5048940.05
2026-07-07,ARIHANT,EQUITY,EQ,INE413D01011,807.8,815.0,793.45,808.8,789.65,2668.0,2140374.6
2026-07-06,ARIHANT,EQUITY,EQ,INE413D01011,805.0,820.0,783.1,789.65,791.3,4157.0,3342566.4
2026-07-03,ARIHANT,EQUITY,EQ,INE413D01011,794.0,804.95,777.05,791.3,788.9,4654.0,3670943.95
2026-07-02,ARIHANT,EQUITY,EQ,INE413D01011,765.0,807.55,765.0,788.9,782.25,7359.0,5799819.45
2026-07-01,ARIHANT,EQUITY,EQ,INE413D01011,874.1,956.0,762.6,782.25,844.5,68440.0,59436496.0
2026-06-30,ARIHANT,EQUITY,EQ,INE413D01011,848.9,878.0,819.05,844.5,850.85,1967.0,1661718.2
