trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,ARYAMAN,EQUITY,EQ,INE032E01017,610.0,625.0,610.0,625.0,621.65,34.0,20830.0
2026-09-09,ARYAMAN,EQUITY,EQ,INE032E01017,639.0,639.0,618.0,621.65,639.0,459.0,290865.15
2026-09-08,ARYAMAN,EQUITY,EQ,INE032E01017,639.0,639.0,639.0,639.0,630.0,1.0,639.0
2026-09-07,ARYAMAN,EQUITY,EQ,INE032E01017,620.2,630.0,610.2,630.0,620.2,34.0,21045.8
2026-09-04,ARYAMAN,EQUITY,EQ,INE032E01017,615.0,626.35,615.0,620.2,626.5,129.0,79899.3
2026-09-03,ARYAMAN,EQUITY,EQ,INE032E01017,622.4,638.0,605.0,626.5,639.95,532.0,326045.3
2026-09-02,ARYAMAN,EQUITY,EQ,INE032E01017,635.0,640.0,620.0,639.95,625.0,229.0,146114.9
2026-09-01,ARYAMAN,EQUITY,EQ,INE032E01017,635.0,635.0,625.0,625.0,649.95,26.0,16500.0
2026-08-31,ARYAMAN,EQUITY,EQ,INE032E01017,648.0,649.95,615.0,649.95,644.3,125.0,77673.5
2026-08-28,ARYAMAN,EQUITY,EQ,INE032E01017,620.0,674.95,614.0,644.3,625.0,709.0,451525.05
2026-08-27,ARYAMAN,EQUITY,EQ,INE032E01017,625.0,625.0,625.0,625.0,625.0,1.0,625.0
2026-08-26,ARYAMAN,EQUITY,EQ,INE032E01017,615.0,625.0,615.0,625.0,625.05,74.0,46055.0
2026-08-25,ARYAMAN,EQUITY,EQ,INE032E01017,605.15,630.0,605.15,625.05,605.15,789.0,488996.2
2026-08-24,ARYAMAN,EQUITY,EQ,INE032E01017,613.05,613.05,595.0,605.15,610.0,676.0,409510.55
2026-08-21,ARYAMAN,EQUITY,EQ,INE032E01017,608.0,610.0,590.0,610.0,585.0,379.0,230141.65
2026-08-20,ARYAMAN,EQUITY,EQ,INE032E01017,593.0,593.0,570.0,585.0,587.0,317.0,182349.5
2026-08-19,ARYAMAN,EQUITY,EQ,INE032E01017,590.0,590.0,583.95,587.0,599.9,20.0,11739.95
2026-08-18,ARYAMAN,EQUITY,EQ,INE032E01017,599.9,599.9,570.0,599.9,599.9,12.0,6899.8
2026-08-17,ARYAMAN,EQUITY,EQ,INE032E01017,582.85,599.9,582.85,599.9,582.8,3.0,1765.6
