trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,ASSAMENT,EQUITY,EQ,INE165G01010,826.95,826.95,826.95,826.95,790.0,1.0,826.95
2026-09-07,ASSAMENT,EQUITY,EQ,INE165G01010,833.8,833.8,790.0,790.0,830.0,6.0,4783.8
2026-09-04,ASSAMENT,EQUITY,EQ,INE165G01010,826.85,830.0,826.85,830.0,831.0,16.0,13273.7
2026-09-03,ASSAMENT,EQUITY,EQ,INE165G01010,831.0,831.0,831.0,831.0,819.0,1.0,831.0
2026-09-02,ASSAMENT,EQUITY,EQ,INE165G01010,828.0,828.0,763.0,819.0,800.0,3.0,2410.0
2026-09-01,ASSAMENT,EQUITY,EQ,INE165G01010,857.75,857.75,777.5,800.0,816.95,14.0,10987.75
2026-08-31,ASSAMENT,EQUITY,EQ,INE165G01010,816.95,816.95,741.3,816.95,778.05,4.0,3191.2
2026-08-28,ASSAMENT,EQUITY,EQ,INE165G01010,705.0,778.05,705.0,778.05,741.0,172.0,125477.85
2026-08-24,ASSAMENT,EQUITY,EQ,INE165G01010,780.0,780.0,741.0,741.0,780.0,6.0,4563.0
2026-08-21,ASSAMENT,EQUITY,EQ,INE165G01010,839.95,839.95,760.0,780.0,800.0,38.0,29159.95
2026-08-20,ASSAMENT,EQUITY,EQ,INE165G01010,847.0,847.0,800.0,800.0,807.5,14.0,11622.0
2026-08-18,ASSAMENT,EQUITY,EQ,INE165G01010,807.5,807.5,807.5,807.5,850.0,7.0,5652.5
2026-08-17,ASSAMENT,EQUITY,EQ,INE165G01010,850.0,850.0,850.0,850.0,810.0,1.0,850.0
