trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,ASTRAL,EQUITY,EQ,INE006I01046,1498.2,1507.4,1485.0,1500.8,1498.2,613597.0,917780703.1
2026-09-07,ASTRAL,EQUITY,EQ,INE006I01046,1482.7,1501.5,1482.2,1498.2,1492.9,742651.0,1109588063.1
2026-09-04,ASTRAL,EQUITY,EQ,INE006I01046,1489.8,1509.9,1484.0,1492.9,1495.2,658868.0,984779588.8
2026-09-03,ASTRAL,EQUITY,EQ,INE006I01046,1493.0,1497.0,1476.7,1495.2,1487.0,640757.0,952286309.0
2026-09-02,ASTRAL,EQUITY,EQ,INE006I01046,1502.0,1516.4,1476.7,1487.0,1507.0,1046620.0,1563724645.6
2026-09-01,ASTRAL,EQUITY,EQ,INE006I01046,1537.5,1538.0,1493.1,1507.0,1522.2,726492.0,1102743147.9
2026-08-31,ASTRAL,EQUITY,EQ,INE006I01046,1520.0,1581.0,1515.5,1522.2,1532.3,11516278.0,17606382605.4
2026-08-28,ASTRAL,EQUITY,EQ,INE006I01046,1535.6,1556.4,1529.5,1532.3,1529.2,700559.0,1078714314.2
2026-08-27,ASTRAL,EQUITY,EQ,INE006I01046,1526.1,1547.5,1521.3,1529.2,1526.1,346093.0,530681312.8
2026-08-26,ASTRAL,EQUITY,EQ,INE006I01046,1540.5,1544.6,1525.9,1526.1,1540.0,408686.0,626124284.4
2026-08-25,ASTRAL,EQUITY,EQ,INE006I01046,1524.6,1544.7,1519.0,1540.0,1532.8,565330.0,865354098.2
2026-08-24,ASTRAL,EQUITY,EQ,INE006I01046,1525.0,1547.6,1521.0,1532.8,1528.5,308892.0,473978972.0
2026-08-21,ASTRAL,EQUITY,EQ,INE006I01046,1532.0,1546.0,1521.0,1528.5,1532.0,451537.0,693088984.0
2026-08-20,ASTRAL,EQUITY,EQ,INE006I01046,1550.0,1552.9,1532.0,1532.0,1544.9,257504.0,397003184.4
2026-08-19,ASTRAL,EQUITY,EQ,INE006I01046,1535.7,1577.0,1516.2,1544.9,1520.0,385557.0,591950956.7
2026-08-18,ASTRAL,EQUITY,EQ,INE006I01046,1538.4,1545.0,1517.1,1520.0,1538.3,176344.0,268902428.1
2026-08-17,ASTRAL,EQUITY,EQ,INE006I01046,1550.0,1559.0,1536.2,1538.3,1556.3,353029.0,544992548.6
2026-08-14,ASTRAL,EQUITY,EQ,INE006I01046,1592.0,1597.0,1552.2,1556.3,1592.0,889819.0,1399239236.2
2026-08-13,ASTRAL,EQUITY,EQ,INE006I01046,1499.0,1600.0,1491.0,1592.0,1464.0,12371579.0,19471557483.4
2026-08-12,ASTRAL,EQUITY,EQ,INE006I01046,1431.9,1464.0,1425.7,1464.0,1424.9,398896.0,576744345.5
2026-08-11,ASTRAL,EQUITY,EQ,INE006I01046,1437.0,1443.8,1418.7,1424.9,1437.0,228442.0,325759877.6
2026-08-10,ASTRAL,EQUITY,EQ,INE006I01046,1445.0,1449.7,1431.1,1437.0,1444.0,199026.0,286134151.7
2026-08-07,ASTRAL,EQUITY,EQ,INE006I01046,1440.0,1451.3,1435.0,1444.0,1442.0,118762.0,171206961.7
2026-08-06,ASTRAL,EQUITY,EQ,INE006I01046,1439.6,1456.8,1434.2,1442.0,1434.7,196726.0,284509762.2
2026-08-05,ASTRAL,EQUITY,EQ,INE006I01046,1448.0,1451.0,1418.0,1434.7,1448.0,518128.0,740128516.8
2026-08-04,ASTRAL,EQUITY,EQ,INE006I01046,1446.0,1466.1,1435.0,1448.0,1435.6,245864.0,356515619.1
2026-08-03,ASTRAL,EQUITY,EQ,INE006I01046,1465.0,1465.7,1425.2,1435.6,1448.6,652477.0,941540138.5
2026-07-31,ASTRAL,EQUITY,EQ,INE006I01046,1470.9,1471.9,1444.0,1448.6,1471.9,349000.0,506751514.9
2026-07-30,ASTRAL,EQUITY,EQ,INE006I01046,1488.3,1504.4,1467.3,1471.9,1476.3,574874.0,851565653.4
2026-07-29,ASTRAL,EQUITY,EQ,INE006I01046,1471.8,1480.0,1460.0,1476.3,1471.4,187215.0,275283403.2
2026-07-28,ASTRAL,EQUITY,EQ,INE006I01046,1452.0,1483.9,1450.6,1471.4,1465.8,356512.0,523018231.7
2026-07-27,ASTRAL,EQUITY,EQ,INE006I01046,1480.0,1481.5,1448.1,1465.8,1468.1,385986.0,567134856.1
2026-07-24,ASTRAL,EQUITY,EQ,INE006I01046,1405.1,1476.8,1402.4,1468.1,1413.4,1157687.0,1681682206.1
2026-07-23,ASTRAL,EQUITY,EQ,INE006I01046,1419.6,1433.3,1402.1,1413.4,1430.8,414539.0,587201925.9
2026-07-22,ASTRAL,EQUITY,EQ,INE006I01046,1411.1,1442.0,1407.5,1430.8,1415.1,716968.0,1023726364.6
2026-07-21,ASTRAL,EQUITY,EQ,INE006I01046,1389.7,1421.7,1386.1,1415.1,1396.1,874822.0,1231797820.3
2026-07-20,ASTRAL,EQUITY,EQ,INE006I01046,1368.0,1403.8,1367.8,1396.1,1377.8,704689.0,982623183.0
2026-07-17,ASTRAL,EQUITY,EQ,INE006I01046,1370.0,1381.8,1362.1,1377.8,1377.0,624569.0,858668067.1
2026-07-16,ASTRAL,EQUITY,EQ,INE006I01046,1370.0,1389.7,1348.7,1377.0,1359.8,727432.0,999417218.7
2026-07-15,ASTRAL,EQUITY,EQ,INE006I01046,1364.6,1365.1,1346.7,1359.8,1358.5,361185.0,489655426.2
2026-07-14,ASTRAL,EQUITY,EQ,INE006I01046,1344.4,1378.0,1332.1,1358.5,1330.9,956486.0,1303275818.1
2026-07-13,ASTRAL,EQUITY,EQ,INE006I01046,1333.0,1335.0,1315.1,1330.9,1333.8,269697.0,357132664.1
2026-07-10,ASTRAL,EQUITY,EQ,INE006I01046,1323.9,1337.9,1312.9,1333.8,1317.1,536850.0,713123675.1
2026-07-09,ASTRAL,EQUITY,EQ,INE006I01046,1336.0,1348.8,1311.6,1317.1,1336.0,527329.0,699989105.8
2026-07-08,ASTRAL,EQUITY,EQ,INE006I01046,1359.0,1359.0,1327.3,1336.0,1359.5,612098.0,819619700.1
2026-07-07,ASTRAL,EQUITY,EQ,INE006I01046,1388.0,1388.0,1354.4,1359.5,1389.0,457636.0,624359435.1
2026-07-06,ASTRAL,EQUITY,EQ,INE006I01046,1402.0,1411.8,1376.0,1389.0,1385.0,809070.0,1125257082.5
2026-07-03,ASTRAL,EQUITY,EQ,INE006I01046,1370.0,1387.2,1351.0,1385.0,1363.2,506210.0,693196948.6
2026-07-02,ASTRAL,EQUITY,EQ,INE006I01046,1370.0,1374.5,1351.7,1363.2,1362.1,806625.0,1099798152.6
2026-07-01,ASTRAL,EQUITY,EQ,INE006I01046,1339.0,1369.0,1336.6,1362.1,1335.6,941375.0,1275375970.3
2026-06-30,ASTRAL,EQUITY,EQ,INE006I01046,1381.6,1387.0,1329.0,1335.6,1368.0,1726032.0,2326514555.7
2026-06-29,ASTRAL,EQUITY,EQ,INE006I01046,1417.0,1423.0,1339.0,1368.0,1486.9,3768791.0,5171573919.2
2026-06-25,ASTRAL,EQUITY,EQ,INE006I01046,1532.1,1536.0,1483.4,1486.9,1536.7,987298.0,1479434616.1
2026-06-24,ASTRAL,EQUITY,EQ,INE006I01046,1530.9,1540.0,1515.7,1536.7,1523.4,338961.0,519187944.8
2026-06-23,ASTRAL,EQUITY,EQ,INE006I01046,1560.0,1573.9,1517.3,1523.4,1557.8,270324.0,417467042.0
2026-06-22,ASTRAL,EQUITY,EQ,INE006I01046,1546.0,1564.8,1546.0,1557.8,1542.1,158344.0,246520952.8
2026-06-19,ASTRAL,EQUITY,EQ,INE006I01046,1560.0,1563.8,1525.3,1542.1,1565.7,464128.0,715503904.0
