trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,AUTOIND,EQUITY,EQ,INE718H01014,85.0,87.78,84.21,87.03,84.73,227265.0,19672966.49
2026-09-07,AUTOIND,EQUITY,EQ,INE718H01014,86.89,86.89,83.0,84.73,86.45,302191.0,25566613.53
2026-09-04,AUTOIND,EQUITY,EQ,INE718H01014,94.0,95.9,85.21,86.45,92.75,600314.0,53498993.66
2026-09-03,AUTOIND,EQUITY,EQ,INE718H01014,84.46,98.4,84.46,92.75,84.68,1837130.0,171522081.09
2026-09-02,AUTOIND,EQUITY,EQ,INE718H01014,85.85,86.8,83.6,84.68,85.59,193816.0,16467137.98
2026-09-01,AUTOIND,EQUITY,EQ,INE718H01014,87.82,88.48,83.55,85.59,87.17,142696.0,12326370.67
2026-08-31,AUTOIND,EQUITY,EQ,INE718H01014,88.25,89.45,86.22,87.17,89.04,77051.0,6750397.02
2026-08-28,AUTOIND,EQUITY,EQ,INE718H01014,88.58,90.78,88.05,89.04,89.02,70443.0,6283820.17
2026-08-27,AUTOIND,EQUITY,EQ,INE718H01014,90.8,91.6,88.0,89.02,88.99,194083.0,17564843.13
2026-08-26,AUTOIND,EQUITY,EQ,INE718H01014,92.0,92.0,88.12,88.99,89.47,115185.0,10325121.39
2026-08-25,AUTOIND,EQUITY,EQ,INE718H01014,89.1,91.14,87.41,89.47,89.87,152853.0,13582728.41
2026-08-24,AUTOIND,EQUITY,EQ,INE718H01014,94.2,95.7,89.17,89.87,92.94,341913.0,31663793.79
2026-05-21,AUTOIND,EQUITY,EQ,INE718H01014,85.2,89.45,84.12,86.99,85.31,360096.0,31478735.28
2026-05-20,AUTOIND,EQUITY,EQ,INE718H01014,86.71,89.49,83.56,85.31,87.82,733556.0,63451980.48
2026-05-19,AUTOIND,EQUITY,EQ,INE718H01014,79.3,93.14,78.63,87.82,77.62,4856471.0,437098380.14
2026-05-18,AUTOIND,EQUITY,EQ,INE718H01014,83.4,83.4,75.5,77.62,72.94,1286334.0,102338643.44
2026-05-15,AUTOIND,EQUITY,EQ,INE718H01014,77.0,77.34,71.15,72.94,74.56,77703.0,5762853.72
2026-05-14,AUTOIND,EQUITY,EQ,INE718H01014,75.84,78.38,73.81,74.56,75.84,75551.0,5699439.16
2026-05-13,AUTOIND,EQUITY,EQ,INE718H01014,72.01,76.5,72.01,75.84,71.94,65740.0,4899997.77
2026-05-12,AUTOIND,EQUITY,EQ,INE718H01014,77.57,78.88,70.5,71.94,77.57,171701.0,12771606.38
2026-05-11,AUTOIND,EQUITY,EQ,INE718H01014,78.53,80.85,76.52,77.57,78.53,148092.0,11603118.97
2026-05-08,AUTOIND,EQUITY,EQ,INE718H01014,80.2,81.83,78.11,78.53,80.83,152043.0,12124988.94
2026-05-07,AUTOIND,EQUITY,EQ,INE718H01014,78.4,82.79,78.36,80.83,78.93,274835.0,22295120.15
2026-05-06,AUTOIND,EQUITY,EQ,INE718H01014,82.7,82.7,77.11,78.93,77.3,1199551.0,96033903.53
2026-05-05,AUTOIND,EQUITY,EQ,INE718H01014,65.18,77.74,65.03,77.3,64.79,1662911.0,123167171.87
2026-05-04,AUTOIND,EQUITY,EQ,INE718H01014,65.0,67.0,63.2,64.79,64.08,141552.0,9235647.36
2026-04-30,AUTOIND,EQUITY,EQ,INE718H01014,64.8,65.09,63.13,64.08,63.94,98332.0,6308914.82
2026-04-29,AUTOIND,EQUITY,EQ,INE718H01014,61.1,64.61,59.6,63.94,62.22,415418.0,25929099.63
2026-04-28,AUTOIND,EQUITY,EQ,INE718H01014,67.35,70.09,58.55,62.22,66.65,587726.0,37263350.08
2026-04-27,AUTOIND,EQUITY,EQ,INE718H01014,66.34,67.59,65.52,66.65,65.36,61171.0,4087309.06
2026-04-24,AUTOIND,EQUITY,EQ,INE718H01014,67.49,67.79,64.1,65.36,67.31,63165.0,4125971.18
2026-04-23,AUTOIND,EQUITY,EQ,INE718H01014,67.0,68.0,66.06,67.31,66.51,65338.0,4374846.78
