trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,AVONMORE,EQUITY,EQ,INE323B01024,14.25,14.25,13.54,13.99,14.06,229737.0,3203969.14
2026-09-08,AVONMORE,EQUITY,EQ,INE323B01024,14.35,14.35,14.0,14.06,14.1,152135.0,2146109.17
2026-09-07,AVONMORE,EQUITY,EQ,INE323B01024,13.07,14.22,13.07,14.1,13.02,647927.0,8937455.58
2026-09-04,AVONMORE,EQUITY,EQ,INE323B01024,13.74,13.74,12.93,13.02,13.12,310318.0,4072896.71
2026-09-03,AVONMORE,EQUITY,EQ,INE323B01024,12.95,13.79,12.85,13.12,13.1,262918.0,3480310.93
2026-09-02,AVONMORE,EQUITY,EQ,INE323B01024,13.3,13.3,12.85,13.1,13.34,194160.0,2538962.34
2026-09-01,AVONMORE,EQUITY,EQ,INE323B01024,14.0,14.0,13.2,13.34,13.79,185858.0,2488118.9
2026-08-31,AVONMORE,EQUITY,EQ,INE323B01024,13.9,14.19,13.36,13.79,13.9,422312.0,5763930.21
2026-08-28,AVONMORE,EQUITY,EQ,INE323B01024,13.72,14.15,13.72,13.9,13.68,145925.0,2037211.38
2026-08-27,AVONMORE,EQUITY,EQ,INE323B01024,14.2,14.44,13.5,13.68,13.97,135197.0,1858642.32
2026-08-26,AVONMORE,EQUITY,EQ,INE323B01024,13.7,14.2,13.52,13.97,13.44,439384.0,6118278.15
2026-08-25,AVONMORE,EQUITY,EQ,INE323B01024,13.79,13.8,13.3,13.44,13.58,233097.0,3145100.55
2026-08-24,AVONMORE,EQUITY,EQ,INE323B01024,13.34,13.98,13.31,13.58,13.23,547617.0,7470292.9
2026-08-21,AVONMORE,EQUITY,EQ,INE323B01024,13.16,13.67,13.16,13.23,13.3,201588.0,2693248.81
2026-08-20,AVONMORE,EQUITY,EQ,INE323B01024,13.29,13.9,13.14,13.3,13.03,411628.0,5574375.27
2026-08-19,AVONMORE,EQUITY,EQ,INE323B01024,13.57,13.65,12.97,13.03,13.18,244813.0,3252882.21
2026-08-18,AVONMORE,EQUITY,EQ,INE323B01024,13.49,13.64,13.0,13.18,13.01,404631.0,5403798.93
2026-08-17,AVONMORE,EQUITY,EQ,INE323B01024,12.45,13.14,12.4,13.01,12.35,339377.0,4384292.1
2026-08-14,AVONMORE,EQUITY,EQ,INE323B01024,12.39,12.85,12.0,12.35,11.98,445591.0,5589951.79
2026-08-13,AVONMORE,EQUITY,EQ,INE323B01024,11.63,12.22,11.25,11.98,11.37,550766.0,6524950.08
2026-08-12,AVONMORE,EQUITY,EQ,INE323B01024,11.35,11.71,11.22,11.37,11.36,192262.0,2200926.17
2026-08-11,AVONMORE,EQUITY,EQ,INE323B01024,11.09,11.45,11.01,11.36,11.09,501713.0,5677634.58
2026-08-10,AVONMORE,EQUITY,EQ,INE323B01024,11.0,11.55,10.65,11.09,10.93,514655.0,5743997.58
2026-08-07,AVONMORE,EQUITY,EQ,INE323B01024,11.1,11.18,10.85,10.93,11.1,76878.0,847484.29
2026-08-06,AVONMORE,EQUITY,EQ,INE323B01024,11.55,11.58,11.02,11.1,11.37,163708.0,1841586.61
2026-08-05,AVONMORE,EQUITY,EQ,INE323B01024,11.21,11.88,11.07,11.37,11.16,146430.0,1643824.62
2026-08-04,AVONMORE,EQUITY,EQ,INE323B01024,11.13,11.39,11.04,11.16,11.36,125826.0,1406206.44
2026-08-03,AVONMORE,EQUITY,EQ,INE323B01024,11.35,11.48,11.25,11.36,11.17,126394.0,1434896.06
2026-07-31,AVONMORE,EQUITY,EQ,INE323B01024,11.0,11.5,10.98,11.17,11.15,453758.0,5093322.29
2026-07-30,AVONMORE,EQUITY,EQ,INE323B01024,11.99,11.99,11.05,11.15,10.98,1318590.0,15280261.85
2026-07-29,AVONMORE,EQUITY,EQ,INE323B01024,9.14,10.98,9.14,10.98,9.15,937993.0,10105346.77
2026-07-28,AVONMORE,EQUITY,EQ,INE323B01024,9.29,9.43,9.05,9.15,9.29,91849.0,838591.36
2026-07-27,AVONMORE,EQUITY,EQ,INE323B01024,9.75,9.75,9.2,9.29,9.39,98601.0,921506.99
2026-07-24,AVONMORE,EQUITY,EQ,INE323B01024,9.5,9.8,9.22,9.39,9.61,107725.0,1016825.49
2026-07-23,AVONMORE,EQUITY,EQ,INE323B01024,10.14,10.14,9.52,9.61,9.7,60958.0,588522.2
2026-07-22,AVONMORE,EQUITY,EQ,INE323B01024,9.71,9.94,9.66,9.7,9.69,88917.0,869049.7
2026-07-21,AVONMORE,EQUITY,EQ,INE323B01024,9.97,9.97,9.65,9.69,9.76,74382.0,726552.46
2026-07-20,AVONMORE,EQUITY,EQ,INE323B01024,9.91,10.0,9.7,9.76,9.76,99127.0,974779.65
2026-07-17,AVONMORE,EQUITY,EQ,INE323B01024,9.88,10.18,9.68,9.76,9.88,191237.0,1884345.92
2026-07-16,AVONMORE,EQUITY,EQ,INE323B01024,9.8,10.17,9.6,9.88,9.8,202878.0,2007612.6
2026-07-15,AVONMORE,EQUITY,EQ,INE323B01024,10.25,10.28,9.69,9.8,10.05,302871.0,2985734.51
2026-07-14,AVONMORE,EQUITY,EQ,INE323B01024,10.0,10.34,9.96,10.05,10.0,56105.0,562087.85
