trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-02,AXISCETF,EQUITY,EQ,INF846K016C7,120.7,121.26,119.81,121.12,120.23,5431.0,655509.89
2026-07-01,AXISCETF,EQUITY,EQ,INF846K016C7,119.0,120.25,119.0,120.23,118.26,2279.0,272868.27
2026-06-30,AXISCETF,EQUITY,EQ,INF846K016C7,117.84,120.19,117.84,118.26,118.77,1309.0,156007.83
2026-06-29,AXISCETF,EQUITY,EQ,INF846K016C7,119.99,119.99,118.14,118.77,118.81,385.0,45760.61
2026-06-25,AXISCETF,EQUITY,EQ,INF846K016C7,118.87,120.01,118.81,118.81,118.33,696.0,83015.78
2026-06-24,AXISCETF,EQUITY,EQ,INF846K016C7,117.89,118.85,117.78,118.33,118.48,592.0,69900.92
2026-06-23,AXISCETF,EQUITY,EQ,INF846K016C7,118.72,121.81,118.41,118.48,119.31,1886.0,225432.53
2026-06-22,AXISCETF,EQUITY,EQ,INF846K016C7,118.16,119.5,115.5,119.31,119.13,1209.0,144028.46
2026-06-19,AXISCETF,EQUITY,EQ,INF846K016C7,119.16,119.2,118.2,119.13,119.16,543.0,64398.01
2026-06-18,AXISCETF,EQUITY,EQ,INF846K016C7,118.54,119.87,118.5,119.16,118.34,4452.0,528006.74
2026-06-17,AXISCETF,EQUITY,EQ,INF846K016C7,118.68,118.68,117.65,118.34,117.56,1871.0,220636.3
2026-06-16,AXISCETF,EQUITY,EQ,INF846K016C7,117.3,119.19,117.3,117.56,117.3,1319.0,155330.55
2026-06-15,AXISCETF,EQUITY,EQ,INF846K016C7,116.92,118.08,116.92,117.3,115.77,6347.0,746184.56
2026-06-12,AXISCETF,EQUITY,EQ,INF846K016C7,114.21,115.84,113.81,115.77,113.65,298.0,34103.26
2026-06-11,AXISCETF,EQUITY,EQ,INF846K016C7,113.7,114.53,112.94,113.65,114.53,355.0,40369.77
2026-06-10,AXISCETF,EQUITY,EQ,INF846K016C7,117.0,117.0,113.66,114.53,114.71,6847.0,788983.13
2026-06-09,AXISCETF,EQUITY,EQ,INF846K016C7,114.05,114.71,114.05,114.71,113.49,354.0,40509.21
2026-06-08,AXISCETF,EQUITY,EQ,INF846K016C7,114.53,116.47,113.4,113.49,114.53,2737.0,311593.49
2026-06-05,AXISCETF,EQUITY,EQ,INF846K016C7,115.21,119.0,114.35,114.53,114.48,2007.0,230158.32
2026-06-04,AXISCETF,EQUITY,EQ,INF846K016C7,114.63,115.93,114.47,114.48,114.0,368.0,42347.79
2026-06-03,AXISCETF,EQUITY,EQ,INF846K016C7,114.31,114.65,113.69,114.0,115.04,1233.0,140669.06
2026-06-02,AXISCETF,EQUITY,EQ,INF846K016C7,113.65,115.04,113.14,115.04,114.31,6527.0,742707.97
2026-06-01,AXISCETF,EQUITY,EQ,INF846K016C7,116.03,116.03,113.55,114.31,116.03,1020.0,116898.67
2026-05-29,AXISCETF,EQUITY,EQ,INF846K016C7,117.63,117.94,115.7,116.03,117.05,2512.0,293074.35
2026-05-27,AXISCETF,EQUITY,EQ,INF846K016C7,117.54,118.02,116.98,117.05,117.3,4515.0,530419.79
2026-05-26,AXISCETF,EQUITY,EQ,INF846K016C7,116.48,119.18,116.48,117.3,117.06,1011.0,118790.85
2026-05-25,AXISCETF,EQUITY,EQ,INF846K016C7,117.64,117.64,116.69,117.06,116.25,281.0,32867.46
2026-05-22,AXISCETF,EQUITY,EQ,INF846K016C7,116.49,116.78,116.01,116.25,115.94,179.0,20845.46
2026-05-21,AXISCETF,EQUITY,EQ,INF846K016C7,116.4,117.06,115.75,115.94,115.83,1035.0,120648.32
2026-05-20,AXISCETF,EQUITY,EQ,INF846K016C7,115.39,116.39,115.23,115.83,116.72,2561.0,296715.76
2026-05-19,AXISCETF,EQUITY,EQ,INF846K016C7,116.98,117.17,116.03,116.72,116.41,733.0,85744.85
2026-05-18,AXISCETF,EQUITY,EQ,INF846K016C7,117.03,117.03,115.06,116.41,117.03,8763.0,1013053.98
2026-05-15,AXISCETF,EQUITY,EQ,INF846K016C7,117.32,121.0,116.53,117.03,117.01,13002.0,1521006.4
2026-05-14,AXISCETF,EQUITY,EQ,INF846K016C7,118.15,118.15,115.16,117.01,115.27,1317.0,152860.31
2026-05-13,AXISCETF,EQUITY,EQ,INF846K016C7,115.71,116.61,114.35,115.27,115.14,4818.0,556558.01
2026-05-12,AXISCETF,EQUITY,EQ,INF846K016C7,117.66,118.99,115.0,115.14,117.66,6586.0,764343.44
2026-05-11,AXISCETF,EQUITY,EQ,INF846K016C7,120.0,120.18,116.93,117.66,119.7,2765.0,325625.01
2026-05-08,AXISCETF,EQUITY,EQ,INF846K016C7,119.45,120.22,118.7,119.7,119.46,963.0,115080.9
2026-05-07,AXISCETF,EQUITY,EQ,INF846K016C7,119.1,120.04,119.1,119.46,118.89,1632.0,195037.27
2026-05-06,AXISCETF,EQUITY,EQ,INF846K016C7,117.89,120.97,117.76,118.89,117.89,658.0,77661.95
2026-05-05,AXISCETF,EQUITY,EQ,INF846K016C7,121.6,121.6,117.0,117.89,118.06,1064.0,125015.32
2026-05-04,AXISCETF,EQUITY,EQ,INF846K016C7,118.9,119.0,117.03,118.06,116.98,918.0,108724.63
2026-04-30,AXISCETF,EQUITY,EQ,INF846K016C7,116.59,117.54,116.25,116.98,118.57,597.0,69563.8
2026-04-29,AXISCETF,EQUITY,EQ,INF846K016C7,118.27,119.25,118.02,118.57,117.24,4092.0,484292.57
2026-04-28,AXISCETF,EQUITY,EQ,INF846K016C7,117.6,117.6,116.53,117.24,117.64,918.0,107394.92
