trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-02,AXISTECETF,EQUITY,EQ,INF846K01Y96,286.28,298.4,286.28,296.77,283.2,6734.0,1980903.74
2026-07-01,AXISTECETF,EQUITY,EQ,INF846K01Y96,290.82,291.0,282.0,283.2,289.66,465196.0,131851253.44
2026-06-30,AXISTECETF,EQUITY,EQ,INF846K01Y96,296.01,296.16,289.0,289.66,297.28,9724.0,2831579.25
2026-06-29,AXISTECETF,EQUITY,EQ,INF846K01Y96,300.05,300.3,296.5,297.28,301.01,6878.0,2045160.18
2026-06-25,AXISTECETF,EQUITY,EQ,INF846K01Y96,303.19,305.52,300.0,301.01,303.16,3277.0,994440.52
2026-06-24,AXISTECETF,EQUITY,EQ,INF846K01Y96,299.62,304.8,298.72,303.16,296.96,2742.0,828963.34
2026-06-23,AXISTECETF,EQUITY,EQ,INF846K01Y96,302.3,307.05,296.28,296.96,304.31,561909.0,167139410.8
2026-06-22,AXISTECETF,EQUITY,EQ,INF846K01Y96,305.1,306.73,302.3,304.31,302.08,4157.0,1267113.19
2026-06-19,AXISTECETF,EQUITY,EQ,INF846K01Y96,309.7,309.7,294.02,302.08,313.51,27439.0,8152668.58
2026-06-18,AXISTECETF,EQUITY,EQ,INF846K01Y96,317.0,317.0,310.67,313.51,317.01,11874.0,3722746.59
2026-06-17,AXISTECETF,EQUITY,EQ,INF846K01Y96,315.18,318.99,315.18,317.01,314.8,1581.0,500193.43
2026-06-16,AXISTECETF,EQUITY,EQ,INF846K01Y96,313.76,315.59,311.47,314.8,309.59,929.0,291507.32
2026-06-15,AXISTECETF,EQUITY,EQ,INF846K01Y96,311.09,311.21,308.01,309.59,306.22,1248.0,386423.41
2026-06-12,AXISTECETF,EQUITY,EQ,INF846K01Y96,306.92,307.58,305.0,306.22,306.92,2173.0,665128.43
2026-06-11,AXISTECETF,EQUITY,EQ,INF846K01Y96,308.77,308.77,303.49,306.92,308.87,2667.0,814278.18
2026-06-10,AXISTECETF,EQUITY,EQ,INF846K01Y96,313.66,317.39,308.48,308.87,313.66,3679.0,1147554.87
2026-06-09,AXISTECETF,EQUITY,EQ,INF846K01Y96,316.85,316.85,311.45,313.66,314.95,1807.0,565447.21
2026-06-08,AXISTECETF,EQUITY,EQ,INF846K01Y96,315.87,318.05,312.85,314.95,319.43,3064.0,965821.36
2026-06-05,AXISTECETF,EQUITY,EQ,INF846K01Y96,325.0,325.0,318.7,319.43,321.75,2059.0,658529.19
2026-06-04,AXISTECETF,EQUITY,EQ,INF846K01Y96,321.57,323.78,320.76,321.75,323.17,4464.0,1438940.24
2026-06-03,AXISTECETF,EQUITY,EQ,INF846K01Y96,333.33,334.21,322.19,323.17,341.63,51461.0,16715682.84
2026-06-02,AXISTECETF,EQUITY,EQ,INF846K01Y96,334.8,344.31,334.5,341.63,329.16,13598.0,4634040.18
2026-06-01,AXISTECETF,EQUITY,EQ,INF846K01Y96,320.01,332.22,320.01,329.16,319.69,11130.0,3669493.61
2026-05-29,AXISTECETF,EQUITY,EQ,INF846K01Y96,322.24,326.38,318.71,319.69,318.25,2966.0,963452.55
2026-05-27,AXISTECETF,EQUITY,EQ,INF846K01Y96,319.18,320.45,317.37,318.25,318.93,506.0,160978.5
2026-05-26,AXISTECETF,EQUITY,EQ,INF846K01Y96,318.99,321.06,317.83,318.93,317.6,2043.0,652766.02
2026-05-25,AXISTECETF,EQUITY,EQ,INF846K01Y96,318.06,319.89,315.71,317.6,318.4,3798.0,1205870.04
2026-05-22,AXISTECETF,EQUITY,EQ,INF846K01Y96,317.0,319.55,315.92,318.4,317.65,1220.0,388715.3
2026-05-21,AXISTECETF,EQUITY,EQ,INF846K01Y96,320.92,321.81,317.0,317.65,320.89,354822.0,112713746.27
2026-05-20,AXISTECETF,EQUITY,EQ,INF846K01Y96,323.0,323.99,305.69,320.89,328.61,4168.0,1339119.83
2026-05-19,AXISTECETF,EQUITY,EQ,INF846K01Y96,316.7,345.71,316.7,328.61,311.32,1042180.0,337551866.59
2026-05-18,AXISTECETF,EQUITY,EQ,INF846K01Y96,304.27,312.5,303.53,311.32,304.27,6024.0,1858391.29
2026-05-15,AXISTECETF,EQUITY,EQ,INF846K01Y96,302.0,307.72,302.0,304.27,300.87,5182.0,1584045.88
2026-05-14,AXISTECETF,EQUITY,EQ,INF846K01Y96,306.02,306.02,297.6,300.87,306.98,13328.0,3999031.86
2026-05-13,AXISTECETF,EQUITY,EQ,INF846K01Y96,314.48,314.48,306.0,306.98,310.32,4396.0,1354015.15
2026-05-12,AXISTECETF,EQUITY,EQ,INF846K01Y96,314.09,314.93,309.2,310.32,321.76,14804.0,4600398.96
2026-05-11,AXISTECETF,EQUITY,EQ,INF846K01Y96,315.32,324.09,315.27,321.76,322.36,8719.0,2814991.96
2026-05-08,AXISTECETF,EQUITY,EQ,INF846K01Y96,322.98,323.0,319.68,322.36,319.04,1848.0,594498.7
2026-05-07,AXISTECETF,EQUITY,EQ,INF846K01Y96,321.51,321.51,318.06,319.04,321.44,5819.0,1858918.04
2026-05-06,AXISTECETF,EQUITY,EQ,INF846K01Y96,320.5,324.25,320.2,321.44,320.28,4819.0,1550592.62
2026-05-05,AXISTECETF,EQUITY,EQ,INF846K01Y96,319.55,322.99,318.0,320.28,319.55,1366.0,436936.65
2026-05-04,AXISTECETF,EQUITY,EQ,INF846K01Y96,322.83,323.27,317.36,319.55,322.84,3202.0,1024613.05
2026-04-30,AXISTECETF,EQUITY,EQ,INF846K01Y96,321.39,325.24,318.6,322.84,321.38,1954.0,629566.77
2026-04-29,AXISTECETF,EQUITY,EQ,INF846K01Y96,318.65,323.29,318.65,321.38,318.28,3335.0,1074729.85
2026-04-28,AXISTECETF,EQUITY,EQ,INF846K01Y96,321.77,321.77,317.36,318.28,321.76,3700.0,1182703.03
2026-04-27,AXISTECETF,EQUITY,EQ,INF846K01Y96,313.02,325.5,308.89,321.76,313.02,4934.0,1574313.75
2026-04-24,AXISTECETF,EQUITY,EQ,INF846K01Y96,325.0,327.48,312.0,313.02,329.96,16483.0,5215295.14
2026-04-23,AXISTECETF,EQUITY,EQ,INF846K01Y96,334.2,334.2,329.0,329.96,334.2,4756.0,1572707.02
2026-04-22,AXISTECETF,EQUITY,EQ,INF846K01Y96,339.15,344.59,330.2,334.2,347.2,15208.0,5077523.92
2026-04-21,AXISTECETF,EQUITY,EQ,INF846K01Y96,344.78,347.9,344.73,347.2,345.85,15796.0,5457851.79
2026-04-20,AXISTECETF,EQUITY,EQ,INF846K01Y96,352.49,352.49,345.01,345.85,349.0,3244.0,1124884.4
2026-04-17,AXISTECETF,EQUITY,EQ,INF846K01Y96,350.27,350.27,346.33,349.0,348.53,1254.0,436508.48
2026-04-16,AXISTECETF,EQUITY,EQ,INF846K01Y96,348.72,351.0,346.55,348.53,345.55,2341.0,819227.83
2026-04-15,AXISTECETF,EQUITY,EQ,INF846K01Y96,344.08,346.02,342.13,345.55,336.18,3178.0,1094436.95
2026-04-13,AXISTECETF,EQUITY,EQ,INF846K01Y96,338.98,338.98,332.91,336.18,340.42,1658.0,556306.92
2026-04-10,AXISTECETF,EQUITY,EQ,INF846K01Y96,343.43,343.43,336.0,340.42,345.79,11342.0,3836836.23
2026-04-09,AXISTECETF,EQUITY,EQ,INF846K01Y96,340.22,346.65,340.21,345.79,344.86,1922.0,659138.17
2026-04-08,AXISTECETF,EQUITY,EQ,INF846K01Y96,345.23,347.0,342.28,344.86,343.06,3826.0,1318744.65
2026-04-07,AXISTECETF,EQUITY,EQ,INF846K01Y96,334.59,343.5,334.59,343.06,336.33,6934.0,2361394.89
2026-04-06,AXISTECETF,EQUITY,EQ,INF846K01Y96,332.96,337.4,331.53,336.33,333.17,3094.0,1040963.94
2026-04-02,AXISTECETF,EQUITY,EQ,INF846K01Y96,323.1,333.9,320.6,333.17,324.73,3414.0,1117498.58
2026-04-01,AXISTECETF,EQUITY,EQ,INF846K01Y96,327.63,331.0,324.01,324.73,318.1,3195.0,1046126.19
2026-03-30,AXISTECETF,EQUITY,EQ,INF846K01Y96,319.96,321.89,317.52,318.1,323.24,6054.0,1934731.16
2026-03-27,AXISTECETF,EQUITY,EQ,INF846K01Y96,326.34,328.67,323.02,323.24,325.14,8097.0,2645121.47
2026-03-25,AXISTECETF,EQUITY,EQ,INF846K01Y96,339.97,339.97,321.76,325.14,325.03,1806.0,587949.66
2026-03-24,AXISTECETF,EQUITY,EQ,INF846K01Y96,324.27,327.02,320.21,325.03,319.23,4730.0,1530505.71
2026-03-23,AXISTECETF,EQUITY,EQ,INF846K01Y96,321.97,321.97,315.41,319.23,321.81,3245.0,1034303.89
2026-03-20,AXISTECETF,EQUITY,EQ,INF846K01Y96,321.14,325.6,316.23,321.81,313.31,5014.0,1602228.25
