trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-02,AXISVALUE,EQUITY,EQ,INF846KA1119,33.27,33.4,32.87,33.16,32.88,40911.0,1354573.84
2026-07-01,AXISVALUE,EQUITY,EQ,INF846KA1119,33.05,33.18,32.79,32.88,32.89,58878.0,1942279.66
2026-06-30,AXISVALUE,EQUITY,EQ,INF846KA1119,33.18,33.38,32.82,32.89,32.87,49100.0,1621121.39
2026-06-29,AXISVALUE,EQUITY,EQ,INF846KA1119,33.08,33.37,32.82,32.87,33.08,55611.0,1835182.98
2026-06-25,AXISVALUE,EQUITY,EQ,INF846KA1119,33.25,33.78,33.0,33.08,33.5,116261.0,3865016.16
2026-06-24,AXISVALUE,EQUITY,EQ,INF846KA1119,33.45,33.67,33.22,33.5,33.44,95749.0,3197497.47
2026-06-23,AXISVALUE,EQUITY,EQ,INF846KA1119,33.91,33.99,33.37,33.44,33.89,111369.0,3743158.63
2026-06-22,AXISVALUE,EQUITY,EQ,INF846KA1119,34.37,34.37,33.81,33.89,33.86,67642.0,2295950.01
2026-06-19,AXISVALUE,EQUITY,EQ,INF846KA1119,34.18,34.18,33.75,33.86,34.16,69399.0,2349195.83
2026-06-18,AXISVALUE,EQUITY,EQ,INF846KA1119,34.2,39.0,33.63,34.16,33.72,128417.0,4378569.61
2026-06-17,AXISVALUE,EQUITY,EQ,INF846KA1119,33.64,33.97,33.3,33.72,33.64,65262.0,2200422.61
2026-06-16,AXISVALUE,EQUITY,EQ,INF846KA1119,33.82,33.95,33.44,33.64,33.82,257557.0,8640200.9
2026-06-15,AXISVALUE,EQUITY,EQ,INF846KA1119,33.3,34.39,33.3,33.82,33.21,128232.0,4353999.16
2026-06-12,AXISVALUE,EQUITY,EQ,INF846KA1119,33.72,33.72,32.89,33.21,32.9,1078939.0,35837323.41
2026-06-11,AXISVALUE,EQUITY,EQ,INF846KA1119,32.6,33.5,32.6,32.9,33.08,50480.0,1662321.35
2026-06-10,AXISVALUE,EQUITY,EQ,INF846KA1119,33.77,33.77,33.02,33.08,33.55,102281.0,3406270.61
2026-06-09,AXISVALUE,EQUITY,EQ,INF846KA1119,33.77,33.98,33.29,33.55,33.33,110785.0,3719778.16
2026-06-08,AXISVALUE,EQUITY,EQ,INF846KA1119,34.35,34.35,33.19,33.33,33.68,92620.0,3100628.73
2026-06-05,AXISVALUE,EQUITY,EQ,INF846KA1119,34.1,34.39,33.42,33.68,34.01,132230.0,4466293.5
2026-06-04,AXISVALUE,EQUITY,EQ,INF846KA1119,34.65,34.65,33.72,34.01,33.94,56767.0,1926223.17
2026-06-03,AXISVALUE,EQUITY,EQ,INF846KA1119,33.69,34.08,33.43,33.94,33.65,52860.0,1777201.31
2026-06-02,AXISVALUE,EQUITY,EQ,INF846KA1119,33.98,33.98,33.17,33.65,33.71,143309.0,4817777.92
2026-06-01,AXISVALUE,EQUITY,EQ,INF846KA1119,34.65,34.65,33.5,33.71,34.14,111360.0,3771999.26
2026-05-29,AXISVALUE,EQUITY,EQ,INF846KA1119,35.2,35.2,33.9,34.14,34.51,126413.0,4337604.27
2026-05-27,AXISVALUE,EQUITY,EQ,INF846KA1119,34.44,34.62,34.0,34.51,34.27,103553.0,3561622.66
2026-05-26,AXISVALUE,EQUITY,EQ,INF846KA1119,34.76,34.76,34.0,34.27,34.08,166401.0,5705960.78
2026-05-25,AXISVALUE,EQUITY,EQ,INF846KA1119,34.14,34.42,33.87,34.08,33.7,253452.0,8643766.62
2026-05-22,AXISVALUE,EQUITY,EQ,INF846KA1119,34.87,34.87,33.6,33.7,34.08,230845.0,7795230.08
2026-05-21,AXISVALUE,EQUITY,EQ,INF846KA1119,33.78,35.27,33.66,34.08,33.62,169429.0,5745655.13
2026-05-20,AXISVALUE,EQUITY,EQ,INF846KA1119,33.37,33.67,33.17,33.62,33.38,53776.0,1795462.78
2026-05-19,AXISVALUE,EQUITY,EQ,INF846KA1119,33.34,33.6,33.25,33.38,33.18,36455.0,1219257.67
2026-05-18,AXISVALUE,EQUITY,EQ,INF846KA1119,33.6,33.69,32.86,33.18,33.7,273484.0,9063510.34
2026-05-15,AXISVALUE,EQUITY,EQ,INF846KA1119,33.8,34.09,33.6,33.7,33.86,47156.0,1594693.92
2026-05-14,AXISVALUE,EQUITY,EQ,INF846KA1119,33.87,34.02,31.97,33.86,33.87,77647.0,2630901.83
2026-05-13,AXISVALUE,EQUITY,EQ,INF846KA1119,33.05,34.09,32.79,33.87,33.46,65133.0,2185953.75
2026-05-12,AXISVALUE,EQUITY,EQ,INF846KA1119,33.75,34.78,32.85,33.46,33.59,120359.0,4027612.72
2026-05-11,AXISVALUE,EQUITY,EQ,INF846KA1119,33.85,34.14,33.55,33.59,34.02,248047.0,8360864.56
2026-05-08,AXISVALUE,EQUITY,EQ,INF846KA1119,34.64,34.64,33.91,34.02,34.47,101687.0,3470526.47
2026-05-07,AXISVALUE,EQUITY,EQ,INF846KA1119,34.68,34.68,34.22,34.47,34.31,166332.0,5729506.24
2026-05-06,AXISVALUE,EQUITY,EQ,INF846KA1119,33.67,34.4,33.67,34.31,33.87,203695.0,6984309.35
2026-05-05,AXISVALUE,EQUITY,EQ,INF846KA1119,33.95,34.14,33.43,33.87,33.95,87811.0,2972549.91
2026-05-04,AXISVALUE,EQUITY,EQ,INF846KA1119,34.86,34.97,33.72,33.95,34.01,176222.0,6014464.93
2026-04-30,AXISVALUE,EQUITY,EQ,INF846KA1119,34.53,35.19,33.9,34.01,34.3,118993.0,4063335.28
2026-04-29,AXISVALUE,EQUITY,EQ,INF846KA1119,34.35,34.55,34.11,34.3,34.18,95207.0,3266065.79
2026-04-28,AXISVALUE,EQUITY,EQ,INF846KA1119,34.97,34.97,34.11,34.18,34.12,39468.0,1352363.76
2026-04-27,AXISVALUE,EQUITY,EQ,INF846KA1119,34.37,34.38,33.89,34.12,33.72,94590.0,3225862.57
2026-04-24,AXISVALUE,EQUITY,EQ,INF846KA1119,33.82,33.98,33.47,33.72,33.87,236470.0,7940010.79
2026-04-23,AXISVALUE,EQUITY,EQ,INF846KA1119,34.31,34.38,33.8,33.87,34.21,109775.0,3728939.09
2026-04-22,AXISVALUE,EQUITY,EQ,INF846KA1119,34.01,34.39,33.83,34.21,34.01,162700.0,5563919.85
2026-04-21,AXISVALUE,EQUITY,EQ,INF846KA1119,34.77,34.77,33.8,34.01,33.93,168098.0,5731842.72
2026-04-20,AXISVALUE,EQUITY,EQ,INF846KA1119,33.98,34.56,33.56,33.93,33.93,452028.0,15348954.85
2026-04-17,AXISVALUE,EQUITY,EQ,INF846KA1119,33.71,33.98,33.24,33.93,33.61,188538.0,6361106.51
2026-04-16,AXISVALUE,EQUITY,EQ,INF846KA1119,33.89,33.89,33.47,33.61,33.48,104957.0,3530667.98
2026-04-15,AXISVALUE,EQUITY,EQ,INF846KA1119,31.98,33.87,31.98,33.48,32.8,189921.0,6333619.55
2026-04-13,AXISVALUE,EQUITY,EQ,INF846KA1119,32.66,32.92,31.5,32.8,32.83,201441.0,6562723.08
2026-04-10,AXISVALUE,EQUITY,EQ,INF846KA1119,33.0,33.7,32.32,32.83,32.77,125558.0,4128790.76
2026-04-09,AXISVALUE,EQUITY,EQ,INF846KA1119,32.44,33.0,32.43,32.77,32.61,105248.0,3440044.59
2026-04-08,AXISVALUE,EQUITY,EQ,INF846KA1119,32.15,33.99,32.15,32.61,31.61,427449.0,13902657.36
