trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,BAJAJCON,EQUITY,EQ,INE933K01021,520.9,523.15,507.25,520.5,524.45,901856.0,466110779.05
2026-09-10,BAJAJCON,EQUITY,EQ,INE933K01021,524.95,533.0,514.25,524.45,521.45,1178666.0,618619572.1
2026-09-09,BAJAJCON,EQUITY,EQ,INE933K01021,514.1,524.0,509.0,521.45,514.1,824949.0,425944842.3
2026-09-08,BAJAJCON,EQUITY,EQ,INE933K01021,526.0,527.6,512.0,514.1,526.0,589132.0,304233162.0
2026-09-07,BAJAJCON,EQUITY,EQ,INE933K01021,515.1,528.5,506.55,526.0,517.55,1131292.0,590546458.65
2026-09-04,BAJAJCON,EQUITY,EQ,INE933K01021,512.0,519.8,507.5,517.55,508.95,1279757.0,657173077.4
2026-09-03,BAJAJCON,EQUITY,EQ,INE933K01021,488.0,511.95,484.75,508.95,484.55,1590658.0,801383513.85
2026-09-02,BAJAJCON,EQUITY,EQ,INE933K01021,472.0,498.0,465.6,484.55,471.95,2420197.0,1177149439.1
2026-09-01,BAJAJCON,EQUITY,EQ,INE933K01021,481.35,492.4,469.4,471.95,474.05,1247518.0,599834082.35
2026-08-31,BAJAJCON,EQUITY,EQ,INE933K01021,478.0,482.5,470.5,474.05,477.45,824112.0,393088545.65
2026-08-28,BAJAJCON,EQUITY,EQ,INE933K01021,452.0,479.5,449.1,477.45,450.6,1407453.0,663177989.3
2026-08-27,BAJAJCON,EQUITY,EQ,INE933K01021,461.9,466.5,447.85,450.6,463.5,843825.0,381867555.55
2026-08-26,BAJAJCON,EQUITY,EQ,INE933K01021,459.0,469.5,455.0,463.5,455.05,445556.0,206246367.1
2026-08-25,BAJAJCON,EQUITY,EQ,INE933K01021,468.8,481.8,453.7,455.05,463.2,939360.0,434984501.45
2026-08-24,BAJAJCON,EQUITY,EQ,INE933K01021,478.9,481.85,460.5,463.2,478.35,888190.0,415880561.85
2026-08-21,BAJAJCON,EQUITY,EQ,INE933K01021,486.95,490.75,477.0,478.35,486.95,542325.0,261578269.55
2026-08-20,BAJAJCON,EQUITY,EQ,INE933K01021,501.0,502.0,485.0,486.95,500.7,387003.0,190472143.55
2026-08-19,BAJAJCON,EQUITY,EQ,INE933K01021,485.4,506.7,477.05,500.7,484.05,964461.0,478395817.35
2026-08-18,BAJAJCON,EQUITY,EQ,INE933K01021,480.0,495.0,476.2,484.05,481.4,690508.0,334214061.25
2026-08-17,BAJAJCON,EQUITY,EQ,INE933K01021,500.0,511.2,476.4,481.4,500.6,1595673.0,775010801.9
2026-08-14,BAJAJCON,EQUITY,EQ,INE933K01021,526.0,532.55,498.0,500.6,527.65,961969.0,492773563.25
