trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,BALAJEE,EQUITY,EQ,INE0S2G01011,25.52,25.67,24.36,25.14,25.53,53682.0,1349361.15
2026-09-10,BALAJEE,EQUITY,EQ,INE0S2G01011,25.8,25.8,25.16,25.53,25.5,41722.0,1060216.0
2026-09-09,BALAJEE,EQUITY,EQ,INE0S2G01011,25.89,25.9,25.07,25.5,25.46,30955.0,789088.09
2026-09-08,BALAJEE,EQUITY,EQ,INE0S2G01011,26.49,26.49,25.11,25.46,25.73,31666.0,812988.81
2026-09-07,BALAJEE,EQUITY,EQ,INE0S2G01011,26.66,26.66,25.65,25.73,26.16,12936.0,334842.72
2026-09-04,BALAJEE,EQUITY,EQ,INE0S2G01011,26.65,26.65,26.11,26.16,26.15,17375.0,455973.2
2026-09-03,BALAJEE,EQUITY,EQ,INE0S2G01011,26.98,26.98,26.0,26.15,26.25,28150.0,735345.47
2026-09-02,BALAJEE,EQUITY,EQ,INE0S2G01011,26.27,26.44,25.81,26.25,26.06,16711.0,437066.22
2026-09-01,BALAJEE,EQUITY,EQ,INE0S2G01011,26.18,26.7,26.0,26.06,26.18,20852.0,546298.87
2026-08-31,BALAJEE,EQUITY,EQ,INE0S2G01011,27.0,27.0,25.65,26.18,26.51,15162.0,397928.85
2026-08-28,BALAJEE,EQUITY,EQ,INE0S2G01011,26.98,26.98,26.16,26.51,26.46,25967.0,686258.66
2026-08-27,BALAJEE,EQUITY,EQ,INE0S2G01011,26.12,26.79,26.11,26.46,26.21,18201.0,479731.41
2026-08-26,BALAJEE,EQUITY,EQ,INE0S2G01011,26.12,26.8,26.12,26.21,26.4,19686.0,517466.59
2026-08-25,BALAJEE,EQUITY,EQ,INE0S2G01011,27.0,27.0,26.26,26.4,26.59,14264.0,377936.68
2026-08-24,BALAJEE,EQUITY,EQ,INE0S2G01011,26.88,27.13,26.12,26.59,26.88,25213.0,674196.83
2026-08-21,BALAJEE,EQUITY,EQ,INE0S2G01011,26.7,27.15,26.5,26.88,26.77,18746.0,503723.63
2026-08-20,BALAJEE,EQUITY,EQ,INE0S2G01011,27.4,27.4,26.0,26.77,26.26,103545.0,2763850.92
2026-08-19,BALAJEE,EQUITY,EQ,INE0S2G01011,26.85,26.95,26.04,26.26,26.85,22441.0,595895.98
