trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,BALUFORGE,EQUITY,EQ,INE011E01029,539.8,554.9,528.35,541.55,541.65,1038353.0,562308888.4
2026-09-08,BALUFORGE,EQUITY,EQ,INE011E01029,552.3,557.7,540.1,541.65,557.6,787147.0,429975004.1
2026-09-07,BALUFORGE,EQUITY,EQ,INE011E01029,576.0,581.35,540.9,557.6,574.1,2264071.0,1260778601.65
2026-09-04,BALUFORGE,EQUITY,EQ,INE011E01029,572.5,585.35,563.6,574.1,570.35,1304593.0,750415894.45
2026-09-03,BALUFORGE,EQUITY,EQ,INE011E01029,588.0,622.0,563.2,570.35,578.4,3284539.0,1931027459.75
2026-09-02,BALUFORGE,EQUITY,EQ,INE011E01029,618.05,628.25,574.1,578.4,621.9,2344406.0,1380613144.0
2026-09-01,BALUFORGE,EQUITY,EQ,INE011E01029,630.9,638.0,613.0,621.9,630.6,1369121.0,856875374.65
2026-08-31,BALUFORGE,EQUITY,EQ,INE011E01029,640.05,650.0,626.45,630.6,638.8,1970291.0,1261136354.55
2026-08-28,BALUFORGE,EQUITY,EQ,INE011E01029,635.0,649.5,635.0,638.8,632.9,1441287.0,926029255.2
2026-08-27,BALUFORGE,EQUITY,EQ,INE011E01029,641.0,648.0,626.5,632.9,638.9,2329733.0,1483806617.1
2026-08-26,BALUFORGE,EQUITY,EQ,INE011E01029,625.0,646.55,625.0,638.9,609.6,4929020.0,3148535877.05
2026-08-25,BALUFORGE,EQUITY,EQ,INE011E01029,622.75,626.8,607.0,609.6,632.2,2738438.0,1686093778.2
2026-08-24,BALUFORGE,EQUITY,EQ,INE011E01029,568.0,638.0,568.0,632.2,555.4,15544329.0,9627404567.65
2026-08-21,BALUFORGE,EQUITY,EQ,INE011E01029,552.4,563.0,543.7,555.4,546.75,2235667.0,1241089765.55
2026-08-20,BALUFORGE,EQUITY,EQ,INE011E01029,540.15,554.5,531.15,546.75,537.5,1416472.0,770743325.35
2026-08-19,BALUFORGE,EQUITY,EQ,INE011E01029,542.1,547.0,533.4,537.5,542.55,935580.0,503504306.1
2026-08-18,BALUFORGE,EQUITY,EQ,INE011E01029,512.35,549.7,508.0,542.55,513.35,4047514.0,2176286223.35
2026-08-17,BALUFORGE,EQUITY,EQ,INE011E01029,502.7,531.4,502.7,513.35,493.75,4666822.0,2429067687.4
2026-08-14,BALUFORGE,EQUITY,EQ,INE011E01029,450.0,506.9,449.15,493.75,446.25,8980616.0,4430361360.35
2026-08-13,BALUFORGE,EQUITY,EQ,INE011E01029,459.95,467.5,441.55,446.25,463.0,1009802.0,456999583.05
2026-08-12,BALUFORGE,EQUITY,EQ,INE011E01029,462.0,471.0,455.0,463.0,459.0,1012793.0,469728743.15
2026-08-11,BALUFORGE,EQUITY,EQ,INE011E01029,460.0,468.05,454.4,459.0,461.2,899132.0,414438641.2
2026-08-10,BALUFORGE,EQUITY,EQ,INE011E01029,473.0,475.4,458.95,461.2,469.05,1075900.0,500870575.8
2026-08-07,BALUFORGE,EQUITY,EQ,INE011E01029,459.9,478.9,452.75,469.05,458.45,1528723.0,717397383.9
2026-08-06,BALUFORGE,EQUITY,EQ,INE011E01029,448.0,464.9,444.05,458.45,445.9,944256.0,432687842.25
2026-08-05,BALUFORGE,EQUITY,EQ,INE011E01029,445.7,450.9,441.45,445.9,439.45,723793.0,323202810.65
2026-08-04,BALUFORGE,EQUITY,EQ,INE011E01029,440.5,446.5,436.0,439.45,444.85,501487.0,221285160.7
2026-08-03,BALUFORGE,EQUITY,EQ,INE011E01029,440.45,451.95,440.45,444.85,440.35,387655.0,172838264.1
2026-07-31,BALUFORGE,EQUITY,EQ,INE011E01029,437.0,446.5,431.45,440.35,433.0,303452.0,133891882.35
2026-07-30,BALUFORGE,EQUITY,EQ,INE011E01029,442.0,442.0,431.25,433.0,441.3,161936.0,70313829.2
2026-07-29,BALUFORGE,EQUITY,EQ,INE011E01029,446.0,450.75,440.15,441.3,445.9,259636.0,115672334.1
2026-07-28,BALUFORGE,EQUITY,EQ,INE011E01029,439.7,448.5,435.0,445.9,439.75,301551.0,133533450.05
2026-07-27,BALUFORGE,EQUITY,EQ,INE011E01029,434.05,444.8,434.05,439.75,433.6,257865.0,113428834.55
2026-07-24,BALUFORGE,EQUITY,EQ,INE011E01029,431.8,435.0,425.0,433.6,431.8,237564.0,102200907.5
2026-07-23,BALUFORGE,EQUITY,EQ,INE011E01029,428.0,437.2,422.6,431.8,428.1,254143.0,109865974.4
2026-07-22,BALUFORGE,EQUITY,EQ,INE011E01029,440.0,441.05,426.1,428.1,441.3,339456.0,146654801.55
2026-07-21,BALUFORGE,EQUITY,EQ,INE011E01029,444.4,449.1,440.4,441.3,446.45,224903.0,99749838.35
2026-07-20,BALUFORGE,EQUITY,EQ,INE011E01029,445.0,449.9,444.0,446.45,448.95,166432.0,74391404.2
2026-07-17,BALUFORGE,EQUITY,EQ,INE011E01029,446.0,452.65,442.55,448.95,447.5,337867.0,151280497.7
2026-07-16,BALUFORGE,EQUITY,EQ,INE011E01029,452.5,457.9,446.0,447.5,450.8,243236.0,109353755.75
2026-07-15,BALUFORGE,EQUITY,EQ,INE011E01029,451.0,454.9,446.75,450.8,447.3,1034111.0,464535037.3
2026-07-14,BALUFORGE,EQUITY,EQ,INE011E01029,464.0,464.8,445.5,447.3,467.5,688762.0,311056246.9
2026-07-13,BALUFORGE,EQUITY,EQ,INE011E01029,457.9,471.4,455.5,467.5,465.1,565065.0,263519994.0
2026-07-10,BALUFORGE,EQUITY,EQ,INE011E01029,456.4,472.0,452.5,465.1,452.1,665119.0,309647600.05
2026-07-09,BALUFORGE,EQUITY,EQ,INE011E01029,442.5,455.6,440.1,452.1,439.8,408323.0,183662531.8
2026-07-08,BALUFORGE,EQUITY,EQ,INE011E01029,448.6,453.0,435.8,439.8,453.1,331306.0,147247114.65
2026-07-07,BALUFORGE,EQUITY,EQ,INE011E01029,462.0,462.95,451.0,453.1,460.35,225389.0,102470058.3
2026-07-06,BALUFORGE,EQUITY,EQ,INE011E01029,466.0,468.0,445.1,460.35,465.7,596768.0,272013264.45
2026-07-03,BALUFORGE,EQUITY,EQ,INE011E01029,471.0,475.0,463.05,465.7,470.15,366525.0,171445272.2
2026-07-02,BALUFORGE,EQUITY,EQ,INE011E01029,465.95,473.3,465.25,470.15,465.6,293083.0,137506030.9
2026-07-01,BALUFORGE,EQUITY,EQ,INE011E01029,469.05,476.15,462.55,465.6,466.6,393561.0,185075188.1
2026-06-30,BALUFORGE,EQUITY,EQ,INE011E01029,459.0,469.0,454.2,466.6,456.15,433371.0,200984649.95
2026-06-29,BALUFORGE,EQUITY,EQ,INE011E01029,457.0,458.5,449.0,456.15,453.95,324409.0,147430948.45
2026-06-25,BALUFORGE,EQUITY,EQ,INE011E01029,477.75,480.8,451.8,453.95,472.75,734705.0,339061992.3
2026-06-24,BALUFORGE,EQUITY,EQ,INE011E01029,474.05,482.0,465.15,472.75,471.25,665863.0,315117227.55
2026-06-23,BALUFORGE,EQUITY,EQ,INE011E01029,456.2,487.4,453.0,471.25,458.2,2278772.0,1083182153.7
2026-06-22,BALUFORGE,EQUITY,EQ,INE011E01029,451.75,461.0,449.0,458.2,448.75,543269.0,246763142.3
2026-06-19,BALUFORGE,EQUITY,EQ,INE011E01029,447.0,451.65,442.5,448.75,446.25,332080.0,148715166.45
2026-06-18,BALUFORGE,EQUITY,EQ,INE011E01029,448.3,454.5,444.6,446.25,447.95,348533.0,155863928.3
