trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,BANARISUG,EQUITY,EQ,INE459A01010,3824.6,3824.6,3720.1,3743.6,3832.3,1142.0,4306645.4
2026-09-07,BANARISUG,EQUITY,EQ,INE459A01010,3825.2,3924.3,3785.1,3832.3,3803.3,2346.0,9008026.7
2026-09-04,BANARISUG,EQUITY,EQ,INE459A01010,3878.2,3883.0,3774.0,3803.3,3874.7,857.0,3276412.6
2026-09-03,BANARISUG,EQUITY,EQ,INE459A01010,3884.8,3969.0,3850.0,3874.7,3864.8,1510.0,5881495.9
2026-09-02,BANARISUG,EQUITY,EQ,INE459A01010,3769.1,3897.9,3768.0,3864.8,3766.2,2140.0,8230769.3
2026-09-01,BANARISUG,EQUITY,EQ,INE459A01010,3897.0,3934.7,3745.0,3766.2,3925.7,1473.0,5616219.3
2026-08-31,BANARISUG,EQUITY,EQ,INE459A01010,3942.5,4094.0,3900.0,3925.7,3930.7,5097.0,20308723.0
2026-08-28,BANARISUG,EQUITY,EQ,INE459A01010,3797.5,4060.0,3797.5,3930.7,3766.4,8682.0,34381006.5
2026-08-27,BANARISUG,EQUITY,EQ,INE459A01010,3847.3,3857.5,3756.1,3766.4,3847.9,1062.0,4032356.7
2026-08-26,BANARISUG,EQUITY,EQ,INE459A01010,3895.7,3929.4,3830.6,3847.9,3899.9,1889.0,7309755.1
2026-08-25,BANARISUG,EQUITY,EQ,INE459A01010,3965.1,3965.1,3882.2,3899.9,3997.9,3615.0,14182341.0
2026-08-24,BANARISUG,EQUITY,EQ,INE459A01010,4050.0,4249.0,3901.0,3997.9,4019.7,14699.0,60714945.8
2026-08-21,BANARISUG,EQUITY,EQ,INE459A01010,4114.9,4199.0,3950.0,4019.7,4240.7,22815.0,92683637.4
2026-08-20,BANARISUG,EQUITY,EQ,INE459A01010,3635.0,4338.0,3635.0,4240.7,3617.4,71353.0,295707720.9
2026-08-19,BANARISUG,EQUITY,EQ,INE459A01010,3573.0,3721.0,3485.9,3617.4,3543.9,4672.0,16969373.2
2026-08-18,BANARISUG,EQUITY,EQ,INE459A01010,3469.8,3565.0,3469.8,3543.9,3469.8,1129.0,3970508.2
2026-08-17,BANARISUG,EQUITY,EQ,INE459A01010,3422.0,3498.9,3334.2,3469.8,3450.0,194.0,673731.8
2026-08-14,BANARISUG,EQUITY,EQ,INE459A01010,3475.0,3523.5,3450.0,3450.0,3462.5,721.0,2503449.2
2026-08-13,BANARISUG,EQUITY,EQ,INE459A01010,3490.0,3490.0,3450.0,3462.5,3464.3,103.0,356040.4
2026-08-12,BANARISUG,EQUITY,EQ,INE459A01010,3460.0,3474.9,3410.0,3464.3,3484.1,486.0,1674114.3
2026-08-11,BANARISUG,EQUITY,EQ,INE459A01010,3499.0,3499.0,3431.7,3484.1,3477.1,1042.0,3606210.0
2026-08-10,BANARISUG,EQUITY,EQ,INE459A01010,3490.0,3519.5,3475.0,3477.1,3491.0,451.0,1573676.5
2026-08-07,BANARISUG,EQUITY,EQ,INE459A01010,3510.0,3534.9,3476.2,3491.0,3510.5,66.0,231617.9
2026-08-06,BANARISUG,EQUITY,EQ,INE459A01010,3475.0,3525.0,3475.0,3510.5,3475.1,1600.0,5624969.1
2026-08-05,BANARISUG,EQUITY,EQ,INE459A01010,3499.0,3499.0,3475.0,3475.1,3480.4,246.0,855418.2
2026-08-04,BANARISUG,EQUITY,EQ,INE459A01010,3484.7,3505.0,3475.0,3480.4,3487.2,321.0,1118015.5
2026-08-03,BANARISUG,EQUITY,EQ,INE459A01010,3474.9,3532.5,3470.0,3487.2,3475.3,345.0,1208855.8
2026-07-31,BANARISUG,EQUITY,EQ,INE459A01010,3495.4,3498.9,3475.0,3475.3,3497.1,104.0,361633.5
2026-07-30,BANARISUG,EQUITY,EQ,INE459A01010,3500.0,3500.0,3475.0,3497.1,3475.7,178.0,620554.8
2026-07-29,BANARISUG,EQUITY,EQ,INE459A01010,3445.0,3500.0,3445.0,3475.7,3482.7,342.0,1191374.6
2026-07-28,BANARISUG,EQUITY,EQ,INE459A01010,3460.0,3495.0,3455.0,3482.7,3475.1,112.0,389529.6
2026-07-27,BANARISUG,EQUITY,EQ,INE459A01010,3499.0,3499.0,3475.0,3475.1,3501.8,204.0,709489.9
2026-07-24,BANARISUG,EQUITY,EQ,INE459A01010,3475.0,3515.0,3475.0,3501.8,3491.0,160.0,559344.4
2026-07-23,BANARISUG,EQUITY,EQ,INE459A01010,3484.8,3543.1,3475.0,3491.0,3476.6,308.0,1076433.0
2026-07-22,BANARISUG,EQUITY,EQ,INE459A01010,3476.4,3490.6,3475.0,3476.6,3475.0,41.0,142539.6
2026-07-21,BANARISUG,EQUITY,EQ,INE459A01010,3476.4,3500.0,3472.1,3475.0,3477.6,305.0,1062432.7
2026-07-20,BANARISUG,EQUITY,EQ,INE459A01010,3469.2,3487.5,3465.2,3477.6,3469.0,940.0,3266615.2
2026-07-17,BANARISUG,EQUITY,EQ,INE459A01010,3502.7,3502.7,3421.0,3469.0,3475.0,252.0,875448.7
2026-07-16,BANARISUG,EQUITY,EQ,INE459A01010,3483.1,3506.2,3475.0,3475.0,3485.0,112.0,390041.7
2026-07-15,BANARISUG,EQUITY,EQ,INE459A01010,3507.9,3510.0,3475.0,3485.0,3479.5,356.0,1238381.3
2026-07-14,BANARISUG,EQUITY,EQ,INE459A01010,3528.9,3543.0,3466.3,3479.5,3505.1,182.0,635994.4
2026-07-13,BANARISUG,EQUITY,EQ,INE459A01010,3498.7,3542.0,3475.1,3505.1,3499.0,229.0,803158.7
2026-07-10,BANARISUG,EQUITY,EQ,INE459A01010,3488.7,3500.0,3477.1,3499.0,3478.7,92.0,321523.7
2026-07-09,BANARISUG,EQUITY,EQ,INE459A01010,3492.7,3500.0,3475.0,3478.7,3476.0,131.0,456016.4
2026-07-08,BANARISUG,EQUITY,EQ,INE459A01010,3504.0,3504.0,3475.0,3476.0,3475.6,88.0,306190.8
2026-07-07,BANARISUG,EQUITY,EQ,INE459A01010,3481.3,3507.0,3475.0,3475.6,3478.7,505.0,1755355.9
2026-07-06,BANARISUG,EQUITY,EQ,INE459A01010,3510.4,3510.4,3475.0,3478.7,3483.6,123.0,427869.3
2026-07-03,BANARISUG,EQUITY,EQ,INE459A01010,3499.9,3511.2,3475.0,3483.6,3510.6,360.0,1255946.1
2026-07-02,BANARISUG,EQUITY,EQ,INE459A01010,3479.0,3524.9,3479.0,3510.6,3467.7,234.0,819726.6
