trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-10-10,BARBEQUE,EQUITY,EQ,INE382M01027,225.0,227.78,223.71,224.87,224.4,39059.0,8802439.08
2025-10-09,BARBEQUE,EQUITY,EQ,INE382M01027,224.26,225.09,222.34,224.4,224.26,30644.0,6850710.12
2025-10-08,BARBEQUE,EQUITY,EQ,INE382M01027,228.92,229.84,220.05,224.26,228.92,93614.0,20986807.3
2025-10-07,BARBEQUE,EQUITY,EQ,INE382M01027,233.28,234.28,227.6,228.92,233.28,131922.0,30471767.08
2025-10-06,BARBEQUE,EQUITY,EQ,INE382M01027,235.38,235.74,231.65,233.28,235.38,28084.0,6556372.85
2025-10-03,BARBEQUE,EQUITY,EQ,INE382M01027,236.98,237.8,231.4,235.38,234.12,78252.0,18407143.19
2025-10-01,BARBEQUE,EQUITY,EQ,INE382M01027,228.9,236.24,228.35,234.12,232.4,74298.0,17207709.14
2025-09-30,BARBEQUE,EQUITY,EQ,INE382M01027,230.0,234.35,227.65,232.4,229.15,85165.0,19782589.0
2025-09-29,BARBEQUE,EQUITY,EQ,INE382M01027,230.0,232.7,224.3,229.15,227.45,165430.0,37775563.1
2025-09-26,BARBEQUE,EQUITY,EQ,INE382M01027,226.2,231.85,219.15,227.45,226.15,176154.0,39432552.2
2025-09-25,BARBEQUE,EQUITY,EQ,INE382M01027,227.0,232.7,221.4,226.15,226.0,159579.0,36069618.45
2025-09-24,BARBEQUE,EQUITY,EQ,INE382M01027,233.7,234.9,225.0,226.0,232.2,145397.0,33362362.55
2025-09-23,BARBEQUE,EQUITY,EQ,INE382M01027,236.45,241.5,230.5,232.2,236.45,144315.0,33906141.65
2025-09-22,BARBEQUE,EQUITY,EQ,INE382M01027,245.75,247.65,234.0,236.45,243.25,184520.0,44270319.75
2025-09-19,BARBEQUE,EQUITY,EQ,INE382M01027,249.85,250.3,241.8,243.25,249.55,148408.0,36346544.8
2025-09-18,BARBEQUE,EQUITY,EQ,INE382M01027,254.0,254.0,248.5,249.55,250.4,90546.0,22660262.35
2025-09-17,BARBEQUE,EQUITY,EQ,INE382M01027,252.5,255.0,249.25,250.4,249.95,130091.0,32738097.15
2025-09-16,BARBEQUE,EQUITY,EQ,INE382M01027,253.0,256.45,249.1,249.95,252.0,187412.0,47020741.25
2025-09-15,BARBEQUE,EQUITY,EQ,INE382M01027,255.0,257.0,250.1,252.0,256.25,110399.0,27944833.4
2025-09-12,BARBEQUE,EQUITY,EQ,INE382M01027,256.15,259.7,251.75,256.25,254.2,79241.0,20336550.4
2025-09-11,BARBEQUE,EQUITY,EQ,INE382M01027,259.45,261.95,253.65,254.2,259.45,98585.0,25479032.55
2025-09-10,BARBEQUE,EQUITY,EQ,INE382M01027,258.35,261.8,254.7,259.45,256.7,113610.0,29410230.2
2025-09-09,BARBEQUE,EQUITY,EQ,INE382M01027,256.0,262.35,253.05,256.7,254.7,174600.0,44967287.35
2025-09-08,BARBEQUE,EQUITY,EQ,INE382M01027,265.0,265.0,252.5,254.7,259.4,115626.0,29798392.4
2025-09-05,BARBEQUE,EQUITY,EQ,INE382M01027,264.4,266.5,258.05,259.4,263.0,39411.0,10296547.5
2025-09-04,BARBEQUE,EQUITY,EQ,INE382M01027,269.7,270.0,260.0,263.0,264.55,75411.0,19970140.4
2025-09-03,BARBEQUE,EQUITY,EQ,INE382M01027,266.5,268.45,264.0,264.55,268.85,55728.0,14801698.5
2025-09-02,BARBEQUE,EQUITY,EQ,INE382M01027,267.0,272.0,264.25,268.85,266.0,66248.0,17781611.25
2025-09-01,BARBEQUE,EQUITY,EQ,INE382M01027,268.0,269.7,265.0,266.0,268.3,39995.0,10677302.1
2025-08-29,BARBEQUE,EQUITY,EQ,INE382M01027,259.25,276.7,257.85,268.3,259.85,258372.0,69900653.35
2025-08-28,BARBEQUE,EQUITY,EQ,INE382M01027,262.0,262.55,257.3,259.85,261.4,48460.0,12580978.6
2025-08-26,BARBEQUE,EQUITY,EQ,INE382M01027,268.75,268.95,260.0,261.4,268.15,109990.0,28798351.25
2025-08-25,BARBEQUE,EQUITY,EQ,INE382M01027,267.0,272.85,263.4,268.15,265.25,114909.0,30856661.7
2025-08-22,BARBEQUE,EQUITY,EQ,INE382M01027,266.1,266.8,262.15,265.25,266.65,27702.0,7318013.3
2025-08-21,BARBEQUE,EQUITY,EQ,INE382M01027,272.15,275.0,265.6,266.65,272.15,56648.0,15227152.65
2025-08-20,BARBEQUE,EQUITY,EQ,INE382M01027,266.0,274.2,263.0,272.15,264.9,69298.0,18695391.25
2025-08-19,BARBEQUE,EQUITY,EQ,INE382M01027,262.0,269.75,261.15,264.9,259.15,69360.0,18340578.2
2025-08-18,BARBEQUE,EQUITY,EQ,INE382M01027,255.95,262.25,254.25,259.15,254.5,52785.0,13684668.75
2025-08-14,BARBEQUE,EQUITY,EQ,INE382M01027,262.0,262.9,252.5,254.5,260.8,34719.0,8943740.65
2025-08-13,BARBEQUE,EQUITY,EQ,INE382M01027,253.8,262.7,252.05,260.8,252.5,69707.0,18014236.95
2025-08-12,BARBEQUE,EQUITY,EQ,INE382M01027,255.15,261.95,248.8,252.5,251.4,75212.0,19186043.25
2025-08-11,BARBEQUE,EQUITY,EQ,INE382M01027,254.0,258.9,246.55,251.4,253.25,174252.0,43708325.05
2025-08-08,BARBEQUE,EQUITY,EQ,INE382M01027,252.1,260.15,250.1,253.25,252.05,103201.0,26239492.6
2025-08-07,BARBEQUE,EQUITY,EQ,INE382M01027,252.45,255.1,247.05,252.05,251.35,137102.0,34290472.65
