trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-01,BASML,EQUITY,EQ,INE186H01022,27.26,28.0,26.75,27.28,28.05,513380.0,14026852.52
2026-06-30,BASML,EQUITY,EQ,INE186H01022,27.5,29.25,27.11,28.05,27.46,393820.0,11157847.29
2026-06-29,BASML,EQUITY,EQ,INE186H01022,27.9,28.63,27.25,27.46,28.08,207753.0,5786874.79
2026-06-25,BASML,EQUITY,EQ,INE186H01022,28.0,28.5,27.16,28.08,27.6,284624.0,7899993.76
2026-06-24,BASML,EQUITY,EQ,INE186H01022,25.43,28.74,25.01,27.6,24.93,1346160.0,36864146.31
2026-06-23,BASML,EQUITY,EQ,INE186H01022,26.26,26.4,24.55,24.93,26.26,147006.0,3768006.68
2026-06-22,BASML,EQUITY,EQ,INE186H01022,25.75,26.5,25.26,26.26,25.13,157501.0,4080640.29
2026-06-19,BASML,EQUITY,EQ,INE186H01022,24.79,25.24,24.76,25.13,24.79,49558.0,1234799.8
2026-06-18,BASML,EQUITY,EQ,INE186H01022,25.75,25.75,24.37,24.79,24.89,197247.0,4900112.76
2026-06-17,BASML,EQUITY,EQ,INE186H01022,24.36,25.59,24.36,24.89,25.06,134017.0,3357252.24
2026-06-16,BASML,EQUITY,EQ,INE186H01022,25.1,25.52,24.16,25.06,24.52,294015.0,7291955.84
2026-06-15,BASML,EQUITY,EQ,INE186H01022,25.0,25.25,24.31,24.52,24.75,189111.0,4705173.43
2026-06-12,BASML,EQUITY,EQ,INE186H01022,24.83,25.64,24.61,24.75,24.89,288793.0,7189089.76
2026-06-11,BASML,EQUITY,EQ,INE186H01022,25.4,25.58,24.56,24.89,25.11,96950.0,2432121.61
2026-06-10,BASML,EQUITY,EQ,INE186H01022,26.8,27.89,24.74,25.11,26.84,306271.0,7916511.81
2026-06-09,BASML,EQUITY,EQ,INE186H01022,24.01,27.47,24.01,26.84,24.81,426163.0,11330990.75
2026-06-08,BASML,EQUITY,EQ,INE186H01022,25.0,25.4,24.5,24.81,24.46,73802.0,1849985.38
