trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,BENGALASM,EQUITY,EQ,INE083K01017,6107.5,6300.0,6105.0,6265.0,6200.5,186.0,1154732.0
2026-09-10,BENGALASM,EQUITY,EQ,INE083K01017,6196.5,6374.5,6151.0,6200.5,6149.5,4096.0,25437110.5
2026-09-09,BENGALASM,EQUITY,EQ,INE083K01017,6206.5,6300.0,6113.5,6149.5,6222.0,6527.0,40596050.5
2026-09-08,BENGALASM,EQUITY,EQ,INE083K01017,6349.5,6350.0,6206.0,6222.0,6302.0,252.0,1576866.0
2026-09-07,BENGALASM,EQUITY,EQ,INE083K01017,6277.0,6490.0,6226.0,6302.0,6332.5,438.0,2778875.0
2026-09-04,BENGALASM,EQUITY,EQ,INE083K01017,6445.0,6499.0,6271.0,6332.5,6375.0,362.0,2318625.0
2026-09-03,BENGALASM,EQUITY,EQ,INE083K01017,6470.0,6600.0,6212.0,6375.0,6474.0,2123.0,13467407.0
2026-09-02,BENGALASM,EQUITY,EQ,INE083K01017,6630.0,6688.5,6263.0,6474.0,6661.5,336.0,2199447.0
2026-09-01,BENGALASM,EQUITY,EQ,INE083K01017,6438.0,6700.0,6422.0,6661.5,6438.0,1001.0,6606321.5
2026-08-31,BENGALASM,EQUITY,EQ,INE083K01017,6399.0,6557.0,6280.0,6438.0,6339.5,1373.0,8791469.0
2026-08-28,BENGALASM,EQUITY,EQ,INE083K01017,6250.0,6350.0,6247.5,6339.5,6248.0,462.0,2905630.0
2026-08-27,BENGALASM,EQUITY,EQ,INE083K01017,6162.0,6280.0,6140.0,6248.0,6160.0,289.0,1796188.5
2026-08-26,BENGALASM,EQUITY,EQ,INE083K01017,6217.0,6217.0,6126.5,6160.0,6165.0,157.0,970354.0
2026-08-25,BENGALASM,EQUITY,EQ,INE083K01017,6170.0,6170.0,6150.5,6165.0,6184.5,32.0,197135.0
2026-08-24,BENGALASM,EQUITY,EQ,INE083K01017,6287.0,6287.0,6152.5,6184.5,6256.0,762.0,4721096.0
2026-08-21,BENGALASM,EQUITY,EQ,INE083K01017,6187.0,6287.0,6127.0,6256.0,6201.0,203.0,1261309.5
2026-08-20,BENGALASM,EQUITY,EQ,INE083K01017,6201.0,6289.5,6120.0,6201.0,6201.5,218.0,1349642.0
2026-08-19,BENGALASM,EQUITY,EQ,INE083K01017,6250.0,6250.0,6153.0,6201.5,6246.0,109.0,676527.5
2026-08-18,BENGALASM,EQUITY,EQ,INE083K01017,6234.5,6333.5,6234.5,6246.0,6234.5,91.0,569234.5
2026-08-17,BENGALASM,EQUITY,EQ,INE083K01017,6159.5,6239.0,6159.5,6234.5,6210.0,106.0,658778.0
2026-08-14,BENGALASM,EQUITY,EQ,INE083K01017,6090.5,6237.5,6090.5,6210.0,6216.0,126.0,781704.5
2026-08-13,BENGALASM,EQUITY,EQ,INE083K01017,6155.0,6250.0,6155.0,6216.0,6206.0,34.0,211008.0
2026-08-12,BENGALASM,EQUITY,EQ,INE083K01017,6186.0,6217.5,6155.0,6206.0,6204.5,404.0,2506763.5
