trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,BHANDARI,EQUITY,EQ,INE474E01029,3.0,3.04,2.97,3.01,2.98,113309.0,339772.6
2026-09-07,BHANDARI,EQUITY,EQ,INE474E01029,3.08,3.08,2.95,2.98,3.03,145915.0,438978.09
2026-09-04,BHANDARI,EQUITY,EQ,INE474E01029,3.02,3.05,3.0,3.03,3.0,101595.0,307877.04
2026-09-03,BHANDARI,EQUITY,EQ,INE474E01029,2.98,3.06,2.92,3.0,2.98,171835.0,516114.6
2026-09-02,BHANDARI,EQUITY,EQ,INE474E01029,2.97,3.1,2.94,2.98,2.96,198728.0,595376.73
2026-09-01,BHANDARI,EQUITY,EQ,INE474E01029,3.01,3.01,2.95,2.96,2.98,69915.0,208557.19
2026-08-31,BHANDARI,EQUITY,EQ,INE474E01029,3.05,3.08,2.96,2.98,3.03,126528.0,380411.54
2026-08-28,BHANDARI,EQUITY,EQ,INE474E01029,3.09,3.09,3.01,3.03,3.04,90135.0,274966.05
2026-08-27,BHANDARI,EQUITY,EQ,INE474E01029,3.04,3.1,2.97,3.04,3.01,146566.0,445457.41
2026-08-26,BHANDARI,EQUITY,EQ,INE474E01029,3.08,3.08,3.01,3.01,3.04,129667.0,393687.63
2026-08-25,BHANDARI,EQUITY,EQ,INE474E01029,3.1,3.1,3.03,3.04,3.06,61811.0,188777.9
2026-08-24,BHANDARI,EQUITY,EQ,INE474E01029,3.05,3.13,3.04,3.06,3.05,165460.0,510032.54
2026-08-21,BHANDARI,EQUITY,EQ,INE474E01029,3.02,3.13,2.96,3.05,3.02,200016.0,612415.27
2026-08-20,BHANDARI,EQUITY,EQ,INE474E01029,3.1,3.1,3.02,3.02,3.04,102382.0,313232.92
2026-08-19,BHANDARI,EQUITY,EQ,INE474E01029,3.09,3.09,3.01,3.04,3.05,146191.0,445837.76
2026-08-18,BHANDARI,EQUITY,EQ,INE474E01029,3.03,3.13,3.02,3.05,3.03,247615.0,758642.92
2026-08-17,BHANDARI,EQUITY,EQ,INE474E01029,2.89,3.14,2.85,3.03,2.86,452874.0,1359612.19
2026-05-13,BHANDARI,EQUITY,EQ,INE474E01029,3.73,3.86,3.5,3.73,3.64,663010.0,2494817.06
2026-05-12,BHANDARI,EQUITY,EQ,INE474E01029,3.79,3.84,3.52,3.64,3.85,902332.0,3311967.67
2026-05-11,BHANDARI,EQUITY,EQ,INE474E01029,3.35,3.86,3.35,3.85,3.51,2630518.0,9920125.26
2026-05-08,BHANDARI,EQUITY,EQ,INE474E01029,3.48,3.57,3.33,3.51,3.38,938937.0,3236536.35
2026-05-07,BHANDARI,EQUITY,EQ,INE474E01029,3.1,3.38,3.1,3.38,3.08,1234823.0,4106101.85
2026-05-06,BHANDARI,EQUITY,EQ,INE474E01029,3.02,3.12,3.02,3.08,3.03,268382.0,825139.23
2026-05-05,BHANDARI,EQUITY,EQ,INE474E01029,3.1,3.14,3.01,3.03,3.09,423075.0,1293413.66
2026-05-04,BHANDARI,EQUITY,EQ,INE474E01029,3.15,3.23,3.08,3.09,3.14,502770.0,1576608.65
