trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,BIKAJI,EQUITY,EQ,INE00E101023,580.0,584.05,571.0,571.7,583.7,64910.0,37257565.0
2026-09-08,BIKAJI,EQUITY,EQ,INE00E101023,579.0,590.2,577.4,583.7,580.25,95487.0,55718194.9
2026-09-07,BIKAJI,EQUITY,EQ,INE00E101023,585.1,587.0,577.1,580.25,584.2,73330.0,42494887.6
2026-09-04,BIKAJI,EQUITY,EQ,INE00E101023,587.15,589.85,582.0,584.2,587.15,52134.0,30526794.75
2026-09-03,BIKAJI,EQUITY,EQ,INE00E101023,595.0,595.35,584.2,587.15,590.2,218603.0,128381625.9
2026-09-02,BIKAJI,EQUITY,EQ,INE00E101023,597.0,598.3,586.9,590.2,598.3,356630.0,210664004.8
2026-09-01,BIKAJI,EQUITY,EQ,INE00E101023,610.3,619.5,592.0,598.3,625.7,626123.0,375778601.8
2026-08-31,BIKAJI,EQUITY,EQ,INE00E101023,624.0,628.0,616.0,625.7,618.8,138538.0,86251095.0
2026-08-28,BIKAJI,EQUITY,EQ,INE00E101023,614.95,624.2,612.0,618.8,611.9,244238.0,151019471.55
2026-08-27,BIKAJI,EQUITY,EQ,INE00E101023,615.15,635.9,607.6,611.9,612.1,663473.0,414445724.35
2026-08-26,BIKAJI,EQUITY,EQ,INE00E101023,605.15,620.7,601.7,612.1,599.8,170484.0,104657995.45
2026-08-25,BIKAJI,EQUITY,EQ,INE00E101023,602.95,605.0,598.1,599.8,602.95,106743.0,64126210.15
2026-08-24,BIKAJI,EQUITY,EQ,INE00E101023,605.75,610.0,601.2,602.95,605.75,127644.0,77061916.8
2026-08-21,BIKAJI,EQUITY,EQ,INE00E101023,607.05,610.7,603.4,605.75,607.0,42836.0,25968165.15
2026-08-20,BIKAJI,EQUITY,EQ,INE00E101023,609.3,612.95,606.0,607.0,609.15,37540.0,22880050.65
2026-08-19,BIKAJI,EQUITY,EQ,INE00E101023,606.15,613.65,606.15,609.15,608.65,28502.0,17394588.95
2026-08-18,BIKAJI,EQUITY,EQ,INE00E101023,613.0,615.8,608.0,608.65,613.65,36824.0,22491279.2
2026-08-17,BIKAJI,EQUITY,EQ,INE00E101023,614.0,616.2,611.3,613.65,613.3,42552.0,26092505.5
2026-08-14,BIKAJI,EQUITY,EQ,INE00E101023,617.95,622.0,607.95,613.3,616.9,282263.0,173783359.65
2026-08-13,BIKAJI,EQUITY,EQ,INE00E101023,610.0,621.7,610.0,616.9,609.6,71192.0,43992196.5
2026-08-12,BIKAJI,EQUITY,EQ,INE00E101023,619.95,621.35,606.15,609.6,619.85,122851.0,75275911.0
2026-08-11,BIKAJI,EQUITY,EQ,INE00E101023,626.7,626.7,610.6,619.85,623.3,117528.0,72562211.2
2026-08-10,BIKAJI,EQUITY,EQ,INE00E101023,626.0,628.7,622.5,623.3,623.5,39883.0,24924515.25
