trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,BIMETAL,EQUITY,EQ,INE469A01019,606.0,628.5,606.0,612.5,620.1,91.0,56664.9
2026-09-07,BIMETAL,EQUITY,EQ,INE469A01019,635.0,635.0,575.8,620.1,635.0,567.0,344499.25
2026-09-04,BIMETAL,EQUITY,EQ,INE469A01019,633.5,635.5,633.5,635.0,630.45,107.0,67953.0
2026-09-03,BIMETAL,EQUITY,EQ,INE469A01019,640.95,641.0,621.0,630.45,638.9,392.0,246331.75
2026-09-02,BIMETAL,EQUITY,EQ,INE469A01019,640.0,641.0,633.0,638.9,640.05,329.0,209160.15
2026-09-01,BIMETAL,EQUITY,EQ,INE469A01019,640.0,654.95,620.0,640.05,636.85,326.0,208960.0
2026-08-31,BIMETAL,EQUITY,EQ,INE469A01019,648.0,648.0,625.0,636.85,648.5,298.0,187308.2
2026-08-28,BIMETAL,EQUITY,EQ,INE469A01019,625.0,679.0,625.0,648.5,618.5,2388.0,1530524.55
2026-08-27,BIMETAL,EQUITY,EQ,INE469A01019,630.0,630.1,600.0,618.5,630.1,579.0,354769.45
2026-08-26,BIMETAL,EQUITY,EQ,INE469A01019,623.05,637.95,623.05,630.1,623.05,262.0,164552.85
2026-08-25,BIMETAL,EQUITY,EQ,INE469A01019,619.75,625.0,604.0,623.05,619.75,464.0,285836.05
2026-08-24,BIMETAL,EQUITY,EQ,INE469A01019,624.85,625.0,603.75,619.75,624.85,480.0,295800.85
2026-08-21,BIMETAL,EQUITY,EQ,INE469A01019,619.9,626.0,618.7,624.85,623.0,322.0,200270.25
2026-08-20,BIMETAL,EQUITY,EQ,INE469A01019,643.75,643.75,622.5,623.0,624.55,275.0,173090.4
2026-08-19,BIMETAL,EQUITY,EQ,INE469A01019,621.0,643.9,616.05,624.55,632.85,402.0,250049.4
2026-08-18,BIMETAL,EQUITY,EQ,INE469A01019,613.5,640.0,613.0,632.85,620.0,108.0,67219.95
2026-08-17,BIMETAL,EQUITY,EQ,INE469A01019,628.0,637.9,619.95,620.0,628.6,1344.0,835636.4
2026-08-14,BIMETAL,EQUITY,EQ,INE469A01019,629.05,633.0,625.0,628.6,639.4,315.0,198182.75
2026-08-13,BIMETAL,EQUITY,EQ,INE469A01019,630.1,642.0,617.95,639.4,647.95,596.0,375889.1
2026-08-12,BIMETAL,EQUITY,EQ,INE469A01019,648.9,656.25,645.0,647.95,648.9,201.0,130196.05
2026-08-11,BIMETAL,EQUITY,EQ,INE469A01019,645.05,656.25,624.0,648.9,651.95,851.0,545520.25
2026-08-10,BIMETAL,EQUITY,EQ,INE469A01019,665.8,670.0,647.5,651.95,665.45,436.0,288068.55
2026-08-07,BIMETAL,EQUITY,EQ,INE469A01019,650.0,666.3,644.1,665.45,660.15,519.0,341499.0
2026-08-06,BIMETAL,EQUITY,EQ,INE469A01019,638.0,662.0,638.0,660.15,647.05,174.0,113233.5
2026-08-05,BIMETAL,EQUITY,EQ,INE469A01019,648.95,651.85,630.0,647.05,645.75,218.0,139511.85
2026-08-04,BIMETAL,EQUITY,EQ,INE469A01019,642.25,659.0,640.05,645.75,637.15,120.0,77364.9
2026-08-03,BIMETAL,EQUITY,EQ,INE469A01019,651.3,678.0,635.25,637.15,669.7,2106.0,1363696.35
2026-07-31,BIMETAL,EQUITY,EQ,INE469A01019,669.95,689.95,652.1,669.7,670.15,894.0,598154.8
2026-07-30,BIMETAL,EQUITY,EQ,INE469A01019,640.05,676.9,640.05,670.15,643.8,320.0,212026.15
