trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-08-31,BLUECHIP,EQUITY,EQ,INE657B01025,2.18,2.18,2.18,2.18,2.14,21009.0,45799.62
2026-08-28,BLUECHIP,EQUITY,EQ,INE657B01025,2.14,2.14,2.14,2.14,2.1,11621.0,24868.94
2026-08-27,BLUECHIP,EQUITY,EQ,INE657B01025,2.1,2.1,2.1,2.1,2.06,122.0,256.2
2026-08-26,BLUECHIP,EQUITY,EQ,INE657B01025,2.06,2.06,2.06,2.06,2.02,12073.0,24870.38
2026-08-25,BLUECHIP,EQUITY,EQ,INE657B01025,2.02,2.02,2.02,2.02,1.99,9084.0,18349.68
2026-08-24,BLUECHIP,EQUITY,EQ,INE657B01025,1.99,1.99,1.99,1.99,1.96,61028.0,121445.72
2026-08-21,BLUECHIP,EQUITY,EQ,INE657B01025,1.96,1.96,1.96,1.96,1.93,9586.0,18788.56
2026-08-20,BLUECHIP,EQUITY,EQ,INE657B01025,1.93,1.93,1.93,1.93,1.9,4366.0,8426.38
2026-08-19,BLUECHIP,EQUITY,EQ,INE657B01025,1.9,1.9,1.9,1.9,1.87,7570.0,14383.0
2026-08-18,BLUECHIP,EQUITY,EQ,INE657B01025,1.87,1.87,1.87,1.87,1.84,3337.0,6240.19
2026-08-17,BLUECHIP,EQUITY,EQ,INE657B01025,1.84,1.84,1.84,1.84,1.81,25200.0,46368.0
2026-08-14,BLUECHIP,EQUITY,EQ,INE657B01025,1.81,1.81,1.81,1.81,1.78,32318.0,58495.58
2026-08-13,BLUECHIP,EQUITY,EQ,INE657B01025,1.78,1.78,1.78,1.78,1.75,17181.0,30582.18
2026-08-12,BLUECHIP,EQUITY,EQ,INE657B01025,1.75,1.75,1.75,1.75,1.72,26124.0,45717.0
2026-08-11,BLUECHIP,EQUITY,EQ,INE657B01025,1.72,1.72,1.72,1.72,1.69,22587.0,38849.64
2026-08-10,BLUECHIP,EQUITY,EQ,INE657B01025,1.69,1.69,1.69,1.69,1.66,51643.0,87276.67
2026-06-05,BLUECHIP,EQUITY,EQ,INE657B01025,2.49,2.49,2.49,2.49,2.45,9209.0,22930.41
2026-06-04,BLUECHIP,EQUITY,EQ,INE657B01025,2.45,2.45,2.45,2.45,2.41,3232.0,7918.4
2026-06-03,BLUECHIP,EQUITY,EQ,INE657B01025,2.41,2.41,2.41,2.41,2.37,8586.0,20692.26
2026-06-02,BLUECHIP,EQUITY,EQ,INE657B01025,2.37,2.37,2.37,2.37,2.33,6493.0,15388.41
2026-06-01,BLUECHIP,EQUITY,EQ,INE657B01025,2.33,2.33,2.33,2.33,2.29,13980.0,32573.4
2026-05-29,BLUECHIP,EQUITY,EQ,INE657B01025,2.29,2.29,2.29,2.29,2.25,5317.0,12175.93
2026-05-27,BLUECHIP,EQUITY,EQ,INE657B01025,2.25,2.25,2.25,2.25,2.21,1832.0,4122.0
2026-05-26,BLUECHIP,EQUITY,EQ,INE657B01025,2.21,2.21,2.21,2.21,2.17,30939.0,68375.19
2026-05-25,BLUECHIP,EQUITY,EQ,INE657B01025,2.17,2.17,2.17,2.17,2.13,8381.0,18186.77
2026-05-22,BLUECHIP,EQUITY,EQ,INE657B01025,2.13,2.13,2.13,2.13,2.09,6992.0,14892.96
2026-05-21,BLUECHIP,EQUITY,EQ,INE657B01025,2.09,2.09,2.09,2.09,2.05,24978.0,52204.02
2026-05-20,BLUECHIP,EQUITY,EQ,INE657B01025,2.05,2.05,2.05,2.05,2.01,28466.0,58355.3
2026-05-19,BLUECHIP,EQUITY,EQ,INE657B01025,2.01,2.01,2.01,2.01,1.98,13895.0,27928.95
2026-05-18,BLUECHIP,EQUITY,EQ,INE657B01025,1.98,1.98,1.98,1.98,1.95,38732.0,76689.36
2026-05-15,BLUECHIP,EQUITY,EQ,INE657B01025,1.95,1.95,1.95,1.95,1.92,21504.0,41932.8
2026-05-14,BLUECHIP,EQUITY,EQ,INE657B01025,1.92,1.92,1.92,1.92,1.89,29409.0,56465.28
2026-05-13,BLUECHIP,EQUITY,EQ,INE657B01025,1.89,1.89,1.89,1.89,1.86,35519.0,67130.91
2026-05-12,BLUECHIP,EQUITY,EQ,INE657B01025,1.86,1.86,1.86,1.86,1.83,47872.0,89041.92
2026-05-11,BLUECHIP,EQUITY,EQ,INE657B01025,1.83,1.83,1.83,1.83,1.8,53603.0,98093.49
2026-02-20,BLUECHIP,EQUITY,EQ,INE657B01025,2.76,2.76,2.76,2.76,2.71,16620.0,45871.2
2026-02-19,BLUECHIP,EQUITY,EQ,INE657B01025,2.71,2.71,2.71,2.71,2.66,12562.0,34043.02
2026-02-18,BLUECHIP,EQUITY,EQ,INE657B01025,2.66,2.66,2.66,2.66,2.61,7583.0,20170.78
2026-02-17,BLUECHIP,EQUITY,EQ,INE657B01025,2.61,2.61,2.61,2.61,2.56,15433.0,40280.13
2026-02-16,BLUECHIP,EQUITY,EQ,INE657B01025,2.56,2.56,2.56,2.56,2.51,18528.0,47431.68
2026-02-13,BLUECHIP,EQUITY,EQ,INE657B01025,2.51,2.51,2.51,2.51,2.47,13764.0,34547.64
2026-02-12,BLUECHIP,EQUITY,EQ,INE657B01025,2.47,2.47,2.47,2.47,2.43,16185.0,39976.95
2026-02-11,BLUECHIP,EQUITY,EQ,INE657B01025,2.43,2.43,2.43,2.43,2.39,34982.0,85006.26
2026-02-10,BLUECHIP,EQUITY,EQ,INE657B01025,2.39,2.39,2.39,2.39,2.35,103011.0,246196.29
2026-02-09,BLUECHIP,EQUITY,EQ,INE657B01025,2.35,2.35,2.35,2.35,2.31,84256.0,198001.6
2025-05-06,BLUECHIP,EQUITY,EQ,INE657B01025,6.31,6.31,6.18,6.18,6.31,48850.0,302550.98
2025-05-05,BLUECHIP,EQUITY,EQ,INE657B01025,6.32,6.55,6.31,6.31,6.44,38208.0,241147.08
