trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,BROOKS,EQUITY,EQ,INE650L01011,64.61,65.5,61.15,62.99,63.3,17284.0,1096619.49
2026-09-08,BROOKS,EQUITY,EQ,INE650L01011,69.7,69.75,61.52,63.3,67.7,64342.0,4224549.09
2026-09-07,BROOKS,EQUITY,EQ,INE650L01011,66.7,70.8,66.6,67.7,66.07,25779.0,1747956.37
2026-04-16,BROOKS,EQUITY,EQ,INE650L01011,71.79,71.89,69.01,69.58,72.07,91999.0,6479901.09
2026-04-15,BROOKS,EQUITY,EQ,INE650L01011,74.6,76.82,70.02,72.07,71.62,288277.0,20899187.57
2026-04-13,BROOKS,EQUITY,EQ,INE650L01011,71.05,72.41,68.74,71.62,72.2,56077.0,3995192.05
2026-04-10,BROOKS,EQUITY,EQ,INE650L01011,70.6,73.0,70.6,72.2,71.57,80146.0,5779509.58
2026-04-09,BROOKS,EQUITY,EQ,INE650L01011,70.25,73.0,69.91,71.57,71.73,106780.0,7589634.74
2026-04-08,BROOKS,EQUITY,EQ,INE650L01011,77.0,79.7,70.25,71.73,73.23,483935.0,35429364.72
2026-04-07,BROOKS,EQUITY,EQ,INE650L01011,65.85,75.0,65.33,73.23,64.05,1042878.0,74907547.07
2026-04-06,BROOKS,EQUITY,EQ,INE650L01011,56.25,64.05,54.56,64.05,53.38,806192.0,49083840.52
2026-04-02,BROOKS,EQUITY,EQ,INE650L01011,45.86,53.43,45.21,53.38,44.53,935134.0,47438005.55
2026-04-01,BROOKS,EQUITY,EQ,INE650L01011,38.98,44.53,38.98,44.53,37.11,83311.0,3572340.3
2026-03-30,BROOKS,EQUITY,EQ,INE650L01011,43.0,43.0,36.3,37.11,43.21,312021.0,12242050.0
2026-03-27,BROOKS,EQUITY,EQ,INE650L01011,46.75,46.75,42.53,43.21,46.78,167171.0,7341989.09
2026-03-25,BROOKS,EQUITY,EQ,INE650L01011,47.7,49.02,46.25,46.78,47.03,117760.0,5636692.53
2026-03-24,BROOKS,EQUITY,EQ,INE650L01011,48.48,50.0,46.4,47.03,46.03,160719.0,7667157.62
2026-03-23,BROOKS,EQUITY,EQ,INE650L01011,52.64,52.64,45.27,46.03,52.64,194432.0,9210258.16
2026-03-20,BROOKS,EQUITY,EQ,INE650L01011,54.5,55.97,52.27,52.64,54.26,97265.0,5229404.32
2026-03-19,BROOKS,EQUITY,EQ,INE650L01011,56.4,56.79,53.9,54.26,56.96,54061.0,2971365.53
2026-03-18,BROOKS,EQUITY,EQ,INE650L01011,56.49,58.02,55.69,56.96,55.4,75025.0,4277150.39
2026-03-17,BROOKS,EQUITY,EQ,INE650L01011,58.98,59.0,55.1,55.4,57.03,143106.0,8002578.13
2026-03-16,BROOKS,EQUITY,EQ,INE650L01011,58.7,58.84,56.2,57.03,58.17,65788.0,3775653.94
2026-03-13,BROOKS,EQUITY,EQ,INE650L01011,61.01,62.53,57.45,58.17,62.18,50931.0,3033132.75
2026-03-12,BROOKS,EQUITY,EQ,INE650L01011,61.19,62.6,59.52,62.18,60.91,25854.0,1582365.84
2026-03-11,BROOKS,EQUITY,EQ,INE650L01011,62.57,63.5,60.25,60.91,62.47,97929.0,6044451.04
2026-03-10,BROOKS,EQUITY,EQ,INE650L01011,60.58,64.39,59.63,62.47,58.46,87558.0,5420282.11
2026-03-09,BROOKS,EQUITY,EQ,INE650L01011,61.0,61.0,57.25,58.46,61.0,44770.0,2633171.64
2026-03-06,BROOKS,EQUITY,EQ,INE650L01011,62.11,62.66,60.0,61.0,61.73,61868.0,3787366.19
2026-03-05,BROOKS,EQUITY,EQ,INE650L01011,63.45,63.45,61.18,61.73,61.8,61340.0,3794623.36
2026-03-04,BROOKS,EQUITY,EQ,INE650L01011,63.0,63.0,60.5,61.8,62.63,51601.0,3201938.9
2026-03-02,BROOKS,EQUITY,EQ,INE650L01011,63.5,65.88,61.0,62.63,67.11,109813.0,6894492.47
2026-02-27,BROOKS,EQUITY,EQ,INE650L01011,68.7,69.94,66.2,67.11,68.0,23967.0,1638913.04
2026-02-26,BROOKS,EQUITY,EQ,INE650L01011,70.97,70.97,67.15,68.0,68.14,28529.0,1954879.75
2026-02-25,BROOKS,EQUITY,EQ,INE650L01011,71.0,71.0,67.8,68.14,70.97,36704.0,2548145.84
2026-02-24,BROOKS,EQUITY,EQ,INE650L01011,71.89,74.95,70.16,70.97,72.97,22309.0,1587704.05
2026-02-23,BROOKS,EQUITY,EQ,INE650L01011,75.28,76.49,72.13,72.97,74.47,27286.0,2017514.96
2026-02-20,BROOKS,EQUITY,EQ,INE650L01011,76.0,76.0,73.43,74.47,75.55,16205.0,1213146.28
2026-02-19,BROOKS,EQUITY,EQ,INE650L01011,76.65,78.26,75.06,75.55,76.65,30721.0,2368656.22
2026-02-18,BROOKS,EQUITY,EQ,INE650L01011,72.61,80.87,72.61,76.65,73.6,164959.0,12865866.09
2026-02-17,BROOKS,EQUITY,EQ,INE650L01011,77.0,77.0,72.71,73.6,74.35,29734.0,2213168.3
2026-02-16,BROOKS,EQUITY,EQ,INE650L01011,75.75,76.0,74.1,74.35,75.81,21072.0,1574060.88
2026-02-13,BROOKS,EQUITY,EQ,INE650L01011,75.88,77.78,73.74,75.81,77.35,48890.0,3695173.95
2026-02-12,BROOKS,EQUITY,EQ,INE650L01011,77.0,82.44,76.25,77.35,78.14,142453.0,11278029.12
2026-02-11,BROOKS,EQUITY,EQ,INE650L01011,74.85,79.0,72.1,78.14,74.18,152462.0,11546935.23
2026-02-10,BROOKS,EQUITY,EQ,INE650L01011,69.0,79.25,67.71,74.18,69.23,378201.0,27941601.51
2026-02-09,BROOKS,EQUITY,EQ,INE650L01011,62.99,73.11,61.98,69.23,60.93,688588.0,48825020.51
2026-02-06,BROOKS,EQUITY,EQ,INE650L01011,61.94,61.94,60.16,60.93,60.96,10334.0,627994.54
2026-02-05,BROOKS,EQUITY,EQ,INE650L01011,62.55,62.55,60.44,60.96,61.28,35210.0,2157800.74
2026-02-04,BROOKS,EQUITY,EQ,INE650L01011,59.02,62.67,59.0,61.28,59.87,42624.0,2604025.31
2026-02-03,BROOKS,EQUITY,EQ,INE650L01011,61.5,62.99,58.95,59.87,60.19,59023.0,3542768.81
2026-02-02,BROOKS,EQUITY,EQ,INE650L01011,61.98,62.62,58.35,60.19,62.22,45862.0,2733615.56
2026-01-30,BROOKS,EQUITY,EQ,INE650L01011,62.99,62.99,61.32,61.55,61.9,31897.0,1971570.84
2026-01-29,BROOKS,EQUITY,EQ,INE650L01011,65.0,65.69,61.6,61.9,64.4,57860.0,3635368.38
2026-01-28,BROOKS,EQUITY,EQ,INE650L01011,62.99,65.0,62.99,64.4,63.18,18763.0,1211335.87
2026-01-27,BROOKS,EQUITY,EQ,INE650L01011,66.98,66.98,62.55,63.18,65.52,14033.0,898575.65
2026-01-23,BROOKS,EQUITY,EQ,INE650L01011,67.8,67.8,65.0,65.52,67.06,16361.0,1075150.35
2026-01-22,BROOKS,EQUITY,EQ,INE650L01011,66.01,68.65,65.55,67.06,65.13,21656.0,1457744.26
2026-01-21,BROOKS,EQUITY,EQ,INE650L01011,66.0,66.85,64.01,65.13,65.0,19980.0,1302502.87
2026-01-20,BROOKS,EQUITY,EQ,INE650L01011,67.2,67.45,64.27,65.0,68.11,36410.0,2391801.3
