trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,CGCL,EQUITY,EQ,INE180C01042,276.8,278.8,268.15,270.75,275.7,4044474.0,1097598097.6
2026-09-07,CGCL,EQUITY,EQ,INE180C01042,282.7,287.45,273.1,275.7,279.9,6271786.0,1755191127.65
2026-09-04,CGCL,EQUITY,EQ,INE180C01042,274.0,284.8,271.5,279.9,271.7,7594713.0,2098998472.35
2026-09-03,CGCL,EQUITY,EQ,INE180C01042,255.0,272.75,254.3,271.7,256.6,13362145.0,3584462599.2
2026-09-02,CGCL,EQUITY,EQ,INE180C01042,250.85,259.0,249.0,256.6,250.9,3713359.0,948727407.2
2026-09-01,CGCL,EQUITY,EQ,INE180C01042,258.0,258.0,242.3,250.9,256.46,2645298.0,673053951.65
2026-08-31,CGCL,EQUITY,EQ,INE180C01042,257.98,258.7,248.93,256.46,257.98,3765128.0,958260862.39
2026-08-28,CGCL,EQUITY,EQ,INE180C01042,245.0,263.56,244.1,257.98,244.8,29680127.0,7479825121.16
2026-08-27,CGCL,EQUITY,EQ,INE180C01042,254.95,254.95,243.85,244.8,256.35,4059351.0,1010144716.84
2026-08-26,CGCL,EQUITY,EQ,INE180C01042,241.58,260.85,240.68,256.35,239.67,30378465.0,7767145046.13
2026-08-25,CGCL,EQUITY,EQ,INE180C01042,235.49,247.89,233.65,239.67,234.32,11815103.0,2858973952.51
2026-08-24,CGCL,EQUITY,EQ,INE180C01042,224.9,237.3,223.32,234.32,224.03,9072980.0,2076865169.06
2026-08-21,CGCL,EQUITY,EQ,INE180C01042,225.11,227.53,217.0,224.03,225.11,4824897.0,1084555140.31
2026-08-20,CGCL,EQUITY,EQ,INE180C01042,227.9,229.0,223.1,225.11,226.23,4030776.0,910060174.35
2026-08-19,CGCL,EQUITY,EQ,INE180C01042,225.0,231.2,224.38,226.23,225.54,2959311.0,672795557.57
2026-08-18,CGCL,EQUITY,EQ,INE180C01042,225.78,229.78,224.28,225.54,226.24,2703979.0,612542724.05
2026-08-17,CGCL,EQUITY,EQ,INE180C01042,226.5,228.5,222.22,226.24,226.52,2365833.0,533030955.91
2026-08-14,CGCL,EQUITY,EQ,INE180C01042,231.0,233.87,225.81,226.52,231.12,2235455.0,510493999.29
2026-08-13,CGCL,EQUITY,EQ,INE180C01042,228.8,232.0,228.25,231.12,228.75,2420294.0,556957394.01
2026-08-12,CGCL,EQUITY,EQ,INE180C01042,235.85,237.7,226.18,228.75,235.46,2592162.0,596101234.13
2026-08-11,CGCL,EQUITY,EQ,INE180C01042,233.99,236.79,231.4,235.46,232.39,2491050.0,584406609.18
2026-08-10,CGCL,EQUITY,EQ,INE180C01042,230.25,234.25,227.55,232.39,230.25,2049075.0,475378805.43
2026-08-07,CGCL,EQUITY,EQ,INE180C01042,239.82,240.84,228.61,230.25,241.07,2784996.0,652451998.89
2026-08-06,CGCL,EQUITY,EQ,INE180C01042,239.5,243.87,238.0,241.07,238.3,4519331.0,1091589157.54
2026-08-05,CGCL,EQUITY,EQ,INE180C01042,230.6,240.0,229.83,238.3,228.68,4266130.0,1004914726.4
2026-08-04,CGCL,EQUITY,EQ,INE180C01042,228.0,232.6,227.0,228.68,227.47,2613901.0,601615435.86
2026-08-03,CGCL,EQUITY,EQ,INE180C01042,232.38,234.83,225.1,227.47,232.38,2461491.0,567865672.84
2026-07-31,CGCL,EQUITY,EQ,INE180C01042,221.11,234.98,219.91,232.38,220.8,6853392.0,1567277576.95
2026-07-30,CGCL,EQUITY,EQ,INE180C01042,226.95,227.97,218.59,220.8,226.55,2677716.0,592898476.64
2026-07-29,CGCL,EQUITY,EQ,INE180C01042,229.95,232.39,219.57,226.55,228.22,5648034.0,1274909294.44
2026-07-28,CGCL,EQUITY,EQ,INE180C01042,251.63,258.9,225.66,228.22,244.27,18694707.0,4486598457.29
