trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,CGVAK,EQUITY,EQ,INE084D01010,151.9,151.9,140.2,146.25,144.84,1871.0,272428.04
2026-09-09,CGVAK,EQUITY,EQ,INE084D01010,146.54,151.99,144.02,144.84,146.54,645.0,94293.29
2026-09-08,CGVAK,EQUITY,EQ,INE084D01010,147.27,152.99,144.0,146.54,147.27,3883.0,571087.91
2026-09-07,CGVAK,EQUITY,EQ,INE084D01010,148.2,152.0,144.0,147.27,148.21,1517.0,223595.41
2026-09-04,CGVAK,EQUITY,EQ,INE084D01010,155.0,155.0,148.0,148.21,148.01,1852.0,275043.86
2026-09-03,CGVAK,EQUITY,EQ,INE084D01010,158.05,158.05,147.02,148.01,148.93,1518.0,229008.07
2026-09-02,CGVAK,EQUITY,EQ,INE084D01010,150.01,152.98,148.0,148.93,152.99,1333.0,199881.82
2026-09-01,CGVAK,EQUITY,EQ,INE084D01010,158.7,158.7,151.01,152.99,149.82,1989.0,309873.64
2026-08-31,CGVAK,EQUITY,EQ,INE084D01010,160.0,160.0,148.05,149.82,149.7,3511.0,539125.17
2026-08-28,CGVAK,EQUITY,EQ,INE084D01010,148.0,154.0,147.13,149.7,148.15,4564.0,681555.29
2026-08-27,CGVAK,EQUITY,EQ,INE084D01010,150.5,150.5,146.93,148.15,149.57,2206.0,327267.14
2026-08-26,CGVAK,EQUITY,EQ,INE084D01010,149.8,151.0,148.06,149.57,148.8,1875.0,279115.86
2026-08-25,CGVAK,EQUITY,EQ,INE084D01010,152.69,152.69,147.52,148.8,151.16,2656.0,395891.2
2026-08-24,CGVAK,EQUITY,EQ,INE084D01010,156.93,156.93,150.05,151.16,156.93,4533.0,693077.2
2026-08-21,CGVAK,EQUITY,EQ,INE084D01010,163.7,163.7,150.1,156.93,158.58,3044.0,484338.05
2026-08-20,CGVAK,EQUITY,EQ,INE084D01010,159.0,162.55,152.01,158.58,140.73,13494.0,2123076.07
2026-08-19,CGVAK,EQUITY,EQ,INE084D01010,151.24,151.24,136.62,140.73,151.24,508.0,72024.02
2026-08-18,CGVAK,EQUITY,EQ,INE084D01010,157.0,157.0,151.24,151.24,152.0,334.0,51294.2
2026-08-17,CGVAK,EQUITY,EQ,INE084D01010,160.0,160.0,127.0,152.0,148.45,534.0,81231.95
