trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,CHOICEIN,EQUITY,EQ,INE102B01014,752.85,755.4,745.15,750.65,753.45,589501.0,442487119.9
2026-09-08,CHOICEIN,EQUITY,EQ,INE102B01014,755.9,757.95,750.1,753.45,755.65,306449.0,231186554.8
2026-09-07,CHOICEIN,EQUITY,EQ,INE102B01014,762.0,768.95,751.85,755.65,760.95,290500.0,220447989.8
2026-09-04,CHOICEIN,EQUITY,EQ,INE102B01014,768.9,781.2,756.5,760.95,768.45,567061.0,436060020.3
2026-09-03,CHOICEIN,EQUITY,EQ,INE102B01014,764.95,772.8,764.0,768.45,763.4,231618.0,178068833.45
2026-09-02,CHOICEIN,EQUITY,EQ,INE102B01014,773.0,774.75,760.0,763.4,774.7,203010.0,155248120.1
2026-09-01,CHOICEIN,EQUITY,EQ,INE102B01014,779.8,784.5,772.1,774.7,780.7,257538.0,200481648.4
2026-08-31,CHOICEIN,EQUITY,EQ,INE102B01014,784.9,785.0,775.05,780.7,786.4,238496.0,186150798.15
2026-08-28,CHOICEIN,EQUITY,EQ,INE102B01014,775.0,792.9,774.3,786.4,775.05,378490.0,297601929.7
2026-08-27,CHOICEIN,EQUITY,EQ,INE102B01014,781.0,784.2,773.5,775.05,781.85,189310.0,147001535.25
2026-08-26,CHOICEIN,EQUITY,EQ,INE102B01014,790.95,794.95,779.0,781.85,788.75,338222.0,266382408.55
2026-08-25,CHOICEIN,EQUITY,EQ,INE102B01014,797.95,801.75,786.6,788.75,797.65,358035.0,284036543.3
2026-08-24,CHOICEIN,EQUITY,EQ,INE102B01014,809.0,811.75,795.0,797.65,808.6,449818.0,360405297.05
2026-08-21,CHOICEIN,EQUITY,EQ,INE102B01014,809.95,815.8,806.95,808.6,809.7,253715.0,205909189.55
2026-08-20,CHOICEIN,EQUITY,EQ,INE102B01014,802.8,819.0,802.8,809.7,800.45,796294.0,647116712.05
2026-08-19,CHOICEIN,EQUITY,EQ,INE102B01014,803.5,814.6,795.35,800.45,803.6,485815.0,391905721.25
