trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,CMLL,EQUITY,EQ,INE11XY01018,490.25,496.0,481.0,484.35,490.25,273491.0,133007000.3
2026-09-07,CMLL,EQUITY,EQ,INE11XY01018,504.05,506.9,483.6,490.25,503.05,495341.0,242790935.1
2026-09-04,CMLL,EQUITY,EQ,INE11XY01018,508.0,517.05,501.1,503.05,501.4,314875.0,159964559.45
2026-09-03,CMLL,EQUITY,EQ,INE11XY01018,499.0,514.05,495.6,501.4,495.45,656637.0,329542770.85
2026-09-02,CMLL,EQUITY,EQ,INE11XY01018,501.0,521.0,491.0,495.45,501.4,716590.0,359693435.1
2026-09-01,CMLL,EQUITY,EQ,INE11XY01018,504.35,508.45,497.0,501.4,504.35,206242.0,103587056.1
2026-08-31,CMLL,EQUITY,EQ,INE11XY01018,510.0,515.35,500.0,504.35,509.8,161525.0,81581057.8
2026-08-28,CMLL,EQUITY,EQ,INE11XY01018,517.25,517.25,507.35,509.8,511.35,140467.0,71672196.0
2026-08-27,CMLL,EQUITY,EQ,INE11XY01018,514.5,517.0,509.0,511.35,509.0,185226.0,94886478.15
2026-08-26,CMLL,EQUITY,EQ,INE11XY01018,517.0,528.65,504.3,509.0,517.25,401288.0,205502827.85
2026-08-25,CMLL,EQUITY,EQ,INE11XY01018,532.0,535.45,514.0,517.25,534.15,245604.0,128397469.9
2026-08-24,CMLL,EQUITY,EQ,INE11XY01018,532.65,554.9,525.5,534.15,529.65,582779.0,315173620.75
2026-08-21,CMLL,EQUITY,EQ,INE11XY01018,506.9,537.75,506.9,529.65,506.95,835216.0,439988841.2
2026-08-20,CMLL,EQUITY,EQ,INE11XY01018,514.5,521.85,498.25,506.95,514.5,363355.0,186255107.75
2026-08-19,CMLL,EQUITY,EQ,INE11XY01018,529.0,534.6,511.0,514.5,532.65,673167.0,350148913.35
2026-08-18,CMLL,EQUITY,EQ,INE11XY01018,515.35,539.0,506.0,532.65,515.35,1043983.0,545301431.15
2026-08-17,CMLL,EQUITY,EQ,INE11XY01018,526.85,534.5,511.4,515.35,526.85,525520.0,274164773.0
2026-08-14,CMLL,EQUITY,EQ,INE11XY01018,550.0,550.0,520.25,526.85,544.4,351891.0,188179370.45
2026-08-13,CMLL,EQUITY,EQ,INE11XY01018,533.5,554.7,530.05,544.4,538.75,684347.0,371827773.95
2026-08-12,CMLL,EQUITY,EQ,INE11XY01018,540.0,548.0,532.8,538.75,576.8,1682055.0,907513339.2
2026-08-11,CMLL,EQUITY,EQ,INE11XY01018,572.25,585.3,560.05,576.8,572.45,793973.0,455592885.35
2026-08-10,CMLL,EQUITY,EQ,INE11XY01018,595.05,598.75,567.85,572.45,599.45,1035764.0,597560335.95
2026-08-07,CMLL,EQUITY,EQ,INE11XY01018,579.0,614.75,577.0,599.45,579.95,2748533.0,1651797065.15
2026-08-06,CMLL,EQUITY,EQ,INE11XY01018,559.95,590.0,557.0,579.95,559.95,2270882.0,1316091525.5
2026-08-05,CMLL,EQUITY,EQ,INE11XY01018,568.15,568.35,547.25,559.95,565.9,973121.0,542976923.4
2026-08-04,CMLL,EQUITY,EQ,INE11XY01018,566.0,577.15,558.0,565.9,566.85,1049275.0,594397949.4
2026-08-03,CMLL,EQUITY,EQ,INE11XY01018,566.9,571.65,542.0,566.85,556.1,1270104.0,710707879.55
2026-07-31,CMLL,EQUITY,EQ,INE11XY01018,534.65,564.8,524.0,556.1,529.45,2721962.0,1481325233.2
2026-07-30,CMLL,EQUITY,EQ,INE11XY01018,558.75,558.75,520.2,529.45,561.3,2961324.0,1580867222.3
2026-07-29,CMLL,EQUITY,EQ,INE11XY01018,584.0,591.75,542.1,561.3,566.35,5972962.0,3365000298.6
2026-07-28,CMLL,EQUITY,EQ,INE11XY01018,583.0,621.7,556.4,566.35,570.55,17478496.0,10314945046.9
2026-07-27,CMLL,EQUITY,EQ,INE11XY01018,535.0,624.4,523.45,570.55,528.2,25880974.0,15104544384.35
2026-07-24,CMLL,EQUITY,EQ,INE11XY01018,500.25,538.75,463.35,528.2,424.0,23156167.0,11572500200.35
