trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,COFFEEDAY,EQUITY,EQ,INE335K01011,31.8,31.82,31.1,31.67,31.99,619170.0,19467870.45
2026-09-10,COFFEEDAY,EQUITY,EQ,INE335K01011,33.16,33.59,31.71,31.99,33.15,600390.0,19543209.67
2026-09-09,COFFEEDAY,EQUITY,EQ,INE335K01011,35.2,35.34,32.52,33.15,34.24,1715870.0,57564764.6
2026-09-08,COFFEEDAY,EQUITY,EQ,INE335K01011,31.0,34.24,30.7,34.24,31.13,2194138.0,73075392.32
2026-09-07,COFFEEDAY,EQUITY,EQ,INE335K01011,33.1,34.26,31.0,31.13,32.86,2063142.0,67032612.62
2026-06-04,COFFEEDAY,EQUITY,EQ,INE335K01011,39.82,41.5,36.66,40.45,39.61,11827196.0,464795523.55
2026-06-03,COFFEEDAY,EQUITY,EQ,INE335K01011,41.0,43.26,39.11,39.61,40.76,13906244.0,564694299.87
2026-06-02,COFFEEDAY,EQUITY,EQ,INE335K01011,41.7,42.07,38.5,40.76,38.25,26104590.0,1057194308.11
2026-06-01,COFFEEDAY,EQUITY,EQ,INE335K01011,38.25,38.25,38.25,38.25,34.78,1069560.0,40910670.0
2026-05-29,COFFEEDAY,EQUITY,EQ,INE335K01011,33.0,34.78,31.7,34.78,28.99,27574113.0,947830285.88
2026-05-27,COFFEEDAY,EQUITY,EQ,INE335K01011,26.3,30.64,26.11,28.99,25.54,44624169.0,1321095380.32
2026-05-26,COFFEEDAY,EQUITY,EQ,INE335K01011,25.18,26.1,24.9,25.54,25.25,1166404.0,29752833.55
2026-05-25,COFFEEDAY,EQUITY,EQ,INE335K01011,24.87,25.5,24.42,25.25,24.5,1191958.0,29845006.47
2026-05-22,COFFEEDAY,EQUITY,EQ,INE335K01011,23.79,24.76,23.79,24.5,24.27,660033.0,16061087.66
2026-05-21,COFFEEDAY,EQUITY,EQ,INE335K01011,24.89,24.89,24.15,24.27,24.27,448075.0,10937592.83
2026-05-20,COFFEEDAY,EQUITY,EQ,INE335K01011,24.17,24.39,23.72,24.27,24.2,378084.0,9093511.98
2026-05-19,COFFEEDAY,EQUITY,EQ,INE335K01011,24.12,24.41,24.0,24.2,23.95,414279.0,10016692.93
2026-05-18,COFFEEDAY,EQUITY,EQ,INE335K01011,24.34,24.34,23.6,23.95,24.37,828673.0,19723430.59
2026-05-15,COFFEEDAY,EQUITY,EQ,INE335K01011,24.67,24.89,24.25,24.37,24.66,506006.0,12423570.08
2026-05-14,COFFEEDAY,EQUITY,EQ,INE335K01011,24.86,25.1,24.0,24.66,24.82,1046176.0,25639929.32
2026-05-13,COFFEEDAY,EQUITY,EQ,INE335K01011,24.71,25.27,24.55,24.82,24.76,549977.0,13693984.52
2026-05-12,COFFEEDAY,EQUITY,EQ,INE335K01011,25.69,25.7,24.52,24.76,25.75,1032788.0,25873843.85
2026-05-11,COFFEEDAY,EQUITY,EQ,INE335K01011,26.12,26.28,25.65,25.75,26.33,649555.0,16771462.85
2026-05-08,COFFEEDAY,EQUITY,EQ,INE335K01011,26.78,26.94,25.92,26.33,26.78,944830.0,24921519.39
2026-05-07,COFFEEDAY,EQUITY,EQ,INE335K01011,27.0,27.31,26.61,26.78,26.72,982188.0,26450675.76
2026-05-06,COFFEEDAY,EQUITY,EQ,INE335K01011,25.99,26.86,25.87,26.72,25.73,823516.0,21678706.09
2026-05-05,COFFEEDAY,EQUITY,EQ,INE335K01011,25.94,26.0,25.25,25.73,25.9,764431.0,19604820.24
2026-05-04,COFFEEDAY,EQUITY,EQ,INE335K01011,26.79,27.35,25.41,25.9,26.4,1753104.0,46035860.39
2026-04-30,COFFEEDAY,EQUITY,EQ,INE335K01011,26.15,27.49,26.15,26.4,26.66,841541.0,22272258.23
2026-04-29,COFFEEDAY,EQUITY,EQ,INE335K01011,26.7,27.09,26.33,26.66,26.63,688770.0,18337635.85
2026-04-28,COFFEEDAY,EQUITY,EQ,INE335K01011,26.45,26.92,26.12,26.63,26.49,547671.0,14563478.2
2026-04-27,COFFEEDAY,EQUITY,EQ,INE335K01011,26.21,26.89,26.21,26.49,26.36,948412.0,25164409.85
2026-04-24,COFFEEDAY,EQUITY,EQ,INE335K01011,27.09,27.33,26.11,26.36,27.02,705078.0,18684477.29
2026-04-23,COFFEEDAY,EQUITY,EQ,INE335K01011,27.21,27.72,26.85,27.02,27.35,591166.0,16099816.84
2026-04-22,COFFEEDAY,EQUITY,EQ,INE335K01011,27.1,27.79,26.71,27.35,27.14,802112.0,21905309.76
2026-04-21,COFFEEDAY,EQUITY,EQ,INE335K01011,27.17,28.1,26.97,27.14,27.46,940823.0,25832626.1
2026-04-20,COFFEEDAY,EQUITY,EQ,INE335K01011,27.9,27.94,27.14,27.46,27.94,1310759.0,35972569.05
2026-04-17,COFFEEDAY,EQUITY,EQ,INE335K01011,27.94,28.68,27.45,27.94,27.94,1287768.0,36057147.02
2026-04-16,COFFEEDAY,EQUITY,EQ,INE335K01011,28.33,28.91,27.5,27.94,28.11,1463135.0,40958433.99
2026-04-15,COFFEEDAY,EQUITY,EQ,INE335K01011,26.3,29.3,26.3,28.11,25.96,3383143.0,94917733.86
2026-04-13,COFFEEDAY,EQUITY,EQ,INE335K01011,25.09,26.46,24.66,25.96,26.22,1977836.0,50639060.34
2026-04-10,COFFEEDAY,EQUITY,EQ,INE335K01011,25.75,26.56,25.72,26.22,25.38,1316409.0,34517575.26
2026-04-09,COFFEEDAY,EQUITY,EQ,INE335K01011,25.75,26.19,25.0,25.38,25.75,1259000.0,32333871.86
2026-04-08,COFFEEDAY,EQUITY,EQ,INE335K01011,24.9,26.0,24.2,25.75,23.5,1966887.0,49948346.88
2026-04-07,COFFEEDAY,EQUITY,EQ,INE335K01011,23.9,24.39,22.89,23.5,23.62,1880240.0,43957967.99
2026-04-06,COFFEEDAY,EQUITY,EQ,INE335K01011,22.1,23.85,21.95,23.62,22.02,1632766.0,37764483.06
2026-04-02,COFFEEDAY,EQUITY,EQ,INE335K01011,22.18,24.2,21.86,22.02,23.84,4070144.0,92194194.41
