trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,CONS,EQUITY,EQ,INF174KA1ZF8,11.88,11.94,11.85,11.9,11.88,31578.0,375930.78
2026-09-08,CONS,EQUITY,EQ,INF174KA1ZF8,11.9,11.98,11.81,11.88,11.93,28902.0,344095.05
2026-09-07,CONS,EQUITY,EQ,INF174KA1ZF8,12.2,12.2,11.89,11.93,11.98,27163.0,324109.49
2026-09-04,CONS,EQUITY,EQ,INF174KA1ZF8,11.97,12.04,11.95,11.98,12.01,14601.0,175167.19
2026-09-03,CONS,EQUITY,EQ,INF174KA1ZF8,12.1,12.1,12.01,12.01,12.06,7022.0,84526.67
2026-09-02,CONS,EQUITY,EQ,INF174KA1ZF8,11.88,12.3,11.88,12.06,12.12,21260.0,254906.25
2026-09-01,CONS,EQUITY,EQ,INF174KA1ZF8,12.19,12.24,12.1,12.12,12.24,22288.0,271599.95
2026-08-31,CONS,EQUITY,EQ,INF174KA1ZF8,12.28,12.35,12.19,12.24,12.28,20699.0,252804.23
2026-08-28,CONS,EQUITY,EQ,INF174KA1ZF8,12.34,12.34,12.21,12.28,12.32,23314.0,286149.88
2026-08-27,CONS,EQUITY,EQ,INF174KA1ZF8,12.35,12.38,12.3,12.32,12.4,14348.0,176793.22
2026-08-26,CONS,EQUITY,EQ,INF174KA1ZF8,12.44,12.47,12.36,12.4,12.38,9465.0,117488.4
2026-08-25,CONS,EQUITY,EQ,INF174KA1ZF8,12.47,12.54,12.31,12.38,12.36,7843.0,97195.58
2026-08-24,CONS,EQUITY,EQ,INF174KA1ZF8,12.63,12.63,12.33,12.36,12.38,26655.0,330008.15
2026-08-21,CONS,EQUITY,EQ,INF174KA1ZF8,12.43,12.43,12.32,12.38,12.45,15623.0,193519.64
2026-08-20,CONS,EQUITY,EQ,INF174KA1ZF8,12.43,12.48,12.38,12.45,12.37,9986.0,124067.01
2026-08-19,CONS,EQUITY,EQ,INF174KA1ZF8,12.43,12.43,12.32,12.37,12.37,12279.0,151542.23
2026-08-18,CONS,EQUITY,EQ,INF174KA1ZF8,12.45,12.47,12.32,12.37,12.51,654805.0,8112243.93
2026-08-17,CONS,EQUITY,EQ,INF174KA1ZF8,12.61,12.61,12.45,12.51,12.55,25106.0,313984.18
2026-08-14,CONS,EQUITY,EQ,INF174KA1ZF8,12.5,12.6,12.46,12.55,12.5,20896.0,261859.26
2026-08-13,CONS,EQUITY,EQ,INF174KA1ZF8,12.57,12.57,12.43,12.5,12.45,9918.0,123698.0
2026-08-12,CONS,EQUITY,EQ,INF174KA1ZF8,12.56,12.56,12.39,12.45,12.55,32159.0,400612.1
2026-08-11,CONS,EQUITY,EQ,INF174KA1ZF8,12.53,12.7,12.51,12.55,12.59,16693.0,209794.99
2026-08-10,CONS,EQUITY,EQ,INF174KA1ZF8,12.68,12.93,12.36,12.59,12.68,22213.0,280274.83
2026-08-07,CONS,EQUITY,EQ,INF174KA1ZF8,12.86,12.86,12.53,12.68,12.55,24226.0,304410.16
2026-08-06,CONS,EQUITY,EQ,INF174KA1ZF8,12.57,12.59,12.4,12.55,12.51,24961.0,313002.69
2026-08-05,CONS,EQUITY,EQ,INF174KA1ZF8,12.6,12.6,12.32,12.51,12.53,41046.0,515849.57
2026-08-04,CONS,EQUITY,EQ,INF174KA1ZF8,12.7,12.7,12.5,12.53,12.47,29234.0,367080.2
2026-08-03,CONS,EQUITY,EQ,INF174KA1ZF8,12.65,12.65,12.29,12.47,12.47,80418.0,1006502.33
2026-07-31,CONS,EQUITY,EQ,INF174KA1ZF8,12.43,12.64,12.3,12.47,12.43,115912.0,1447553.24
2026-07-30,CONS,EQUITY,EQ,INF174KA1ZF8,12.38,12.45,12.35,12.43,12.36,53909.0,667676.88
2026-07-29,CONS,EQUITY,EQ,INF174KA1ZF8,12.36,12.38,12.34,12.36,12.23,42067.0,519591.6
2026-07-28,CONS,EQUITY,EQ,INF174KA1ZF8,12.42,12.42,12.22,12.23,12.24,292125.0,3571579.8
2026-07-27,CONS,EQUITY,EQ,INF174KA1ZF8,12.19,12.26,12.14,12.24,12.08,85874.0,1047195.35
2026-07-24,CONS,EQUITY,EQ,INF174KA1ZF8,12.05,12.12,11.98,12.08,12.13,28934.0,348711.89
2026-07-23,CONS,EQUITY,EQ,INF174KA1ZF8,12.14,12.22,12.07,12.13,12.14,11116.0,135278.81
2026-07-22,CONS,EQUITY,EQ,INF174KA1ZF8,12.2,12.2,12.08,12.14,12.13,361841.0,4377710.88
2026-07-21,CONS,EQUITY,EQ,INF174KA1ZF8,12.12,12.16,12.05,12.13,12.07,5531.0,66891.26
2026-07-20,CONS,EQUITY,EQ,INF174KA1ZF8,12.29,12.29,12.03,12.07,12.05,49557.0,597862.99
2026-07-17,CONS,EQUITY,EQ,INF174KA1ZF8,12.06,12.06,11.97,12.05,12.0,32427.0,389165.9
2026-07-16,CONS,EQUITY,EQ,INF174KA1ZF8,12.09,12.09,11.97,12.0,11.98,10966.0,131878.22
2026-07-15,CONS,EQUITY,EQ,INF174KA1ZF8,12.03,12.03,11.92,11.98,11.94,23414.0,280759.89
2026-07-14,CONS,EQUITY,EQ,INF174KA1ZF8,12.01,12.01,11.9,11.94,11.96,186815.0,2232983.25
2026-07-13,CONS,EQUITY,EQ,INF174KA1ZF8,11.99,12.03,11.93,11.96,12.04,534152.0,6388700.87
2026-07-10,CONS,EQUITY,EQ,INF174KA1ZF8,12.11,12.11,12.02,12.04,12.03,232705.0,2808553.73
2026-07-09,CONS,EQUITY,EQ,INF174KA1ZF8,12.05,12.11,12.0,12.03,11.93,28257.0,341315.2
2026-07-08,CONS,EQUITY,EQ,INF174KA1ZF8,12.0,12.15,11.75,11.93,12.17,47211.0,568892.97
2026-07-07,CONS,EQUITY,EQ,INF174KA1ZF8,11.99,12.24,11.99,12.17,12.19,675920.0,8247163.99
2026-07-06,CONS,EQUITY,EQ,INF174KA1ZF8,12.17,12.3,12.12,12.19,12.11,135178.0,1648835.92
2026-07-03,CONS,EQUITY,EQ,INF174KA1ZF8,12.05,12.15,12.05,12.11,12.05,55392.0,671286.85
2026-07-02,CONS,EQUITY,EQ,INF174KA1ZF8,12.0,12.08,11.97,12.05,12.01,63471.0,763369.13
2026-07-01,CONS,EQUITY,EQ,INF174KA1ZF8,11.91,12.03,11.88,12.01,11.8,34240.0,409852.73
2026-06-30,CONS,EQUITY,EQ,INF174KA1ZF8,11.81,11.88,11.74,11.8,11.8,17332.0,205193.9
2026-06-29,CONS,EQUITY,EQ,INF174KA1ZF8,11.9,12.1,11.78,11.8,11.87,58596.0,692008.8
2026-06-25,CONS,EQUITY,EQ,INF174KA1ZF8,11.75,11.99,11.75,11.87,11.8,76105.0,910233.85
2026-06-24,CONS,EQUITY,EQ,INF174KA1ZF8,11.94,11.94,11.79,11.8,11.82,5019.0,59287.34
2026-06-23,CONS,EQUITY,EQ,INF174KA1ZF8,11.91,11.96,11.81,11.82,11.91,11267.0,134009.99
2026-06-22,CONS,EQUITY,EQ,INF174KA1ZF8,11.99,11.99,11.88,11.91,11.94,17978.0,214432.4
2026-06-19,CONS,EQUITY,EQ,INF174KA1ZF8,11.91,12.0,11.82,11.94,11.91,231447.0,2750092.27
2026-06-18,CONS,EQUITY,EQ,INF174KA1ZF8,11.9,11.94,11.82,11.91,11.81,83767.0,995592.51
2026-06-17,CONS,EQUITY,EQ,INF174KA1ZF8,11.8,11.87,11.78,11.81,11.78,34237.0,404762.66
2026-06-16,CONS,EQUITY,EQ,INF174KA1ZF8,11.76,11.9,11.7,11.78,11.75,50796.0,598025.35
2026-06-15,CONS,EQUITY,EQ,INF174KA1ZF8,11.71,11.78,11.65,11.75,11.51,81952.0,963785.04
2026-06-12,CONS,EQUITY,EQ,INF174KA1ZF8,11.42,11.57,11.4,11.51,11.35,27289.0,312131.09
