trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,CORDELIA,EQUITY,EQ,INE0LZF01039,105.65,109.46,104.18,109.44,104.25,3659034.0,399333912.12
2026-09-09,CORDELIA,EQUITY,EQ,INE0LZF01039,106.62,108.77,103.73,104.25,106.72,1243173.0,131998299.0
2026-09-08,CORDELIA,EQUITY,EQ,INE0LZF01039,110.0,110.49,104.25,106.72,109.08,2061326.0,219848861.64
2026-09-07,CORDELIA,EQUITY,EQ,INE0LZF01039,103.9,109.09,102.01,109.08,103.9,3042994.0,327804099.02
2026-09-04,CORDELIA,EQUITY,EQ,INE0LZF01039,102.5,106.96,101.81,103.9,101.87,2698667.0,284249691.56
2026-09-03,CORDELIA,EQUITY,EQ,INE0LZF01039,101.39,103.29,101.1,101.87,101.89,635189.0,64945041.51
2026-09-02,CORDELIA,EQUITY,EQ,INE0LZF01039,103.8,103.8,100.8,101.89,103.92,1054722.0,107317379.12
2026-09-01,CORDELIA,EQUITY,EQ,INE0LZF01039,103.65,104.8,100.8,103.92,103.65,1301291.0,134511249.95
2026-08-31,CORDELIA,EQUITY,EQ,INE0LZF01039,104.25,104.8,99.8,103.65,105.05,2331574.0,237881240.9
2026-08-28,CORDELIA,EQUITY,EQ,INE0LZF01039,105.0,106.95,100.15,105.05,105.0,4082279.0,419219062.15
2026-08-27,CORDELIA,EQUITY,EQ,INE0LZF01039,107.05,107.05,104.05,105.0,109.5,2571955.0,269734925.4
2026-08-26,CORDELIA,EQUITY,EQ,INE0LZF01039,104.1,109.65,104.1,109.5,104.45,2446946.0,266419060.5
2026-08-25,CORDELIA,EQUITY,EQ,INE0LZF01039,102.0,107.5,100.95,104.45,1043.6,4673297.0,490714130.8
2026-08-24,CORDELIA,EQUITY,EQ,INE0LZF01013,977.95,1054.7,955.65,1043.6,978.4,1204583.0,1226859155.2
2026-08-21,CORDELIA,EQUITY,EQ,INE0LZF01013,929.0,987.9,929.0,978.4,907.75,2047573.0,1972218423.7
2026-08-20,CORDELIA,EQUITY,EQ,INE0LZF01013,820.55,907.75,820.55,907.75,825.25,700284.0,614724253.2
2026-08-19,CORDELIA,EQUITY,EQ,INE0LZF01013,834.0,840.0,825.0,825.25,830.0,1316682.0,1087640655.75
2026-08-18,CORDELIA,EQUITY,EQ,INE0LZF01013,823.7,833.95,820.5,830.0,823.2,73939.0,61343587.1
2026-08-17,CORDELIA,EQUITY,EQ,INE0LZF01013,838.1,857.8,809.4,823.2,837.85,1823530.0,1505503772.2
2026-08-14,CORDELIA,EQUITY,EQ,INE0LZF01013,844.8,845.95,833.0,837.85,841.15,45213.0,37872400.3
2026-08-13,CORDELIA,EQUITY,EQ,INE0LZF01013,833.0,855.95,827.0,841.15,825.5,197733.0,167013565.05
2026-08-12,CORDELIA,EQUITY,EQ,INE0LZF01013,833.75,837.5,818.45,825.5,833.75,82363.0,68036906.75
2026-08-11,CORDELIA,EQUITY,EQ,INE0LZF01013,845.0,877.45,810.0,833.75,841.15,359200.0,304787204.35
2026-08-10,CORDELIA,EQUITY,EQ,INE0LZF01013,840.0,858.4,830.4,841.15,841.15,133671.0,112983175.0
2026-08-07,CORDELIA,EQUITY,EQ,INE0LZF01013,846.35,849.0,820.6,841.15,846.35,132672.0,110385377.3
2026-08-06,CORDELIA,EQUITY,EQ,INE0LZF01013,841.05,862.0,838.05,846.35,831.05,215798.0,183189183.4
2026-08-05,CORDELIA,EQUITY,EQ,INE0LZF01013,825.9,837.0,816.55,831.05,819.65,130316.0,108040626.15
2026-08-04,CORDELIA,EQUITY,EQ,INE0LZF01013,809.0,837.0,806.55,819.65,806.75,111499.0,90862702.6
2026-08-03,CORDELIA,EQUITY,EQ,INE0LZF01013,830.0,831.9,801.1,806.75,820.8,128243.0,104272168.55
2026-07-31,CORDELIA,EQUITY,EQ,INE0LZF01013,785.0,826.0,782.0,820.8,787.15,299657.0,243171584.65
2026-07-30,CORDELIA,EQUITY,EQ,INE0LZF01013,799.1,805.05,784.15,787.15,806.2,109049.0,86250809.5
