trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,CPPLUS,EQUITY,EQ,INE819V01029,3850.0,3887.2,3703.2,3746.1,3828.8,180329.0,684950289.0
2026-09-08,CPPLUS,EQUITY,EQ,INE819V01029,3762.5,3850.0,3690.0,3828.8,3752.9,169118.0,643529377.1
2026-09-07,CPPLUS,EQUITY,EQ,INE819V01029,3705.0,3803.1,3705.0,3752.9,3704.6,170197.0,640972465.9
2026-09-04,CPPLUS,EQUITY,EQ,INE819V01029,3752.7,3797.9,3645.0,3704.6,3751.3,202259.0,751762988.3
2026-09-03,CPPLUS,EQUITY,EQ,INE819V01029,3700.0,3770.1,3616.1,3751.3,3721.4,167204.0,621581952.7
2026-09-02,CPPLUS,EQUITY,EQ,INE819V01029,3742.0,3787.6,3665.2,3721.4,3726.9,222182.0,825269509.3
2026-09-01,CPPLUS,EQUITY,EQ,INE819V01029,3566.0,3741.0,3491.1,3726.9,3566.0,504187.0,1852064075.3
2026-08-31,CPPLUS,EQUITY,EQ,INE819V01029,3576.4,3602.0,3460.2,3566.0,3576.6,360510.0,1281428997.0
2026-08-28,CPPLUS,EQUITY,EQ,INE819V01029,3630.0,3662.0,3552.0,3576.6,3629.7,138494.0,498098405.8
2026-08-27,CPPLUS,EQUITY,EQ,INE819V01029,3530.3,3650.0,3500.0,3629.7,3530.3,297754.0,1066335170.2
2026-08-26,CPPLUS,EQUITY,EQ,INE819V01029,3418.0,3548.0,3400.1,3530.3,3393.5,217905.0,758202893.1
2026-08-25,CPPLUS,EQUITY,EQ,INE819V01029,3434.8,3455.0,3330.1,3393.5,3419.5,219200.0,739998770.1
2026-08-24,CPPLUS,EQUITY,EQ,INE819V01029,3500.0,3514.0,3375.0,3419.5,3475.5,169008.0,575748814.6
2026-08-21,CPPLUS,EQUITY,EQ,INE819V01029,3490.0,3566.0,3410.0,3475.5,3468.6,255390.0,888582290.8
2026-08-20,CPPLUS,EQUITY,EQ,INE819V01029,3333.0,3468.6,3328.0,3468.6,3303.5,306265.0,1049483494.1
2026-08-19,CPPLUS,EQUITY,EQ,INE819V01029,3361.1,3393.0,3251.0,3303.5,3342.0,275085.0,909723519.4
2026-08-18,CPPLUS,EQUITY,EQ,INE819V01029,3260.1,3388.0,3260.0,3342.0,3343.1,412214.0,1371042169.1
2026-08-17,CPPLUS,EQUITY,EQ,INE819V01029,3351.1,3424.4,3343.1,3343.1,3519.0,640466.0,2148404764.4
2026-08-14,CPPLUS,EQUITY,EQ,INE819V01029,3575.0,3616.6,3519.0,3519.0,3704.2,68933.0,243267977.6
2026-08-13,CPPLUS,EQUITY,EQ,INE819V01029,4094.0,4094.0,3704.2,3704.2,3899.1,635695.0,2427297305.3
2026-08-12,CPPLUS,EQUITY,EQ,INE819V01029,3817.0,3965.0,3770.1,3899.1,3805.5,287366.0,1116232247.6
2026-08-11,CPPLUS,EQUITY,EQ,INE819V01029,3764.8,3915.0,3762.0,3805.5,3764.8,342856.0,1321411175.0
2026-08-10,CPPLUS,EQUITY,EQ,INE819V01029,3738.1,3820.0,3725.2,3764.8,3708.7,186900.0,705681328.1
2026-08-07,CPPLUS,EQUITY,EQ,INE819V01029,3645.0,3722.0,3640.0,3708.7,3656.2,86067.0,317662379.8
2026-08-06,CPPLUS,EQUITY,EQ,INE819V01029,3563.7,3709.0,3550.1,3656.2,3554.7,204110.0,746465444.2
2026-08-05,CPPLUS,EQUITY,EQ,INE819V01029,3539.8,3579.0,3525.0,3554.7,3499.2,124541.0,442009555.0
2026-08-04,CPPLUS,EQUITY,EQ,INE819V01029,3425.2,3549.9,3420.0,3499.2,3428.7,167512.0,587938956.5
2026-08-03,CPPLUS,EQUITY,EQ,INE819V01029,3444.2,3525.0,3346.6,3428.7,3391.0,164705.0,568044152.4
2026-07-31,CPPLUS,EQUITY,EQ,INE819V01029,3259.9,3422.0,3259.9,3391.0,3259.8,180648.0,610998696.0
2026-07-30,CPPLUS,EQUITY,EQ,INE819V01029,3407.9,3448.0,3253.8,3259.8,3425.0,246218.0,810802640.4
2026-07-29,CPPLUS,EQUITY,EQ,INE819V01029,3457.0,3468.0,3287.1,3425.0,3431.2,205557.0,696072770.7
2026-07-28,CPPLUS,EQUITY,EQ,INE819V01029,3543.2,3569.9,3402.0,3431.2,3557.8,100187.0,348803834.8
2026-07-27,CPPLUS,EQUITY,EQ,INE819V01029,3539.1,3685.0,3495.0,3557.8,3543.4,134944.0,484024953.8
2026-07-24,CPPLUS,EQUITY,EQ,INE819V01029,3584.7,3598.0,3479.5,3543.4,3612.6,150044.0,528304283.6
2026-07-23,CPPLUS,EQUITY,EQ,INE819V01029,3450.0,3618.6,3450.0,3612.6,3446.3,194110.0,692476792.3
2026-07-22,CPPLUS,EQUITY,EQ,INE819V01029,3491.2,3553.0,3372.6,3446.3,3491.2,164064.0,566552599.7
2026-07-21,CPPLUS,EQUITY,EQ,INE819V01029,3576.9,3619.9,3453.0,3491.2,3565.9,128622.0,455483920.6
2026-07-20,CPPLUS,EQUITY,EQ,INE819V01029,3556.1,3661.0,3535.0,3565.9,3614.4,141169.0,506712167.0
2026-07-17,CPPLUS,EQUITY,EQ,INE819V01029,3820.0,3827.8,3610.0,3614.4,3800.0,259103.0,942976193.1
2026-07-16,CPPLUS,EQUITY,EQ,INE819V01029,3737.7,3866.0,3735.1,3800.0,3719.3,213565.0,814065657.4
2026-07-15,CPPLUS,EQUITY,EQ,INE819V01029,3650.1,3749.5,3650.1,3719.3,3622.8,251129.0,930259652.2
2026-07-14,CPPLUS,EQUITY,EQ,INE819V01029,3649.4,3698.9,3611.6,3622.8,3639.4,120904.0,439217914.7
2026-07-13,CPPLUS,EQUITY,EQ,INE819V01029,3640.0,3750.0,3610.0,3639.4,3662.4,149286.0,549329398.5
2026-07-10,CPPLUS,EQUITY,EQ,INE819V01029,3644.2,3758.2,3607.0,3662.4,3644.2,190985.0,703153104.1
2026-07-09,CPPLUS,EQUITY,EQ,INE819V01029,3554.0,3685.0,3531.7,3644.2,3554.6,188462.0,686270986.8
2026-07-08,CPPLUS,EQUITY,EQ,INE819V01029,3518.9,3612.0,3485.0,3554.6,3552.6,213501.0,759064049.6
2026-07-07,CPPLUS,EQUITY,EQ,INE819V01029,3580.0,3640.0,3481.6,3552.6,3611.4,218090.0,776380846.1
2026-07-06,CPPLUS,EQUITY,EQ,INE819V01029,3588.4,3645.0,3526.1,3611.4,3588.4,207626.0,744253658.6
2026-07-03,CPPLUS,EQUITY,EQ,INE819V01029,3490.0,3609.0,3490.0,3588.4,3480.3,134897.0,481598792.0
2026-07-02,CPPLUS,EQUITY,EQ,INE819V01029,3582.7,3589.8,3415.0,3480.3,3572.3,358417.0,1253944029.1
2026-07-01,CPPLUS,EQUITY,EQ,INE819V01029,3659.0,3709.8,3560.0,3572.3,3647.0,191151.0,689101060.1
2026-06-30,CPPLUS,EQUITY,EQ,INE819V01029,3772.9,3787.0,3637.0,3647.0,3714.0,282765.0,1046126563.5
2026-06-29,CPPLUS,EQUITY,EQ,INE819V01029,3565.0,3736.4,3510.7,3714.0,3558.5,431870.0,1582511160.0
2026-06-25,CPPLUS,EQUITY,EQ,INE819V01029,3640.0,3655.0,3550.0,3558.5,3617.6,130223.0,469363978.4
2026-06-24,CPPLUS,EQUITY,EQ,INE819V01029,3571.6,3640.0,3551.3,3617.6,3561.3,142768.0,513904953.3
2026-06-23,CPPLUS,EQUITY,EQ,INE819V01029,3600.0,3700.0,3532.2,3561.3,3631.6,254506.0,919149344.8
2026-06-22,CPPLUS,EQUITY,EQ,INE819V01029,3670.0,3740.0,3592.9,3631.6,3637.8,400355.0,1463056135.2
2026-06-19,CPPLUS,EQUITY,EQ,INE819V01029,3550.0,3654.0,3492.6,3637.8,3513.7,354987.0,1273707214.1
2026-06-18,CPPLUS,EQUITY,EQ,INE819V01029,3374.0,3515.6,3374.0,3513.7,3348.2,312877.0,1090647696.1
2026-06-17,CPPLUS,EQUITY,EQ,INE819V01029,3386.6,3408.0,3283.8,3348.2,3376.9,236036.0,790982880.0
2026-06-16,CPPLUS,EQUITY,EQ,INE819V01029,3366.3,3429.0,3355.0,3376.9,3366.3,180815.0,612359230.9
2026-06-15,CPPLUS,EQUITY,EQ,INE819V01029,3544.0,3544.0,3345.1,3366.3,3375.9,199664.0,684614628.0
2026-06-12,CPPLUS,EQUITY,EQ,INE819V01029,3436.4,3436.4,3266.0,3375.9,3343.5,205285.0,694375332.1
2026-06-11,CPPLUS,EQUITY,EQ,INE819V01029,3428.2,3490.0,3265.2,3343.5,3437.0,416525.0,1397009115.4
2026-06-10,CPPLUS,EQUITY,EQ,INE819V01029,3502.0,3545.0,3425.0,3437.0,3482.2,186996.0,649888951.8
2026-06-09,CPPLUS,EQUITY,EQ,INE819V01029,3429.0,3550.0,3425.0,3482.2,3423.6,283399.0,989645623.6
2026-06-08,CPPLUS,EQUITY,EQ,INE819V01029,3412.0,3540.9,3361.0,3423.6,3501.9,341754.0,1177452622.8
2026-06-05,CPPLUS,EQUITY,EQ,INE819V01029,3590.0,3714.4,3376.8,3501.9,3537.6,977122.0,3477923528.2
2026-06-04,CPPLUS,EQUITY,EQ,INE819V01029,3355.8,3537.6,3246.1,3537.6,3369.2,742162.0,2537300172.2
2026-06-03,CPPLUS,EQUITY,EQ,INE819V01029,3235.0,3374.3,3114.1,3369.2,3213.7,669017.0,2211863847.4
2026-06-02,CPPLUS,EQUITY,EQ,INE819V01029,3144.0,3282.3,3131.0,3213.7,3126.0,529934.0,1711220001.0
2026-06-01,CPPLUS,EQUITY,EQ,INE819V01029,3074.7,3193.8,3047.5,3126.0,2903.5,1721755.0,5417664389.3
2026-05-29,CPPLUS,EQUITY,EQ,INE819V01029,2903.5,2903.5,2821.1,2903.5,2639.6,905751.0,2628273243.1
2026-05-27,CPPLUS,EQUITY,EQ,INE819V01029,2709.1,2737.0,2626.5,2639.6,2648.7,312747.0,829511801.5
2026-05-26,CPPLUS,EQUITY,EQ,INE819V01029,2579.0,2720.0,2569.0,2648.7,2556.1,392303.0,1034452780.3
2026-05-25,CPPLUS,EQUITY,EQ,INE819V01029,2449.8,2602.0,2442.2,2556.1,2416.0,530738.0,1356270864.3
2026-05-22,CPPLUS,EQUITY,EQ,INE819V01029,2414.0,2456.5,2405.3,2416.0,2416.3,85384.0,207180803.4
2026-05-21,CPPLUS,EQUITY,EQ,INE819V01029,2438.0,2465.1,2401.0,2416.3,2400.4,128880.0,313977941.1
2026-05-20,CPPLUS,EQUITY,EQ,INE819V01029,2320.0,2434.1,2308.4,2400.4,2375.1,171359.0,407643797.1
2026-05-19,CPPLUS,EQUITY,EQ,INE819V01029,2401.0,2416.9,2351.5,2375.1,2417.1,208126.0,495567387.7
2026-05-18,CPPLUS,EQUITY,EQ,INE819V01029,2453.4,2453.4,2304.9,2417.1,2464.3,307609.0,731156901.0
2026-05-15,CPPLUS,EQUITY,EQ,INE819V01029,2557.0,2563.9,2351.0,2464.3,2546.9,477212.0,1171798656.5
2026-05-14,CPPLUS,EQUITY,EQ,INE819V01029,2499.0,2555.0,2470.0,2546.9,2502.1,173772.0,438471924.7
2026-05-13,CPPLUS,EQUITY,EQ,INE819V01029,2490.0,2530.0,2480.0,2502.1,2509.8,145152.0,364026836.1
2026-05-12,CPPLUS,EQUITY,EQ,INE819V01029,2515.0,2535.9,2465.0,2509.8,2517.7,164591.0,410543375.0
2026-05-11,CPPLUS,EQUITY,EQ,INE819V01029,2492.1,2537.0,2460.0,2517.7,2508.3,142416.0,355349311.3
2026-05-08,CPPLUS,EQUITY,EQ,INE819V01029,2450.0,2527.3,2422.2,2508.3,2463.1,200748.0,499066405.5
2026-05-07,CPPLUS,EQUITY,EQ,INE819V01029,2480.0,2532.3,2436.1,2463.1,2460.5,225638.0,556521936.5
