trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,CPSEETF,EQUITY,EQ,INF457M01133,94.78,95.25,93.5,93.89,94.78,2100651.0,198446853.01
2026-09-10,CPSEETF,EQUITY,EQ,INF457M01133,95.9,95.9,94.51,94.78,94.79,565197.0,53692946.78
2026-09-09,CPSEETF,EQUITY,EQ,INF457M01133,94.0,95.49,93.24,94.79,94.23,2883640.0,274549949.06
2026-09-08,CPSEETF,EQUITY,EQ,INF457M01133,94.24,94.4,93.34,94.23,93.47,1324882.0,124589806.71
2026-09-07,CPSEETF,EQUITY,EQ,INF457M01133,93.2,94.47,93.2,93.47,93.7,480522.0,45027212.03
2026-09-04,CPSEETF,EQUITY,EQ,INF457M01133,95.44,95.44,93.4,93.7,93.57,353172.0,33131903.92
2026-09-03,CPSEETF,EQUITY,EQ,INF457M01133,93.4,94.3,93.39,93.57,93.64,853002.0,80105727.66
2026-09-02,CPSEETF,EQUITY,EQ,INF457M01133,94.84,94.84,92.06,93.64,92.53,1238289.0,115607642.83
2026-09-01,CPSEETF,EQUITY,EQ,INF457M01133,93.5,93.5,91.93,92.53,92.58,518496.0,48013143.24
2026-08-31,CPSEETF,EQUITY,EQ,INF457M01133,92.84,94.3,92.16,92.58,92.76,562670.0,51993034.05
2026-08-28,CPSEETF,EQUITY,EQ,INF457M01133,94.9,94.9,92.51,92.76,92.59,981251.0,90928900.26
2026-08-27,CPSEETF,EQUITY,EQ,INF457M01133,93.59,93.78,92.41,92.59,93.19,1259923.0,116798678.89
2026-08-26,CPSEETF,EQUITY,EQ,INF457M01133,93.78,94.73,93.1,93.19,93.78,1166522.0,108976694.14
2026-08-25,CPSEETF,EQUITY,EQ,INF457M01133,94.07,94.69,93.42,93.78,94.07,513537.0,48119156.65
2026-08-24,CPSEETF,EQUITY,EQ,INF457M01133,94.27,94.98,93.7,94.07,94.27,649100.0,61090051.99
2026-08-21,CPSEETF,EQUITY,EQ,INF457M01133,93.0,94.75,93.0,94.27,93.54,810704.0,76451863.44
2026-08-20,CPSEETF,EQUITY,EQ,INF457M01133,93.14,94.01,92.79,93.54,93.14,594814.0,55508540.3
2026-08-19,CPSEETF,EQUITY,EQ,INF457M01133,94.5,94.5,93.01,93.14,93.99,1093832.0,102086662.39
2026-08-18,CPSEETF,EQUITY,EQ,INF457M01133,94.0,94.3,93.7,93.99,93.76,969195.0,91088810.74
2026-08-17,CPSEETF,EQUITY,EQ,INF457M01133,93.85,94.39,93.51,93.76,93.85,1296788.0,121486524.32
2026-08-14,CPSEETF,EQUITY,EQ,INF457M01133,94.2,94.57,93.75,93.85,94.37,548323.0,51505960.26
2026-08-13,CPSEETF,EQUITY,EQ,INF457M01133,94.97,94.97,93.79,94.37,93.86,617371.0,58137167.05
2026-08-12,CPSEETF,EQUITY,EQ,INF457M01133,93.84,94.98,93.21,93.86,93.84,1031400.0,96548290.1
2026-08-11,CPSEETF,EQUITY,EQ,INF457M01133,96.14,96.14,93.28,93.84,93.8,1138622.0,106693344.15
2026-08-10,CPSEETF,EQUITY,EQ,INF457M01133,95.8,95.8,93.7,93.8,94.27,2652988.0,249100804.03
2026-08-07,CPSEETF,EQUITY,EQ,INF457M01133,94.3,95.79,93.85,94.27,94.21,880048.0,82988311.12
2026-08-06,CPSEETF,EQUITY,EQ,INF457M01133,96.63,96.63,93.87,94.21,94.74,1103837.0,103954990.46
2026-08-05,CPSEETF,EQUITY,EQ,INF457M01133,95.99,95.99,94.2,94.74,94.62,677252.0,64092837.76
2026-08-04,CPSEETF,EQUITY,EQ,INF457M01133,95.99,95.99,94.5,94.62,94.89,817151.0,77567608.66
2026-08-03,CPSEETF,EQUITY,EQ,INF457M01133,94.99,96.29,94.7,94.89,94.91,757122.0,71948028.27
2026-07-31,CPSEETF,EQUITY,EQ,INF457M01133,95.0,95.41,94.37,94.91,94.58,813009.0,77009952.8
2026-07-30,CPSEETF,EQUITY,EQ,INF457M01133,94.03,94.7,93.79,94.58,94.03,534441.0,50461425.6
2026-07-29,CPSEETF,EQUITY,EQ,INF457M01133,94.27,95.26,93.7,94.03,94.27,1019834.0,95812382.49
2026-07-28,CPSEETF,EQUITY,EQ,INF457M01133,96.06,96.45,94.03,94.27,96.06,1461178.0,138022091.15
2026-07-27,CPSEETF,EQUITY,EQ,INF457M01133,96.99,96.99,95.9,96.06,96.23,524348.0,50442946.27
2026-07-24,CPSEETF,EQUITY,EQ,INF457M01133,96.75,96.85,95.85,96.23,96.75,470595.0,45301069.76
2026-07-23,CPSEETF,EQUITY,EQ,INF457M01133,98.7,98.7,95.0,96.75,96.76,459385.0,44391798.69
