trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,CSBBANK,EQUITY,EQ,INE679A01013,323.0,323.0,311.15,312.85,321.15,635441.0,200234897.25
2026-09-07,CSBBANK,EQUITY,EQ,INE679A01013,328.4,328.4,318.75,321.15,328.55,390084.0,125938796.0
2026-09-04,CSBBANK,EQUITY,EQ,INE679A01013,325.15,331.65,320.8,328.55,324.95,658990.0,215977474.25
2026-09-03,CSBBANK,EQUITY,EQ,INE679A01013,331.65,335.0,321.95,324.95,331.65,573086.0,187575679.1
2026-09-02,CSBBANK,EQUITY,EQ,INE679A01013,337.1,338.0,328.7,331.65,338.95,340893.0,113358379.45
2026-09-01,CSBBANK,EQUITY,EQ,INE679A01013,342.55,342.8,335.15,338.95,343.55,653928.0,221373953.5
2026-08-31,CSBBANK,EQUITY,EQ,INE679A01013,335.5,345.8,330.25,343.55,336.3,289781.0,98344152.85
2026-08-28,CSBBANK,EQUITY,EQ,INE679A01013,349.0,350.25,334.9,336.3,348.8,585124.0,200294220.05
2026-08-27,CSBBANK,EQUITY,EQ,INE679A01013,345.8,355.55,345.8,348.8,347.75,550978.0,193033052.0
2026-08-26,CSBBANK,EQUITY,EQ,INE679A01013,339.0,349.0,339.0,347.75,339.35,483610.0,167020673.9
2026-08-25,CSBBANK,EQUITY,EQ,INE679A01013,332.0,342.85,329.15,339.35,331.9,855147.0,287673306.3
2026-08-24,CSBBANK,EQUITY,EQ,INE679A01013,324.9,334.0,321.6,331.9,322.9,496826.0,163645336.9
2026-08-21,CSBBANK,EQUITY,EQ,INE679A01013,321.25,328.2,320.1,322.9,320.9,606739.0,196061659.35
2026-08-20,CSBBANK,EQUITY,EQ,INE679A01013,321.0,330.6,317.25,320.9,314.6,1467715.0,474546231.5
2026-08-19,CSBBANK,EQUITY,EQ,INE679A01013,317.45,317.6,314.2,314.6,317.45,111560.0,35203552.55
2026-08-18,CSBBANK,EQUITY,EQ,INE679A01013,313.0,320.2,312.95,317.45,319.95,340793.0,108143687.85
2026-08-17,CSBBANK,EQUITY,EQ,INE679A01013,320.55,320.95,318.05,319.95,319.8,159757.0,51061023.0
2026-08-14,CSBBANK,EQUITY,EQ,INE679A01013,323.75,324.55,319.0,319.8,323.75,197144.0,63255614.95
2026-08-13,CSBBANK,EQUITY,EQ,INE679A01013,319.2,325.45,315.0,323.75,319.2,307001.0,98532285.2
2026-08-12,CSBBANK,EQUITY,EQ,INE679A01013,326.05,326.2,317.0,319.2,324.55,247247.0,78853888.85
2026-08-11,CSBBANK,EQUITY,EQ,INE679A01013,325.55,326.95,318.8,324.55,325.1,256584.0,82967316.15
2026-08-10,CSBBANK,EQUITY,EQ,INE679A01013,321.35,326.0,317.0,325.1,316.95,344242.0,110870710.15
2026-08-07,CSBBANK,EQUITY,EQ,INE679A01013,324.0,325.8,315.25,316.95,323.95,473828.0,151364158.2
2026-08-06,CSBBANK,EQUITY,EQ,INE679A01013,327.6,330.5,321.2,323.95,326.55,446301.0,145790760.45
2026-08-05,CSBBANK,EQUITY,EQ,INE679A01013,333.0,333.0,325.0,326.55,329.9,222007.0,72940576.65
2026-08-04,CSBBANK,EQUITY,EQ,INE679A01013,333.4,333.4,327.95,329.9,332.8,217303.0,71782971.15
2026-08-03,CSBBANK,EQUITY,EQ,INE679A01013,330.1,334.75,329.65,332.8,329.9,211279.0,70290916.25
2026-07-31,CSBBANK,EQUITY,EQ,INE679A01013,328.6,331.7,327.0,329.9,326.95,503673.0,165704498.3
2026-07-30,CSBBANK,EQUITY,EQ,INE679A01013,333.0,333.5,326.0,326.95,333.0,676930.0,222495065.65
2026-07-29,CSBBANK,EQUITY,EQ,INE679A01013,339.9,341.1,332.5,333.0,339.2,420485.0,141188819.75
2026-07-28,CSBBANK,EQUITY,EQ,INE679A01013,337.25,340.2,334.3,339.2,337.25,295517.0,99848829.65
2026-07-27,CSBBANK,EQUITY,EQ,INE679A01013,341.2,346.55,336.0,337.25,340.9,489401.0,166426675.65
2026-07-24,CSBBANK,EQUITY,EQ,INE679A01013,335.3,342.2,331.45,340.9,338.15,366137.0,123326186.95
2026-07-23,CSBBANK,EQUITY,EQ,INE679A01013,343.2,343.6,330.35,338.15,345.3,1046679.0,352295213.35
2026-07-22,CSBBANK,EQUITY,EQ,INE679A01013,370.9,371.8,340.05,345.3,370.0,3734150.0,1305106352.0
2026-07-21,CSBBANK,EQUITY,EQ,INE679A01013,362.85,371.5,360.5,370.0,360.95,265894.0,97900084.35
2026-07-20,CSBBANK,EQUITY,EQ,INE679A01013,368.75,372.5,359.85,360.95,368.75,395286.0,143848446.3
2026-07-17,CSBBANK,EQUITY,EQ,INE679A01013,364.5,370.75,357.55,368.75,365.55,292306.0,106232168.1
2026-07-16,CSBBANK,EQUITY,EQ,INE679A01013,365.95,369.7,361.55,365.55,365.7,153642.0,56044660.8
2026-07-15,CSBBANK,EQUITY,EQ,INE679A01013,358.0,376.55,358.0,365.7,356.6,809428.0,298241945.75
2026-07-14,CSBBANK,EQUITY,EQ,INE679A01013,363.7,363.7,351.85,356.6,362.95,315837.0,112677611.7
2026-07-13,CSBBANK,EQUITY,EQ,INE679A01013,355.1,364.8,355.1,362.95,360.4,459778.0,165798390.85
2026-07-10,CSBBANK,EQUITY,EQ,INE679A01013,352.0,362.6,351.95,360.4,351.05,528411.0,188253629.9
2026-07-09,CSBBANK,EQUITY,EQ,INE679A01013,349.0,353.7,348.95,351.05,350.75,201595.0,70845383.8
2026-07-08,CSBBANK,EQUITY,EQ,INE679A01013,351.0,352.3,342.65,350.75,353.5,307595.0,107332600.6
2026-07-07,CSBBANK,EQUITY,EQ,INE679A01013,349.85,355.6,349.0,353.5,349.85,299510.0,105645090.95
2026-07-06,CSBBANK,EQUITY,EQ,INE679A01013,352.9,353.55,348.25,349.85,352.2,202690.0,71000532.5
2026-07-03,CSBBANK,EQUITY,EQ,INE679A01013,354.0,354.0,344.4,352.2,351.5,682350.0,238317075.3
2026-07-02,CSBBANK,EQUITY,EQ,INE679A01013,339.1,352.65,338.8,351.5,338.15,713358.0,248357158.5
2026-07-01,CSBBANK,EQUITY,EQ,INE679A01013,341.7,343.7,336.1,338.15,339.85,285035.0,96655658.0
2026-06-30,CSBBANK,EQUITY,EQ,INE679A01013,330.95,340.95,329.55,339.85,328.85,406869.0,136757597.35
2026-06-29,CSBBANK,EQUITY,EQ,INE679A01013,327.05,331.55,317.35,328.85,324.6,731407.0,237734717.05
2026-06-25,CSBBANK,EQUITY,EQ,INE679A01013,345.95,347.0,321.8,324.6,343.75,1829848.0,601675786.2
2026-06-24,CSBBANK,EQUITY,EQ,INE679A01013,353.1,356.55,341.55,343.75,356.55,1088496.0,377978655.1
2026-06-23,CSBBANK,EQUITY,EQ,INE679A01013,362.5,363.95,355.1,356.55,363.7,155339.0,55895129.45
2026-06-22,CSBBANK,EQUITY,EQ,INE679A01013,366.1,367.9,362.25,363.7,365.5,185193.0,67507289.2
2026-06-19,CSBBANK,EQUITY,EQ,INE679A01013,368.1,369.4,360.0,365.5,367.5,392402.0,143099502.1
2026-06-18,CSBBANK,EQUITY,EQ,INE679A01013,369.0,373.9,366.05,367.5,367.7,452656.0,166911006.2
2026-06-17,CSBBANK,EQUITY,EQ,INE679A01013,371.5,374.35,366.0,367.7,369.35,701281.0,258276406.25
2026-06-16,CSBBANK,EQUITY,EQ,INE679A01013,373.05,377.5,367.4,369.35,372.8,298064.0,110994545.6
2026-06-15,CSBBANK,EQUITY,EQ,INE679A01013,376.0,377.95,371.3,372.8,366.35,280574.0,105115368.15
2026-06-12,CSBBANK,EQUITY,EQ,INE679A01013,359.0,368.0,355.5,366.35,354.1,255496.0,92293332.75
2026-06-11,CSBBANK,EQUITY,EQ,INE679A01013,361.1,361.55,352.6,354.1,362.05,216929.0,77306328.25
2026-06-10,CSBBANK,EQUITY,EQ,INE679A01013,354.1,371.8,354.05,362.05,353.05,731586.0,267862507.1
2026-06-09,CSBBANK,EQUITY,EQ,INE679A01013,355.9,358.9,350.65,353.05,354.0,448359.0,158529873.05
2026-06-08,CSBBANK,EQUITY,EQ,INE679A01013,359.0,360.8,352.0,354.0,362.05,108610.0,38670769.9
2026-06-05,CSBBANK,EQUITY,EQ,INE679A01013,362.1,365.95,359.0,362.05,361.7,123966.0,45080866.65
2026-06-04,CSBBANK,EQUITY,EQ,INE679A01013,361.25,366.3,359.3,361.7,364.5,163581.0,59342196.35
2026-06-03,CSBBANK,EQUITY,EQ,INE679A01013,365.0,369.45,360.2,364.5,368.7,304088.0,110645868.15
2026-06-02,CSBBANK,EQUITY,EQ,INE679A01013,356.65,370.7,351.8,368.7,359.05,373240.0,135303721.9
2026-06-01,CSBBANK,EQUITY,EQ,INE679A01013,355.55,364.75,351.9,359.05,352.85,357639.0,128429133.05
2026-05-29,CSBBANK,EQUITY,EQ,INE679A01013,371.6,372.65,347.5,352.85,370.05,810525.0,289406462.25
2026-05-27,CSBBANK,EQUITY,EQ,INE679A01013,364.3,373.9,360.5,370.05,364.1,420244.0,154469668.4
2026-05-26,CSBBANK,EQUITY,EQ,INE679A01013,365.55,368.35,360.5,364.1,365.5,137721.0,50141939.25
2026-05-25,CSBBANK,EQUITY,EQ,INE679A01013,364.0,367.95,362.8,365.5,361.25,199531.0,72803799.35
2026-05-22,CSBBANK,EQUITY,EQ,INE679A01013,365.0,365.2,358.25,361.25,364.05,280892.0,101210671.0
2026-05-21,CSBBANK,EQUITY,EQ,INE679A01013,366.35,366.55,359.1,364.05,363.85,565452.0,205484118.25
2026-05-20,CSBBANK,EQUITY,EQ,INE679A01013,359.0,365.0,354.0,363.85,359.65,345864.0,124581826.15
2026-05-19,CSBBANK,EQUITY,EQ,INE679A01013,355.0,361.0,351.15,359.65,354.35,356874.0,127145971.25
2026-05-18,CSBBANK,EQUITY,EQ,INE679A01013,355.0,356.15,343.0,354.35,358.65,410232.0,143640136.2
2026-05-15,CSBBANK,EQUITY,EQ,INE679A01013,353.5,360.0,348.45,358.65,354.0,362774.0,128524505.3
2026-05-14,CSBBANK,EQUITY,EQ,INE679A01013,358.0,358.0,343.05,354.0,352.85,581500.0,202896106.45
2026-05-13,CSBBANK,EQUITY,EQ,INE679A01013,343.2,353.55,340.0,352.85,344.15,901679.0,312246596.6
2026-05-12,CSBBANK,EQUITY,EQ,INE679A01013,352.45,354.7,342.2,344.15,352.45,397692.0,137357324.05
2026-05-11,CSBBANK,EQUITY,EQ,INE679A01013,362.0,363.0,350.0,352.45,365.05,632626.0,224192615.2
2026-05-08,CSBBANK,EQUITY,EQ,INE679A01013,359.35,365.95,354.0,365.05,356.95,1065911.0,385116857.85
2026-05-07,CSBBANK,EQUITY,EQ,INE679A01013,375.1,377.4,353.95,356.95,371.95,1807664.0,656792516.9
2026-05-06,CSBBANK,EQUITY,EQ,INE679A01013,390.0,392.55,367.2,371.95,386.1,1616167.0,610768433.8
2026-05-05,CSBBANK,EQUITY,EQ,INE679A01013,389.0,389.6,383.55,386.1,392.2,507835.0,196184271.0
2026-05-04,CSBBANK,EQUITY,EQ,INE679A01013,381.95,413.0,381.65,392.2,381.95,3880640.0,1546095295.85
2026-04-30,CSBBANK,EQUITY,EQ,INE679A01013,390.5,391.4,381.0,381.95,391.55,392044.0,150541883.1
2026-04-29,CSBBANK,EQUITY,EQ,INE679A01013,396.0,400.45,390.1,391.55,393.55,317294.0,125364006.55
2026-04-28,CSBBANK,EQUITY,EQ,INE679A01013,399.9,406.4,392.2,393.55,396.6,685407.0,273910686.2
2026-04-27,CSBBANK,EQUITY,EQ,INE679A01013,386.0,402.2,386.0,396.6,382.65,489618.0,193411683.95
2026-04-24,CSBBANK,EQUITY,EQ,INE679A01013,386.1,388.5,375.45,382.65,384.75,374382.0,142808464.45
2026-04-23,CSBBANK,EQUITY,EQ,INE679A01013,395.0,397.55,383.4,384.75,396.35,434597.0,169212185.15
2026-04-22,CSBBANK,EQUITY,EQ,INE679A01013,404.0,409.9,391.85,396.35,402.6,953556.0,383745972.75
2026-04-21,CSBBANK,EQUITY,EQ,INE679A01013,390.8,406.15,390.8,402.6,390.4,1492484.0,595593259.4
2026-04-20,CSBBANK,EQUITY,EQ,INE679A01013,399.5,401.6,386.1,390.4,399.85,325272.0,128403273.3
2026-04-17,CSBBANK,EQUITY,EQ,INE679A01013,405.0,406.0,397.0,399.85,402.7,393199.0,157447860.8
2026-04-16,CSBBANK,EQUITY,EQ,INE679A01013,413.15,417.2,397.2,402.7,412.25,525370.0,211979916.1
2026-04-15,CSBBANK,EQUITY,EQ,INE679A01013,410.5,415.5,405.45,412.25,405.45,433414.0,178768321.0
2026-04-13,CSBBANK,EQUITY,EQ,INE679A01013,395.1,408.1,387.35,405.45,404.9,470812.0,188754012.6
2026-04-10,CSBBANK,EQUITY,EQ,INE679A01013,399.0,408.45,397.1,404.9,395.55,268033.0,107741286.5
2026-04-09,CSBBANK,EQUITY,EQ,INE679A01013,407.0,407.0,393.35,395.55,406.15,274669.0,109551388.85
2026-04-08,CSBBANK,EQUITY,EQ,INE679A01013,393.0,407.95,385.0,406.15,373.85,597329.0,236775940.55
2026-04-07,CSBBANK,EQUITY,EQ,INE679A01013,370.0,378.9,367.05,373.85,373.75,346983.0,130071350.4
2026-04-06,CSBBANK,EQUITY,EQ,INE679A01013,377.0,378.0,364.2,373.75,369.05,842814.0,312017140.7
2026-04-02,CSBBANK,EQUITY,EQ,INE679A01013,353.1,372.5,343.05,369.05,360.05,482946.0,172283082.15
2026-04-01,CSBBANK,EQUITY,EQ,INE679A01013,351.0,363.45,348.8,360.05,340.5,418242.0,149871295.5
2026-03-30,CSBBANK,EQUITY,EQ,INE679A01013,349.65,359.3,336.25,340.5,353.75,759602.0,261857557.3
2026-03-27,CSBBANK,EQUITY,EQ,INE679A01013,362.0,364.95,352.0,353.75,363.5,431906.0,153717461.05
2026-03-25,CSBBANK,EQUITY,EQ,INE679A01013,365.0,368.35,360.1,363.5,359.1,261691.0,95457040.05
2026-03-24,CSBBANK,EQUITY,EQ,INE679A01013,355.0,361.35,348.1,359.1,344.25,944746.0,336656057.85
