trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,CSM,EQUITY,EQ,INE0ZK601013,92.85,97.64,92.28,94.96,93.31,892772.0,83987773.75
2026-09-09,CSM,EQUITY,EQ,INE0ZK601013,94.95,94.95,92.8,93.31,94.13,46723.0,4358150.6
2026-09-08,CSM,EQUITY,EQ,INE0ZK601013,95.0,95.24,93.0,94.13,93.57,51809.0,4870987.33
2026-09-07,CSM,EQUITY,EQ,INE0ZK601013,94.0,95.0,92.67,93.57,94.36,104718.0,9777031.29
2026-09-04,CSM,EQUITY,EQ,INE0ZK601013,93.99,94.78,93.4,94.36,94.0,80421.0,7555333.62
2026-09-03,CSM,EQUITY,EQ,INE0ZK601013,96.0,96.42,93.2,94.0,95.94,52817.0,4979111.52
2026-09-02,CSM,EQUITY,EQ,INE0ZK601013,94.49,96.3,93.12,95.94,94.49,130639.0,12435527.7
2026-09-01,CSM,EQUITY,EQ,INE0ZK601013,96.35,96.79,93.21,94.49,96.79,121136.0,11483268.8
2026-08-31,CSM,EQUITY,EQ,INE0ZK601013,97.4,98.47,95.71,96.79,97.4,71259.0,6869008.42
2026-08-28,CSM,EQUITY,EQ,INE0ZK601013,97.2,98.0,96.61,97.4,97.14,40209.0,3915177.64
2026-08-27,CSM,EQUITY,EQ,INE0ZK601013,96.85,97.6,96.21,97.14,96.85,96576.0,9365000.3
2026-08-26,CSM,EQUITY,EQ,INE0ZK601013,97.24,98.79,96.11,96.85,97.56,305370.0,29746952.9
2026-08-25,CSM,EQUITY,EQ,INE0ZK601013,98.0,98.5,97.25,97.56,98.59,58968.0,5763610.01
2026-08-24,CSM,EQUITY,EQ,INE0ZK601013,99.55,99.87,97.3,98.59,99.55,365203.0,35817638.94
2026-08-21,CSM,EQUITY,EQ,INE0ZK601013,99.37,100.0,98.81,99.55,99.37,259489.0,25852745.11
2026-08-20,CSM,EQUITY,EQ,INE0ZK601013,99.25,100.0,97.32,99.37,99.25,285697.0,28338813.38
2026-08-19,CSM,EQUITY,EQ,INE0ZK601013,102.0,102.0,96.11,99.25,100.19,516095.0,50939306.73
2026-08-18,CSM,EQUITY,EQ,INE0ZK601013,100.88,100.89,99.66,100.19,100.37,75667.0,7575100.92
2026-08-17,CSM,EQUITY,EQ,INE0ZK601013,98.71,101.09,96.0,100.37,100.71,144197.0,14323591.28
2026-08-14,CSM,EQUITY,EQ,INE0ZK601013,100.94,102.48,100.0,100.71,100.2,219390.0,22263546.75
2026-08-13,CSM,EQUITY,EQ,INE0ZK601013,101.24,102.68,99.18,100.2,101.79,114008.0,11488850.99
2026-08-12,CSM,EQUITY,EQ,INE0ZK601013,101.84,102.88,101.11,101.79,102.72,149206.0,15239808.87
2026-08-11,CSM,EQUITY,EQ,INE0ZK601013,105.24,105.5,101.55,102.72,105.5,274370.0,28287899.14
2026-08-10,CSM,EQUITY,EQ,INE0ZK601013,101.41,106.5,100.25,105.5,102.12,680461.0,70836245.99
2026-08-07,CSM,EQUITY,EQ,INE0ZK601013,102.58,103.64,101.0,102.12,102.58,238195.0,24331432.64
2026-08-06,CSM,EQUITY,EQ,INE0ZK601013,100.94,105.1,99.02,102.58,100.94,794440.0,82156016.29
2026-08-05,CSM,EQUITY,EQ,INE0ZK601013,101.99,102.0,100.09,100.94,100.38,134754.0,13600657.85
2026-08-04,CSM,EQUITY,EQ,INE0ZK601013,104.77,104.77,99.31,100.38,104.88,173715.0,17735045.09
2026-08-03,CSM,EQUITY,EQ,INE0ZK601013,102.52,108.2,101.1,104.88,104.78,1147334.0,122170519.65
2026-07-31,CSM,EQUITY,EQ,INE0ZK601013,98.02,108.0,98.02,104.78,100.2,1167576.0,122097395.3
2026-07-30,CSM,EQUITY,EQ,INE0ZK601013,98.99,101.61,95.17,100.2,96.14,764907.0,74483398.32
2026-07-29,CSM,EQUITY,EQ,INE0ZK601013,100.0,101.88,94.27,96.14,100.6,713856.0,69382815.92
2026-07-28,CSM,EQUITY,EQ,INE0ZK601013,99.5,105.95,99.0,100.6,99.54,354740.0,36460653.06
2026-07-27,CSM,EQUITY,EQ,INE0ZK601013,99.62,100.5,99.0,99.54,99.62,178019.0,17738716.1
2026-07-24,CSM,EQUITY,EQ,INE0ZK601013,97.22,102.0,95.1,99.62,96.99,490228.0,48658404.59
2026-07-23,CSM,EQUITY,EQ,INE0ZK601013,98.49,98.9,95.65,96.99,98.11,305284.0,29750528.53
2026-07-22,CSM,EQUITY,EQ,INE0ZK601013,103.7,103.71,96.5,98.11,102.6,334746.0,33349398.75
2026-07-21,CSM,EQUITY,EQ,INE0ZK601013,99.01,105.65,98.98,102.6,99.33,375404.0,38591958.38
2026-07-20,CSM,EQUITY,EQ,INE0ZK601013,102.8,103.92,98.76,99.33,103.92,644722.0,65141021.22
2026-07-17,CSM,EQUITY,EQ,INE0ZK601013,105.3,108.26,102.8,103.92,106.24,480585.0,50220228.36
2026-07-16,CSM,EQUITY,EQ,INE0ZK601013,100.91,109.8,100.9,106.24,101.1,646568.0,68658467.66
