trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,CUMMINSIND,EQUITY,EQ,INE298A01020,5170.5,5237.0,5069.5,5155.0,5170.5,817252.0,4229578698.0
2026-09-09,CUMMINSIND,EQUITY,EQ,INE298A01020,5020.0,5182.5,5020.0,5170.5,5040.0,373017.0,1919048873.0
2026-09-08,CUMMINSIND,EQUITY,EQ,INE298A01020,5007.0,5040.0,4965.0,5040.0,5030.0,457631.0,2287780398.5
2026-09-07,CUMMINSIND,EQUITY,EQ,INE298A01020,5035.0,5072.0,4985.0,5030.0,5035.0,201783.0,1014641416.5
2026-09-04,CUMMINSIND,EQUITY,EQ,INE298A01020,5071.0,5083.0,5013.0,5035.0,5071.0,483825.0,2438711381.0
2026-09-03,CUMMINSIND,EQUITY,EQ,INE298A01020,5088.5,5118.0,5035.5,5071.0,5088.5,180394.0,918732350.0
2026-09-02,CUMMINSIND,EQUITY,EQ,INE298A01020,5089.0,5089.0,5001.0,5088.5,5105.0,368600.0,1855481975.5
2026-09-01,CUMMINSIND,EQUITY,EQ,INE298A01020,5093.5,5115.0,5054.5,5105.0,5105.0,430883.0,2188416445.0
2026-08-31,CUMMINSIND,EQUITY,EQ,INE298A01020,5150.0,5179.0,5105.0,5105.0,5193.0,507241.0,2598852704.5
2026-08-28,CUMMINSIND,EQUITY,EQ,INE298A01020,5215.0,5215.0,5126.0,5193.0,5190.0,387326.0,1995502187.0
2026-08-27,CUMMINSIND,EQUITY,EQ,INE298A01020,5225.0,5270.0,5141.5,5190.0,5200.0,553728.0,2867704640.5
2026-08-26,CUMMINSIND,EQUITY,EQ,INE298A01020,5125.0,5237.0,5125.0,5200.0,5239.5,714039.0,3695371166.5
2026-08-25,CUMMINSIND,EQUITY,EQ,INE298A01020,5220.0,5239.5,5150.0,5239.5,5190.0,562078.0,2920554309.0
2026-08-24,CUMMINSIND,EQUITY,EQ,INE298A01020,5100.0,5190.0,5083.0,5190.0,5107.5,686782.0,3530870545.0
2026-08-21,CUMMINSIND,EQUITY,EQ,INE298A01020,5116.0,5218.0,5092.0,5107.5,5205.0,753737.0,3862290028.5
2026-08-20,CUMMINSIND,EQUITY,EQ,INE298A01020,5250.0,5252.5,5192.5,5205.0,5220.0,253759.0,1322599860.0
2026-08-19,CUMMINSIND,EQUITY,EQ,INE298A01020,5301.5,5347.0,5206.5,5220.0,5350.0,321107.0,1686829122.5
2026-08-18,CUMMINSIND,EQUITY,EQ,INE298A01020,5478.5,5484.0,5350.0,5350.0,5450.0,177068.0,958458163.5
2026-08-17,CUMMINSIND,EQUITY,EQ,INE298A01020,5359.5,5475.0,5338.5,5450.0,5400.0,481671.0,2617790296.5
2026-08-14,CUMMINSIND,EQUITY,EQ,INE298A01020,5348.0,5426.0,5339.5,5400.0,5315.0,415052.0,2238695337.5
2026-08-13,CUMMINSIND,EQUITY,EQ,INE298A01020,5350.5,5384.5,5315.0,5315.0,5365.0,357217.0,1908853278.0
2026-08-12,CUMMINSIND,EQUITY,EQ,INE298A01020,5366.5,5406.5,5330.0,5365.0,5378.5,554039.0,2965596202.5
2026-08-11,CUMMINSIND,EQUITY,EQ,INE298A01020,5418.0,5447.0,5356.0,5378.5,5448.0,370560.0,1993543910.0
2026-08-10,CUMMINSIND,EQUITY,EQ,INE298A01020,5480.0,5486.0,5393.5,5448.0,5426.0,225721.0,1226907182.0
2026-08-07,CUMMINSIND,EQUITY,EQ,INE298A01020,5405.0,5474.5,5348.5,5426.0,5402.0,262771.0,1425581860.5
2026-08-06,CUMMINSIND,EQUITY,EQ,INE298A01020,5175.0,5455.0,5175.0,5402.0,5440.0,2063594.0,11053233659.0
2026-08-05,CUMMINSIND,EQUITY,EQ,INE298A01020,5568.5,5593.5,5345.0,5440.0,5550.0,594556.0,3240106351.0
2026-08-04,CUMMINSIND,EQUITY,EQ,INE298A01020,5536.5,5595.0,5439.0,5550.0,5550.0,324047.0,1788122810.5
2026-08-03,CUMMINSIND,EQUITY,EQ,INE298A01020,5526.0,5550.0,5486.0,5550.0,5519.0,146209.0,806481376.5
2026-07-31,CUMMINSIND,EQUITY,EQ,INE298A01020,5463.0,5567.0,5461.5,5519.0,5396.0,357879.0,1978350422.0
2026-07-30,CUMMINSIND,EQUITY,EQ,INE298A01020,5397.0,5426.0,5315.0,5396.0,5383.0,297096.0,1595345632.0
2026-07-29,CUMMINSIND,EQUITY,EQ,INE298A01020,5452.5,5477.5,5371.5,5383.0,5455.5,453704.0,2452392589.0
2026-07-28,CUMMINSIND,EQUITY,EQ,INE298A01020,5605.0,5620.0,5408.0,5455.5,5629.5,573652.0,3132764942.0
2026-07-27,CUMMINSIND,EQUITY,EQ,INE298A01020,5643.5,5649.5,5589.5,5629.5,5600.5,343112.0,1927589161.5
2026-07-24,CUMMINSIND,EQUITY,EQ,INE298A01020,5571.0,5652.5,5533.0,5600.5,5599.0,290705.0,1630044351.5
2026-07-23,CUMMINSIND,EQUITY,EQ,INE298A01020,5565.0,5658.0,5543.0,5599.0,5586.0,254401.0,1426061149.0
2026-07-22,CUMMINSIND,EQUITY,EQ,INE298A01020,5617.5,5637.0,5563.5,5586.0,5583.0,322364.0,1801807239.5
2026-07-21,CUMMINSIND,EQUITY,EQ,INE298A01020,5535.5,5587.0,5505.5,5583.0,5506.0,189190.0,1051511672.0
2026-07-20,CUMMINSIND,EQUITY,EQ,INE298A01020,5438.0,5531.5,5397.0,5506.0,5448.0,312030.0,1715979125.5
2026-07-17,CUMMINSIND,EQUITY,EQ,INE298A01020,5582.0,5582.0,5390.0,5448.0,5592.0,666621.0,3627171838.5
2026-07-16,CUMMINSIND,EQUITY,EQ,INE298A01020,5557.0,5674.5,5473.5,5592.0,5549.5,686668.0,3850069969.0
2026-07-15,CUMMINSIND,EQUITY,EQ,INE298A01020,5515.0,5601.5,5512.0,5549.5,5493.5,522110.0,2902044680.5
2026-07-14,CUMMINSIND,EQUITY,EQ,INE298A01020,5537.5,5555.0,5480.0,5493.5,5555.0,356814.0,1961359700.5
2026-07-13,CUMMINSIND,EQUITY,EQ,INE298A01020,5600.0,5601.5,5529.0,5555.0,5621.5,323370.0,1799303097.5
2026-07-10,CUMMINSIND,EQUITY,EQ,INE298A01020,5567.0,5714.0,5567.0,5621.5,5542.5,463881.0,2618890295.0
2026-07-09,CUMMINSIND,EQUITY,EQ,INE298A01020,5506.0,5566.5,5492.0,5542.5,5498.5,295533.0,1636578691.5
2026-07-08,CUMMINSIND,EQUITY,EQ,INE298A01020,5425.0,5561.0,5381.0,5498.5,5471.5,392522.0,2160927296.5
2026-07-07,CUMMINSIND,EQUITY,EQ,INE298A01020,5569.0,5578.5,5424.0,5471.5,5578.5,592191.0,3237849311.5
2026-07-06,CUMMINSIND,EQUITY,EQ,INE298A01020,5479.0,5594.0,5476.0,5578.5,5478.0,429461.0,2383824335.5
2026-07-03,CUMMINSIND,EQUITY,EQ,INE298A01020,5690.0,5690.0,5454.5,5478.0,5578.5,787931.0,4335892391.5
2026-07-02,CUMMINSIND,EQUITY,EQ,INE298A01020,5680.5,5690.0,5555.0,5578.5,5663.0,325685.0,1819448257.5
2026-07-01,CUMMINSIND,EQUITY,EQ,INE298A01020,5695.0,5740.0,5614.5,5663.0,5659.5,227454.0,1292461140.5
2026-06-30,CUMMINSIND,EQUITY,EQ,INE298A01020,5582.5,5699.0,5547.0,5659.5,5541.5,646570.0,3646638149.0
2026-06-29,CUMMINSIND,EQUITY,EQ,INE298A01020,5699.0,5706.5,5505.5,5541.5,5642.0,1820384.0,10120620028.0
2026-06-25,CUMMINSIND,EQUITY,EQ,INE298A01020,5555.5,5698.5,5550.5,5642.0,5555.5,479618.0,2711433538.0
2026-06-24,CUMMINSIND,EQUITY,EQ,INE298A01020,5752.5,5775.5,5535.5,5555.5,5735.5,425435.0,2397733286.0
2026-06-23,CUMMINSIND,EQUITY,EQ,INE298A01020,5802.5,5838.0,5725.5,5735.5,5764.0,440329.0,2544320753.5
2026-06-22,CUMMINSIND,EQUITY,EQ,INE298A01020,5795.5,5795.5,5637.0,5764.0,5865.0,591113.0,3397754989.5
2026-06-19,CUMMINSIND,EQUITY,EQ,INE298A01020,5875.0,5908.0,5805.0,5865.0,5858.0,323514.0,1899468443.5
2026-06-18,CUMMINSIND,EQUITY,EQ,INE298A01020,5855.0,5887.0,5816.0,5858.0,5833.0,311191.0,1820639278.0
2026-06-17,CUMMINSIND,EQUITY,EQ,INE298A01020,5758.0,5850.0,5725.0,5833.0,5723.5,338488.0,1963599661.5
2026-06-16,CUMMINSIND,EQUITY,EQ,INE298A01020,5798.0,5813.5,5700.5,5723.5,5754.0,257257.0,1477034311.5
2026-06-15,CUMMINSIND,EQUITY,EQ,INE298A01020,5700.0,5787.5,5630.0,5754.0,5621.5,409781.0,2343910045.5
2026-06-12,CUMMINSIND,EQUITY,EQ,INE298A01020,5650.0,5663.5,5570.0,5621.5,5557.0,249004.0,1397232108.5
2026-06-11,CUMMINSIND,EQUITY,EQ,INE298A01020,5590.5,5709.5,5541.0,5557.0,5609.5,249688.0,1403540659.0
2026-06-10,CUMMINSIND,EQUITY,EQ,INE298A01020,5626.0,5699.0,5560.0,5609.5,5625.5,276872.0,1558069001.0
2026-06-09,CUMMINSIND,EQUITY,EQ,INE298A01020,5635.0,5691.0,5561.0,5625.5,5610.5,485174.0,2722914791.0
2026-06-08,CUMMINSIND,EQUITY,EQ,INE298A01020,5650.0,5740.5,5556.5,5610.5,5784.0,483842.0,2748782663.5
2026-06-05,CUMMINSIND,EQUITY,EQ,INE298A01020,5845.0,5869.0,5750.0,5784.0,5787.5,381090.0,2211082096.5
2026-06-04,CUMMINSIND,EQUITY,EQ,INE298A01020,5700.0,5867.5,5662.5,5787.5,5692.5,502845.0,2917961277.5
2026-06-03,CUMMINSIND,EQUITY,EQ,INE298A01020,5741.0,5749.0,5657.0,5692.5,5708.0,384967.0,2194862026.5
2026-06-02,CUMMINSIND,EQUITY,EQ,INE298A01020,5665.0,5764.5,5607.0,5708.0,5680.5,702121.0,4006924475.0
2026-06-01,CUMMINSIND,EQUITY,EQ,INE298A01020,5979.5,5979.5,5662.5,5680.5,5881.0,597518.0,3427768748.5
2026-05-29,CUMMINSIND,EQUITY,EQ,INE298A01020,6100.0,6100.0,5855.5,5881.0,6027.5,2020815.0,11969191078.0
2026-05-27,CUMMINSIND,EQUITY,EQ,INE298A01020,5414.0,6099.0,5402.5,6027.5,5418.5,1722262.0,10056342751.0
2026-05-26,CUMMINSIND,EQUITY,EQ,INE298A01020,5360.0,5442.0,5359.0,5418.5,5382.0,304814.0,1649774159.0
2026-05-25,CUMMINSIND,EQUITY,EQ,INE298A01020,5419.0,5419.5,5337.5,5382.0,5353.0,284889.0,1530252865.5
2026-05-22,CUMMINSIND,EQUITY,EQ,INE298A01020,5375.0,5419.0,5335.5,5353.0,5390.0,230767.0,1237608687.5
2026-05-21,CUMMINSIND,EQUITY,EQ,INE298A01020,5427.0,5454.0,5361.0,5390.0,5399.5,338858.0,1829263708.5
2026-05-20,CUMMINSIND,EQUITY,EQ,INE298A01020,5214.0,5419.0,5183.0,5399.5,5254.0,444634.0,2370295073.0
2026-05-19,CUMMINSIND,EQUITY,EQ,INE298A01020,5285.0,5361.0,5238.0,5254.0,5298.5,322706.0,1707291683.0
2026-05-18,CUMMINSIND,EQUITY,EQ,INE298A01020,5360.0,5360.0,5228.5,5298.5,5392.0,275007.0,1452387634.0
2026-05-15,CUMMINSIND,EQUITY,EQ,INE298A01020,5386.5,5430.0,5322.0,5392.0,5367.0,436432.0,2352427412.0
2026-05-14,CUMMINSIND,EQUITY,EQ,INE298A01020,5257.0,5383.0,5229.0,5367.0,5212.0,324086.0,1718107824.5
2026-05-13,CUMMINSIND,EQUITY,EQ,INE298A01020,5170.0,5270.0,5147.5,5212.0,5160.0,590903.0,3087990374.0
2026-05-12,CUMMINSIND,EQUITY,EQ,INE298A01020,5265.0,5265.0,5147.5,5160.0,5238.5,403954.0,2101039259.5
2026-05-11,CUMMINSIND,EQUITY,EQ,INE298A01020,5350.0,5350.0,5191.0,5238.5,5401.0,477092.0,2512212516.0
2026-05-08,CUMMINSIND,EQUITY,EQ,INE298A01020,5415.0,5470.5,5381.0,5401.0,5403.0,528649.0,2868414387.0
