trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,DALBHARAT,EQUITY,EQ,INE00R701025,1745.0,1755.0,1708.0,1746.6,1745.3,41100.0,71205186.7
2026-09-10,DALBHARAT,EQUITY,EQ,INE00R701025,1730.0,1762.2,1712.0,1745.3,1733.6,79405.0,138552766.7
2026-09-09,DALBHARAT,EQUITY,EQ,INE00R701025,1710.7,1740.0,1690.0,1733.6,1700.5,41241.0,70858937.3
2026-09-08,DALBHARAT,EQUITY,EQ,INE00R701025,1713.9,1739.2,1671.8,1700.5,1713.9,143709.0,243855669.1
2026-09-07,DALBHARAT,EQUITY,EQ,INE00R701025,1750.0,1752.1,1701.2,1713.9,1749.3,81213.0,139736145.5
2026-09-04,DALBHARAT,EQUITY,EQ,INE00R701025,1770.1,1778.9,1740.0,1749.3,1771.2,73496.0,129273173.8
2026-09-03,DALBHARAT,EQUITY,EQ,INE00R701025,1790.0,1792.0,1763.0,1771.2,1773.1,53528.0,94941280.2
2026-09-02,DALBHARAT,EQUITY,EQ,INE00R701025,1801.9,1802.0,1760.2,1773.1,1806.6,58918.0,104454310.1
2026-09-01,DALBHARAT,EQUITY,EQ,INE00R701025,1886.0,1886.0,1795.0,1806.6,1856.2,85376.0,156386849.8
2026-08-31,DALBHARAT,EQUITY,EQ,INE00R701025,1847.8,1897.8,1795.0,1856.2,1845.3,2142193.0,3968726315.9
2026-08-28,DALBHARAT,EQUITY,EQ,INE00R701025,1876.2,1876.2,1832.3,1845.3,1876.2,72320.0,133572349.1
2026-08-27,DALBHARAT,EQUITY,EQ,INE00R701025,1874.9,1905.0,1859.2,1876.2,1898.0,211084.0,397307463.8
2026-08-26,DALBHARAT,EQUITY,EQ,INE00R701025,1815.0,1913.0,1808.0,1898.0,1824.0,332647.0,625918492.7
2026-08-25,DALBHARAT,EQUITY,EQ,INE00R701025,1854.8,1854.8,1780.1,1824.0,1853.0,513247.0,932022687.4
2026-08-24,DALBHARAT,EQUITY,EQ,INE00R701025,1881.9,1905.1,1845.9,1853.0,1880.0,361388.0,678782690.1
2026-08-21,DALBHARAT,EQUITY,EQ,INE00R701025,1897.0,1912.5,1871.9,1880.0,1897.0,339192.0,641870389.2
2026-08-20,DALBHARAT,EQUITY,EQ,INE00R701025,1875.0,1925.0,1864.0,1897.0,1875.0,582875.0,1109919798.1
2026-08-19,DALBHARAT,EQUITY,EQ,INE00R701025,1837.1,1875.0,1825.0,1875.0,1837.1,276847.0,514169034.0
2026-08-18,DALBHARAT,EQUITY,EQ,INE00R701025,1850.0,1858.4,1831.6,1837.1,1844.0,246659.0,454727855.1
2026-08-17,DALBHARAT,EQUITY,EQ,INE00R701025,1856.4,1856.6,1832.1,1844.0,1842.0,139548.0,258041363.5
2026-08-14,DALBHARAT,EQUITY,EQ,INE00R701025,1843.7,1849.0,1822.3,1842.0,1834.6,83214.0,153164101.4
