trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-09-04,DEEPENR,EQUITY,EQ,INE677H01012,265.65,317.68,252.51,317.61,264.74,1660639.0,502545045.91
2024-09-03,DEEPENR,EQUITY,EQ,INE677H01012,257.9,275.0,246.61,264.74,258.42,1350033.0,349874226.55
2024-09-02,DEEPENR,EQUITY,EQ,INE677H01012,221.0,264.0,221.0,258.42,220.12,3669423.0,926357897.91
2024-08-30,DEEPENR,EQUITY,EQ,INE677H01012,220.0,226.35,212.03,220.12,218.84,339733.0,74946071.05
2024-08-29,DEEPENR,EQUITY,EQ,INE677H01012,205.7,222.25,205.7,218.84,207.79,427063.0,93169216.74
2024-08-28,DEEPENR,EQUITY,EQ,INE677H01012,204.0,213.43,204.0,207.79,204.99,69631.0,14548709.16
2024-08-27,DEEPENR,EQUITY,EQ,INE677H01012,208.21,209.78,203.7,204.99,208.08,38197.0,7892870.94
2024-08-26,DEEPENR,EQUITY,EQ,INE677H01012,217.0,218.25,206.63,208.08,214.89,126589.0,26876461.38
2024-08-23,DEEPENR,EQUITY,EQ,INE677H01012,209.6,219.5,207.61,214.89,210.52,178249.0,38014804.42
2024-08-22,DEEPENR,EQUITY,EQ,INE677H01012,199.74,215.75,199.0,210.52,199.74,358868.0,75278784.18
2024-08-21,DEEPENR,EQUITY,EQ,INE677H01012,197.4,204.0,193.81,199.74,195.74,173602.0,34778067.12
2024-08-20,DEEPENR,EQUITY,EQ,INE677H01012,194.8,197.54,191.07,195.74,192.07,69577.0,13507259.62
2024-08-19,DEEPENR,EQUITY,EQ,INE677H01012,178.0,203.0,178.0,192.07,176.92,363193.0,71084704.88
2024-08-16,DEEPENR,EQUITY,EQ,INE677H01012,182.17,185.01,174.43,176.92,180.97,43991.0,7902986.44
2024-08-14,DEEPENR,EQUITY,EQ,INE677H01012,181.05,184.14,179.0,180.97,183.26,52061.0,9446289.84
2024-08-13,DEEPENR,EQUITY,EQ,INE677H01012,183.97,193.0,181.81,183.26,181.18,196526.0,36732587.59
2024-08-12,DEEPENR,EQUITY,EQ,INE677H01012,174.0,185.0,172.4,181.18,172.16,152112.0,27449612.24
2024-08-09,DEEPENR,EQUITY,EQ,INE677H01012,173.8,173.8,169.36,172.16,168.16,77056.0,13223083.76
2024-08-08,DEEPENR,EQUITY,EQ,INE677H01012,170.0,174.4,166.19,168.16,170.08,56053.0,9587554.23
2024-08-07,DEEPENR,EQUITY,EQ,INE677H01012,169.0,171.51,164.83,170.08,164.34,80124.0,13596062.02
2024-08-06,DEEPENR,EQUITY,EQ,INE677H01012,166.94,171.55,161.56,164.34,166.78,40628.0,6831381.95
2024-08-05,DEEPENR,EQUITY,EQ,INE677H01012,168.0,172.01,162.55,166.78,171.85,66284.0,11027502.46
2024-08-02,DEEPENR,EQUITY,EQ,INE677H01012,172.53,174.0,170.0,171.85,172.53,34530.0,5941700.7
2024-08-01,DEEPENR,EQUITY,EQ,INE677H01012,176.8,176.8,172.0,172.53,173.47,64712.0,11312558.87
2024-07-31,DEEPENR,EQUITY,EQ,INE677H01012,172.0,175.0,169.83,173.47,170.48,78245.0,13568436.5
2024-07-30,DEEPENR,EQUITY,EQ,INE677H01012,170.5,179.75,168.05,170.48,172.3,77197.0,13377309.17
2024-07-29,DEEPENR,EQUITY,EQ,INE677H01012,173.46,177.78,168.85,172.3,173.46,45464.0,7860896.03
2024-07-26,DEEPENR,EQUITY,EQ,INE677H01012,168.0,173.99,167.56,173.46,167.38,54393.0,9386665.42
2024-07-25,DEEPENR,EQUITY,EQ,INE677H01012,175.0,178.63,163.55,167.38,175.09,90327.0,15466922.58
2024-07-24,DEEPENR,EQUITY,EQ,INE677H01012,176.5,176.5,172.0,175.09,173.89,25191.0,4392494.41
2024-07-23,DEEPENR,EQUITY,EQ,INE677H01012,179.45,179.49,169.52,173.89,172.0,18703.0,3236890.46
2024-07-22,DEEPENR,EQUITY,EQ,INE677H01012,170.0,177.44,170.0,172.0,171.35,16405.0,2845791.06
2024-07-19,DEEPENR,EQUITY,EQ,INE677H01012,184.06,184.26,170.4,171.35,182.28,35410.0,6193079.32
2024-07-18,DEEPENR,EQUITY,EQ,INE677H01012,186.0,188.0,181.61,182.28,185.65,30436.0,5610269.47
2024-07-16,DEEPENR,EQUITY,EQ,INE677H01012,184.55,192.11,183.21,185.65,181.16,136305.0,25511975.4
2024-07-15,DEEPENR,EQUITY,EQ,INE677H01012,190.0,190.0,180.15,181.16,187.23,46085.0,8464350.47
2024-07-12,DEEPENR,EQUITY,EQ,INE677H01012,185.65,191.2,181.21,187.23,184.46,65972.0,12297998.28
2024-07-11,DEEPENR,EQUITY,EQ,INE677H01012,185.0,187.13,179.86,184.46,182.6,67857.0,12469905.1
2024-07-10,DEEPENR,EQUITY,EQ,INE677H01012,184.0,186.0,176.3,182.6,182.72,63546.0,11595958.07
2024-07-09,DEEPENR,EQUITY,EQ,INE677H01012,169.11,192.99,168.0,182.72,168.76,304011.0,55880908.57
2024-07-08,DEEPENR,EQUITY,EQ,INE677H01012,171.4,171.4,166.71,168.76,168.9,49050.0,8281696.44
2024-07-05,DEEPENR,EQUITY,EQ,INE677H01012,169.3,172.27,166.01,168.9,,39329.0,6655108.68
2024-07-04,DEEPENR,EQUITY,EQ,INE677H01012,169.79,169.8,166.8,167.21,,14547.0,2437895.39
2024-07-03,DEEPENR,EQUITY,EQ,INE677H01012,171.0,171.0,167.41,168.85,,19981.0,3370301.0
2024-07-02,DEEPENR,EQUITY,EQ,INE677H01012,169.35,170.87,167.2,168.07,,17192.0,2902434.42
2024-07-01,DEEPENR,EQUITY,EQ,INE677H01012,170.0,172.0,165.99,167.48,,24499.0,4152178.36
2024-06-28,DEEPENR,EQUITY,EQ,INE677H01012,171.44,172.0,168.11,168.71,,14257.0,2416832.1
2024-06-27,DEEPENR,EQUITY,EQ,INE677H01012,173.22,174.25,167.13,167.87,,29705.0,5067176.09
2024-06-26,DEEPENR,EQUITY,EQ,INE677H01012,174.0,177.0,169.0,172.56,,260394.0,44583389.04
2024-06-25,DEEPENR,EQUITY,EQ,INE677H01012,172.51,175.4,170.9,171.4,,13559.0,2345748.42
2024-06-24,DEEPENR,EQUITY,EQ,INE677H01012,173.9,175.4,169.5,171.94,,18940.0,3265006.66
2024-06-21,DEEPENR,EQUITY,EQ,INE677H01012,173.0,180.0,166.86,169.5,,33935.0,5863019.03
2024-06-20,DEEPENR,EQUITY,EQ,INE677H01012,178.0,178.0,173.0,174.1,,20215.0,3550756.54
2024-06-19,DEEPENR,EQUITY,EQ,INE677H01012,179.5,179.99,172.15,173.78,,10644.0,1873499.87
2024-06-18,DEEPENR,EQUITY,EQ,INE677H01012,183.99,183.99,175.07,176.47,,10332.0,1838724.71
2024-06-14,DEEPENR,EQUITY,EQ,INE677H01012,179.76,181.98,178.32,179.0,,15313.0,2751021.45
2024-06-13,DEEPENR,EQUITY,EQ,INE677H01012,179.0,182.6,178.0,179.76,,11235.0,2021213.98
2024-06-12,DEEPENR,EQUITY,EQ,INE677H01012,180.5,184.0,177.01,179.34,,13289.0,2402119.42
2024-06-11,DEEPENR,EQUITY,EQ,INE677H01012,179.9,180.5,173.63,180.05,,24440.0,4369163.64
2024-06-10,DEEPENR,EQUITY,EQ,INE677H01012,178.0,179.96,171.54,176.94,,13915.0,2437031.98
