trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,DELHIVERY,EQUITY,EQ,INE148O01028,452.8,458.2,450.25,454.9,453.8,2214615.0,1007505751.25
2026-09-07,DELHIVERY,EQUITY,EQ,INE148O01028,456.0,458.75,450.4,453.8,457.9,583502.0,264800526.0
2026-09-04,DELHIVERY,EQUITY,EQ,INE148O01028,465.0,465.9,457.9,457.9,464.35,1936111.0,892354627.2
2026-09-03,DELHIVERY,EQUITY,EQ,INE148O01028,455.0,464.95,449.5,464.35,454.8,2530860.0,1164495354.65
2026-09-02,DELHIVERY,EQUITY,EQ,INE148O01028,458.5,459.7,452.5,454.8,460.8,1061104.0,483047375.95
2026-09-01,DELHIVERY,EQUITY,EQ,INE148O01028,462.65,464.35,457.2,460.8,456.2,1175474.0,541423000.2
2026-08-31,DELHIVERY,EQUITY,EQ,INE148O01028,471.95,471.95,456.2,456.2,470.2,2285757.0,1055148344.65
2026-08-28,DELHIVERY,EQUITY,EQ,INE148O01028,466.7,471.05,460.0,470.2,466.0,1426037.0,664668883.15
2026-08-27,DELHIVERY,EQUITY,EQ,INE148O01028,450.0,466.65,449.15,466.0,449.0,4020754.0,1855552877.55
2026-08-26,DELHIVERY,EQUITY,EQ,INE148O01028,447.75,452.15,445.05,449.0,447.95,1328722.0,597508453.75
2026-08-25,DELHIVERY,EQUITY,EQ,INE148O01028,441.65,447.95,439.1,447.95,444.75,1174352.0,519155740.05
2026-08-24,DELHIVERY,EQUITY,EQ,INE148O01028,452.0,452.6,441.2,444.75,450.7,1948199.0,868285951.45
2026-08-21,DELHIVERY,EQUITY,EQ,INE148O01028,450.1,454.2,448.35,450.7,450.1,1293159.0,582807266.15
2026-08-20,DELHIVERY,EQUITY,EQ,INE148O01028,453.0,457.0,449.35,450.1,450.0,1139987.0,516734209.75
2026-08-19,DELHIVERY,EQUITY,EQ,INE148O01028,449.95,451.8,446.4,450.0,451.8,1321278.0,592624615.0
2026-08-18,DELHIVERY,EQUITY,EQ,INE148O01028,451.65,456.95,448.8,451.8,456.0,1460519.0,660121896.85
2026-08-17,DELHIVERY,EQUITY,EQ,INE148O01028,458.7,459.55,453.2,456.0,459.7,1432534.0,653801875.25
2026-08-14,DELHIVERY,EQUITY,EQ,INE148O01028,466.95,469.6,459.7,459.7,467.0,1469446.0,682474640.85
2026-08-13,DELHIVERY,EQUITY,EQ,INE148O01028,466.0,473.0,466.0,467.0,470.25,4726698.0,2215165314.25
2026-08-12,DELHIVERY,EQUITY,EQ,INE148O01028,475.3,475.3,466.8,470.25,473.45,6123936.0,2868489126.4
2026-08-11,DELHIVERY,EQUITY,EQ,INE148O01028,478.1,486.75,470.05,473.45,478.35,3139145.0,1500959248.0
2026-08-10,DELHIVERY,EQUITY,EQ,INE148O01028,456.4,483.35,452.5,478.35,473.3,14741730.0,6966169116.75
2026-08-07,DELHIVERY,EQUITY,EQ,INE148O01028,466.0,480.0,464.05,473.3,463.6,6405412.0,3024304423.0
2026-08-06,DELHIVERY,EQUITY,EQ,INE148O01028,470.5,473.45,463.6,463.6,470.25,1689564.0,792328892.9
2026-08-05,DELHIVERY,EQUITY,EQ,INE148O01028,475.15,476.75,466.85,470.25,482.0,2880682.0,1355628411.55
2026-08-04,DELHIVERY,EQUITY,EQ,INE148O01028,470.0,482.0,468.8,482.0,470.0,1756448.0,830201554.65
2026-08-03,DELHIVERY,EQUITY,EQ,INE148O01028,487.95,487.95,468.85,470.0,481.95,3336754.0,1589651381.45
2026-07-31,DELHIVERY,EQUITY,EQ,INE148O01028,468.3,491.4,465.0,481.95,468.3,5761053.0,2765859856.0
2026-07-30,DELHIVERY,EQUITY,EQ,INE148O01028,470.0,470.9,463.05,468.3,470.0,2757674.0,1288735830.2
2026-07-29,DELHIVERY,EQUITY,EQ,INE148O01028,476.0,476.5,465.2,470.0,472.2,4042367.0,1900919726.25
2026-07-28,DELHIVERY,EQUITY,EQ,INE148O01028,471.0,474.4,466.05,472.2,470.0,5085231.0,2397399789.9
2026-07-27,DELHIVERY,EQUITY,EQ,INE148O01028,466.0,471.3,461.45,470.0,462.55,2718387.0,1269805204.6
2026-07-24,DELHIVERY,EQUITY,EQ,INE148O01028,463.0,466.8,458.15,462.55,465.45,2176831.0,1006489480.35
2026-07-23,DELHIVERY,EQUITY,EQ,INE148O01028,467.6,474.25,464.15,465.45,467.6,2056074.0,963583503.25
2026-07-22,DELHIVERY,EQUITY,EQ,INE148O01028,483.2,484.1,465.55,467.6,484.75,3790074.0,1785131031.3
2026-07-21,DELHIVERY,EQUITY,EQ,INE148O01028,486.05,488.1,482.35,484.75,486.85,3978421.0,1930107860.0
2026-07-20,DELHIVERY,EQUITY,EQ,INE148O01028,487.0,493.35,479.85,486.85,492.15,7146053.0,3468291795.75
2026-07-17,DELHIVERY,EQUITY,EQ,INE148O01028,496.5,503.9,485.3,492.15,496.65,5132951.0,2544939072.65
2026-07-16,DELHIVERY,EQUITY,EQ,INE148O01028,499.95,501.1,490.05,496.65,498.35,2976155.0,1473344090.65
2026-07-15,DELHIVERY,EQUITY,EQ,INE148O01028,517.3,517.55,494.5,498.35,512.1,6403446.0,3216894908.65
2026-07-14,DELHIVERY,EQUITY,EQ,INE148O01028,510.0,517.85,505.05,512.1,512.3,2962078.0,1518683937.2
2026-07-13,DELHIVERY,EQUITY,EQ,INE148O01028,520.0,520.0,509.15,512.3,520.3,2476391.0,1272039578.55
2026-07-10,DELHIVERY,EQUITY,EQ,INE148O01028,524.0,524.0,512.85,520.3,515.65,13914959.0,7221357196.25
2026-07-09,DELHIVERY,EQUITY,EQ,INE148O01028,505.0,520.4,505.0,515.65,501.8,8003908.0,4125883800.9
2026-07-08,DELHIVERY,EQUITY,EQ,INE148O01028,517.0,519.65,498.0,501.8,517.9,3778187.0,1922212452.85
2026-07-07,DELHIVERY,EQUITY,EQ,INE148O01028,520.05,522.6,513.05,517.9,519.65,5629431.0,2919064104.35
2026-07-06,DELHIVERY,EQUITY,EQ,INE148O01028,510.95,523.0,508.15,519.65,507.45,7200750.0,3711338518.15
2026-07-03,DELHIVERY,EQUITY,EQ,INE148O01028,512.25,515.0,502.85,507.45,509.3,8380203.0,4263906665.1
2026-07-02,DELHIVERY,EQUITY,EQ,INE148O01028,510.25,513.4,500.2,509.3,507.7,12862727.0,6530999178.9
2026-07-01,DELHIVERY,EQUITY,EQ,INE148O01028,471.95,510.0,470.5,507.7,472.05,18031256.0,9019884004.85
2026-06-30,DELHIVERY,EQUITY,EQ,INE148O01028,465.45,474.2,463.55,472.05,463.55,3202117.0,1503266095.95
2026-06-29,DELHIVERY,EQUITY,EQ,INE148O01028,461.2,475.2,461.0,463.55,464.8,4910049.0,2290632002.7
2026-06-25,DELHIVERY,EQUITY,EQ,INE148O01028,481.05,482.7,464.05,464.8,481.05,2797129.0,1315289092.95
2026-06-24,DELHIVERY,EQUITY,EQ,INE148O01028,476.45,486.4,459.85,481.05,476.45,16204247.0,7619201453.25
2026-06-23,DELHIVERY,EQUITY,EQ,INE148O01028,483.95,486.95,473.6,476.45,483.8,4586355.0,2202828189.5
2026-06-22,DELHIVERY,EQUITY,EQ,INE148O01028,466.5,491.7,465.3,483.8,461.1,12506879.0,6015980248.85
2026-06-19,DELHIVERY,EQUITY,EQ,INE148O01028,458.95,463.5,454.35,461.1,459.2,1719497.0,791316976.2
2026-06-18,DELHIVERY,EQUITY,EQ,INE148O01028,454.0,463.45,452.5,459.2,451.55,2089503.0,960015995.55
2026-06-17,DELHIVERY,EQUITY,EQ,INE148O01028,451.45,453.6,449.25,451.55,451.3,923455.0,417157343.85
2026-06-16,DELHIVERY,EQUITY,EQ,INE148O01028,455.55,455.85,449.65,451.3,453.55,1166133.0,526482509.9
2026-06-15,DELHIVERY,EQUITY,EQ,INE148O01028,445.15,458.55,444.75,453.55,440.5,3720497.0,1686447245.45
2026-06-12,DELHIVERY,EQUITY,EQ,INE148O01028,435.3,442.85,434.0,440.5,432.25,4390515.0,1928610845.5
2026-06-11,DELHIVERY,EQUITY,EQ,INE148O01028,430.9,436.75,428.1,432.25,431.1,2390549.0,1034633190.8
2026-06-10,DELHIVERY,EQUITY,EQ,INE148O01028,438.8,441.45,429.3,431.1,439.4,2213551.0,962874280.75
2026-06-09,DELHIVERY,EQUITY,EQ,INE148O01028,439.45,444.5,431.05,439.4,439.35,1930620.0,845855593.75
2026-06-08,DELHIVERY,EQUITY,EQ,INE148O01028,443.0,445.0,437.0,439.35,445.25,1726858.0,762641556.7
