trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-02,DELPHIFX,EQUITY,EQ,INE726L01027,8.49,8.49,7.93,8.11,8.21,639355.0,5199259.43
2026-07-01,DELPHIFX,EQUITY,EQ,INE726L01027,8.45,8.48,8.06,8.21,8.16,47269.0,393316.95
2026-06-30,DELPHIFX,EQUITY,EQ,INE726L01027,8.1,8.53,8.1,8.16,8.22,81478.0,666841.22
2026-06-29,DELPHIFX,EQUITY,EQ,INE726L01027,8.8,8.9,8.13,8.22,8.27,148481.0,1244813.79
2026-06-25,DELPHIFX,EQUITY,EQ,INE726L01027,8.67,8.67,8.23,8.27,8.26,187580.0,1579679.26
2026-06-24,DELPHIFX,EQUITY,EQ,INE726L01027,8.31,8.5,8.2,8.26,8.31,177238.0,1472712.14
2026-06-23,DELPHIFX,EQUITY,EQ,INE726L01027,8.46,8.76,8.25,8.31,8.46,61802.0,519117.67
2026-06-22,DELPHIFX,EQUITY,EQ,INE726L01027,8.78,8.78,8.21,8.46,8.38,78273.0,660857.77
2026-06-19,DELPHIFX,EQUITY,EQ,INE726L01027,9.2,9.2,8.1,8.38,8.4,222349.0,1861842.91
2026-06-18,DELPHIFX,EQUITY,EQ,INE726L01027,8.83,8.83,8.16,8.4,8.66,229691.0,1946733.3
2026-06-17,DELPHIFX,EQUITY,EQ,INE726L01027,8.9,9.03,8.33,8.66,8.9,278841.0,2421021.92
2026-06-16,DELPHIFX,EQUITY,EQ,INE726L01027,9.21,9.3,8.61,8.9,9.0,84866.0,763495.62
2026-06-15,DELPHIFX,EQUITY,EQ,INE726L01027,8.8,9.81,8.8,9.0,8.93,200058.0,1832189.35
2026-06-12,DELPHIFX,EQUITY,EQ,INE726L01027,8.69,9.25,8.64,8.93,8.54,235214.0,2095518.65
2026-06-11,DELPHIFX,EQUITY,EQ,INE726L01027,8.6,8.98,8.25,8.54,8.19,164968.0,1411325.05
2026-06-10,DELPHIFX,EQUITY,EQ,INE726L01027,8.99,8.99,7.29,8.19,9.11,1638077.0,13686815.59
2026-06-09,DELPHIFX,EQUITY,EQ,INE726L01027,9.05,9.4,9.01,9.11,9.05,66805.0,609697.48
2026-06-08,DELPHIFX,EQUITY,EQ,INE726L01027,9.2,9.6,8.9,9.05,9.2,143292.0,1321605.05
2026-06-05,DELPHIFX,EQUITY,EQ,INE726L01027,10.2,10.3,8.92,9.2,9.88,531709.0,5180226.17
2026-06-04,DELPHIFX,EQUITY,EQ,INE726L01027,10.0,10.5,9.72,9.88,9.61,480180.0,4848047.58
2026-06-03,DELPHIFX,EQUITY,EQ,INE726L01027,8.19,9.68,8.09,9.61,8.07,669957.0,6121899.42
2026-06-02,DELPHIFX,EQUITY,EQ,INE726L01027,8.01,8.32,7.81,8.07,8.34,784429.0,6317331.32
2026-06-01,DELPHIFX,EQUITY,EQ,INE726L01027,10.74,10.74,8.06,8.34,10.02,1388677.0,12311707.2
2026-05-29,DELPHIFX,EQUITY,EQ,INE726L01027,10.98,10.98,9.96,10.02,10.36,186767.0,1903166.22
2026-05-27,DELPHIFX,EQUITY,EQ,INE726L01027,10.87,10.87,10.25,10.36,10.67,176592.0,1857487.39
2026-05-26,DELPHIFX,EQUITY,EQ,INE726L01027,10.78,10.78,10.45,10.67,10.42,101041.0,1074195.35
2026-05-25,DELPHIFX,EQUITY,EQ,INE726L01027,11.71,11.71,10.3,10.42,10.42,222660.0,2373369.76
2026-05-22,DELPHIFX,EQUITY,EQ,INE726L01027,10.7,10.99,10.4,10.42,10.67,148918.0,1573396.57
2026-05-21,DELPHIFX,EQUITY,EQ,INE726L01027,10.98,11.39,10.56,10.67,10.91,174987.0,1878599.37
2026-05-20,DELPHIFX,EQUITY,EQ,INE726L01027,11.32,11.79,10.76,10.91,11.41,138080.0,1516742.96
2026-05-19,DELPHIFX,EQUITY,EQ,INE726L01027,11.37,11.75,11.3,11.41,11.58,47951.0,551457.89
2026-05-18,DELPHIFX,EQUITY,EQ,INE726L01027,11.71,11.98,11.43,11.58,11.71,76268.0,888371.21
2026-05-15,DELPHIFX,EQUITY,EQ,INE726L01027,12.0,12.05,11.56,11.71,11.77,56327.0,661897.2
2026-05-14,DELPHIFX,EQUITY,EQ,INE726L01027,12.34,12.34,11.4,11.77,11.74,129516.0,1528706.27
2026-05-13,DELPHIFX,EQUITY,EQ,INE726L01027,11.52,12.38,11.52,11.74,11.85,250324.0,2973369.07
2026-05-12,DELPHIFX,EQUITY,EQ,INE726L01027,11.5,12.9,11.5,11.85,11.47,752752.0,9081426.98
2026-05-11,DELPHIFX,EQUITY,EQ,INE726L01027,12.5,12.5,11.38,11.47,11.92,114140.0,1332034.08
2026-05-08,DELPHIFX,EQUITY,EQ,INE726L01027,11.69,12.09,11.4,11.92,11.46,723357.0,8525910.84
2026-05-07,DELPHIFX,EQUITY,EQ,INE726L01027,11.26,11.73,11.26,11.46,11.43,79324.0,914180.78
2026-05-06,DELPHIFX,EQUITY,EQ,INE726L01027,11.57,11.98,11.08,11.43,11.57,68599.0,795145.74
2026-05-05,DELPHIFX,EQUITY,EQ,INE726L01027,11.72,11.81,11.11,11.57,11.2,498666.0,5731250.82
2026-05-04,DELPHIFX,EQUITY,EQ,INE726L01027,11.87,11.87,11.16,11.2,11.81,124637.0,1417277.71
2026-04-30,DELPHIFX,EQUITY,EQ,INE726L01027,11.75,11.99,11.65,11.81,11.7,96372.0,1141710.19
2026-04-29,DELPHIFX,EQUITY,EQ,INE726L01027,12.7,13.16,11.36,11.7,12.86,503886.0,6035257.6
2026-04-28,DELPHIFX,EQUITY,EQ,INE726L01027,12.69,13.19,12.6,12.86,12.7,291779.0,3794977.91
2026-04-27,DELPHIFX,EQUITY,EQ,INE726L01027,13.9,13.9,12.29,12.7,12.99,222702.0,2905070.63
