trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,DIAMINESQ,EQUITY,EQ,INE591D01014,251.01,259.0,251.0,258.27,258.09,2539.0,650450.85
2026-09-10,DIAMINESQ,EQUITY,EQ,INE591D01014,254.0,261.0,250.5,258.09,253.24,6347.0,1630891.37
2026-09-09,DIAMINESQ,EQUITY,EQ,INE591D01014,245.01,254.0,245.0,253.24,245.07,10555.0,2642150.28
2026-09-08,DIAMINESQ,EQUITY,EQ,INE591D01014,240.0,247.49,240.0,245.07,242.29,7999.0,1956647.85
2026-09-07,DIAMINESQ,EQUITY,EQ,INE591D01014,241.06,244.77,239.48,242.29,240.99,6892.0,1669102.28
2026-09-04,DIAMINESQ,EQUITY,EQ,INE591D01014,243.54,245.39,240.0,240.99,244.76,3798.0,922791.21
2026-09-03,DIAMINESQ,EQUITY,EQ,INE591D01014,245.9,246.0,240.71,244.76,243.65,1720.0,420005.43
2026-09-02,DIAMINESQ,EQUITY,EQ,INE591D01014,242.0,244.5,239.0,243.65,242.01,4583.0,1109055.82
2026-09-01,DIAMINESQ,EQUITY,EQ,INE591D01014,241.5,245.0,239.74,242.01,241.57,8211.0,1991550.82
2026-08-31,DIAMINESQ,EQUITY,EQ,INE591D01014,242.99,245.87,238.0,241.57,243.27,4094.0,991253.06
2026-08-28,DIAMINESQ,EQUITY,EQ,INE591D01014,240.8,245.99,240.1,243.27,244.38,14898.0,3622666.41
2026-08-27,DIAMINESQ,EQUITY,EQ,INE591D01014,245.24,246.0,240.16,244.38,245.24,4174.0,1016173.35
2026-08-26,DIAMINESQ,EQUITY,EQ,INE591D01014,245.0,248.0,240.07,245.24,248.17,4702.0,1149993.81
2026-08-25,DIAMINESQ,EQUITY,EQ,INE591D01014,240.0,249.9,240.0,248.17,238.65,7032.0,1726638.47
2026-08-24,DIAMINESQ,EQUITY,EQ,INE591D01014,244.0,245.38,236.0,238.65,241.11,5169.0,1239476.01
2026-08-21,DIAMINESQ,EQUITY,EQ,INE591D01014,234.0,243.6,234.0,241.11,236.46,8003.0,1919693.98
2026-08-20,DIAMINESQ,EQUITY,EQ,INE591D01014,238.0,242.0,234.17,236.46,238.98,1877.0,445071.32
2026-08-19,DIAMINESQ,EQUITY,EQ,INE591D01014,240.0,241.0,233.02,238.98,236.71,3749.0,888408.51
2026-08-18,DIAMINESQ,EQUITY,EQ,INE591D01014,235.85,241.11,234.0,236.71,235.85,2943.0,695607.34
2026-08-17,DIAMINESQ,EQUITY,EQ,INE591D01014,247.0,247.0,229.5,235.85,242.06,13096.0,3082001.29
2026-08-14,DIAMINESQ,EQUITY,EQ,INE591D01014,240.0,252.0,238.04,242.06,240.04,5585.0,1366214.56
2026-08-13,DIAMINESQ,EQUITY,EQ,INE591D01014,241.0,248.0,239.52,240.04,240.72,7924.0,1908133.79
2026-08-12,DIAMINESQ,EQUITY,EQ,INE591D01014,243.17,249.9,239.5,240.72,243.39,11124.0,2693175.83
2026-08-11,DIAMINESQ,EQUITY,EQ,INE591D01014,247.5,252.99,239.65,243.39,247.2,7761.0,1905759.6
2026-08-10,DIAMINESQ,EQUITY,EQ,INE591D01014,261.0,261.0,244.44,247.2,260.79,15388.0,3887442.78
2026-08-07,DIAMINESQ,EQUITY,EQ,INE591D01014,262.25,268.97,256.1,260.79,266.95,6455.0,1687405.84
2026-08-06,DIAMINESQ,EQUITY,EQ,INE591D01014,267.15,274.98,260.0,266.95,262.79,29496.0,7928659.57
2026-08-05,DIAMINESQ,EQUITY,EQ,INE591D01014,240.0,287.6,239.0,262.79,239.82,237401.0,64408892.77
2026-08-04,DIAMINESQ,EQUITY,EQ,INE591D01014,241.0,241.41,238.51,239.82,239.73,3953.0,948408.94
