trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,DREAMFOLKS,EQUITY,EQ,INE0JS101016,68.3,69.0,66.82,67.12,68.55,30293.0,2053063.78
2026-09-09,DREAMFOLKS,EQUITY,EQ,INE0JS101016,64.4,70.9,64.4,68.55,65.14,175877.0,11870040.24
2026-09-08,DREAMFOLKS,EQUITY,EQ,INE0JS101016,65.12,66.35,64.96,65.14,65.94,44900.0,2935619.78
2026-09-07,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.01,66.96,65.45,65.94,66.93,37302.0,2461820.53
2026-09-04,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.1,67.47,66.07,66.93,66.33,38187.0,2537818.5
2026-09-03,DREAMFOLKS,EQUITY,EQ,INE0JS101016,67.49,67.8,65.0,66.33,66.39,33909.0,2246560.64
2026-09-02,DREAMFOLKS,EQUITY,EQ,INE0JS101016,67.65,67.65,65.8,66.39,66.36,26461.0,1757784.16
2026-09-01,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.2,67.4,66.2,66.36,67.36,26723.0,1780928.42
2026-08-31,DREAMFOLKS,EQUITY,EQ,INE0JS101016,67.99,67.99,66.15,67.36,67.06,35602.0,2378388.66
2026-08-28,DREAMFOLKS,EQUITY,EQ,INE0JS101016,67.99,68.49,66.86,67.06,67.31,21252.0,1431136.44
2026-08-27,DREAMFOLKS,EQUITY,EQ,INE0JS101016,69.2,69.8,67.12,67.31,68.77,29972.0,2027032.78
2026-08-26,DREAMFOLKS,EQUITY,EQ,INE0JS101016,67.05,69.85,66.5,68.77,67.42,64740.0,4402466.85
2026-08-25,DREAMFOLKS,EQUITY,EQ,INE0JS101016,68.95,68.99,67.05,67.42,68.74,41721.0,2821441.88
2026-08-24,DREAMFOLKS,EQUITY,EQ,INE0JS101016,68.99,71.0,68.0,68.74,68.92,45233.0,3136331.19
2026-08-21,DREAMFOLKS,EQUITY,EQ,INE0JS101016,68.42,70.19,67.5,68.92,68.41,77853.0,5395628.21
2026-08-20,DREAMFOLKS,EQUITY,EQ,INE0JS101016,65.98,68.78,65.52,68.41,65.35,68632.0,4674270.2
2026-08-19,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.65,67.8,64.57,65.35,66.65,80482.0,5274070.57
2026-08-18,DREAMFOLKS,EQUITY,EQ,INE0JS101016,65.4,68.1,65.4,66.65,65.85,59119.0,3955538.64
2026-08-17,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.72,67.25,65.2,65.85,66.71,46901.0,3092557.44
2026-08-14,DREAMFOLKS,EQUITY,EQ,INE0JS101016,65.2,67.5,65.2,66.71,68.42,78829.0,5248719.37
2026-08-13,DREAMFOLKS,EQUITY,EQ,INE0JS101016,69.15,70.0,66.78,68.42,69.15,58303.0,3975166.22
2026-08-12,DREAMFOLKS,EQUITY,EQ,INE0JS101016,68.12,69.89,68.05,69.15,69.1,36476.0,2500784.28
2026-08-11,DREAMFOLKS,EQUITY,EQ,INE0JS101016,70.0,71.26,67.1,69.1,70.33,58799.0,4077869.26
2026-08-10,DREAMFOLKS,EQUITY,EQ,INE0JS101016,70.0,71.5,69.12,70.33,70.11,30518.0,2137194.62
2026-08-07,DREAMFOLKS,EQUITY,EQ,INE0JS101016,70.65,71.99,69.55,70.11,70.66,46327.0,3271962.92
2026-08-06,DREAMFOLKS,EQUITY,EQ,INE0JS101016,69.03,71.27,68.12,70.66,69.16,80728.0,5622937.45
2026-08-05,DREAMFOLKS,EQUITY,EQ,INE0JS101016,71.7,71.89,69.01,69.16,70.41,58317.0,4098137.81
2026-08-04,DREAMFOLKS,EQUITY,EQ,INE0JS101016,68.83,74.0,67.49,70.41,67.48,272339.0,19464048.24
2026-08-03,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.01,68.45,66.0,67.48,66.66,41228.0,2788016.12
2026-07-31,DREAMFOLKS,EQUITY,EQ,INE0JS101016,67.88,67.88,66.22,66.66,66.8,37545.0,2506801.61
2026-07-30,DREAMFOLKS,EQUITY,EQ,INE0JS101016,68.8,68.8,66.51,66.8,67.46,33583.0,2255429.59
2026-07-29,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.95,68.48,66.5,67.46,66.95,43592.0,2944677.91
2026-07-28,DREAMFOLKS,EQUITY,EQ,INE0JS101016,67.67,67.99,66.6,66.95,67.54,30359.0,2037603.96
2026-07-27,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.4,68.5,66.4,67.54,67.03,28055.0,1894562.62
2026-07-24,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.5,68.25,65.5,67.03,66.79,34364.0,2289866.54
2026-07-23,DREAMFOLKS,EQUITY,EQ,INE0JS101016,66.5,67.99,66.41,66.79,67.26,35622.0,2385558.62
2026-07-22,DREAMFOLKS,EQUITY,EQ,INE0JS101016,67.96,68.01,66.94,67.26,67.96,55789.0,3755098.15
2026-07-21,DREAMFOLKS,EQUITY,EQ,INE0JS101016,67.55,68.89,67.51,67.96,68.1,25858.0,1760952.9
2026-07-20,DREAMFOLKS,EQUITY,EQ,INE0JS101016,68.73,68.73,67.5,68.1,68.73,29221.0,1988206.09
2026-07-17,DREAMFOLKS,EQUITY,EQ,INE0JS101016,69.1,69.85,68.0,68.73,68.89,28744.0,1976196.29
2026-07-16,DREAMFOLKS,EQUITY,EQ,INE0JS101016,69.0,69.16,68.22,68.89,68.18,22270.0,1531492.73
