trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-02-14,DSPITETF,EQUITY,EQ,INF740KA1SX1,38.0,38.27,37.65,38.18,,8548.0,323673.24
2024-02-13,DSPITETF,EQUITY,EQ,INF740KA1SX1,38.47,38.62,38.0,38.47,,3891.0,148718.27
2024-02-12,DSPITETF,EQUITY,EQ,INF740KA1SX1,38.25,38.69,37.96,38.47,,16243.0,623706.76
2024-02-09,DSPITETF,EQUITY,EQ,INF740KA1SX1,38.3,38.3,37.77,37.96,,2687.0,101981.33
2024-02-08,DSPITETF,EQUITY,EQ,INF740KA1SX1,38.28,38.49,38.11,38.13,,10075.0,385080.75
2024-02-07,DSPITETF,EQUITY,EQ,INF740KA1SX1,38.98,38.98,38.12,38.21,,61220.0,2342460.62
2024-02-06,DSPITETF,EQUITY,EQ,INF740KA1SX1,37.98,38.72,37.55,38.65,,57108.0,2181774.16
2024-02-05,DSPITETF,EQUITY,EQ,INF740KA1SX1,37.45,38.0,37.4,37.76,,19393.0,732642.4
2024-02-02,DSPITETF,EQUITY,EQ,INF740KA1SX1,37.36,38.0,36.4,37.93,,8020.0,301737.49
2024-02-01,DSPITETF,EQUITY,EQ,INF740KA1SX1,36.84,37.29,36.84,36.96,,4732.0,175307.04
2024-01-31,DSPITETF,EQUITY,EQ,INF740KA1SX1,36.72,36.99,36.52,36.95,,16496.0,608063.96
2024-01-30,DSPITETF,EQUITY,EQ,INF740KA1SX1,37.45,37.45,36.29,36.72,,4825.0,178711.64
2024-01-29,DSPITETF,EQUITY,EQ,INF740KA1SX1,36.84,37.03,36.69,36.92,,12774.0,471080.28
2024-01-25,DSPITETF,EQUITY,EQ,INF740KA1SX1,36.86,38.0,36.5,36.81,,7380.0,271869.77
2024-01-24,DSPITETF,EQUITY,EQ,INF740KA1SX1,37.5,37.5,36.81,37.41,,4197.0,156093.08
2024-01-23,DSPITETF,EQUITY,EQ,INF740KA1SX1,37.4,37.61,36.67,36.76,,4221.0,157092.99
2024-01-19,DSPITETF,EQUITY,EQ,INF740KA1SX1,37.34,37.58,37.19,37.45,,18102.0,677801.5
2024-01-18,DSPITETF,EQUITY,EQ,INF740KA1SX1,38.02,38.02,36.39,37.0,,2972.0,109428.01
2024-01-17,DSPITETF,EQUITY,EQ,INF740KA1SX1,36.9,37.3,36.86,37.02,,26342.0,977141.59
2024-01-16,DSPITETF,EQUITY,EQ,INF740KA1SX1,38.86,38.86,36.86,36.9,,30413.0,1124415.6
2024-01-15,DSPITETF,EQUITY,EQ,INF740KA1SX1,36.75,38.01,36.75,37.18,,41716.0,1566972.82
2024-01-12,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.38,36.84,34.5,36.71,,87241.0,3178412.26
2024-01-11,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.4,35.4,34.93,35.04,,18679.0,654751.02
2024-01-10,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.3,35.3,34.79,35.11,,27086.0,944817.37
2024-01-09,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.31,35.35,34.85,34.89,,42243.0,1482177.85
2024-01-08,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.6,35.7,34.72,35.06,,15528.0,542178.94
2024-01-05,DSPITETF,EQUITY,EQ,INF740KA1SX1,34.75,35.2,34.75,35.05,,15975.0,560109.18
2024-01-04,DSPITETF,EQUITY,EQ,INF740KA1SX1,34.91,35.08,34.53,34.72,,33727.0,1170404.34
2024-01-03,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.5,36.0,34.54,34.76,,65708.0,2290420.35
2024-01-02,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.81,35.85,35.41,35.58,,23674.0,840965.6
2024-01-01,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.61,36.19,35.58,36.01,,6624.0,237822.03
2023-12-29,DSPITETF,EQUITY,EQ,INF740KA1SX1,36.0,36.04,35.29,35.8,,5815.0,208227.66
2023-12-28,DSPITETF,EQUITY,EQ,INF740KA1SX1,36.03,36.41,35.89,36.01,,9736.0,350159.13
2023-12-27,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.9,36.11,35.72,36.03,,7471.0,268733.85
2023-12-26,DSPITETF,EQUITY,EQ,INF740KA1SX1,35.1,35.92,35.1,35.85,,156445.0,5609569.6
2023-12-22,DSPITETF,EQUITY,EQ,INF740KA1SX1,36.2,36.2,35.04,35.82,,11136.0,394637.61
