trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-02,DTIL,EQUITY,EQ,INE341R01014,153.5,153.5,148.5,149.95,153.5,11996.0,1807707.64
2026-09-01,DTIL,EQUITY,EQ,INE341R01014,161.69,161.9,153.0,153.5,161.69,25172.0,3922104.05
2026-08-31,DTIL,EQUITY,EQ,INE341R01014,167.09,169.0,160.5,161.69,167.09,17196.0,2817069.24
2026-08-28,DTIL,EQUITY,EQ,INE341R01014,170.99,171.3,165.32,167.09,173.94,32402.0,5443264.81
2026-08-27,DTIL,EQUITY,EQ,INE341R01014,188.4,193.79,170.27,173.94,183.22,279721.0,51406093.18
2026-08-26,DTIL,EQUITY,EQ,INE341R01014,172.0,183.22,165.12,183.22,152.69,450987.0,81142686.03
2026-08-25,DTIL,EQUITY,EQ,INE341R01014,140.09,156.72,140.09,152.69,139.92,45562.0,6790566.45
2026-08-24,DTIL,EQUITY,EQ,INE341R01014,138.0,142.4,136.0,139.92,138.69,9986.0,1394032.58
2026-08-21,DTIL,EQUITY,EQ,INE341R01014,137.0,144.01,134.23,138.69,134.95,23845.0,3366270.43
2026-08-20,DTIL,EQUITY,EQ,INE341R01014,134.88,137.99,134.88,134.95,134.88,2739.0,373544.43
2026-08-19,DTIL,EQUITY,EQ,INE341R01014,135.99,139.9,134.51,134.88,134.02,9605.0,1317006.66
2026-08-18,DTIL,EQUITY,EQ,INE341R01014,134.0,136.8,132.55,134.02,133.13,2551.0,344776.28
2026-08-17,DTIL,EQUITY,EQ,INE341R01014,137.89,137.89,132.41,133.13,135.52,2445.0,326165.61
2026-08-14,DTIL,EQUITY,EQ,INE341R01014,138.4,138.4,134.32,135.52,133.96,3333.0,455659.61
2026-08-13,DTIL,EQUITY,EQ,INE341R01014,140.5,142.0,131.2,133.96,140.5,10612.0,1440873.11
2026-08-12,DTIL,EQUITY,EQ,INE341R01014,137.95,143.5,134.1,140.5,138.44,20502.0,2865556.01
2026-08-11,DTIL,EQUITY,EQ,INE341R01014,136.75,139.7,134.0,138.44,136.07,9535.0,1291357.42
2026-08-10,DTIL,EQUITY,EQ,INE341R01014,136.79,140.39,133.0,136.07,132.91,9282.0,1260797.49
2026-08-07,DTIL,EQUITY,EQ,INE341R01014,134.99,134.99,130.1,132.91,132.98,3517.0,465608.49
2026-08-06,DTIL,EQUITY,EQ,INE341R01014,134.16,136.0,131.66,132.98,133.5,3434.0,462500.47
2026-08-05,DTIL,EQUITY,EQ,INE341R01014,132.75,134.7,131.5,133.5,132.11,5808.0,773046.63
2026-08-04,DTIL,EQUITY,EQ,INE341R01014,131.0,132.49,128.2,132.11,130.39,2312.0,303583.9
2026-08-03,DTIL,EQUITY,EQ,INE341R01014,130.87,133.97,130.01,130.39,130.87,2121.0,278500.68
2026-07-31,DTIL,EQUITY,EQ,INE341R01014,127.0,131.0,127.0,130.87,127.13,4532.0,585132.77
2026-07-30,DTIL,EQUITY,EQ,INE341R01014,130.6,131.02,126.0,127.13,129.07,11953.0,1526625.07
2026-07-29,DTIL,EQUITY,EQ,INE341R01014,131.0,131.0,129.0,129.07,128.58,1705.0,221339.6
2026-07-28,DTIL,EQUITY,EQ,INE341R01014,135.79,135.79,128.14,128.58,131.93,7440.0,964719.99
2026-07-27,DTIL,EQUITY,EQ,INE341R01014,131.05,135.0,131.05,131.93,132.36,3038.0,401514.46
2026-07-24,DTIL,EQUITY,EQ,INE341R01014,133.17,134.69,130.24,132.36,133.17,3115.0,409687.22
2026-07-23,DTIL,EQUITY,EQ,INE341R01014,136.38,136.38,133.01,133.17,134.36,2303.0,307885.66
2026-07-22,DTIL,EQUITY,EQ,INE341R01014,138.79,138.79,133.66,134.36,137.42,3057.0,412626.28
2026-07-21,DTIL,EQUITY,EQ,INE341R01014,138.98,138.98,135.2,137.42,137.88,2224.0,303872.94
2026-07-20,DTIL,EQUITY,EQ,INE341R01014,137.15,138.7,135.0,137.88,134.53,2462.0,339374.55
2026-07-17,DTIL,EQUITY,EQ,INE341R01014,138.89,138.89,133.7,134.53,136.27,2403.0,323159.42
2026-07-16,DTIL,EQUITY,EQ,INE341R01014,135.15,139.0,135.15,136.27,136.84,7572.0,1036647.14
2026-07-15,DTIL,EQUITY,EQ,INE341R01014,139.99,141.49,135.96,136.84,139.17,18328.0,2526379.92
2026-07-14,DTIL,EQUITY,EQ,INE341R01014,139.9,141.35,137.01,139.17,136.96,1207.0,167698.95
2026-07-13,DTIL,EQUITY,EQ,INE341R01014,138.0,142.65,134.12,136.96,137.32,6186.0,847005.65
2026-07-10,DTIL,EQUITY,EQ,INE341R01014,136.9,138.0,135.16,137.32,136.11,7713.0,1059094.35
2026-07-09,DTIL,EQUITY,EQ,INE341R01014,138.16,140.9,135.16,136.11,137.41,9983.0,1368625.75
2026-07-08,DTIL,EQUITY,EQ,INE341R01014,140.97,158.5,136.3,137.41,140.97,75007.0,11285470.19
2026-07-07,DTIL,EQUITY,EQ,INE341R01014,142.0,144.9,138.2,140.97,143.5,1384.0,194145.85
2026-07-06,DTIL,EQUITY,EQ,INE341R01014,144.5,145.7,140.1,143.5,142.4,3339.0,474752.32
2026-07-03,DTIL,EQUITY,EQ,INE341R01014,140.27,144.9,140.27,142.4,142.69,1924.0,274210.99
2026-07-02,DTIL,EQUITY,EQ,INE341R01014,144.89,147.4,140.1,142.69,144.1,3849.0,549593.14
2026-07-01,DTIL,EQUITY,EQ,INE341R01014,136.51,155.89,136.51,144.1,138.39,22001.0,3150563.43
2026-06-30,DTIL,EQUITY,EQ,INE341R01014,140.0,140.1,136.0,138.39,136.91,4042.0,557142.76
2026-06-29,DTIL,EQUITY,EQ,INE341R01014,142.62,142.62,136.3,136.91,139.01,3013.0,418781.96
2026-06-25,DTIL,EQUITY,EQ,INE341R01014,138.5,144.13,136.65,139.01,138.48,9960.0,1397885.54
2026-06-24,DTIL,EQUITY,EQ,INE341R01014,139.2,139.99,136.35,138.48,137.04,266.0,36968.56
2026-06-23,DTIL,EQUITY,EQ,INE341R01014,141.0,142.0,135.12,137.04,139.56,2351.0,326264.36
2026-06-22,DTIL,EQUITY,EQ,INE341R01014,141.89,142.8,136.05,139.56,139.39,1512.0,212647.47
2026-06-19,DTIL,EQUITY,EQ,INE341R01014,139.47,141.78,136.75,139.39,139.47,673.0,93545.52
2026-06-18,DTIL,EQUITY,EQ,INE341R01014,135.01,147.0,133.31,139.47,135.0,3122.0,439221.11
2026-06-17,DTIL,EQUITY,EQ,INE341R01014,138.79,138.79,134.06,135.0,135.34,1691.0,230254.42
2026-06-16,DTIL,EQUITY,EQ,INE341R01014,136.9,137.0,134.0,135.34,135.23,1986.0,269435.6
2026-06-15,DTIL,EQUITY,EQ,INE341R01014,134.8,137.0,134.8,135.23,133.24,4092.0,554267.15
2026-06-12,DTIL,EQUITY,EQ,INE341R01014,132.9,134.8,132.3,133.24,132.24,812.0,108575.77
