trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,EBANK10,EQUITY,EQ,INF754K01XH9,16.5,16.93,16.37,16.38,16.54,2871.0,47069.87
2026-09-08,EBANK10,EQUITY,EQ,INF754K01XH9,16.72,16.72,16.5,16.54,16.65,2754.0,45750.1
2026-09-07,EBANK10,EQUITY,EQ,INF754K01XH9,16.81,16.81,16.63,16.65,16.84,667.0,11167.12
2026-09-04,EBANK10,EQUITY,EQ,INF754K01XH9,16.83,16.84,16.66,16.84,16.83,401.0,6737.18
2026-09-03,EBANK10,EQUITY,EQ,INF754K01XH9,16.85,16.85,16.83,16.83,16.71,316.0,5324.38
2026-09-02,EBANK10,EQUITY,EQ,INF754K01XH9,16.71,16.74,16.57,16.71,16.71,2651.0,44212.0
2026-09-01,EBANK10,EQUITY,EQ,INF754K01XH9,17.06,17.06,16.71,16.71,16.89,457.0,7689.95
2026-08-31,EBANK10,EQUITY,EQ,INF754K01XH9,16.98,16.98,16.77,16.89,16.75,1751.0,29605.13
2026-08-28,EBANK10,EQUITY,EQ,INF754K01XH9,16.7,17.0,16.7,16.75,16.94,126.0,2111.5
2026-08-27,EBANK10,EQUITY,EQ,INF754K01XH9,17.01,17.01,16.8,16.94,17.01,1194.0,20172.1
2026-08-26,EBANK10,EQUITY,EQ,INF754K01XH9,16.85,17.01,16.85,17.01,16.85,5388.0,90790.51
2026-08-25,EBANK10,EQUITY,EQ,INF754K01XH9,17.0,17.0,16.82,16.85,16.84,887.0,14958.79
2026-08-24,EBANK10,EQUITY,EQ,INF754K01XH9,16.94,16.94,16.7,16.84,16.94,2971944.0,49631953.72
2026-08-21,EBANK10,EQUITY,EQ,INF754K01XH9,17.18,17.18,16.87,16.94,17.1,13083.0,221181.16
2026-08-20,EBANK10,EQUITY,EQ,INF754K01XH9,17.25,17.9,16.75,17.1,17.08,1157.0,19606.9
2026-08-19,EBANK10,EQUITY,EQ,INF754K01XH9,16.74,17.5,16.6,17.08,16.98,3046.0,50930.77
2026-08-18,EBANK10,EQUITY,EQ,INF754K01XH9,16.74,17.75,16.74,16.98,16.74,314.0,5260.69
2026-08-17,EBANK10,EQUITY,EQ,INF754K01XH9,16.76,16.83,16.74,16.74,16.86,2527.0,42423.13
2026-08-14,EBANK10,EQUITY,EQ,INF754K01XH9,16.94,16.94,16.8,16.86,16.86,270.0,4549.69
2026-08-13,EBANK10,EQUITY,EQ,INF754K01XH9,16.87,16.88,16.74,16.86,16.86,2692.0,45359.15
2026-08-12,EBANK10,EQUITY,EQ,INF754K01XH9,16.96,16.96,16.82,16.86,16.8,194.0,3275.56
2026-08-11,EBANK10,EQUITY,EQ,INF754K01XH9,16.94,16.94,16.7,16.8,16.94,2178.0,36603.69
2026-08-10,EBANK10,EQUITY,EQ,INF754K01XH9,17.11,17.11,16.82,16.94,16.95,5091.0,85852.5
2026-08-07,EBANK10,EQUITY,EQ,INF754K01XH9,17.13,17.13,16.93,16.95,17.05,2391.0,40663.77
2026-08-06,EBANK10,EQUITY,EQ,INF754K01XH9,16.95,17.06,16.88,17.05,16.95,1801.0,30613.24
2026-08-05,EBANK10,EQUITY,EQ,INF754K01XH9,17.01,17.1,16.95,16.95,16.99,19678.0,334515.75
