trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,ECLERX,EQUITY,EQ,INE738I01010,1945.1,1945.1,1900.2,1922.6,1945.1,89506.0,171800667.0
2026-09-08,ECLERX,EQUITY,EQ,INE738I01010,1907.8,1959.0,1888.0,1945.1,1888.8,168424.0,325324318.9
2026-09-07,ECLERX,EQUITY,EQ,INE738I01010,1905.7,1910.7,1858.0,1888.8,1905.7,171958.0,323894064.0
2026-09-04,ECLERX,EQUITY,EQ,INE738I01010,1960.0,1967.8,1878.3,1905.7,1971.7,163141.0,314857907.8
2026-09-03,ECLERX,EQUITY,EQ,INE738I01010,2005.0,2050.1,1930.4,1971.7,2004.5,265250.0,524816312.4
2026-09-02,ECLERX,EQUITY,EQ,INE738I01010,1950.0,2020.0,1929.4,2004.5,1973.8,264722.0,527786341.4
2026-09-01,ECLERX,EQUITY,EQ,INE738I01010,1950.0,1997.7,1892.3,1973.8,1976.9,298440.0,577215283.3
2026-08-31,ECLERX,EQUITY,EQ,INE738I01010,1955.5,2062.0,1937.7,1976.9,1955.5,1175626.0,2377082790.5
2026-08-28,ECLERX,EQUITY,EQ,INE738I01010,1938.9,1998.0,1930.0,1955.5,1940.9,188636.0,370310579.2
2026-08-27,ECLERX,EQUITY,EQ,INE738I01010,1942.0,1972.2,1915.3,1940.9,1944.0,181165.0,352985378.3
2026-08-26,ECLERX,EQUITY,EQ,INE738I01010,1891.4,1962.5,1891.4,1944.0,1879.5,390435.0,757030705.0
2026-08-25,ECLERX,EQUITY,EQ,INE738I01010,1836.8,1890.0,1815.0,1879.5,1822.8,192701.0,358776920.3
2026-08-24,ECLERX,EQUITY,EQ,INE738I01010,1815.7,1869.3,1812.2,1822.8,1815.7,126574.0,233181128.5
2026-08-21,ECLERX,EQUITY,EQ,INE738I01010,1812.1,1831.7,1785.2,1815.7,1804.8,77989.0,141320079.6
2026-08-20,ECLERX,EQUITY,EQ,INE738I01010,1835.0,1840.8,1797.0,1804.8,1832.9,158765.0,288370115.7
2026-08-19,ECLERX,EQUITY,EQ,INE738I01010,1806.0,1855.2,1791.0,1832.9,1805.2,122581.0,224642369.1
2026-08-18,ECLERX,EQUITY,EQ,INE738I01010,1850.1,1854.0,1773.9,1805.2,1848.9,141785.0,255424482.0
2026-08-17,ECLERX,EQUITY,EQ,INE738I01010,1891.6,1891.6,1829.5,1848.9,1897.0,172306.0,319618629.0
2026-08-14,ECLERX,EQUITY,EQ,INE738I01010,1879.0,1925.4,1862.1,1897.0,1869.4,179772.0,341616055.1
2026-08-13,ECLERX,EQUITY,EQ,INE738I01010,1790.0,1881.0,1770.2,1869.4,1810.2,180076.0,333274427.9
2026-08-12,ECLERX,EQUITY,EQ,INE738I01010,1806.0,1822.0,1781.4,1810.2,1795.6,98896.0,178713830.8
2026-08-11,ECLERX,EQUITY,EQ,INE738I01010,1765.0,1830.0,1733.0,1795.6,1763.3,240474.0,429142515.1
2026-08-10,ECLERX,EQUITY,EQ,INE738I01010,1769.0,1794.0,1750.0,1763.3,1769.1,137850.0,243163324.2
2026-08-07,ECLERX,EQUITY,EQ,INE738I01010,1859.2,1895.0,1756.3,1769.1,1872.4,378424.0,682795889.6
2026-08-06,ECLERX,EQUITY,EQ,INE738I01010,1890.0,1898.0,1811.3,1872.4,1917.8,773314.0,1439673605.3
2026-08-05,ECLERX,EQUITY,EQ,INE738I01010,1924.9,1939.5,1895.0,1917.8,1919.2,99708.0,190891751.3
2026-08-04,ECLERX,EQUITY,EQ,INE738I01010,1898.2,1945.0,1882.0,1919.2,1922.2,98270.0,188855386.1
2026-08-03,ECLERX,EQUITY,EQ,INE738I01010,1860.1,1945.0,1852.0,1922.2,1845.5,159968.0,306109325.8
2026-07-31,ECLERX,EQUITY,EQ,INE738I01010,1910.9,1914.0,1834.8,1845.5,1910.9,208459.0,389906414.9
