trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,ELECTHERM,EQUITY,EQ,INE822G01016,943.0,972.0,934.65,956.3,943.0,225365.0,214520084.55
2026-09-10,ELECTHERM,EQUITY,EQ,INE822G01016,963.45,968.3,940.0,943.0,965.0,13574.0,12911640.35
2026-09-09,ELECTHERM,EQUITY,EQ,INE822G01016,956.0,971.9,950.0,965.0,964.6,10148.0,9777278.45
2026-09-08,ELECTHERM,EQUITY,EQ,INE822G01016,966.4,981.3,961.2,964.6,966.4,6936.0,6734918.0
2026-09-07,ELECTHERM,EQUITY,EQ,INE822G01016,980.9,990.9,965.0,966.4,980.9,15422.0,15023258.0
2026-09-04,ELECTHERM,EQUITY,EQ,INE822G01016,979.9,999.9,979.9,980.9,979.9,7385.0,7264252.75
2026-09-03,ELECTHERM,EQUITY,EQ,INE822G01016,1001.25,1007.6,977.0,979.9,1000.1,9319.0,9203067.75
2026-09-02,ELECTHERM,EQUITY,EQ,INE822G01016,995.6,1005.9,981.1,1000.1,997.25,7593.0,7578948.65
2026-09-01,ELECTHERM,EQUITY,EQ,INE822G01016,990.1,1015.3,981.7,997.25,990.6,11055.0,11032175.75
2026-08-31,ELECTHERM,EQUITY,EQ,INE822G01016,1014.0,1014.0,988.6,990.6,1016.1,12209.0,12166613.5
2026-08-28,ELECTHERM,EQUITY,EQ,INE822G01016,1031.8,1034.8,1012.9,1016.1,1032.9,9988.0,10241435.1
2026-08-27,ELECTHERM,EQUITY,EQ,INE822G01016,1032.7,1042.0,1030.0,1032.9,1038.3,8555.0,8857412.6
2026-08-26,ELECTHERM,EQUITY,EQ,INE822G01016,1048.9,1075.0,1021.0,1038.3,1049.0,9874.0,10403174.5
2026-08-25,ELECTHERM,EQUITY,EQ,INE822G01016,1054.7,1057.8,1022.9,1049.0,1054.4,10573.0,11011156.9
2026-08-24,ELECTHERM,EQUITY,EQ,INE822G01016,1052.0,1074.0,1043.6,1054.4,1052.2,4056.0,4281935.9
2026-08-21,ELECTHERM,EQUITY,EQ,INE822G01016,1024.7,1059.9,1016.2,1052.2,1012.9,25780.0,26976184.9
2026-08-20,ELECTHERM,EQUITY,EQ,INE822G01016,1033.9,1053.8,1003.0,1012.9,1033.9,8554.0,8807320.2
2026-08-19,ELECTHERM,EQUITY,EQ,INE822G01016,1029.6,1059.0,1016.1,1033.9,1024.1,15980.0,16593235.5
2026-08-18,ELECTHERM,EQUITY,EQ,INE822G01016,986.7,1059.0,959.9,1024.1,974.8,82284.0,83909962.1
2026-08-17,ELECTHERM,EQUITY,EQ,INE822G01016,990.0,1005.2,970.0,974.8,1003.5,15360.0,15094237.6
2026-08-14,ELECTHERM,EQUITY,EQ,INE822G01016,1012.2,1028.6,995.0,1003.5,1011.5,8897.0,8986730.2
2026-08-13,ELECTHERM,EQUITY,EQ,INE822G01016,1007.3,1055.0,1007.3,1011.5,1012.4,42116.0,43720190.1
