trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,EMIL,EQUITY,EQ,INE02YR01019,186.4,188.4,181.05,182.65,186.02,1903526.0,349260909.63
2026-09-08,EMIL,EQUITY,EQ,INE02YR01019,179.75,189.8,175.65,186.02,178.24,6303918.0,1166765958.82
2026-09-07,EMIL,EQUITY,EQ,INE02YR01019,173.74,182.4,171.0,178.24,173.74,1704742.0,304239595.1
2026-09-04,EMIL,EQUITY,EQ,INE02YR01019,175.4,176.67,167.54,173.74,176.16,1637322.0,282153941.77
2026-09-03,EMIL,EQUITY,EQ,INE02YR01019,178.91,183.0,173.97,176.16,176.44,1306494.0,233246539.88
2026-09-02,EMIL,EQUITY,EQ,INE02YR01019,173.0,179.39,173.0,176.44,175.7,942548.0,165885342.78
2026-09-01,EMIL,EQUITY,EQ,INE02YR01019,182.45,182.45,172.08,175.7,180.61,957847.0,170005798.19
2026-08-31,EMIL,EQUITY,EQ,INE02YR01019,176.47,182.45,176.3,180.61,177.35,1214913.0,219146587.3
2026-08-28,EMIL,EQUITY,EQ,INE02YR01019,178.0,181.0,176.2,177.35,178.99,724327.0,129169013.12
2026-08-27,EMIL,EQUITY,EQ,INE02YR01019,185.46,185.89,177.88,178.99,184.54,661662.0,119899137.04
2026-08-26,EMIL,EQUITY,EQ,INE02YR01019,180.01,186.1,179.04,184.54,180.34,1160202.0,212941432.37
2026-08-25,EMIL,EQUITY,EQ,INE02YR01019,183.0,184.51,176.72,180.34,183.48,1333108.0,239606994.01
2026-08-24,EMIL,EQUITY,EQ,INE02YR01019,188.2,189.85,182.0,183.48,186.71,1468424.0,270822938.76
2026-08-21,EMIL,EQUITY,EQ,INE02YR01019,191.58,191.58,185.2,186.71,191.06,2210325.0,415463083.93
2026-08-20,EMIL,EQUITY,EQ,INE02YR01019,192.95,194.0,188.5,191.06,191.24,1422548.0,272753193.29
2026-08-19,EMIL,EQUITY,EQ,INE02YR01019,191.29,194.35,189.16,191.24,191.35,1184214.0,226647766.06
2026-08-18,EMIL,EQUITY,EQ,INE02YR01019,191.0,195.4,190.25,191.35,192.42,2203251.0,423933605.95
2026-08-17,EMIL,EQUITY,EQ,INE02YR01019,189.44,193.99,187.5,192.42,189.44,3235362.0,617565298.33
2026-08-14,EMIL,EQUITY,EQ,INE02YR01019,191.78,194.5,186.1,189.44,191.78,3872427.0,736271865.43
2026-08-13,EMIL,EQUITY,EQ,INE02YR01019,193.0,196.74,189.5,191.78,193.61,10553624.0,2042098277.45
2026-08-12,EMIL,EQUITY,EQ,INE02YR01019,185.02,195.0,183.01,193.61,184.75,31604982.0,6015511068.4
2026-08-11,EMIL,EQUITY,EQ,INE02YR01019,180.9,188.84,178.1,184.75,180.77,44142568.0,8166017408.83
2026-08-10,EMIL,EQUITY,EQ,INE02YR01019,172.0,189.6,172.0,180.77,165.83,101219512.0,18534430038.23
2026-08-07,EMIL,EQUITY,EQ,INE02YR01019,151.0,172.0,143.99,165.83,149.78,51355051.0,8078539660.08
2026-08-06,EMIL,EQUITY,EQ,INE02YR01019,149.0,153.0,147.53,149.78,147.56,9559297.0,1437848843.94
2026-08-05,EMIL,EQUITY,EQ,INE02YR01019,136.0,149.25,136.0,147.56,133.17,16769783.0,2414014995.45
2026-08-04,EMIL,EQUITY,EQ,INE02YR01019,132.9,136.3,131.67,133.17,131.35,4992918.0,665610525.9
2026-08-03,EMIL,EQUITY,EQ,INE02YR01019,130.5,135.38,130.5,131.35,130.16,3324272.0,439959325.2
2026-07-31,EMIL,EQUITY,EQ,INE02YR01019,130.43,136.0,129.0,130.16,129.87,5461964.0,718926356.81
2026-07-30,EMIL,EQUITY,EQ,INE02YR01019,132.19,133.49,128.88,129.87,132.46,2326170.0,302472129.98
2026-07-29,EMIL,EQUITY,EQ,INE02YR01019,127.15,133.99,127.15,132.46,126.94,1195900.0,157297109.63
2026-07-28,EMIL,EQUITY,EQ,INE02YR01019,125.8,132.57,124.59,126.94,125.67,2008758.0,257663455.79
2026-07-27,EMIL,EQUITY,EQ,INE02YR01019,130.95,132.52,125.18,125.67,129.64,2168808.0,276104101.74
2026-07-24,EMIL,EQUITY,EQ,INE02YR01019,127.85,130.13,125.6,129.64,127.86,490978.0,62877700.09
2026-07-23,EMIL,EQUITY,EQ,INE02YR01019,131.59,132.0,127.1,127.86,131.45,1580331.0,204726542.68
2026-07-22,EMIL,EQUITY,EQ,INE02YR01019,134.36,135.0,130.93,131.45,133.4,755799.0,100365442.26
2026-07-21,EMIL,EQUITY,EQ,INE02YR01019,129.8,134.85,128.78,133.4,129.88,691440.0,91622848.69
2026-07-20,EMIL,EQUITY,EQ,INE02YR01019,129.0,131.4,127.98,129.88,128.77,391615.0,50733633.74
2026-07-17,EMIL,EQUITY,EQ,INE02YR01019,131.83,131.87,127.77,128.77,131.82,1187321.0,153622481.14
2026-07-16,EMIL,EQUITY,EQ,INE02YR01019,131.8,134.51,130.57,131.82,131.62,833946.0,110403274.65
2026-07-15,EMIL,EQUITY,EQ,INE02YR01019,132.4,136.0,130.29,131.62,132.01,1018028.0,135253916.22
2026-07-14,EMIL,EQUITY,EQ,INE02YR01019,130.01,132.8,127.4,132.01,131.82,662505.0,86157827.66
2026-07-13,EMIL,EQUITY,EQ,INE02YR01019,133.59,135.0,130.55,131.82,134.36,1254323.0,166506946.68
2026-07-10,EMIL,EQUITY,EQ,INE02YR01019,132.0,136.53,131.99,134.36,132.01,1019545.0,136625379.06
2026-07-09,EMIL,EQUITY,EQ,INE02YR01019,130.88,134.58,130.73,132.01,130.05,905074.0,120146702.67
2026-07-08,EMIL,EQUITY,EQ,INE02YR01019,133.0,136.55,128.51,130.05,133.71,1491724.0,197780594.54
2026-07-07,EMIL,EQUITY,EQ,INE02YR01019,133.96,136.06,132.6,133.71,133.96,1058808.0,142121715.64
2026-07-06,EMIL,EQUITY,EQ,INE02YR01019,140.6,140.6,132.31,133.96,140.68,2778701.0,374920651.57
2026-07-03,EMIL,EQUITY,EQ,INE02YR01019,138.0,143.65,134.9,140.68,136.9,4692023.0,656639635.73
2026-07-02,EMIL,EQUITY,EQ,INE02YR01019,129.39,138.0,127.1,136.9,127.82,6397658.0,853439150.46
2026-07-01,EMIL,EQUITY,EQ,INE02YR01019,121.73,130.79,121.73,127.82,121.73,4678242.0,599376335.96
2026-06-30,EMIL,EQUITY,EQ,INE02YR01019,116.76,123.0,116.41,121.73,116.31,2871786.0,345643266.62
2026-06-29,EMIL,EQUITY,EQ,INE02YR01019,119.79,119.79,115.81,116.31,119.14,337862.0,39508808.16
2026-06-25,EMIL,EQUITY,EQ,INE02YR01019,122.0,124.37,118.36,119.14,121.69,668717.0,81322954.46
2026-06-24,EMIL,EQUITY,EQ,INE02YR01019,120.5,122.9,119.12,121.69,119.59,781109.0,94809759.74
2026-06-23,EMIL,EQUITY,EQ,INE02YR01019,122.0,122.99,118.3,119.59,121.56,651637.0,78293670.62
2026-06-22,EMIL,EQUITY,EQ,INE02YR01019,121.8,124.0,120.6,121.56,120.86,925469.0,113167693.71
2026-06-19,EMIL,EQUITY,EQ,INE02YR01019,118.75,123.2,115.6,120.86,118.88,2029337.0,244583048.25
2026-06-18,EMIL,EQUITY,EQ,INE02YR01019,119.1,120.25,117.65,118.88,118.47,850565.0,101100406.57
2026-06-17,EMIL,EQUITY,EQ,INE02YR01019,112.0,122.95,112.0,118.47,111.69,5667961.0,668697640.87
2026-06-16,EMIL,EQUITY,EQ,INE02YR01019,110.99,112.0,109.21,111.69,109.94,532713.0,59040416.98
2026-06-15,EMIL,EQUITY,EQ,INE02YR01019,107.58,111.1,107.01,109.94,105.5,1047717.0,114744669.04
2026-06-12,EMIL,EQUITY,EQ,INE02YR01019,102.91,106.0,101.0,105.5,101.56,1544642.0,160414937.28
2026-06-11,EMIL,EQUITY,EQ,INE02YR01019,104.84,105.66,100.45,101.56,104.96,724968.0,74154362.31
2026-06-10,EMIL,EQUITY,EQ,INE02YR01019,107.0,107.63,104.07,104.96,106.67,339703.0,35883043.8
2026-06-09,EMIL,EQUITY,EQ,INE02YR01019,108.95,108.95,106.0,106.67,107.52,350225.0,37444378.81
2026-06-08,EMIL,EQUITY,EQ,INE02YR01019,111.05,111.05,106.1,107.52,111.44,535269.0,58119634.65
2026-06-05,EMIL,EQUITY,EQ,INE02YR01019,110.0,114.8,109.53,111.44,109.74,1307349.0,147370065.06
2026-06-04,EMIL,EQUITY,EQ,INE02YR01019,111.36,112.86,109.1,109.74,111.36,538737.0,59784969.94
2026-06-03,EMIL,EQUITY,EQ,INE02YR01019,113.91,114.2,109.54,111.36,113.54,630693.0,70276540.67
2026-06-02,EMIL,EQUITY,EQ,INE02YR01019,113.51,115.49,112.5,113.54,113.84,448840.0,51151764.28
2026-06-01,EMIL,EQUITY,EQ,INE02YR01019,116.18,116.18,112.67,113.84,114.0,333093.0,37866954.36
2026-05-29,EMIL,EQUITY,EQ,INE02YR01019,116.25,117.65,113.6,114.0,116.01,424178.0,49053872.34
2026-05-27,EMIL,EQUITY,EQ,INE02YR01019,114.7,118.0,114.06,116.01,115.17,627017.0,72565646.53
2026-05-26,EMIL,EQUITY,EQ,INE02YR01019,117.1,117.1,113.4,115.17,116.77,1027141.0,117905935.67
2026-05-25,EMIL,EQUITY,EQ,INE02YR01019,119.66,119.8,113.44,116.77,120.65,2311801.0,267015252.94
2026-05-22,EMIL,EQUITY,EQ,INE02YR01019,116.0,127.0,115.95,120.65,115.95,12170773.0,1501654368.77
2026-05-21,EMIL,EQUITY,EQ,INE02YR01019,117.0,117.51,113.2,115.95,115.68,1387655.0,160209999.21
2026-05-20,EMIL,EQUITY,EQ,INE02YR01019,114.13,118.0,113.01,115.68,114.71,382801.0,44117849.97
2026-05-19,EMIL,EQUITY,EQ,INE02YR01019,117.5,118.33,113.2,114.71,117.44,479308.0,55635886.99
2026-05-18,EMIL,EQUITY,EQ,INE02YR01019,119.0,119.0,115.21,117.44,119.89,394391.0,46030925.62
2026-05-15,EMIL,EQUITY,EQ,INE02YR01019,120.6,121.53,116.82,119.89,119.92,479446.0,57302756.24
2026-05-14,EMIL,EQUITY,EQ,INE02YR01019,115.0,120.99,113.01,119.92,115.24,1393630.0,165423589.59
2026-05-13,EMIL,EQUITY,EQ,INE02YR01019,113.53,116.9,112.2,115.24,113.53,773706.0,88840304.2
2026-05-12,EMIL,EQUITY,EQ,INE02YR01019,116.0,116.0,110.01,113.53,117.01,642736.0,72614367.72
