trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-02,EMMBI,EQUITY,EQ,INE753K01015,97.04,97.04,94.22,94.58,96.31,14763.0,1405155.53
2026-07-01,EMMBI,EQUITY,EQ,INE753K01015,97.55,98.62,96.02,96.31,97.55,17652.0,1705478.28
2026-06-30,EMMBI,EQUITY,EQ,INE753K01015,93.0,103.0,93.0,97.55,93.47,78677.0,7844055.2
2026-06-29,EMMBI,EQUITY,EQ,INE753K01015,96.16,96.99,92.71,93.47,96.16,15735.0,1481168.81
2026-06-25,EMMBI,EQUITY,EQ,INE753K01015,99.45,99.45,94.72,96.16,98.33,29377.0,2837826.39
2026-06-24,EMMBI,EQUITY,EQ,INE753K01015,101.65,103.9,98.03,98.33,102.83,48049.0,4787292.12
2026-06-23,EMMBI,EQUITY,EQ,INE753K01015,94.7,112.7,94.7,102.83,93.94,647658.0,69500252.99
2026-06-22,EMMBI,EQUITY,EQ,INE753K01015,91.62,94.95,91.0,93.94,91.62,10842.0,1014528.64
2026-06-19,EMMBI,EQUITY,EQ,INE753K01015,92.56,93.0,90.8,91.62,92.13,5320.0,486843.18
2026-06-18,EMMBI,EQUITY,EQ,INE753K01015,92.75,93.55,91.2,92.13,92.29,4998.0,460253.31
2026-06-17,EMMBI,EQUITY,EQ,INE753K01015,92.45,94.0,89.0,92.29,91.92,14505.0,1333911.18
2026-06-16,EMMBI,EQUITY,EQ,INE753K01015,85.45,93.5,85.25,91.92,84.56,71026.0,6375794.16
2026-06-15,EMMBI,EQUITY,EQ,INE753K01015,85.0,85.5,83.0,84.56,83.25,12871.0,1078432.82
2026-06-12,EMMBI,EQUITY,EQ,INE753K01015,84.9,84.9,82.51,83.25,82.35,1960.0,164553.6
2026-06-11,EMMBI,EQUITY,EQ,INE753K01015,83.5,84.38,82.0,82.35,83.66,6108.0,504510.56
2026-06-10,EMMBI,EQUITY,EQ,INE753K01015,85.22,86.01,83.6,83.66,84.8,6921.0,586801.52
2026-06-09,EMMBI,EQUITY,EQ,INE753K01015,84.85,85.81,83.96,84.8,83.24,7194.0,609379.26
2026-06-08,EMMBI,EQUITY,EQ,INE753K01015,85.0,87.49,82.61,83.24,85.0,15850.0,1343716.39
2026-06-05,EMMBI,EQUITY,EQ,INE753K01015,85.95,86.0,82.4,85.0,85.73,8882.0,745689.07
2026-06-04,EMMBI,EQUITY,EQ,INE753K01015,83.41,86.2,82.3,85.73,83.0,13689.0,1167165.24
2026-06-03,EMMBI,EQUITY,EQ,INE753K01015,84.1,84.1,83.0,83.0,84.71,3519.0,293247.01
2026-06-02,EMMBI,EQUITY,EQ,INE753K01015,84.25,85.0,83.1,84.71,84.25,4676.0,392973.35
2026-06-01,EMMBI,EQUITY,EQ,INE753K01015,83.32,86.5,81.75,84.25,83.32,9306.0,789153.75
2026-05-29,EMMBI,EQUITY,EQ,INE753K01015,86.5,87.5,83.0,83.32,84.21,6576.0,553523.59
2026-05-27,EMMBI,EQUITY,EQ,INE753K01015,84.5,86.5,82.5,84.21,84.43,15044.0,1260617.69
2026-05-26,EMMBI,EQUITY,EQ,INE753K01015,85.1,87.0,80.0,84.43,84.76,42613.0,3586043.14
2026-05-25,EMMBI,EQUITY,EQ,INE753K01015,83.95,87.6,82.65,84.76,82.63,31559.0,2696944.15
2026-05-22,EMMBI,EQUITY,EQ,INE753K01015,82.24,83.85,81.5,82.63,82.65,2676.0,221336.69
2026-05-21,EMMBI,EQUITY,EQ,INE753K01015,83.9,84.31,82.25,82.65,83.9,6297.0,522409.25
2026-05-20,EMMBI,EQUITY,EQ,INE753K01015,82.1,84.39,82.0,83.9,83.38,3815.0,316656.85
2026-05-19,EMMBI,EQUITY,EQ,INE753K01015,84.78,85.89,82.89,83.38,84.81,4273.0,355655.1
2026-05-18,EMMBI,EQUITY,EQ,INE753K01015,83.0,85.9,82.35,84.81,84.85,11558.0,967582.77
